mouse_gene,crispr_tier,CRISPR_CAUSAL,crispr_in_secondary_library,crispr_lfc_primary_D4,crispr_lfc_primary_D15,crispr_lfc_secondary_D4,crispr_lfc_secondary_D15,crispr_max_abs_lfc,crispr_guide_consistency_D15,crispr_guide_FDR_D15,crispr_d4_concordant,crispr_cross_library_agree,crispr_effect_class,crispr_direction,human_gene,ortholog_one2one,ortholog_type,fg_young_tibia_lfc,fg_tibia_vs_phalanx_lfc,fg_young_tibia_FDR,fg_tibia_vs_phalanx_FDR,fg_PZ_vs_HZ_lfc,fg_zone_bias,fg_rat_concordant,FAST_GROWTH,fg_score,mouse_zone_top,mouse_zone_specificity,human_zone_top,human_zone_specificity,human_zonal_detected,human_mouse_zone_concordant,height_n_loci,height_n_studies,height_neglog10p,HEIGHT_GWAS,cd200_D4_log2FC,cd200_D4_FDR,cd200_D15_log2FC,cd200_D15_FDR,maturation_slope,maturation_slope_FDR,sc_GSE125464_top_state,sc_GSE125464_max_expr,sc_GSE201605_top_state,sc_GSE201605_max_expr,sc_GSE231795_top_state,sc_GSE231795_max_expr,sc_GSE244881_top_state,sc_GSE244881_max_expr,sc_GSE271634_top_state,sc_GSE271634_max_expr,sc_GSE288529_top_state,sc_GSE288529_max_expr,sc_GSE76157_top_state,sc_GSE76157_max_expr,sc_consensus_state,sc_n_datasets_agree,sc_n_datasets_detected,sc_expr_max,pert_Dnmt1cKO_log2FC,pert_Dnmt1cKO_FDR,pert_Idh1mut_log2FC,pert_Idh1mut_FDR,pert_Adamts17KO_log2FC,pert_Adamts17KO_FDR,pert_STAT3KD_log2FC,pert_STAT3KD_FDR,pert_n_significant,gp_specificity_score,human_ensembl,sc_crispr,sc_fastgrowth,sc_height,sc_human_zonal,sc_gp_specificity,sc_perturbation,screen_effect,inhibitor_effect_on_maturation,desired_intervention_direction,plate_exhaustion_risk,ensembl,ot_symbol,biotype,target_classes,tractability_buckets,has_smallmolecule_tractability,has_antibody_tractability,ot_is_essential,depmap_n_screens,depmap_mean_gene_effect,depmap_frac_essential,n_safety_liabilities,safety_events,n_mouse_phenotypes,mouse_skeletal_phenotypes,chembl_target_ids,n_compounds_chembl,n_compounds_dgidb,n_approved_compounds,pubmed_total,pubmed_growthplate,obscurity_ratio,n_cancer_hallmarks,hallmark_labels,is_tumour_suppressor,is_oncogene,_annotated,TRACTABLE,tractable_class,sc_tractability,n_compounds,n_direction_matched,has_direction_matched_compound,n_direct_compounds,n_approved,best_pchembl,any_oral,any_black_box,any_withdrawn,strongest_compound,COMPOUND_MAPPED,sc_compound,sc_exposure,pen_essentiality,pen_safety,plate_disorganising_phenotype,pen_development,pen_plate_exhaustion,BLACKLIST,blacklist_reasons,SORT_MARKER_ARTIFACT,EXCLUDED_OBVIOUS,score_positive,score_penalty,total_score,novelty_growthplate_papers
Eif4e2,A_secondary_validated,True,True,-1.00902,-0.4799,-0.51987,-0.39702,1.00902,0.75,0.51158,True,True,KO_blocks_maturation,-1.0,EIF4E2,True,ortholog_one2one,-0.0669,0.2425,0.63228,0.62745,0.07308,shared,True,False,0.29431,proliferative,0.08117,proliferative,0.32479,True,True,6.0,5.0,159.39794,True,0.12677,0.25869,0.08609,0.28143,-0.01265,0.69986,prehypertrophic,6.86477,hypertrophic,7.37256,hypertrophic,6.45451,prehypertrophic,6.53954,resting,6.89807,prehypertrophic,6.74608,proliferative,6.86011,prehypertrophic,3.0,7.0,7.37256,0.01271,0.98974,-0.02847,0.99957,0.60788,1.0,0.14022,0.89107,0,-0.45854,ENSG00000135930,1.33176,0.07337,0.46002,0.6263,0.28668,0.0,gene_drives_maturation,delays,"inhibit (delay hypertrophic transition, prolong growth window)",0.0,ENSG00000135930,EIF4E2,protein_coding,,SM:Structure with Ligand; SM:Med-Quality Pocket; PR:UniProt Ubiquitination; PR:Database Ubiquitination,True,False,False,1258.0,-0.2537,0.148,0.0,,5.0,,,0.0,2.0,2.0,106.0,0.0,0.0,0.0,,False,False,True,True,small-molecule pocket,0.8,2.0,0.0,False,0.0,2.0,,False,False,False,PACLITAXEL PROTEIN-BOUND,True,0.0,0.3,0.0,0.0,False,0.0,0.0,False,,False,False,4.8153,0.0,4.8153,0.0
Cd200,A_secondary_validated,True,True,-2.3418,-0.98112,-1.64696,-2.54141,2.54141,1.0,0.14158,True,True,KO_blocks_maturation,-1.0,CD200,True,ortholog_one2one,-2.27651,-0.31686,0.00046,0.43619,-3.13033,hypertrophic,False,False,-1.51526,hypertrophic,0.60103,hypertrophic,0.00424,True,True,,,,False,2.96803,4e-05,5.09347,0.0,1.3026,0.00062,resting,3.90716,hypertrophic,6.00094,hypertrophic,6.60829,hypertrophic,7.0681,prehypertrophic,7.26734,hypertrophic,7.25557,hypertrophic,8.35685,hypertrophic,5.0,7.0,8.35685,-0.98975,0.07662,-0.09864,0.99957,-0.5441,1.0,0.19616,0.87989,0,-0.2936,ENSG00000091972,1.38,0.0,0.0,0.60034,0.46591,0.0,gene_drives_maturation,delays,"inhibit (delay hypertrophic transition, prolong growth window)",0.0,ENSG00000091972,CD200,protein_coding,Unclassified protein,AB:Advanced Clinical; AB:GO CC high conf; AB:UniProt loc med conf; AB:UniProt SigP or TMHMM; PR:Half-life Data,False,True,False,1254.0,0.074,0.001,0.0,,6.0,,CHEMBL3712870,1.0,2.0,0.0,1203.0,6.0,0.00499,0.0,,False,False,True,True,antibody-accessible,0.5,3.0,2.0,True,1.0,0.0,,False,False,False,SAMALIZUMAB,True,0.61667,0.0,0.0,0.0,False,0.0,0.0,False,,True,True,4.72967,0.0,4.72967,6.0
Gsk3b,A_secondary_validated,True,True,-0.04051,2.58715,-0.06234,-0.19488,2.58715,1.0,0.11709,False,False,KO_blocks_maturation,-1.0,GSK3B,True,ortholog_one2one,-0.4185,0.51633,0.01104,0.07506,-3.12561,hypertrophic,False,False,0.25171,proliferative,0.09302,proliferative,0.26088,True,True,,,,False,0.07179,0.28635,-0.09083,0.10764,-0.03444,0.6797,proliferative,6.11559,hypertrophic,7.61525,hypertrophic,6.76063,hypertrophic,7.98959,prehypertrophic,8.18698,hypertrophic,8.84517,prehypertrophic,8.60274,hypertrophic,4.0,7.0,8.84517,-0.11896,0.84501,-0.11495,0.99957,-0.11908,1.0,-0.28505,0.87985,0,-0.52455,ENSG00000082701,1.08144,0.00718,0.0,0.62113,0.36499,0.0,gene_drives_maturation,delays,"inhibit (delay hypertrophic transition, prolong growth window)",0.0,ENSG00000082701,GSK3B,protein_coding,CMGC protein kinase GSK family; CMGC protein kinase group; Enzyme; Kinase; Protein Kinase,SM:Approved Drug; SM:Structure with Ligand; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Druggable Family; AB:UniProt loc high conf; AB:GO CC high conf; PR:Literature; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,True,False,1258.0,0.0091,0.024,14.0,Carcinogenicity; Mitochondrial toxicity; abnormal bone development; cardiac dysfunction; female infertility; heart disease; insulin resistance; male infertility,33.0,abnormal skeleton physiology; delayed bone ossification; increased bone mass; increased bone ossification; increased bone resorption; increased compact bone mass; increased compact bone thickness; increased trabecular bone mass; increased trabecular bone volume,CHEMBL262,3.0,77.0,7.0,1044.0,11.0,0.01054,0.0,,False,False,True,True,enzyme; kinase,1.0,80.0,47.0,True,3.0,7.0,,False,False,False,LITHIUM CARBONATE,True,0.65,0.3,0.0,0.3,False,0.0,0.0,False,,False,False,4.78895,0.3,4.48895,11.0
Nedd4,A_secondary_validated,True,True,-0.71537,0.58255,-0.47082,-0.02623,0.71537,0.75,0.4213,False,False,KO_blocks_maturation,-1.0,NEDD4,True,ortholog_one2one,-0.39958,0.21818,0.0504,0.23883,0.68426,proliferative,True,False,0.06236,proliferative,0.12471,proliferative,0.30078,True,True,8.0,6.0,54.39794,True,-0.0443,0.46176,-0.01626,0.72186,0.09442,0.07045,prehypertrophic,9.51431,hypertrophic,10.00136,resting,8.87575,prehypertrophic,10.52499,prehypertrophic,10.05556,prehypertrophic,9.71728,prehypertrophic,9.04189,prehypertrophic,5.0,7.0,10.52499,-0.21335,0.40533,-0.07681,0.99957,0.35824,1.0,-0.29543,0.87985,0,-0.44124,ENSG00000069869,1.02252,0.07303,0.36244,0.62436,0.45467,0.0,gene_drives_maturation,delays,"inhibit (delay hypertrophic transition, prolong growth window)",0.0,ENSG00000069869,NEDD4,protein_coding,Enzyme; Ligase,SM:Structure with Ligand; SM:Med-Quality Pocket; AB:GO CC high conf; AB:UniProt loc med conf; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,True,False,1258.0,0.0425,0.0,0.0,,68.0,abnormal craniofacial bone morphology; abnormal frontal bone morphology; abnormal temporal bone tympanic part morphology; absent palate bones; centrally nucleated skeletal muscle fibers; decreased bone mass; decreased bone mineral density; decreased bone ossification; increased variability of skeletal muscle fiber size; small basioccipital bone,CHEMBL3621023,0.0,1.0,1.0,1710.0,10.0,0.00585,0.0,,False,False,True,True,enzyme; ligase,1.0,1.0,0.0,False,0.0,1.0,,False,False,False,WARFARIN,True,0.0,0.3,0.0,0.0,False,0.0,0.0,False,,False,False,4.45125,0.0,4.45125,10.0
Bmpr2,A_secondary_validated,True,True,0.67353,1.20768,0.12191,0.32755,1.20768,0.75,0.50398,True,True,KO_promotes_maturation,1.0,BMPR2,True,ortholog_one2one,-0.23746,-0.10765,0.13957,0.66771,-0.62422,hypertrophic,True,False,-0.05294,hypertrophic,0.07863,proliferative,0.22195,True,False,5.0,4.0,118.30103,True,0.03919,0.60132,-0.00461,0.93176,0.00065,0.994,prehypertrophic,5.51427,hypertrophic,5.85733,hypertrophic,4.33596,hypertrophic,6.77672,prehypertrophic,7.78113,resting,6.50982,hypertrophic,7.66357,hypertrophic,4.0,7.0,7.78113,-0.32093,0.27255,-0.14611,0.99046,-1.79812,1.0,-0.00584,0.99319,0,-0.58802,ENSG00000204217,1.33802,0.07,0.38799,0.01797,0.36016,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,ENSG00000204217,BMPR2,protein_coding,Enzyme; Kinase; Protein Kinase; TKL protein kinase STKR Type 2 subfamily; TKL protein kinase STKR family; TKL protein kinase group,SM:Structure with Ligand; SM:High-Quality Ligand; SM:Med-Quality Pocket; SM:Druggable Family; AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt SigP or TMHMM; AB:Human Protein Atlas loc; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; OC:Approved Drug,True,True,False,1258.0,-0.034,0.01,0.0,,44.0,delayed bone ossification,CHEMBL5467,2.0,4.0,3.0,1291.0,11.0,0.00852,0.0,,False,False,True,True,enzyme; kinase,1.0,6.0,4.0,True,2.0,3.0,,False,False,False,EPTOTERMIN ALFA,True,0.63333,0.3,0.0,0.0,False,0.0,0.8,False,,False,False,5.17226,0.8,4.37226,11.0
Prkar1a,A_secondary_validated,True,True,-1.04513,-3.95722,-0.73351,-2.29062,3.95722,1.0,0.05047,True,True,KO_blocks_maturation,-1.0,PRKAR1A,True,ortholog_one2one,-0.50048,-0.27415,0.08046,0.32965,-0.3027,shared,True,False,-0.33589,hypertrophic,0.02065,proliferative,0.31141,True,False,1.0,1.0,29.30103,True,-0.08972,0.19543,-0.37067,6e-05,0.11475,0.04171,resting,7.00063,resting,6.75856,hypertrophic,6.65174,resting,7.59451,prehypertrophic,7.05326,resting,6.63283,hypertrophic,8.30863,resting,4.0,7.0,8.30863,-0.12284,0.85262,0.01323,0.99957,0.46496,1.0,-0.0781,0.91705,0,-0.54022,ENSG00000108946,1.42457,0.07,0.12951,0.02522,0.3638,0.0,gene_drives_maturation,delays,"inhibit (delay hypertrophic transition, prolong growth window)",0.0,ENSG00000108946,PRKAR1A,protein_coding,Enzyme; Kinase; Protein kinase regulatory subunit,SM:Structure with Ligand; AB:UniProt loc high conf; AB:GO CC med conf; PR:Database Ubiquitination; PR:Half-life Data,True,True,False,1258.0,-0.1974,0.155,0.0,,56.0,abnormal bone mineralization; abnormal craniofacial bone morphology; abnormal long bone diaphysis morphology; abnormal long bone epiphyseal plate morphology; abnormal long bone epiphyseal plate proliferative zone; abnormal long bone metaphysis morphology; abnormal skeleton development; abnormal trabecular bone morphology; chondrodystrophy; decreased bone mineral density,CHEMBL4928,0.0,0.0,0.0,690.0,9.0,0.01304,6.0,escaping programmed cell death; invasion and metastasis; proliferative signalling,False,True,True,True,enzyme; kinase,1.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.0,True,annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles,False,False,4.33396,0.0,4.33396,9.0
Ezh2,A_secondary_validated,True,True,1.87364,1.01408,1.25783,0.64741,1.87364,0.75,0.35439,True,True,KO_promotes_maturation,1.0,EZH2,True,ortholog_one2one,-0.41911,-0.14904,0.11918,0.49727,0.6519,proliferative,True,False,-0.19859,proliferative,0.03293,proliferative,1.76314,True,True,7.0,4.0,57.30103,True,0.12329,0.3367,-0.18629,0.06655,-0.32629,0.0006,proliferative,7.25774,proliferative,7.42683,proliferative,7.27205,prehypertrophic,5.19277,proliferative,8.04898,proliferative,7.0868,proliferative,5.11676,proliferative,6.0,7.0,8.04898,0.05175,0.97133,-0.08267,0.99957,0.41747,1.0,0.75588,0.77303,0,1.26215,ENSG00000106462,1.35898,0.07,0.35029,0.74279,0.66773,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,ENSG00000106462,EZH2,protein_coding,Epigenetic regulator; Protein methyltransferase; Writer,SM:Approved Drug; SM:Structure with Ligand; SM:High-Quality Ligand; PR:Literature; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Small Molecule Binder,True,False,False,1258.0,-0.0478,0.066,0.0,,24.0,increased femur compact bone thickness,CHEMBL2189110,2.0,18.0,2.0,7852.0,40.0,0.00509,21.0,angiogenesis; change of cellular energetics; escaping immune response to cancer; escaping programmed cell death; genome instability and mutations; invasion and metastasis; proliferative signalling; suppression of growth,True,True,True,True,epigenetic; transferase,0.8,20.0,0.0,False,2.0,2.0,9.3,True,False,False,GSK2816126,True,0.03333,0.97163,0.0,0.0,False,0.0,1.3,True,chromatin/epigenetic machinery - broad transcriptional liability; annotated tumour suppressor - unsuitable for chronic paediatric exposure; annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,False,False,5.61292,1.3,4.31292,40.0
Ptch1,A_secondary_validated,True,True,1.81615,6.00353,1.41764,5.0414,6.00353,1.0,0.06271,True,True,KO_promotes_maturation,1.0,PTCH1,True,ortholog_one2one,0.4773,-0.78033,0.0074,0.04871,2.17016,proliferative,False,False,-0.04476,hypertrophic,0.5903,proliferative,1.28906,True,False,52.0,14.0,300.0,True,0.02202,0.86044,1.21194,0.0,0.27331,0.16592,prehypertrophic,7.32832,prehypertrophic,6.60988,proliferative,4.76055,prehypertrophic,7.57557,prehypertrophic,8.21538,proliferative,7.55777,hypertrophic,5.66458,prehypertrophic,4.0,7.0,8.21538,-0.60656,0.23236,-0.5122,0.02946,-0.30019,1.0,0.30796,0.87985,1,1.27828,ENSG00000185920,1.48898,0.01563,0.90705,0.10439,0.50229,0.5,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,ENSG00000185920,PTCH1,protein_coding,Unclassified protein,SM:Structure with Ligand; AB:GO CC high conf; AB:UniProt loc med conf; AB:UniProt SigP or TMHMM; PR:UniProt Ubiquitination; PR:Database Ubiquitination,True,True,False,1256.0,0.0183,0.004,0.0,,109.0,abnormal basisphenoid bone morphology; abnormal frontal bone morphology; abnormal interparietal bone morphology; abnormal intramembranous bone ossification; abnormal parietal bone morphology; abnormal skeleton morphology; absent presphenoid bone; alisphenoid bone hypoplasia; scapular bone foramen; small basisphenoid bone,CHEMBL5169150,0.0,4.0,3.0,1796.0,53.0,0.02951,3.0,change of cellular energetics; suppression of growth,False,False,True,True,small-molecule pocket,1.0,4.0,0.0,False,0.0,3.0,,False,False,False,TRETINOIN,True,0.0,0.3,0.0,0.0,False,0.0,1.3,True,multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,False,True,5.58459,1.3,4.28459,53.0
Runx2,A_secondary_validated,True,True,-0.97793,-0.64034,-0.92413,-0.61158,0.97793,1.0,0.24545,True,True,KO_blocks_maturation,-1.0,RUNX2,True,ortholog_one2one,0.08337,0.02817,0.56013,0.97473,-0.37643,shared,True,False,0.24673,hypertrophic,0.40227,proliferative,0.00041,True,False,14.0,4.0,152.69897,True,0.16762,0.05617,1.12491,0.0,0.10281,0.65957,prehypertrophic,6.52311,hypertrophic,6.8306,hypertrophic,5.93828,hypertrophic,7.30467,prehypertrophic,8.001,prehypertrophic,8.61534,prehypertrophic,5.76736,prehypertrophic,4.0,7.0,8.61534,-0.67978,0.05833,-0.36602,0.55008,0.2087,1.0,-0.25466,0.89326,0,-0.51244,ENSG00000124813,1.33078,0.07312,0.55377,3e-05,0.36591,0.0,gene_drives_maturation,delays,"inhibit (delay hypertrophic transition, prolong growth window)",0.0,ENSG00000124813,RUNX2,protein_coding,,SM:Structure with Ligand; PR:UniProt Ubiquitination; PR:Database Ubiquitination,True,False,False,1258.0,-0.2163,0.056,0.0,,140.0,abnormal bone marrow cavity morphology; abnormal bone mineralization; abnormal bone ossification; abnormal bone structure; abnormal cartilage development; abnormal cartilage morphology; abnormal chondrocyte morphology; abnormal craniofacial bone morphology; abnormal hyoid bone morphology; abnormal interparietal bone morphology,,0.0,1.0,0.0,12808.0,1171.0,0.09143,0.0,,False,False,True,True,small-molecule pocket,0.8,1.0,0.0,False,0.0,0.0,,False,False,False,ANTISENSE OLIGONUCLEOTIDES,True,0.0,0.0,0.0,0.0,False,0.0,0.0,False,,False,True,4.27046,0.0,4.27046,1171.0
Epha2,A_secondary_validated,True,True,-0.07868,-1.4306,-0.10555,-0.47892,1.4306,1.0,0.17394,False,True,KO_blocks_maturation,-1.0,EPHA2,True,ortholog_one2one,0.52349,0.38206,0.21797,0.18151,-2.8545,hypertrophic,True,False,0.77112,hypertrophic,0.68723,resting,0.40017,True,False,,,,False,0.12449,0.11999,0.1752,0.04354,-0.0952,0.40528,resting,5.08017,prehypertrophic,3.58765,hypertrophic,3.61408,resting,6.33165,resting,4.91751,hypertrophic,5.59845,hypertrophic,7.84039,hypertrophic,3.0,7.0,7.84039,0.08272,0.96396,0.24562,0.79623,1.27312,1.0,0.25851,0.89018,0,0.2872,ENSG00000142627,1.19503,0.09245,0.0,0.03241,0.34348,0.0,gene_drives_maturation,delays,"inhibit (delay hypertrophic transition, prolong growth window)",0.0,ENSG00000142627,EPHA2,protein_coding,Enzyme; Kinase; Protein Kinase; TK protein kinase group; Tyrosine protein kinase Eph family,SM:Approved Drug; SM:Structure with Ligand; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Druggable Family; AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt SigP or TMHMM; AB:Human Protein Atlas loc; PR:Literature; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,True,False,1258.0,0.0588,0.001,1.0,regulation of catalytic activity,17.0,,CHEMBL2068,2.0,25.0,4.0,1742.0,2.0,0.00115,0.0,,False,False,True,True,enzyme; kinase,1.0,27.0,12.0,True,2.0,4.0,,True,True,False,REGORAFENIB,True,0.63333,0.7,0.0,0.62143,False,0.0,0.0,True,available compounds carry black-box warnings,False,False,4.83656,0.62143,4.21513,2.0
