family,gene,mouse_symbol,epmc_geometry_records,epmc_axial_records,stage61_records,stage61_best_class,mgi_n_skeletal,mgi_skeletal_terms,mgi_pmids,ko_shorter,ko_longer,ko_disorganised,ko_lethal,gof_terms,affects_column,affects_proliferation,affects_matrix,affects_hypertrophic_zone,ensembl_id,pLI,loeuf,tractability,skeletal_disease,systemic_liability,intact_tissue_evidence,intact_tissue_zone,spatial_class,loss_of_function_shortens,geometry_class,classification_basis
A cortical tension,CDC42,Cdc42,816,53,0,,1,abnormal actin cytoskeleton morphology,10898977,,,,,,False,False,False,False,ENSG00000070831,0.9997982852574508,0.2278310196234264,AB:GO CC high conf; AB:UniProt loc high conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; SM:Druggable Family; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Structure with Ligand,,Abnormality of the immune system; Neurodevelopmental abnormality; neurodegenerative disease; neurodevelopmental disorder,NO_SPATIAL_EVIDENCE,,,False,UNKNOWN,no direct geometry phenotype and no length phenotype recorded
A cortical tension,CFL1,Cfl1,66,4,0,,0,,,,,,,,False,False,False,False,ENSG00000172757,0.9933900760119034,0.3866698092670393,AB:GO CC med conf; AB:Human Protein Atlas loc; AB:UniProt loc high conf; PR:Database Ubiquitination; PR:Half-life Data; PR:UniProt Ubiquitination; SM:Structure with Ligand,Abnormality of the skeletal system,basal cell carcinoma; breast cancer; breast carcinoma; cancer; colorectal carcinoma; gastric cancer; hepatocellular carcinoma; neoplasm; neuroblastoma; neurodegenerative disease; urinary bladder cance,NO_SPATIAL_EVIDENCE,,,False,UNKNOWN,no direct geometry phenotype and no length phenotype recorded
A cortical tension,LIMK1,Limk1,81,7,0,,1,abnormal actin cytoskeleton morphology,12123613,,,,,,False,False,False,False,ENSG00000106683,0.999995525475881,0.3895611423665725,PR:Database Ubiquitination; PR:Half-life Data; PR:Literature; PR:Small Molecule Binder; PR:UniProt Ubiquitination; SM:Druggable Family; SM:High-Quality Ligand; SM:Structure with Ligand,,breast cancer; breast carcinoma; colonic neoplasm; colorectal carcinoma; gastric cancer; hepatocellular carcinoma; lung adenocarcinoma; neoplasm; neurodegenerative disease,NO_SPATIAL_EVIDENCE,,,False,UNKNOWN,no direct geometry phenotype and no length phenotype recorded
A cortical tension,LIMK2,Limk2,49,6,0,,1,long tibia,,,,,,,False,False,False,False,ENSG00000182541,0.0030024477598716835,0.6127460676235502,PR:Database Ubiquitination; PR:Half-life Data; PR:Literature; PR:Small Molecule Binder; SM:Druggable Family; SM:High-Quality Ligand; SM:Structure with Ligand,,autoimmune disorder of central nervous system; breast cancer; cancer; colorectal carcinoma; hereditary neurocutaneous angioma; hypertensive disorder; neoplasm; oral cavity neoplasm; retinitis pigmento,NO_SPATIAL_EVIDENCE,,,False,UNKNOWN,no direct geometry phenotype and no length phenotype recorded
A cortical tension,MYH10,Myh10,89,6,0,,1,abnormal birth body size,9356462,,,,,,False,False,False,False,ENSG00000133026,1.0,0.2671098485632929,AB:GO CC med conf; AB:UniProt loc high conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,,MYH10-related neurodevelopmental disorder with congenital anomalies; complex neurodevelopmental disorder with or without congenital anomalies; neurodegenerative disease; neurodevelopmental disorder,NO_SPATIAL_EVIDENCE,,,False,UNKNOWN,no direct geometry phenotype and no length phenotype recorded
A cortical tension,MYH9,Myh9,252,11,0,,1,abnormal actin cytoskeleton morphology,20679233,,,,,,False,False,False,False,ENSG00000100345,1.0,0.16345123409118475,AB:GO CC high conf; AB:UniProt loc high conf; AB:UniProt loc med conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; PR:UniProt Ubiquitination,,bile duct carcinoma; cancer; carcinoma of liver and intrahepatic biliary tract; colorectal adenocarcinoma; gastric carcinoma; lung carcinoma; neurodegenerative disease; skin basal cell carcinoma,NO_SPATIAL_EVIDENCE,,NO_SPATIAL_EVIDENCE,False,UNKNOWN,no direct geometry phenotype and no length phenotype recorded
A cortical tension,MYLK,Mylk,259,16,0,,0,,,,,,,,False,False,False,False,ENSG00000065534,2.1126069533986446e-13,0.6122712339871733,AB:GO CC high conf; PR:Half-life Data; PR:Small Molecule Binder; SM:Druggable Family; SM:High-Quality Ligand,,autoimmune disorder of central nervous system; inherited retinal dystrophy; neurodegenerative disease,NO_SPATIAL_EVIDENCE,,,False,UNKNOWN,no direct geometry phenotype and no length phenotype recorded
A cortical tension,RAC1,Rac1,1733,173,0,,0,,,,,,,,False,False,False,False,ENSG00000136238,0.999923775134091,0.2495357935799439,AB:GO CC high conf; AB:UniProt loc high conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; PR:UniProt Ubiquitination; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Structure with Ligand,Abnormality of the skeletal system,bile duct carcinoma; cancer; carcinoma of liver and intrahepatic biliary tract; endometrial endometrioid adenocarcinoma; head and neck squamous cell carcinoma; neurodegenerative disease; neurodevelopm,NO_SPATIAL_EVIDENCE,,,False,UNKNOWN,no direct geometry phenotype and no length phenotype recorded
A cortical tension,RHOA,Rhoa,1850,186,0,,0,,,,,,,,False,False,False,False,ENSG00000067560,0.9880577925749423,0.44194410956366603,AB:GO CC high conf; AB:Human Protein Atlas loc; AB:UniProt loc med conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; PR:UniProt Ubiquitination; SM:High-Quality Ligand; SM:Structure with Ligand,"ectodermal dysplasia with facial dysmorphism and acral, ocular, and brain anomalies",angioimmunoblastic T-cell lymphoma; carcinoma of liver and intrahepatic biliary tract; diffuse gastric adenocarcinoma; gastric adenocarcinoma; gastric carcinoma; gastric intestinal type adenocarcinoma,NO_SPATIAL_EVIDENCE,,,False,UNKNOWN,no direct geometry phenotype and no length phenotype recorded
A cortical tension,ROCK1,Rock1,312,26,0,,0,,,,,,,,False,False,False,False,ENSG00000067900,1.0,0.241537963099417,AB:GO CC high conf; AB:UniProt loc high conf; AB:UniProt loc med conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; SM:Approved Drug; SM:Druggable Family; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Structure with Ligand,osteosarcoma,breast carcinoma; cardiovascular disorder; hepatocellular carcinoma; immune system disorder; male reproductive organ cancer; neurodegenerative disease; non-small cell lung carcinoma; ocular hypertensi,NO_SPATIAL_EVIDENCE,,,False,UNKNOWN,no direct geometry phenotype and no length phenotype recorded
A cortical tension,ROCK2,Rock2,186,16,0,,3,abnormal actin cytoskeleton morphology; decreased body size,12832488; 18718479; 19456252,decreased body size,,,,,False,False,False,False,ENSG00000134318,0.9999999996722783,0.3870391983793986,AB:GO CC med conf; AB:UniProt loc med conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; SM:Approved Drug; SM:Druggable Family; SM:High-Quality Ligand; SM:Structure with Ligand,,Non-immune hydrops fetalis; basal cell carcinoma; cardiovascular disorder; hepatocellular carcinoma; immune system disorder; macular retinal edema; neurodegenerative disease; ocular hypertension; reti,NO_SPATIAL_EVIDENCE,,,True,UNKNOWN,"loss of function shortens bone (decreased body size); reducing it is the wrong direction, but no axial measurement exists so the term of the geometry that is lost cannot be named"
B adhesion and matrix coupling,CDH2,Cdh2,661,40,0,,0,,,,,,,,False,False,False,False,ENSG00000170558,0.9999999999748946,0.2770985627912141,AB:GO CC high conf; AB:Human Protein Atlas loc; AB:UniProt SigP or TMHMM; AB:UniProt loc high conf; AB:UniProt loc med conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,"arrhythmogenic right ventricular dysplasia, familial, 14; familial isolated arrhythmogenic ventricular dysplasia, right dominant form",auditory neuropathy; breast carcinoma; cervical carcinoma; neurodegenerative disease,NO_SPATIAL_EVIDENCE,,,False,UNKNOWN,no direct geometry phenotype and no length phenotype recorded
B adhesion and matrix coupling,ILK,Ilk,314,22,0,,1,decreased birth body size,19829382,,,,,,False,False,False,False,ENSG00000166333,3.3859583120359745e-08,0.841838026011127,AB:GO CC med conf; AB:UniProt loc high conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; SM:Druggable Family; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Structure with Ligand,,Abnormality of the cardiovascular system; breast cancer; breast carcinoma; cancer; colorectal carcinoma; dilated cardiomyopathy; esophageal squamous cell carcinoma; familial hypertrophic cardiomyopath,NO_SPATIAL_EVIDENCE,,,False,UNKNOWN,no direct geometry phenotype and no length phenotype recorded
B adhesion and matrix coupling,ITGA10,Itga10,70,5,0,,5,abnormal cartilage development; abnormal long bone epiphyseal plate morphology; decreased width of hypertrophic chondrocyte zone; short femur; short tibia,15713743,short tibia,,abnormal cartilage,,,True,False,True,True,ENSG00000143127,1.6748641660900422e-25,0.8507348796142272,AB:GO CC high conf; AB:UniProt SigP or TMHMM,"Acromesomelic dysplasia, Grebe type; brachydactyly type A1; brachydactyly type A2; brachydactyly type B2; familial digital arthropathy-brachydactyly; metaphyseal anadysplasia; multiple epiphyseal dysp",neurodegenerative disease,NO_SPATIAL_EVIDENCE,,,True,COLUMN_ALIGNMENT_SUPPORT,"MGI records a column-organisation phenotype; relevant to alignment, silent on axial cell height"
B adhesion and matrix coupling,ITGA5,Itga5,271,17,0,,0,,,,,,,,False,False,False,False,ENSG00000161638,0.9924013980624917,0.47060248403491434,AB:Advanced Clinical; AB:GO CC high conf; AB:UniProt SigP or TMHMM; AB:UniProt loc high conf; OC:Advanced Clinical; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; SM:Druggable Family; SM:High-Quality Ligand,,breast cancer; breast carcinoma; central nervous system cancer; cervical cancer; cervical carcinoma; clear cell renal carcinoma; colorectal carcinoma; gastric cancer; head and neck squamous cell carci,NO_SPATIAL_EVIDENCE,,,False,UNKNOWN,no direct geometry phenotype and no length phenotype recorded
B adhesion and matrix coupling,ITGB1,Itgb1,432,25,0,,8,abnormal craniofacial morphology; abnormal limb morphology; abnormal skeletal muscle morphology; decreased body length; decreased skeletal muscle fiber number; decreased skeletal muscle mass,11980921; 12620989; 9553049,decreased body length,,,,,False,False,False,False,ENSG00000150093,0.9999979167315394,0.39004304171970877,AB:Advanced Clinical; AB:GO CC high conf; AB:Human Protein Atlas loc; AB:UniProt SigP or TMHMM; AB:UniProt loc high conf; AB:UniProt loc med conf; OC:Advanced Clinical; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; PR:UniProt Ubiquitination; SM:Advanced Clinical; SM:Druggable Family; SM:High-Quality Ligand; SM:Structure with Ligand,musculoskeletal system disorder,breast cancer; breast carcinoma; colorectal cancer; gastric cancer; hepatocellular carcinoma; neoplasm; non-small cell lung carcinoma; ovarian carcinoma,LEVEL_D,,UNRESOLVED,True,UNKNOWN,"loss of function shortens bone (decreased body length); reducing it is the wrong direction, but no axial measurement exists so the term of the geometry that is lost cannot be named"
B adhesion and matrix coupling,PTK2,Ptk2,186,19,0,,2,abnormal limb development; decreased body size,19776009; 20442405,decreased body size,,,,,False,False,False,False,ENSG00000169398,0.9999999944781985,0.3844846007951492,AB:GO CC med conf; AB:UniProt loc med conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Literature; PR:Small Molecule Binder; PR:UniProt Ubiquitination; SM:Advanced Clinical; SM:Druggable Family; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Structure with Ligand,Abnormality of the skeletal system,hypertensive disorder; neurodegenerative disease; non-small cell lung carcinoma,NO_SPATIAL_EVIDENCE,,,True,UNKNOWN,"loss of function shortens bone (decreased body size); reducing it is the wrong direction, but no axial measurement exists so the term of the geometry that is lost cannot be named"
B adhesion and matrix coupling,PTK2B,Ptk2b,45,1,0,,0,,,,,,,,False,False,False,False,ENSG00000120899,7.263402388135249e-08,0.6051744812854586,AB:GO CC med conf; AB:Human Protein Atlas loc; AB:UniProt loc med conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Literature; PR:Small Molecule Binder; SM:Advanced Clinical; SM:Druggable Family; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Structure with Ligand,,autoimmune disorder of central nervous system; breast cancer; breast carcinoma; cancer; central nervous system cancer; hepatocellular carcinoma; neoplasm; non-small cell lung carcinoma; ovarian cancer,NO_SPATIAL_EVIDENCE,,,False,UNKNOWN,no direct geometry phenotype and no length phenotype recorded
B adhesion and matrix coupling,PXN,Pxn,75,12,0,,0,,,,,,,,False,False,False,False,ENSG00000089159,4.644704275433477e-11,0.7286356929036724,AB:GO CC high conf; PR:Database Ubiquitination; PR:Half-life Data; SM:Structure with Ligand,Abnormality of the skeletal system,breast cancer; breast carcinoma; cancer; central nervous system cancer; colorectal carcinoma; gastric cancer; hepatocellular carcinoma; hypertrophic cardiomyopathy; neoplasm; ovarian cancer; ovarian c,NO_SPATIAL_EVIDENCE,,,False,UNKNOWN,no direct geometry phenotype and no length phenotype recorded
