perturbation,perturbation_type,system,evidence_source,n_geo_series,geo_accessions,n_pubmed_cartilage,pubmed_pmids,best_system,best_system_n,systems_with_any_record,observation_source_derived,transfer_status,readout,n_pubmed_readout,inference
sotrastaurin,compound,any cartilage system,GEO + PubMed,0.0,,3,38827404; 37662374; 32652826,,0.0,none,0 GEO series and 3 PubMed records place this compound in a cartilage system,evidence present,,,
GF109203X,compound,any cartilage system,GEO + PubMed,0.0,,9,27606614; 26970286; 23956041; 23764399; 17620283; 17145761,RCS chondrocytes,1.0,RCS chondrocytes=1; cartilage organ culture=1,0 GEO series and 9 PubMed records place this compound in a cartilage system,evidence present,,,
calphostin C,compound,any cartilage system,GEO + PubMed,0.0,,9,18034874; 16798739; 16431170; 10903877; 10886036; 10618645,,0.0,none,0 GEO series and 9 PubMed records place this compound in a cartilage system,evidence present,,,
Go 6976,compound,any cartilage system,GEO + PubMed,0.0,,6,27606614; 23427856; 18034874; 16798739; 15383323; 15302580,primary growth-plate chondrocytes,1.0,primary growth-plate chondrocytes=1,0 GEO series and 6 PubMed records place this compound in a cartilage system,evidence present,,,
enzastaurin,compound,any cartilage system,GEO + PubMed,0.0,,1,23922104,,0.0,none,0 GEO series and 1 PubMed records place this compound in a cartilage system,evidence present,,,
laduviglusib (CHIR-99021),compound,any cartilage system,GEO + PubMed,16.0,GSE292212; GSE222109; GSE278072; GSE175809; GSE272495; GSE218830,15,41236707; 39229572; 38560255; 38494072; 36370958; 33195222,human iPSC-derived chondrocytes,2.0,primary growth-plate chondrocytes=1; ATDC5=1; human iPSC-derived chondrocytes=2; cartilage organ culture=2,16 GEO series and 15 PubMed records place this compound in a cartilage system,evidence present,,,
tideglusib,compound,any cartilage system,GEO + PubMed,0.0,,0,,,0.0,none,0 GEO series and 0 PubMed records place this compound in a cartilage system,NO_CHONDROCYTE_TRANSFER_EVIDENCE,,,
bisindolylmaleimide V,compound,any cartilage system,GEO + PubMed,0.0,,0,,,0.0,none,0 GEO series and 0 PubMed records place this compound in a cartilage system,NO_CHONDROCYTE_TRANSFER_EVIDENCE,,,
linagliptin,compound,any cartilage system,GEO + PubMed,0.0,,2,35081865; 31733186,ATDC5,1.0,ATDC5=1,0 GEO series and 2 PubMed records place this compound in a cartilage system,evidence present,,,
niclosamide,compound,any cartilage system,GEO + PubMed,0.0,,2,32922758; 32010892,,0.0,none,0 GEO series and 2 PubMed records place this compound in a cartilage system,evidence present,,,
PRKCA,target (genetic or pathway),any cartilage system,PubMed,,,64,40598380; 38581988; 33140671; 28050122,,,,13 PubMed records link PRKCA in cartilage to 'EdU/BrdU or cell-cycle output',evidence present,EdU/BrdU or cell-cycle output,13.0,
PRKCA,target (genetic or pathway),any cartilage system,PubMed,,,64,15975921,,,,1 PubMed records link PRKCA in cartilage to 'SOX9',evidence present,SOX9,1.0,
PRKCA,target (genetic or pathway),any cartilage system,PubMed,,,64,33778274; 29319178; 20077126,,,,3 PubMed records link PRKCA in cartilage to 'COL2A1/ACAN',evidence present,COL2A1/ACAN,3.0,
PRKCA,target (genetic or pathway),any cartilage system,PubMed,,,64,12631114,,,,1 PubMed records link PRKCA in cartilage to 'IHH/PTHLH',evidence present,IHH/PTHLH,1.0,
PRKCA,target (genetic or pathway),any cartilage system,PubMed,,,64,,,,,0 PubMed records link PRKCA in cartilage to 'COL10A1',NO_CHONDROCYTE_TRANSFER_EVIDENCE,COL10A1,0.0,
PRKCA,target (genetic or pathway),any cartilage system,PubMed,,,64,22399299,,,,1 PubMed records link PRKCA in cartilage to 'terminal hypertrophic-cell size',evidence present,terminal hypertrophic-cell size,1.0,
PRKCA,target (genetic or pathway),any cartilage system,PubMed,,,64,40104642; 24570835; 22532149; 22399299,,,,12 PubMed records link PRKCA in cartilage to 'apoptosis',evidence present,apoptosis,12.0,
PRKCA,target (genetic or pathway),any cartilage system,PubMed,,,64,33140671; 22399299; 15368540; 10385391,,,,6 PubMed records link PRKCA in cartilage to 'mineralization',evidence present,mineralization,6.0,
PRKCA,target (genetic or pathway),any cartilage system,PubMed,,,64,12952186,,,,1 PubMed records link PRKCA in cartilage to 'bone-length gain',evidence present,bone-length gain,1.0,
PRKCB,target (genetic or pathway),any cartilage system,PubMed,,,3,31678455,,,,1 PubMed records link PRKCB in cartilage to 'EdU/BrdU or cell-cycle output',evidence present,EdU/BrdU or cell-cycle output,1.0,
PRKCB,target (genetic or pathway),any cartilage system,PubMed,,,3,,,,,0 PubMed records link PRKCB in cartilage to 'SOX9',NO_CHONDROCYTE_TRANSFER_EVIDENCE,SOX9,0.0,
PRKCB,target (genetic or pathway),any cartilage system,PubMed,,,3,,,,,0 PubMed records link PRKCB in cartilage to 'COL2A1/ACAN',NO_CHONDROCYTE_TRANSFER_EVIDENCE,COL2A1/ACAN,0.0,
PRKCB,target (genetic or pathway),any cartilage system,PubMed,,,3,,,,,0 PubMed records link PRKCB in cartilage to 'IHH/PTHLH',NO_CHONDROCYTE_TRANSFER_EVIDENCE,IHH/PTHLH,0.0,
PRKCB,target (genetic or pathway),any cartilage system,PubMed,,,3,,,,,0 PubMed records link PRKCB in cartilage to 'COL10A1',NO_CHONDROCYTE_TRANSFER_EVIDENCE,COL10A1,0.0,
PRKCB,target (genetic or pathway),any cartilage system,PubMed,,,3,,,,,0 PubMed records link PRKCB in cartilage to 'terminal hypertrophic-cell size',NO_CHONDROCYTE_TRANSFER_EVIDENCE,terminal hypertrophic-cell size,0.0,
PRKCB,target (genetic or pathway),any cartilage system,PubMed,,,3,,,,,0 PubMed records link PRKCB in cartilage to 'apoptosis',NO_CHONDROCYTE_TRANSFER_EVIDENCE,apoptosis,0.0,
PRKCB,target (genetic or pathway),any cartilage system,PubMed,,,3,15368540,,,,1 PubMed records link PRKCB in cartilage to 'mineralization',evidence present,mineralization,1.0,
PRKCB,target (genetic or pathway),any cartilage system,PubMed,,,3,,,,,0 PubMed records link PRKCB in cartilage to 'bone-length gain',NO_CHONDROCYTE_TRANSFER_EVIDENCE,bone-length gain,0.0,
PRKCD,target (genetic or pathway),any cartilage system,PubMed,,,33,32564456; 27606614; 23951014; 23320110,,,,8 PubMed records link PRKCD in cartilage to 'EdU/BrdU or cell-cycle output',evidence present,EdU/BrdU or cell-cycle output,8.0,
PRKCD,target (genetic or pathway),any cartilage system,PubMed,,,33,25655021; 20850497,,,,2 PubMed records link PRKCD in cartilage to 'SOX9',evidence present,SOX9,2.0,
PRKCD,target (genetic or pathway),any cartilage system,PubMed,,,33,22488450,,,,1 PubMed records link PRKCD in cartilage to 'COL2A1/ACAN',evidence present,COL2A1/ACAN,1.0,
