active_ingredient,nct_id,title,status,phase,conditions,min_age,max_age,paediatric,primary_outcomes,secondary_outcomes,growth_outcome_measured,growth_outcome_is_primary
IDURSULFASE,NCT02455622,Long-term Evaluation on Height and Weight in Patients With MPS II Who Started Treatment at < 6 Years of Age,COMPLETED,PHASE4,Hunter Syndrome,,5 Years,False,Height Overall; Weight Overall; Change From Baseline in Height Measured by Z-score; Change From Baseline in Weight Measured by Z-score; Number of Participants With Clinical Significant Abnormal Neurological Examination; Number of Participants With Treatment-emergent Adverse Events (TEAE); Number of ,Observed Value of Height Velocity From Baseline to End of Study; Observed Value of Weight Velocity From Baseline to End of Study; Percent Change From Baseline for Urinary Glycosaminoglycans (uGAG) Levels Normalized to Urine Creatinine; Normalized uGAG Divided by Upper Llimit of Normal for Age (uGAG/,True,True
IDURSULFASE,NCT01506141,An Extension Study of HGT-HIT-045 Evaluating Long-Term Safety and Clinical Outcomes of Idursulfase-IT in Conjunction With Elaprase in Pediatric Participants Wit,COMPLETED,PHASE1; PHASE2,Hunter Syndrome,3 Years,18 Years,True,Number of Participants With Treatment-emergent Adverse Events (TEAEs); Number of Participants With Clinically Significant Changes or Apparent Difference Across Treatment Groups in Laboratory Parameters; Number of Participants With Clinically Significant Changes or Apparent Difference Across Treatmen,Area Under the Curve Extrapolated to Infinity (AUC0-infinity) of Idursulfase Administered as Intrathecal and in Conjunction With Elaprase; Area Under the Curve From the Time of Dosing to the Last Measureable Concentration (AUC0-t) of Idursulfase Administered as Intrathecal and in Conjunction With El,False,False
IDURSULFASE,NCT06031259,Extension Study of Idursulfase-IT Along With Elaprase in Children and Adults With Hunter Syndrome and Cognitive Impairment,ACTIVE_NOT_RECRUITING,PHASE2; PHASE3,Hunter Syndrome,3 Years,19 Years,True,Number of Participants with Adverse Events (AEs) by Type and Severity; Number of Participants with AEs Related to Idursulfase-IT; Number of Participants with AEs Related to the IDDD; Number of Participants with AEs Related to Device Surgical Procedure; Number of Participants with AEs Related to IT A,,False,False
IDURSULFASE,NCT05371613,A Study to Determine the Efficacy and Safety of Tividenofusp Alfa (DNL310) vs Idursulfase in Pediatric and Young Adult Participants With Neuronopathic (nMPS II),RECRUITING,PHASE2; PHASE3,Mucopolysaccharidosis II,2 Years,25 Years,True,"Percent change from baseline in cerebrospinal fluid (CSF) heparan sulfate (HS) concentration (Cohort A); Change from baseline in the Vineland Adaptive Behavior Scale, Third Edition (Vineland-3)(Cohort A)","Change from baseline in the Bayley Scales of Infant and Toddler Development, Third Edition (BSID-III)(Cohort A only); Change from baseline in the Vineland-3 Adaptive Behavior Composite (ABC; Cohort A only); Change from baseline in serum neurofilament light chain (NfL) (Cohort A only); Change from ba",False,False
IDURSULFASE,NCT00630747,Extension of Study TKT024 Evaluating Long-Term Safety and Clinical Outcomes in MPS II Patients Receiving Idursulfase,COMPLETED,PHASE2; PHASE3,Hunter Syndrome; Mucopolysaccharidosis II (MPS II),5 Years,,True,Change From Baseline in Mean Percent Predicted Forced Vital Capacity (FVC) at Week 105; Change From Baseline in Mean Distance Walked in the 6-minute Walk Test (6MWT) at Week 105,Change From Baseline in Mean Passive Joint Range of Motion (JROM) at Week 105; Change From Baseline in Mean Combined Liver and Spleen Volume at Week 105; Change From Baseline in Mean Normalized Urine Glycosaminoglycans (GAG) Levels at Week 105; Change From Baseline in Mean Cardiac Left Ventricular M,False,False
IDURSULFASE,NCT00920647,A Safety and Dose Ranging Study of Idursulfase (Intrathecal) Administration Via an Intrathecal Drug Delivery Device in Pediatric Patients With Hunter Syndrome W,COMPLETED,PHASE1; PHASE2,Hunter Syndrome,3 Years,18 Years,True,Number of Serious Adverse Event (SAE); Number of Treatment Emergent Adverse Event (AE); Safety Changes in Cerebrospinal Fluid (CSF)- White Blood Cells (WBC); Safety: Development of Anti-idursulfase Antibodies (CSF); Safety: Development of Anti-idursulfase Antibodies (Serum); Clinically Significant E,Change From Baseline in CSF Glycosaminoglycans [GAGs] at Week 27; Level of Idursulfase in the CSF Compartment Resulting From Monthly Idursulfase IT Administrations; Concentration of Idursulfase in Serum After Single Administration (Week 3) in Conjunction With Elaprase; Concentration of Idursulfase i,False,False
IDURSULFASE,NCT00882921,An Observational Study Evaluating Anti-Idursulfase Serum Antibody Response in Hunter Syndrome Patients,COMPLETED,,Hunter Syndrome,5 Years,,True,Infusion-Related Adverse Event (IRAE) Rates Between IgG Anti-idursulfase Antibody Positive (Ab+) and Anti-idursulfase IgG Antibody Negative (Ab-) Patients,Change From Baseline in uGAG Levels to 109 Weeks,False,False
IDURSULFASE,NCT05058391,A Study of Elaprase in Children and Adults With Hunter Syndrome (Mucopolysaccharidosis II) in India,COMPLETED,PHASE4,Hunter Syndrome,,,False,"Number of Participants With Treatment Emergent Adverse Events (TEAEs), Serious TEAEs, Discontinuation Due to TEAEs and Death; Number of Participants With Adverse Drug Reactions (ADRs); Number of Participants With Infusion-related Reactions (IRRs)",Change From Baseline in Percentage Forced Vital Capacity (%FVC) at Weeks 27 and 53; Change From Baseline in 6 Minute Walk Test (6MWT) at Weeks 27 and 53; Change From Baseline in Cardiac Left Ventricular Mass Index (LVMI) at Weeks 27 and 53; Change From Baseline in Left Ventricular Ejection Fraction ,True,False
IDURSULFASE,NCT02663024,Study of Idursulfase-beta (GC1111) in Hunter Syndrome,UNKNOWN,PHASE2,Mucopolysaccharidosis II,5 Years,35 Years,True,Percent change from baseline in urinary GAG(Glycosaminoglycans) at Week 25,Change from baseline in urinary GAG at Week 25; Change from baseline in Six Minute Walk Test at Week 25; Percent change from baseline in Six Minute Walk Test at Week 25; Change from baseline in Liver volume at Week 25; Percent change from baseline in Liver volume at Week 25; Change from baseline in ,False,False
TEDUGLUTIDE,NCT07400783,TED_ORG: Study on Short Bowel Syndrome,RECRUITING,NA,Short Bowel Syndrome (SBS),4 Months,17 Years,True,Intestinal organoid diameter after in vitro exposure to teduglutide; Crypt-villus-like architecture in intestinal organoids; Organoid shape (sphericity) after in vitro teduglutide treatment; Lumen size in intestinal organoids after in vitro exposure to teduglutide; Intestinal organoid volume after i,,False,False
TEDUGLUTIDE,NCT05027308,A Study of Teduglutide in Japanese Children With Short Bowel Syndrome Aged 4 Months or Older,COMPLETED,PHASE3,Short Bowel Syndrome,4 Months,,True,Number of Participants With Treatment-emergent Adverse Events (TEAEs); Number of Participants With Serious Adverse Events (SAEs); Number of Participants With Adverse Events of Special Interest (AESIs); Number of Participants With Clinically Significant Abnormalities in Vital Signs Reported as an Adv,Change From Baseline in PS Volume; Percent Change From Baseline in PS Volume; Number of Participants Who Demonstrate at Least 20 Percent (%) Reduction From Baseline in PS Volume; Number of Participants Who Achieved Enteral Autonomy; Change From Baseline in Number of Days Per Week of PS Usage at EOT,True,True
TEDUGLUTIDE,NCT02682381,Short Bowel Syndrome Research Study for Children Up To 17 Years of Age on Parenteral Nutrition,COMPLETED,PHASE3,Short Bowel Syndrome,0 Years,17 Years,True,Number of Participants Who Achieved at Least a 20 Percent (%) Reduction in Weight-Normalized Average Daily Parenteral Nutrition Intravenous (PN/IV) Volume at Week 24,Number of Participants With Treatment-emergent Adverse Events (TEAEs); Number of Participants Who Were Completely Weaned Off Parenteral Nutrition Intravenous (PN/IV) Support at Week 24; Change From Baseline in Parenteral Nutrition Intravenous (PN/IV) Volume at Week 24; Change From Baseline in Parent,True,False
TEDUGLUTIDE,NCT03663582,Study of Teduglutide in Japanese Participants With Short Bowel Syndrome,COMPLETED,PHASE3,Short Bowel Syndrome,16 Years,,True,Change From Baseline in Weekly Parenteral Support (PS) Volume at End of Treatment/Early Termination (EOT/ET); Percent Change From Baseline in Weekly Parenteral Support (PS) Volume at End of Treatment/Early Termination (EOT/ET); Percentage of Participants Who Achieved at Least 20 Percent (%) Reductio,,False,False
TEDUGLUTIDE,NCT04832087,Pediatric Teduglutide Registry,COMPLETED,,Short Bowel Syndrome,1 Year,,True,Percent change in calories from parenteral support (PS) (Kcal/kg/day),Percent change of (PS) volume (liters/week); Percent change of PS infusions (number of days/week ); Proportion of subjects completely weaned from PS; Adverse Events; Weight-for-age Z-score (WAZ); Height-for-age-Z-score (HAZ); Body-Mass-Index Z-score (BMIZ),True,False
TEDUGLUTIDE,NCT01952080,"A Pharmacokinetic, Safety, and Pharmacodynamic Study of Teduglutide in Pediatric Subjects With Short Bowel Syndrome",COMPLETED,PHASE3,Short Bowel Syndrome,1 Year,17 Years,True,Percent Change in Parenteral Support [Parenteral Nutrition (PN)/Intravenous (IV)] Volume at Week 12; Percent Change in Parenteral Support (PN/IV) Volume at End of Treatment; Percent Change in Parenteral Support (PN/IV) Volume at Week 16; Absolute Change in Parenteral Support (PN/IV) Volume at Week 1,,False,False
TEDUGLUTIDE,NCT03596164,An Extension Study of Teduglutide in Japanese Participants With Short Bowel Syndrome Who Completed 24 Weeks of Treatment in SHP633-306 or TED-C14-004,COMPLETED,PHASE3,Short Bowel Syndrome,16 Years,,True,Number of Participants Who Demonstrated at Least 20 Percent (%) Reduction From Baseline in Weekly Parenteral Support (PS) Volume; Change From Baseline in Weekly PS Volume; Percent Change From Baseline in Weekly PS Volume; Number of Participants Who Were Completely Weaned Off PS at End of Study (EOS),,False,False
TEDUGLUTIDE,NCT03716115,Therapeutic Approaches to Malnutrition Enteropathy,COMPLETED,PHASE2,Severe Acute Malnutrition,6 Months,59 Months,True,Composite measure of concentration of three faecal inflammatory markers,Lactulose:rhamnose ratio; Plasma lipopolysaccharide (LPS); Plasma biomarker lipopolysaccharide binding protein (LBP); Plasma fatty acid binding protein (FABP); Plasma soluble CD14; Plasma CD163; Plasma CRP; Plasma albumin; Mortality; Adverse events; Change in weight and length; Days with diarrhoea; ,True,False
TEDUGLUTIDE,NCT02949362,Long-term Study of Teduglutide in Pediatric Subjects With Short Bowel Syndrome Who Completed the TED-C13-003 Study,COMPLETED,PHASE3,Short Bowel Syndrome,,,False,Number of Participants With Adverse Events (AEs) in Retrospective Observation Period; Change From Baseline in Height for Age Z-score up to Week 168 of Retrospective Observation Period; Change From Baseline in Body Weight for Age Z-score up to Week 168 of Retrospective Observation Period; Change From,Number of Participants Achieved At Least 20 Percent (%) Reduction in Parenteral Support (PS) Volume at 12 Weeks Interval up to Week 156 of Retrospective Observation Period; Change From Baseline in PS Volume at 12 Weeks Interval up to Week 156 of Retrospective Observation Period; Percent Change From ,True,True
TEDUGLUTIDE,NCT03562130,"Characterization of the Long-term Safety, Efficacy, and Pharmacodynamics Revestive® in the Management of Short Bowel Syndrome Pediatric Patients",COMPLETED,PHASE4,Short Bowel Syndrome,2 Years,18 Years,True,Decrease in parenteral nutrition: Parenteral Nutrition/Resting Energy Expenditure (PN/REE),"Ostomy output defined as stool balance testing, urine output and plasma citrulline; Change in days per week of Parenteral Nutrition (PN); Change in number of stool per day; Change in stools consistency (Bristol stool chart); Ingesta (calorimetric measure); Stool weight/24h; Percentage of lipid in st",False,False
TEDUGLUTIDE,NCT03571516,"Safety, Efficacy and Pharmacokinetic Study of Teduglutide in Infants 4 to 12 Months of Age With Short Bowel Syndrome",COMPLETED,PHASE3,Short Bowel Syndrome,4 Months,12 Months,True,Number of Participants Who Achieved At Least 20 Percent (%) Reduction From Baseline in Weight-normalized Parenteral Support (PS) Volume at End of Treatment/Early Termination (EOT/ET),"Plasma Concentration of Teduglutide at Nominal Time Points (Baseline at Pre-dose, and 1 Hour and 4 Hours Post-dose; 2 Hours Post-dose at Week 7); Number of Participants With Treatment-emergent Adverse Events (TEAEs); Change From Baseline in Body Weight Z-score at Week 24; Change From Baseline in Len",True,False
TEDUGLUTIDE,NCT02340819,"Study to Evaluate the Safety, Efficacy and Pharmacokinetics of Teduglutide in Japanese Subjects With PN-dependent Short Bowel Syndrome (SBS)",COMPLETED,PHASE3,Short Bowel Syndrome,16 Years,,True,Stage 2: Absolute Change From Baseline in Weekly Parenteral Support (PS) Volume at Week 24; Stage 2: Percent Change From Baseline in Weekly Parenteral Support (PS) Volume at Week 24; Stage 2: Percentage of Participants Who Demonstrate Response to Teduglutide at End of Stage 2; Stage 2: Absolute Chan,Area Under the Concentration-Time Curve From Time Zero to Infinity (AUC0-Inf) of Teduglutide in Plasma; Area Under the Concentration-Time Curve From Time Zero to the Last Time Point (AUC0-t) of Teduglutide in Plasma; Maximum Concentration (Cmax) of Teduglutide in Plasma; Time to Reach Maximum Observ,False,False
