human_gene,mouse_gene,in_CRISPR_CAUSAL,module,module_class,is_module_hub,height_gwas,human_zone,sc_state,blacklisted,compound,axis,link_role
ATP6V0C,Atp6v0c,False,,,,False,prehypertrophic,resting,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,direct target
ATP6V0A1,Atp6v0a1,False,,,,True,perichondrium,resting,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,direct target
ATP6V1A,Atp6v1a,False,M4,HYPERTROPHIC_PROGRAM,,False,prehypertrophic,prehypertrophic,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,direct target
ATP6AP1,Atp6ap1,False,M4,HYPERTROPHIC_PROGRAM,,False,proliferative,prehypertrophic,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,direct target
TCIRG1,Tcirg1,False,M4,HYPERTROPHIC_PROGRAM,,False,resting,proliferative,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,direct target
LAMTOR1,Lamtor1,False,M4,HYPERTROPHIC_PROGRAM,,True,hypertrophic,hypertrophic,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,downstream effector
LAMTOR2,Lamtor2,False,,,,True,proliferative,prehypertrophic,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,downstream effector
LAMTOR3,Lamtor3,False,,,,False,proliferative,resting,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,downstream effector
LAMTOR4,,False,,,,False,,,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,downstream effector
LAMTOR5,Lamtor5,False,,,,False,,,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,downstream effector
RRAGA,Rraga,False,,,,False,proliferative,prehypertrophic,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,downstream effector
RRAGB,Rragb,False,M10,PROLIFERATIVE_PROGRAM,,False,perichondrium,resting,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,downstream effector
RRAGC,Rragc,False,,,,False,hypertrophic,hypertrophic,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,downstream effector
RRAGD,Rragd,False,,,,False,hypertrophic,prehypertrophic,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,downstream effector
MTOR,Mtor,False,,,,True,proliferative,hypertrophic,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,downstream effector
RPTOR,Rptor,False,M7,GROWTH_SUSTAINING,M7,True,resting,hypertrophic,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,downstream effector
RPS6KB1,Rps6kb1,False,,,,True,hypertrophic,hypertrophic,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,downstream effector
RPS6,,False,,,,False,,,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,downstream effector
TSC1,Tsc1,False,,,,True,prehypertrophic,hypertrophic,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,downstream effector
TSC2,Tsc2,True,,,,True,prehypertrophic,proliferative,True,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,downstream effector
RHEB,Rheb,False,M1,,,True,proliferative,proliferative,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,downstream effector
SLC38A9,Slc38a9,False,,,,True,proliferative,hypertrophic,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,downstream effector
FLCN,Flcn,False,,,,False,hypertrophic,resting,False,bafilomycin A1,lysosomal V-ATPase -> Ragulator -> MTORC1,downstream effector
ATP6V0C,Atp6v0c,False,,,,False,prehypertrophic,resting,False,chloroquine,"lysosomal alkalinisation -> MTORC1 (same axis, different chemotype)",direct target
ATP6AP1,Atp6ap1,False,M4,HYPERTROPHIC_PROGRAM,,False,proliferative,prehypertrophic,False,chloroquine,"lysosomal alkalinisation -> MTORC1 (same axis, different chemotype)",direct target
MTOR,Mtor,False,,,,True,proliferative,hypertrophic,False,chloroquine,"lysosomal alkalinisation -> MTORC1 (same axis, different chemotype)",downstream effector
RPTOR,Rptor,False,M7,GROWTH_SUSTAINING,M7,True,resting,hypertrophic,False,chloroquine,"lysosomal alkalinisation -> MTORC1 (same axis, different chemotype)",downstream effector
RPS6,,False,,,,False,,,False,chloroquine,"lysosomal alkalinisation -> MTORC1 (same axis, different chemotype)",downstream effector
RPS6KB1,Rps6kb1,False,,,,True,hypertrophic,hypertrophic,False,chloroquine,"lysosomal alkalinisation -> MTORC1 (same axis, different chemotype)",downstream effector
