mouse_gene,human_target,source,compound,compound_id,direction,directionality,mechanism_of_action,direct_interaction,max_phase,approved,interaction_score,evidence_source,first_approval,molecule_type,black_box_warning,withdrawn,oral,parenteral,pchembl_best,potency_assay_type,potency_standard_type,compound_direction_class,desired_direction_for_target,direction_matches_desired,human_target_score
Eif4e2,EIF4E2,DGIdb,PACLITAXEL PROTEIN-BOUND,rxcui:486610,,,,,approved,True,0.4524101666092541,DGIdb: PharmGKB,,,,,,,,,,other/unknown,inhibitor,False,4.8152959775570245
Eif4e2,EIF4E2,DGIdb,CARBOPLATIN,rxcui:40048,,,,,approved,True,0.6014998806054855,DGIdb: PharmGKB,,,,,,,,,,other/unknown,inhibitor,False,4.8152959775570245
Cd200,CD200,ChEMBL,SAMALIZUMAB,CHEMBL1743067,INHIBITOR,,OX-2 membrane glycoprotein inhibitor,1.0,2.0,,,ChEMBL mechanism (CHEMBL3712870),,Antibody,0.0,False,False,False,,,,inhibitor,inhibitor,True,4.729670316890539
Cd200,CD200,DGIdb,SAMALIZUMAB,ncit:C77891,,,,,,False,52.93198949328273,DGIdb: TTD,,,,,,,,,,other/unknown,inhibitor,False,4.729670316890539
Cd200,CD200,DGIdb,SAMALIZUMAB,chembl:CHEMBL1743067,inhibitor,INHIBITORY,,,,False,26.46599474664136,DGIdb: ChEMBL,,,,,,,,,,inhibitor,inhibitor,True,4.729670316890539
Gsk3b,GSK3B,ChEMBL,LY-2090314,CHEMBL362558,INHIBITOR,,Glycogen synthase kinase-3 beta inhibitor,1.0,2.0,,,ChEMBL mechanism (CHEMBL262),,Small molecule,0.0,False,False,False,,,,inhibitor,inhibitor,True,4.488949249416775
Gsk3b,GSK3B,ChEMBL,TIDEGLUSIB,CHEMBL3545157,INHIBITOR,,Glycogen synthase kinase-3 beta inhibitor,1.0,2.0,,,ChEMBL mechanism (CHEMBL262),,Small molecule,0.0,False,False,False,,,,inhibitor,inhibitor,True,4.488949249416775
Gsk3b,GSK3B,ChEMBL,ELRAGLUSIB,CHEMBL483465,INHIBITOR,,Glycogen synthase kinase-3 beta inhibitor,1.0,2.0,,,ChEMBL mechanism (CHEMBL262),,Small molecule,0.0,False,False,False,,,,inhibitor,inhibitor,True,4.488949249416775
Gsk3b,GSK3B,DGIdb,JNJ-7706621,iuphar.ligand:5932,,,,,,False,0.0132197775957249,DGIdb: DTC,,,,,,,,,,other/unknown,inhibitor,False,4.488949249416775
Gsk3b,GSK3B,DGIdb,"COMPOUND 2F [JIANG ET AL., 2018]",iuphar.ligand:9810,inhibitor,INHIBITORY,,,,False,0.3437142174888489,DGIdb: GuideToPharmacology,,,,,,,,,,inhibitor,inhibitor,True,4.488949249416775
Gsk3b,GSK3B,DGIdb,CHEMBL:CHEMBL546797,chembl:CHEMBL546797,,,,,,False,0.021482138593053,DGIdb: DTC,,,,,,,,,,other/unknown,inhibitor,False,4.488949249416775
Gsk3b,GSK3B,DGIdb,GW441756X,chembl:CHEMBL1516890,,,,,,False,0.0105758220765799,DGIdb: DTC,,,,,,,,,,other/unknown,inhibitor,False,4.488949249416775
Gsk3b,GSK3B,DGIdb,CYC-116,chembl:CHEMBL482967,,,,,,False,0.0070868910822443,DGIdb: DTC,,,,,,,,,,other/unknown,inhibitor,False,4.488949249416775
Gsk3b,GSK3B,DGIdb,AZD-1080,chembl:CHEMBL1969664,inhibitor,INHIBITORY,,,,False,0.0808739335267879,DGIdb: ChEMBL; DTC,,,,,,,,,,inhibitor,inhibitor,True,4.488949249416775
Gsk3b,GSK3B,DGIdb,LITHIUM CARBONATE,chembl:CHEMBL1200826,inhibitor,INHIBITORY,,,approved,True,0.2291428116592326,DGIdb: ChEMBL,,,,,,,,,,inhibitor,inhibitor,True,4.488949249416775
Gsk3b,GSK3B,DGIdb,GSK2646264,iuphar.ligand:10108,inhibitor,INHIBITORY,,,,False,0.0859285543722122,DGIdb: GuideToPharmacology,,,,,,,,,,inhibitor,inhibitor,True,4.488949249416775
Gsk3b,GSK3B,DGIdb,GW843682X,chembl:CHEMBL514499,,,,,,False,0.0176263701276332,DGIdb: DTC,,,,,,,,,,other/unknown,inhibitor,False,4.488949249416775
