dataset,sample,declared_zone,dominant_zone_raw_mean,purity_consistent_raw_mean,score_resting,score_proliferative,score_prehypertrophic,score_hypertrophic,ddit4_expression,dominant_zone_zscored,purity_consistent_zscored,z_resting,z_proliferative,z_prehypertrophic,z_hypertrophic,purity_metric_note
GSE87605,GSM2335038,resting,proliferative,False,10.993,11.467,9.259,10.02,8.901,resting,True,0.006,-2.162,-0.208,-1.667,raw-mean argmax is biased by panel baseline and is superseded by the z-scored call; both retained
GSE87605,GSM2335039,proliferative,hypertrophic,False,11.024,11.658,9.844,12.772,9.127,prehypertrophic,False,0.112,-0.946,0.368,0.09,raw-mean argmax is biased by panel baseline and is superseded by the z-scored call; both retained
GSE87605,GSM2335040,hypertrophic,hypertrophic,True,10.7,11.813,10.215,14.277,11.213,hypertrophic,True,-0.999,0.041,0.733,1.05,raw-mean argmax is biased by panel baseline and is superseded by the z-scored call; both retained
GSE87605,GSM2335041,resting,proliferative,False,11.265,11.803,9.081,11.106,10.224,resting,True,0.938,-0.023,-0.383,-0.973,raw-mean argmax is biased by panel baseline and is superseded by the z-scored call; both retained
GSE87605,GSM2335042,proliferative,hypertrophic,False,11.348,11.954,10.111,12.977,10.565,resting,False,1.223,0.939,0.63,0.221,raw-mean argmax is biased by panel baseline and is superseded by the z-scored call; both retained
GSE87605,GSM2335043,hypertrophic,hypertrophic,True,11.011,11.878,10.517,14.368,11.718,hypertrophic,True,0.067,0.455,1.03,1.108,raw-mean argmax is biased by panel baseline and is superseded by the z-scored call; both retained
GSE87605,GSM2335044,resting,proliferative,False,11.335,11.974,7.402,11.283,10.169,resting,True,1.178,1.066,-2.035,-0.86,raw-mean argmax is biased by panel baseline and is superseded by the z-scored call; both retained
GSE87605,GSM2335045,proliferative,hypertrophic,False,10.658,11.848,8.514,12.571,10.434,proliferative,True,-1.143,0.264,-0.941,-0.038,raw-mean argmax is biased by panel baseline and is superseded by the z-scored call; both retained
GSE87605,GSM2335046,hypertrophic,hypertrophic,True,10.588,11.864,10.291,14.307,11.186,hypertrophic,True,-1.383,0.366,0.807,1.07,raw-mean argmax is biased by panel baseline and is superseded by the z-scored call; both retained
GSE9160,GSM231426,hypertrophic,prehypertrophic,False,12.178,7.123,14.011,12.224,13.963,prehypertrophic,False,0.863,-1.363,1.265,0.3,raw-mean argmax is biased by panel baseline and is superseded by the z-scored call; both retained
GSE9160,GSM231427,prehypertrophic,prehypertrophic,True,11.898,9.01,13.73,11.844,8.685,prehypertrophic,True,0.379,0.498,1.102,0.151,raw-mean argmax is biased by panel baseline and is superseded by the z-scored call; both retained
GSE9160,GSM231428,proliferative,prehypertrophic,False,11.406,9.113,11.416,8.615,9.554,proliferative,True,-0.472,0.6,-0.24,-1.117,raw-mean argmax is biased by panel baseline and is superseded by the z-scored call; both retained
GSE9160,GSM231429,resting,resting,True,11.55,6.751,10.054,7.882,13.519,resting,True,-0.223,-1.73,-1.03,-1.404,raw-mean argmax is biased by panel baseline and is superseded by the z-scored call; both retained
GSE9160,GSM231430,perichondrium,resting,False,10.523,7.573,9.18,8.108,11.563,proliferative,False,-1.999,-0.919,-1.537,-1.316,raw-mean argmax is biased by panel baseline and is superseded by the z-scored call; both retained
GSE9160,GSM231431,hypertrophic,hypertrophic,True,11.986,9.533,13.516,14.221,14.676,hypertrophic,True,0.531,1.014,0.978,1.084,raw-mean argmax is biased by panel baseline and is superseded by the z-scored call; both retained
GSE9160,GSM231432,prehypertrophic,hypertrophic,False,12.14,9.075,12.63,14.052,14.358,hypertrophic,False,0.798,0.562,0.464,1.018,raw-mean argmax is biased by panel baseline and is superseded by the z-scored call; both retained
GSE9160,GSM231433,proliferative,hypertrophic,False,12.257,9.511,12.24,13.662,14.285,resting,False,1.0,0.992,0.238,0.865,raw-mean argmax is biased by panel baseline and is superseded by the z-scored call; both retained
GSE9160,GSM231434,resting,hypertrophic,False,11.932,9.08,11.79,13.69,14.214,hypertrophic,False,0.438,0.567,-0.023,0.876,raw-mean argmax is biased by panel baseline and is superseded by the z-scored call; both retained
GSE9160,GSM231435,perichondrium,resting,False,10.918,8.281,9.732,10.293,13.6,proliferative,False,-1.316,-0.221,-1.216,-0.458,raw-mean argmax is biased by panel baseline and is superseded by the z-scored call; both retained
