dataset,modality,species,gene_found,n_samples,n_replicates_per_zone,absolute_expression_mean_log2,zone_means,top_zone,top_minus_second_zone,hyper_vs_prolif_lfc,hyper_vs_prolif_p,hyper_vs_resting_lfc,hyper_vs_resting_p,supports_hypertrophic,zone_specific,inference_class,n_cells_total,detection_fraction_mean,mean_expression_all_cells,mean_expression_detected_cells,clusterfree_corr_hypertrophic,clusterfree_corr_proliferative,clusterfree_corr_resting,clusterfree_corr_prehypertrophic,clusterfree_top_state,pseudobulk_hyper_vs_prolif_lfc,pseudobulk_hyper_vs_prolif_p,pseudobulk_hyper_vs_resting_lfc
GSE87605,bulk microdissected array,mouse,True,9,3.0,10.393,"{""hypertrophic"": 11.372, ""proliferative"": 10.042, ""resting"": 9.765}",hypertrophic,1.33,1.33,0.0534,1.608,0.026,True,True,inferential,,,,,,,,,,,,
GSE9160,bulk microdissected array,human,True,10,2.0,12.842,"{""hypertrophic"": 14.32, ""perichondrium"": 12.582, ""prehypertrophic"": 11.521, ""proliferative"": 11.919, ""resting"": 13.866}",hypertrophic,0.453,2.4,0.4213,0.453,0.4586,True,False,descriptive (n=2 per zone),,,,,,,,,,,,
GSE114919,bulk microdissected RNA-seq,mouse,True,29,14.0,7.925,"{""hypertrophic"": 8.448, ""proliferative"": 7.366}",hypertrophic,1.082,1.082,0.0067,,,True,True,inferential,,,,,,,,,,,,
GSE114919,bulk microdissected RNA-seq,rat,True,30,15.0,6.758,"{""hypertrophic"": 7.022, ""proliferative"": 6.495}",hypertrophic,0.526,0.526,0.0245,,,True,False,inferential,,,,,,,,,,,,
GSE225796,bulk RNA-seq (maturation time course),mouse,True,15,,7.119,"{""D1.1"": 135.31, ""D1.3"": 133.75, ""D1.4"": 142.38, ""D3.1"": 209.19, ""D3.2"": 174.0, ""D3.3"": 199.08, ""D3.4"": 204.55, ""D5.1"": 142.9, ""D5.2"": 51.45, ""D5.3"": 82.25, ""D5.4"": 80.06, ""D10.1"": 108.22, ""D10.2"": 212.31, ""D10.3"": 93.28, ""D10.4"": 101.15}",,,,,,,,,descriptive - this design has no zone axis,,,,,,,,,,,,
GSE225879,bulk RNA-seq (CD200-sorted GPLC),mouse,True,24,,5.954,"{""Day.4.High.1"": 33.69, ""Day.4.High.2"": 32.82, ""Day.4.High.3"": 32.48, ""Day.4.High.4"": 28.9, ""Day.4.Low.1"": 38.6, ""Day.4.Low.2"": 32.99, ""Day.4.Low.3"": 35.89, ""Day.4.Low.4"": 34.82, ""Day.15.High.1"": 114.05, ""Day.15.High.2"": 113.14, ""Day.15.High.3"": 111.42, ""Day.15.High.4"": 112.24, ""Day.15.Low.1"": 110.56, ""Day.15.Low.2"": 105.95, ""Day.15.Low.3"": 113.65, ""Day.15.Low.4"": 112.46, ""D4High"": 31.97, ""D4 low""",,,,,,,,,descriptive - this design has no zone axis,,,,,,,,,,,,
GSE125464,single-cell 10x,mouse,True,1,,,,,,,,,,False,False,DESCRIPTIVE ONLY (single sample),8577.0,0.4695,0.3014,0.6419,-0.0407,0.0239,-0.0878,-0.0234,proliferative,,,
GSE201605,single-cell 10x,mouse,True,5,,,,,,,,,,False,False,inferential,15609.0,0.2778,0.1581,0.5754,-0.0339,0.0298,-0.0836,-0.0133,proliferative,-0.471,0.1,-0.394
GSE231795,single-cell 10x,mouse,True,10,,,,,,,,,,False,False,inferential,80896.0,0.2932,0.2374,0.812,-0.0225,0.0281,-0.0465,0.0687,prehypertrophic,-1.969,0.0,-1.808
GSE244881,single-cell 10x,mouse,True,1,,,,,,,,,,False,False,DESCRIPTIVE ONLY (single sample),654.0,0.3914,0.213,0.544,0.1085,-0.0775,-0.0432,0.0217,hypertrophic,,,0.868
GSE271634,single-cell 10x,mouse,True,1,,,,,,,,,,False,False,DESCRIPTIVE ONLY (single sample),6731.0,0.312,0.1999,0.6406,-0.0241,0.0598,0.092,0.0349,resting,,,
GSE288529,single-cell 10x,mouse,True,1,,,,,,,,,,False,False,DESCRIPTIVE ONLY (single sample),10910.0,0.2529,0.1252,0.4952,-0.0037,0.0167,-0.1017,0.0525,prehypertrophic,-0.215,,0.184
