pert_iname,clinical_phase,moa,target,mechanism_family,exclusion_reason,exclusion_match,excluded_because
A-1070722,Preclinical,glycogen synthase kinase inhibitor,GSK3A|GSK3B,kinase; metabolic,GSK3 inhibition,glycogen synthase kinase,hard exclusion: GSK3 inhibition
A-33903,Phase 2,,,other / unclassified,,,no annotated mechanism of action
abarelix,Phase 3,gonadotropin releasing factor hormone receptor antagonist,GNRHR,GPCR,systemic sex-steroid manipulation,gonadotropin,hard exclusion: systemic sex-steroid manipulation
ABT-072,Phase 2,RNA polymerase inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,RNA polymerase inhibitor,hard exclusion: known to suppress chondrocyte proliferation
ABT-751,Phase 2,tubulin polymerization inhibitor,TUBB,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
AC-186,Preclinical,estrogen receptor agonist,ESR2,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
AC-261066,Preclinical,retinoid receptor agonist,RARB,GPCR,known plate-fusion or premature-remodeling hazard,RARB,hard exclusion: known plate-fusion or premature-remodeling hazard
AC-55649,Preclinical,retinoid receptor agonist,RARA|RARB,GPCR,known plate-fusion or premature-remodeling hazard,RARA; RARB,hard exclusion: known plate-fusion or premature-remodeling hazard
acamprosate,Launched,glutamate receptor antagonist,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|GRM5,GPCR,,,no orderable sample (no SMILES or catalogue number)
acedapsone,Launched,,,other / unclassified,,,no annotated mechanism of action
acedoben,Phase 2,,,other / unclassified,,,no annotated mechanism of action
aceglutamide,Launched,,,other / unclassified,,,no annotated mechanism of action
aceneuramic-acid,Phase 3,,CES1|SELE|SELP,other / unclassified,,,no annotated mechanism of action
acesulfame-potassium,Phase 3,,,other / unclassified,,,no annotated mechanism of action
acetarsol,Launched,,,other / unclassified,,,no annotated mechanism of action
acetohydroxamic-acid,Launched,urease inhibitor,MMP12,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
acetriazoic-acid,Preclinical,,,other / unclassified,,,no annotated mechanism of action
acetyl-l-leucine,Launched,,,other / unclassified,,,no annotated mechanism of action
acetyl-11-keto-beta-boswellic-acid,Phase 2,lipoxygenase inhibitor,HSD11B1|HSD11B2,other / unclassified,systemic glucocorticoid manipulation,HSD11B1; HSD11B2,hard exclusion: systemic glucocorticoid manipulation
