active_ingredient,paediatric_growth_cases,paediatric_cases_all_events,suspect_role_growth_cases,suspect_fraction,role_mix,ror,ror_lo95,ror_hi95,prr,prr_lo95,information_component,ic025_shrunk,signal_by_ic025,age_median,age_min,age_max,sex_mix,reporter_mix,physician_reported_fraction,country_mix,fda_year_mix,top_indications,top_comedications,co_growth_hormone,co_aromatase_inhibitor,co_puberty_blocker,co_sex_steroid,co_glucocorticoid,co_thyroid,endocrine_comedication_case_fraction,positive_dechallenge,negative_dechallenge,positive_rechallenge,negative_rechallenge,serious_outcome_cases,negative_control_term_cases,negative_to_positive_ratio,control_role
HUMAN IMMUNOGLOBULIN G,60,1491,60,1.0,primary suspect (188); secondary suspect (22),32.896,24.099,44.903,31.602,23.354,4.206,2.603,True,9.0,2.0,17.0,M (41); F (19),unknown (57); consumer (2); physician (1),0.017,CO (58); BR (1); CA (1),2025 (40); 2026 (16); 2024 (4),PRIMARY IMMUNODEFICIENCY SYNDROME (64); PRODUCT USED FOR UNKNOWN INDICATION (7); IMMUNODEFICIENCY (6); BRUTON'S AGAMMAGLOBULINAEMIA (1),HIDERAX (2); ASCORBIC ACID (2); CANAKINUMAB (1); PEGFILGRASTIM (1); CHLORIDE (1); IBUPROFEN (1),0,0,0,0,0,0,0.0,25,12,0,0,58,47,0.78,
TEDUGLUTIDE,30,482,30,1.0,primary suspect (121); secondary suspect (19),42.766,28.696,63.735,40.129,27.505,4.447,2.002,True,4.0,1.0,14.0,M (20); F (10),unknown (29); consumer (1),0.0,CO (17); US (6); CA (6),2025 (20); 2026 (9); 2024 (1),SHORT-BOWEL SYNDROME (37); PRODUCT USED FOR UNKNOWN INDICATION (8); GASTROSTOMY (4); OVERGROWTH BACTERIAL (2),LOPERAMIDE (11); AMINO ACIDS (7); METRONIDAZOLE (6); OMEPRAZOLE (4); ENOXAPARIN (4); CHOLESTYRAMINE (3),0,0,0,0,1,0,0.033,3,0,0,0,29,7,0.23,
IDURSULFASE,29,350,29,1.0,primary suspect (165); secondary suspect (7),57.923,38.504,87.136,53.139,36.369,4.678,1.993,True,4.0,0.8,17.0,M (29),unknown (27); consumer (2),0.0,CO (25); MX (4),2025 (13); 2026 (11); 2024 (5),MUCOPOLYSACCHARIDOSIS II (29); PREMEDICATION (8); MUCOPOLYSACCHARIDOSIS (4); PRODUCT USED FOR UNKNOWN INDICATION (3),LORATADINE (3); ACETAMINOPHEN (3); HYDROCORTISONE (2); RISPERIDONE (2); PREDNISOLONE (1); VALPROIC ACID (1),0,0,0,0,4,0,0.069,16,4,0,0,27,18,0.62,
LOPERAMIDE,12,199,1,0.083,concomitant (11); secondary suspect (1),38.012,21.037,68.684,35.699,20.453,3.844,0.709,True,5.0,1.0,14.0,M (9); F (3),unknown (10); consumer (2),0.0,CA (5); CO (4); US (2),2025 (7); 2026 (3); 2024 (2),SHORT-BOWEL SYNDROME (18); PRODUCT USED FOR UNKNOWN INDICATION (16); GASTROSTOMY (4); OVERGROWTH BACTERIAL (2),TEDUGLUTIDE (11); AMINO ACIDS (6); METRONIDAZOLE (5); ONDANSETRON (4); CHOLESTYRAMINE (3); URSODIOL (3),0,0,1,0,2,1,0.167,0,0,0,0,11,1,0.08,
BECLOMETHASONE DIPROPIONATE,11,181,11,1.0,secondary suspect (12),38.244,20.669,70.762,35.891,20.121,3.78,0.579,True,0.6,0.0,0.6,F (7); M (4),physician (7); unknown (4),0.636,FR (6); EU (5),2025 (7); 2026 (4),CYSTIC FIBROSIS (95); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); INSULIN-REQUIRING TYPE 2 DIABETES MELLITUS (8); ASTHMA (8),ESOMEPRAZOLE (7); MONTELUKAST (7); CETIRIZINE (7); ALBUTEROL (7); PANCRELIPASE (7); IVACAFTOR (7),0,0,0,0,0,0,0.0,0,0,0,0,11,1,0.09,
ICATIBANT,10,57,10,1.0,primary suspect (64); secondary suspect (3),124.78,62.926,247.435,102.372,58.068,4.114,0.379,True,9.5,6.0,16.0,F (5); M (5),unknown (9); consumer (1),0.0,CO (10),2025 (5); 2026 (4); 2024 (1),HEREDITARY ANGIOEDEMA (19); IMMUNE SYSTEM DISORDER (1),LANADELUMAB-FLYO (8); TRANEXAMIC ACIDE (1),0,0,0,0,0,0,0.0,13,0,0,0,10,10,1.0,
ESOMEPRAZOLE,8,177,8,1.0,secondary suspect (4); primary suspect (4),27.954,13.819,56.545,26.667,13.614,3.357,0.104,True,0.6,0.6,1.0,F (7); M (1),physician (7); unknown (1),0.875,FR (6); EU (1); CO (1),2025 (7); 2026 (1),CYSTIC FIBROSIS (95); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); PRODUCT USED FOR UNKNOWN INDICATION (5); SHORT-BOWEL SYNDROME (1),MONTELUKAST (7); CETIRIZINE (7); ALBUTEROL (7); PANCRELIPASE (7); IVACAFTOR (7); BECLOMETHASONE DIPROPIONATE (7),0,0,0,0,0,0,0.0,0,0,0,0,8,4,0.5,
LANADELUMAB-FLYO,8,41,8,1.0,secondary suspect (28),141.633,65.774,304.982,113.171,60.994,3.882,0.034,True,9.5,6.0,16.0,F (5); M (3),unknown (8),0.0,CO (8),2025 (5); 2026 (3),HEREDITARY ANGIOEDEMA (16); IMMUNE SYSTEM DISORDER (1),ICATIBANT (8); TRANEXAMIC ACIDE (1),0,0,0,0,0,0,0.0,5,0,0,0,8,6,0.75,
IVACAFTOR,7,206,7,1.0,secondary suspect (8),20.832,9.903,43.824,20.114,9.813,3.085,-0.095,False,0.6,0.6,0.6,F (7),physician (7),1.0,FR (6); EU (1),2025 (7),CYSTIC FIBROSIS (95); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); PRODUCT USED FOR UNKNOWN INDICATION (1),ESOMEPRAZOLE (7); MONTELUKAST (7); CETIRIZINE (7); ALBUTEROL (7); PANCRELIPASE (7); BECLOMETHASONE DIPROPIONATE (7),0,0,0,0,0,0,0.0,0,0,0,0,7,2,0.29,
AMINO ACIDS,7,158,0,0.0,concomitant (45),27.446,12.994,57.973,26.199,12.831,3.239,-0.097,False,4.0,1.0,13.0,M (4); F (3),unknown (7),0.0,CA (5); CO (1); US (1),2025 (6); 2026 (1),SHORT-BOWEL SYNDROME (7); PRODUCT USED FOR UNKNOWN INDICATION (4); GASTROSTOMY (3); OVERGROWTH BACTERIAL (2),TEDUGLUTIDE (7); LOPERAMIDE (6); METRONIDAZOLE (3); OMEPRAZOLE (2); ACETAMINOPHEN (2); PANTOPRAZOLE (2),0,0,0,0,1,0,0.143,0,0,0,0,6,0,0.0,
PANCRELIPASE AMYLASE,7,252,7,1.0,secondary suspect (6); primary suspect (1),16.921,8.063,35.509,16.449,8.006,2.952,-0.1,False,0.6,0.6,0.6,F (7),physician (7),1.0,FR (6); EU (1),2025 (7),CYSTIC FIBROSIS (95); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); PRODUCT USED FOR UNKNOWN INDICATION (1),ESOMEPRAZOLE (7); MONTELUKAST (7); CETIRIZINE (7); ALBUTEROL (7); PANCRELIPASE (7); IVACAFTOR (7),0,0,0,0,0,0,0.0,0,0,0,0,7,0,0.0,
TIOTROPIUM BROMIDE,7,120,7,1.0,secondary suspect (6); primary suspect (1),36.649,17.253,77.851,34.44,16.958,3.374,-0.107,False,0.6,0.6,0.6,F (7),physician (7),1.0,FR (6); EU (1),2025 (7),CYSTIC FIBROSIS (95); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); PRODUCT USED FOR UNKNOWN INDICATION (1),ESOMEPRAZOLE (7); MONTELUKAST (7); CETIRIZINE (7); ALBUTEROL (7); PANCRELIPASE (7); IVACAFTOR (7),0,0,0,0,0,0,0.0,0,0,0,0,7,0,0.0,
PANCRELIPASE,7,72,7,1.0,secondary suspect (7),63.537,29.428,137.184,57.112,28.543,3.564,-0.134,False,0.6,0.6,0.6,F (7),physician (7),1.0,FR (6); EU (1),2025 (7),CYSTIC FIBROSIS (95); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); PRODUCT USED FOR UNKNOWN INDICATION (1),ESOMEPRAZOLE (7); MONTELUKAST (7); CETIRIZINE (7); ALBUTEROL (7); IVACAFTOR (7); BECLOMETHASONE DIPROPIONATE (7),0,0,0,0,0,0,0.0,0,0,0,0,7,1,0.14,
METRONIDAZOLE,7,416,3,0.429,concomitant (4); secondary suspect (3),10.128,4.847,21.163,9.963,4.829,2.556,-0.152,False,3.0,0.0,12.0,M (5); F (2),unknown (6); pharmacist (1),0.0,US (2); CA (2); CO (2),2025 (6); 2026 (1),FUNGAL INFECTION (9); PRODUCT USED FOR UNKNOWN INDICATION (8); SHORT-BOWEL SYNDROME (6); CROHN'S DISEASE (1),TEDUGLUTIDE (6); LOPERAMIDE (5); ENOXAPARIN (3); ACETAMINOPHEN (3); AMINO ACIDS (3); ONDANSETRON (2),0,0,0,0,1,0,0.143,0,0,0,0,6,2,0.29,
FENOTEROL HYDROBROMIDE,7,22,6,0.857,secondary suspect (7); concomitant (1),268.632,110.969,650.301,181.361,98.984,3.793,-0.187,False,0.6,0.6,3.0,F (7),physician (6); unknown (1),0.857,FR (5); EU (1); CO (1),2025 (7),CYSTIC FIBROSIS (82); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); PRODUCT USED FOR UNKNOWN INDICATION (1); PRIMARY IMMUNODEFICIENCY SYNDROME (1),MONTELUKAST (7); CETIRIZINE (6); ESOMEPRAZOLE (6); ALBUTEROL (6); IVACAFTOR (6); BECLOMETHASONE DIPROPIONATE (6),0,0,0,0,0,0,0.0,0,0,0,0,7,0,0.0,
COLISTIMETHATE,7,21,7,1.0,secondary suspect (9),287.162,117.488,701.873,189.607,104.138,3.798,-0.189,False,0.6,0.6,0.6,F (7),physician (7),1.0,FR (6); EU (1),2025 (7),CYSTIC FIBROSIS (95); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); PRODUCT USED FOR UNKNOWN INDICATION (1),ESOMEPRAZOLE (7); MONTELUKAST (7); CETIRIZINE (7); ALBUTEROL (7); PANCRELIPASE (7); IVACAFTOR (7),0,0,0,0,0,0,0.0,0,0,0,0,7,0,0.0,
ELEXACAFTOR,7,563,7,1.0,secondary suspect (7),7.441,3.567,15.523,7.356,3.559,2.276,-0.22,False,0.6,0.6,0.6,F (7),physician (7),1.0,FR (6); EU (1),2025 (7),CYSTIC FIBROSIS (95); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); PRODUCT USED FOR UNKNOWN INDICATION (1),ESOMEPRAZOLE (7); MONTELUKAST (7); CETIRIZINE (7); ALBUTEROL (7); PANCRELIPASE (7); IVACAFTOR (7),0,0,0,0,0,0,0.0,0,0,0,0,7,2,0.29,
MONTELUKAST,8,1090,7,0.875,secondary suspect (7); primary suspect (1); concomitant (1),4.337,2.173,8.653,4.311,2.172,1.748,-0.277,False,0.6,0.6,3.0,F (8),physician (7); unknown (1),0.875,FR (6); EU (1); CO (1),2025 (8),CYSTIC FIBROSIS (95); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); PRODUCT USED FOR UNKNOWN INDICATION (1); PRIMARY IMMUNODEFICIENCY SYNDROME (1),ESOMEPRAZOLE (7); CETIRIZINE (7); ALBUTEROL (7); PANCRELIPASE (7); IVACAFTOR (7); BECLOMETHASONE DIPROPIONATE (7),0,0,0,0,0,0,0.0,0,0,0,0,8,13,1.62,
LEVOTHYROXINE,7,717,1,0.143,concomitant (8); secondary suspect (1),5.819,2.792,12.127,5.769,2.789,2.03,-0.298,False,9.0,0.0,11.0,F (4); M (3),unknown (3); consumer (2); physician (2),0.286,CA (4); CO (1); US (1),2025 (5); 2024 (2),PRODUCT USED FOR UNKNOWN INDICATION (16); GROWTH HORMONE DEFICIENCY (4); HORMONE REPLACEMENT THERAPY (4); PITUITARY TUMOUR BENIGN (3),DESMOPRESSIN (4); PREDNISOLONE (4); SOMATROPIN (4); ESTRADIOL (3); HYDROCORTISONE (2); CERTOLIZUMAB PEGOL (1),4,0,1,3,6,0,0.857,1,0,0,0,7,20,2.86,
DORNASE ALFA,6,274,6,1.0,secondary suspect (6),13.331,6.04,29.423,13.04,6.016,2.685,-0.338,False,0.6,0.6,0.6,F (6),physician (6),1.0,FR (5); EU (1),2025 (6),CYSTIC FIBROSIS (83); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); PRODUCT USED FOR UNKNOWN INDICATION (1),ESOMEPRAZOLE (6); MONTELUKAST (6); CETIRIZINE (6); ALBUTEROL (6); PANCRELIPASE (6); IVACAFTOR (6),0,0,0,0,0,0,0.0,4,1,0,0,6,5,0.83,
ALBUTEROL,10,2100,7,0.7,secondary suspect (8); concomitant (3),2.777,1.487,5.184,2.768,1.487,1.251,-0.354,False,0.6,0.6,14.0,F (7); M (2); ? (1),physician (8); unknown (2),0.8,FR (6); US (1); EU (1),2025 (8); 2024 (1); 2026 (1),CYSTIC FIBROSIS (95); PRODUCT USED FOR UNKNOWN INDICATION (25); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); ASTHMA (2),ESOMEPRAZOLE (7); MONTELUKAST (7); CETIRIZINE (7); PANCRELIPASE (7); IVACAFTOR (7); BECLOMETHASONE DIPROPIONATE (7),0,0,0,0,0,0,0.0,5,1,0,0,10,25,2.5,
ENOXAPARIN,5,283,1,0.2,concomitant (4); secondary suspect (1),10.814,4.592,25.465,10.624,4.585,2.421,-0.619,False,1.0,0.0,3.0,M (4); F (1),unknown (4); consumer (1),0.0,CO (2); US (1); GB (1),2025 (3); 2024 (1); 2026 (1),PRODUCT USED FOR UNKNOWN INDICATION (5); SHORT-BOWEL SYNDROME (4); IN VITRO FERTILISATION (3); PSORIASIS (1),TEDUGLUTIDE (4); METRONIDAZOLE (3); OMEPRAZOLE (2); LOPERAMIDE (2); CEFTRIAXONE (1); MICROLIPID (1),0,0,0,0,1,0,0.2,0,0,0,0,5,2,0.4,
CETIRIZINE,8,1869,7,0.875,secondary suspect (8); concomitant (2),2.502,1.255,4.986,2.495,1.256,1.094,-0.623,False,0.6,0.6,3.0,F (7); M (1),physician (7); unknown (1),0.875,FR (6); US (1); EU (1),2025 (8),CYSTIC FIBROSIS (95); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); SHORT-BOWEL SYNDROME (1); PRODUCT USED FOR UNKNOWN INDICATION (1),ESOMEPRAZOLE (7); MONTELUKAST (7); ALBUTEROL (7); PANCRELIPASE (7); IVACAFTOR (7); BECLOMETHASONE DIPROPIONATE (7),0,0,0,0,0,0,0.0,0,0,0,0,8,22,2.75,
PREDNISOLONE,8,1920,1,0.125,concomitant (9); primary suspect (1),2.434,1.221,4.851,2.427,1.222,1.06,-0.644,False,9.0,0.0,14.0,F (4); M (4),unknown (5); physician (2); consumer (1),0.25,CA (4); CO (1); GB (1),2025 (3); 2026 (3); 2024 (2),PRODUCT USED FOR UNKNOWN INDICATION (26); GROWTH HORMONE DEFICIENCY (4); HORMONE REPLACEMENT THERAPY (4); PREMEDICATION (3),DESMOPRESSIN (4); LEVOTHYROXINE (4); SOMATROPIN (4); ESTRADIOL (3); ESTROGENS (2); LORATADINE (1),4,0,0,3,1,4,0.625,1,0,0,0,8,56,7.0,NEGATIVE_CONTROL
AMPHOTERICIN B,5,578,5,1.0,secondary suspect (11); primary suspect (1),5.236,2.233,12.278,5.195,2.233,1.802,-0.752,False,6.0,0.0,6.0,F (5),physician (4); pharmacist (1),0.8,SK (4); CH (1),2024 (4); 2025 (1),PRODUCT USED FOR UNKNOWN INDICATION (24); FEBRILE NEUTROPENIA (19); ANTIBIOTIC THERAPY (15); FUNGAL INFECTION (13),FLUCONAZOLE (5); VANCOMYCIN (4); DAUNORUBICIN (4); CYCLOPHOSPHAMIDE (4); MEROPENEM (4); PEGASPARGASE (4),0,0,0,0,4,0,0.8,0,0,0,0,5,0,0.0,
FLUCONAZOLE,5,592,5,1.0,secondary suspect (6),5.11,2.179,11.983,5.072,2.18,1.779,-0.759,False,6.0,0.0,6.0,F (5),physician (4); pharmacist (1),0.8,SK (4); CH (1),2024 (4); 2025 (1),PRODUCT USED FOR UNKNOWN INDICATION (24); FEBRILE NEUTROPENIA (19); ANTIBIOTIC THERAPY (15); FUNGAL INFECTION (13),AMPHOTERICIN B (5); VANCOMYCIN (4); DAUNORUBICIN (4); CYCLOPHOSPHAMIDE (4); MEROPENEM (4); PEGASPARGASE (4),0,0,0,0,4,0,0.8,0,0,0,0,5,1,0.2,
OMEPRAZOLE,5,717,1,0.2,concomitant (4); secondary suspect (1),4.208,1.796,9.861,4.184,1.797,1.583,-0.827,False,3.0,0.9,3.0,M (3); F (2),unknown (5),0.0,CO (2); US (1); CL (1),2026 (3); 2025 (2),SHORT-BOWEL SYNDROME (4); PRODUCT USED FOR UNKNOWN INDICATION (4); GASTROSTOMY (3); SPINAL MUSCULAR ATROPHY (1),TEDUGLUTIDE (4); LOPERAMIDE (2); URSODIOL (2); ENOXAPARIN (2); VITAMIN D NOS (2); AMINO ACIDS (2),0,0,0,0,1,0,0.2,0,0,0,0,5,18,3.6,
SEMAGLUTIDE,4,136,4,1.0,secondary suspect (4); primary suspect (1),18.521,7.158,47.926,17.946,7.15,2.578,-0.941,False,0.0,0.0,0.0,M (4),unknown (4),0.0,EU (4),2026 (4),INSULIN-REQUIRING TYPE 2 DIABETES MELLITUS (8); ASTHMA (8); DIABETIC NEPHROPATHY (4),RAMIPRIL (4); METFORMIN (4); EBASTINE (4); BECLOMETHASONE DIPROPIONATE (4),0,0,0,0,0,0,0.0,0,0,0,0,4,2,0.5,
POSACONAZOLE,4,212,4,1.0,secondary suspect (8),11.761,4.571,30.264,11.534,4.571,2.33,-0.943,False,6.0,6.0,6.0,F (4),physician (4),1.0,SK (4),2024 (4),PRODUCT USED FOR UNKNOWN INDICATION (24); FEBRILE NEUTROPENIA (19); ANTIBIOTIC THERAPY (15); ACUTE LYMPHOCYTIC LEUKAEMIA (10),VANCOMYCIN (4); DAUNORUBICIN (4); CYCLOPHOSPHAMIDE (4); MEROPENEM (4); AMPHOTERICIN B (4); PEGASPARGASE (4),0,0,0,0,4,0,1.0,0,0,0,0,4,1,0.25,
DESMOPRESSIN,4,120,0,0.0,concomitant (4),21.069,8.125,54.631,20.322,8.113,2.637,-0.945,False,9.0,9.0,9.0,F (4),unknown (3); physician (1),0.25,CA (4),2025 (3); 2024 (1),PRODUCT USED FOR UNKNOWN INDICATION (6); GROWTH HORMONE DEFICIENCY (4); HORMONE REPLACEMENT THERAPY (4),LEVOTHYROXINE (4); PREDNISOLONE (4); SOMATROPIN (4); ESTRADIOL (3); ESTROGENS (1),4,0,0,3,4,4,1.0,0,0,0,0,4,0,0.0,
CASPOFUNGIN,4,239,0,0.0,concomitant (4),10.41,4.05,26.757,10.233,4.051,2.251,-0.948,False,6.0,6.0,6.0,F (4),physician (4),1.0,SK (4),2024 (4),PRODUCT USED FOR UNKNOWN INDICATION (24); FEBRILE NEUTROPENIA (19); ANTIBIOTIC THERAPY (15); ACUTE LYMPHOCYTIC LEUKAEMIA (10),VANCOMYCIN (4); DAUNORUBICIN (4); CYCLOPHOSPHAMIDE (4); MEROPENEM (4); AMPHOTERICIN B (4); PEGASPARGASE (4),0,0,0,0,4,0,1.0,0,0,0,0,4,0,0.0,
LEUCOVORIN,4,243,4,1.0,secondary suspect (4),10.236,3.983,26.305,10.065,3.984,2.24,-0.949,False,6.0,6.0,6.0,F (4),physician (4),1.0,SK (4),2024 (4),PRODUCT USED FOR UNKNOWN INDICATION (24); FEBRILE NEUTROPENIA (19); ANTIBIOTIC THERAPY (15); ACUTE LYMPHOCYTIC LEUKAEMIA (10),VANCOMYCIN (4); DAUNORUBICIN (4); CYCLOPHOSPHAMIDE (4); MEROPENEM (4); AMPHOTERICIN B (4); PEGASPARGASE (4),0,0,0,0,4,0,1.0,0,0,0,0,4,1,0.25,
AMIKACIN,4,270,4,1.0,secondary suspect (10),9.196,3.581,23.613,9.06,3.583,2.166,-0.957,False,6.0,6.0,6.0,F (4),physician (4),1.0,SK (4),2024 (4),PRODUCT USED FOR UNKNOWN INDICATION (24); FEBRILE NEUTROPENIA (19); ANTIBIOTIC THERAPY (15); ACUTE LYMPHOCYTIC LEUKAEMIA (10),VANCOMYCIN (4); DAUNORUBICIN (4); CYCLOPHOSPHAMIDE (4); MEROPENEM (4); AMPHOTERICIN B (4); PEGASPARGASE (4),0,0,0,0,4,0,1.0,0,0,0,0,4,0,0.0,
RAMIPRIL,4,57,4,1.0,secondary suspect (4); primary suspect (1),45.907,17.351,121.463,42.423,17.262,2.892,-0.977,False,0.0,0.0,0.0,M (4),unknown (4),0.0,EU (4),2026 (4),INSULIN-REQUIRING TYPE 2 DIABETES MELLITUS (8); ASTHMA (8); DIABETIC NEPHROPATHY (4),SEMAGLUTIDE (4); METFORMIN (4); EBASTINE (4); BECLOMETHASONE DIPROPIONATE (4),0,0,0,0,0,0,0.0,0,0,0,0,4,0,0.0,
