pert_iname,broad_id,InChIKey,pubchem_cid,chembl_id,smiles,clinical_phase,chembl_max_phase,moa,chembl_mechanisms,chembl_action_types,target,primary_target,n_targets,mechanism_family,family_primary,role,canonical_pathway,gtopdb_ligand_id,gtopdb_top_affinity,gtopdb_affinity_parameter,gtopdb_species,expected_mass,vendor,catalog_no,vendor_name,purity,pubmed_total,cartilage_bone_records,metatarsal_records,known_cartilage_evidence,lit_proliferation,lit_apoptosis,lit_matrix_secretion,lit_hypertrophy,lit_angiogenesis,lit_developmental_toxicity,known_effect_proliferation,known_effect_apoptosis,known_effect_matrix,known_effect_hypertrophy,known_effect_angiogenesis,known_developmental_toxicity,human_exposure_precedent,orthogonal_compound_available,close_analogue_different_target,mechanism_already_represented,disease_area,indication
abacavir,BRD-K17443395-065-02-2,MCGSCOLBFJQGHM-SCZZXKLOSA-N,441300.0,CHEMBL4303288,Nc1nc(NC2CC2)c2ncn([C@@H]3C[C@H](CO)C=C3)c2n1 |c:18|,Launched,4.0,nucleoside reverse transcriptase inhibitor,Human immunodeficiency virus type 1 reverse transcriptase inhibitor [INHIBITOR],INHIBITOR,,,0,other / unclassified,other / unclassified,discovery compound,,11152.0,,,,286.154,MicroSource,1502410,ABACAVIR SULFATE,98.81,13995,151,28,True,1710,1673,540,5,2122,345,True,True,True,True,True,True,True,True,False,False,infectious disease,human immunodeficiency virus (HIV-1)
acitazanolast,BRD-K74236708-001-02-7,VWQZJJZGISNFOE-UHFFFAOYSA-N,2006.0,CHEMBL2104654,OC(=O)C(=O)Nc1cccc(c1)-c1nn[nH]n1,Launched,2.0,mediator release inhibitor,,,,,0,other / unclassified,other / unclassified,discovery compound,,,,,,233.055,LifeChem,F2119-0003,oxo[3-(1H-tetraazol-5-yl)anilino]acetic acid,96.68,13,0,0,False,0,0,0,0,2,0,False,False,False,False,True,False,True,True,False,True,allergy,allergic rhinitis
acrisorcin,BRD-M49658242-001-04-1,YZODJQFXMFEJRM-UHFFFAOYSA-N,24144.0,CHEMBL1201038,CCCCCCc1ccc(O)cc1O.Nc1c2ccccc2nc2ccccc12,Launched,4.0,other antifungal,Unknown [None],,,,0,other / unclassified,other / unclassified,discovery compound,,,,,,388.215,MicroSource,1504218,ACRISORCIN,61.47,22,0,1,False,9,11,3,0,3,0,True,True,True,False,True,False,True,True,False,True,infectious disease,fungal infection
actarit,BRD-K33483813-001-10-0,MROJXXOCABQVEF-UHFFFAOYSA-N,2018.0,CHEMBL1885632,CC(=O)Nc1ccc(CC(O)=O)cc1,Launched,2.0,interleukin receptor agonist,,,,,0,GPCR; growth factor / cytokine,GPCR,discovery compound,,,,,,193.074,MicroSource,1502413,ACTARIT,96.94,107,14,0,True,26,22,13,0,27,1,True,True,True,False,True,True,True,True,False,True,rheumatology,rheumatoid arthritis
adefovir,BRD-K77484724-001-03-8,SUPKOOSCJHTBAH-UHFFFAOYSA-N,60172.0,CHEMBL922,Nc1ncnc2n(CCOCP(O)(O)=O)cnc12,Launched,4.0,DNA polymerase inhibitor,DNA polymerase/reverse transcriptase inhibitor [INHIBITOR],INHIBITOR,,,0,other / unclassified,other / unclassified,discovery compound,,,,,,273.063,Sigma,MFCD00866943,[2-(6-amino-9H-purin-9-yl)ethoxy]methylphosphonic acid,99.1,7080,74,19,True,1155,1006,427,2,770,161,True,True,True,True,True,True,True,True,False,True,infectious disease,hepatitis B
adefovir-dipivoxil,BRD-K96159438-001-08-9,WOZSCQDILHKSGG-UHFFFAOYSA-N,60871.0,CHEMBL922,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc12)OCOC(=O)C(C)(C)C,Launched,4.0,DNA polymerase inhibitor,DNA polymerase/reverse transcriptase inhibitor [INHIBITOR],INHIBITOR,,,0,other / unclassified,other / unclassified,discovery compound,,,,,,501.199,MedChemEx,HY-B0255,Adefovir dipivoxil,90.59,2653,22,6,True,403,338,139,0,256,56,True,True,True,False,True,True,True,True,False,True,infectious disease,hepatitis B
adelmidrol,BRD-K78097265-001-02-9,PAHZPHDAJQIETD-UHFFFAOYSA-N,176874.0,CHEMBL2105967,OCCNC(=O)CCCCCCCC(=O)NCCO,Launched,2.0,anti-inflammatory agent,,,,,0,other / unclassified,other / unclassified,discovery compound,,,,,,274.189,MedChemEx,HY-B1026,Adelmidrol,88.06,97,11,6,True,36,28,35,0,35,0,True,True,True,False,True,False,True,True,False,True,dermatology,dermatitis
ademetionine,BRD-K78185697-001-02-5,MEFKEPWMEQBLKI-AIRLBKTGSA-O,34756.0,CHEMBL1088977,C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12,Launched,3.0,methyltransferase stimulant|phosphodiesterase inhibitor,,,,,0,epigenetic (selective probe),epigenetic (selective probe),discovery compound,,4786.0,,,,399.145,MedChemEx,HY-B0617,Ademetionine,0.0,329,6,0,True,76,56,24,0,90,8,True,True,True,False,True,True,True,True,False,True,neurology/psychiatry,depression|attention-deficit/hyperactivity disorder (ADHD)
adrafinil,BRD-A90926615-001-02-7,CGNMLOKEMNBUAI-HXUWFJFHSA-N,25271624.0,CHEMBL93077,ONC(=O)C[S@@](=O)C(c1ccccc1)c1ccccc1 |r|,Launched,2.0,adrenergic receptor agonist,,,,,0,GPCR,GPCR,discovery compound,,,,,,289.077,MedChemEx,HY-17549,Adrafinil,96.69,90,1,0,True,0,3,3,0,13,1,False,True,True,False,True,True,True,True,False,True,neurology/psychiatry,fatigue
afamelanotide,BRD-K00003330-001-01-9,UAHFGYDRQSXQEB-LEBBXHLNSA-N,91898441.0,CHEMBL4297213,CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(N)=O,Launched,4.0,melanocyte-stimulating hormone mimetic,Melanocortin receptor 1 agonist [AGONIST],AGONIST,,,0,other / unclassified,other / unclassified,discovery compound,,1324.0,10.0,pIC50,Human,1645.837,MedChemEx,HY-N2466,Melanotan I,78.21,397,14,2,True,117,105,61,0,97,12,True,True,True,False,True,True,True,True,False,True,,
