gene,module
Col2a1,10
Malat1,4
Sparc,12
Acan,8
Col11a1,10
Hapln1,8
Fn1,4
Hspg2,10
Col1a1,4
Col1a2,6
Col10a1,4
Col27a1,10
Col9a3,10
Igf2,7
Bgn,10
Col9a1,10
Col11a2,10
Peg3,10
Comp,10
Kcnq1ot1,10
Rrbp1,10
Smpd3,10
Nedd4,10
Actb,4
Fmod,10
Hdlbp,10
Col12a1,10
Eif4g2,4
Mmp13,4
Grb10,10
H19,10
Lrp1,10
Col9a2,10
Prelp,10
Ibsp,4
Loxl4,4
Fat1,4
Lect1,10
Thbs1,10
Plagl1,10
Panx3,8
Gnas,10
Pabpc1,12
Rpl18a,10
Chst11,10
Clec3a,10
Mmp9,4
Matn3,10
Sgms2,8
Ddx17,10
Nfat5,10
Spp1,4
Calu,8
Papss2,10
Macf1,4
Hsp90b1,10
Rpsa,10
P4hb,10
Runx2,4
Nktr,10
Scd2,10
Wwp2,10
Ptch1,10
Sdc3,10
Serpinh1,10
Rpl4,10
Mbnl1,8
Birc6,10
Chad,12
Dst,4
Cd24a,8
Ahnak,4
Msn,4
Plod2,10
Fndc3b,10
Sptbn1,4
Golgb1,10
Nsd1,10
Ewsr1,10
Alpl,4
Mlec,10
Raph1,8
Nid2,10
Fam120a,10
Fkbp9,10
Gas5,10
Copa,10
Irs1,10
Sec16a,10
Ctnnb1,4
Ckap4,10
Acp5,4
Neo1,10
Slc8a3,10
Timp3,4
Serinc5,8
Gsk3b,4
Susd5,8
Akap9,10
Slc44a2,8
Myo5a,8
Sf3b1,10
Npm1,10
Atp5b,4
Ncl,10
Spag9,10
Hnrnpa2b1,10
Capn6,10
Ftl1,4
Ivns1abp,10
Tpm4,4
Sox9,10
Sec31a,10
Map4k4,4
Kdelr2,10
Tpr,10
Trip12,4
Creb3l2,10
Bmpr2,4
Fry,10
Ldha,10
Mbnl2,8
Hspa5,10
Map4,4
Serinc3,4
Pde4dip,10
Zfp871,4
Mmp14,4
Arid1a,4
Igf2r,10
Matn1,8
Fgfr3,10
Surf4,10
