mouse_gene,human_gene,crispr_tier,crispr_effect_class,total_score,score_positive,score_penalty,fg_zone_bias,mouse_zone_top,human_zone_top,height_n_loci,tractable_class,blacklist_reasons,desired_intervention_direction
Brd4,,A_secondary_validated,KO_blocks_maturation,3.4207851989287352,3.4207851989287352,0.0,hypertrophic,resting,,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Unc5b,UNC5B,A_secondary_validated,KO_promotes_maturation,3.3974946188789685,4.197494618878968,0.8,hypertrophic,hypertrophic,hypertrophic,2.0,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Tjap1,TJAP1,A_secondary_validated,KO_blocks_maturation,3.031823371262845,3.031823371262845,0.0,shared,proliferative,resting,,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Hdac5,HDAC5,A_secondary_validated,KO_promotes_maturation,2.7089851780862784,4.408985178086279,1.7000000000000002,hypertrophic,resting,perichondrium,2.0,epigenetic,chromatin/epigenetic machinery - broad transcriptional liability; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Traf3ip1,TRAF3IP1,A_secondary_validated,KO_promotes_maturation,2.6505940540845847,3.450594054084585,0.8,shared,hypertrophic,proliferative,1.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Rxfp2,RXFP2,B_primary_reproducible,KO_promotes_maturation,2.381999268888605,3.1819992688886054,0.8,proliferative,resting,hypertrophic,,gpcr; membrane receptor; receptor,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
4930447C04Rik,C14orf39,,KO_blocks_maturation,2.0324845399104534,2.0324845399104534,0.0,proliferative,resting,resting,16.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Dot1l,DOT1L,,KO_blocks_maturation,1.989310958440733,1.989310958440733,0.0,hypertrophic,proliferative,proliferative,18.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ankrd11,ANKRD11,A_secondary_validated,KO_blocks_maturation,1.9781098447379477,2.7781098447379478,0.8,hypertrophic,proliferative,hypertrophic,6.0,,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
Smpd4,SMPD4,B_primary_reproducible,KO_promotes_maturation,1.6697025935667351,2.469702593566735,0.8,shared,proliferative,,,enzyme; hydrolase,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Adamts19,ADAMTS19,,KO_blocks_maturation,1.6198060929091915,1.6198060929091915,0.0,proliferative,proliferative,proliferative,4.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Cab39,CAB39,,KO_blocks_maturation,1.4885543342406855,1.4885543342406855,0.0,hypertrophic,hypertrophic,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ldb1,LDB1,,KO_blocks_maturation,1.462649542285298,1.462649542285298,0.0,shared,resting,resting,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Zc3h13,ZC3H13,,KO_blocks_maturation,1.4496225989620142,1.4496225989620142,0.0,hypertrophic,hypertrophic,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Igf2bp1,IGF2BP1,,KO_promotes_maturation,1.3885785408465323,2.1885785408465326,0.8,hypertrophic,hypertrophic,hypertrophic,14.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Adm,ADM,,KO_blocks_maturation,1.3856093660192332,1.3856093660192332,0.0,hypertrophic,hypertrophic,hypertrophic,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Acan,ACAN,,KO_blocks_maturation,1.374688359400609,1.374688359400609,0.0,shared,resting,hypertrophic,67.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Sema4g,SEMA4G,,KO_blocks_maturation,1.3571019125305623,1.3571019125305623,0.0,shared,hypertrophic,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Tnnc2,TNNC2,,KO_blocks_maturation,1.3569669128295714,1.3569669128295714,0.0,proliferative,proliferative,resting,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Arhgap21,ARHGAP21,,KO_blocks_maturation,1.3518821673032306,1.3518821673032306,0.0,hypertrophic,resting,resting,6.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Edc4,EDC4,A_secondary_validated,KO_promotes_maturation,1.3166777091383657,3.4166777091383658,2.1,shared,resting,hypertrophic,,,essential in a substantial minority of DepMap screens; flagged essential by Open Targets,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Raf1,RAF1,,KO_blocks_maturation,1.275399766026161,1.275399766026161,0.0,hypertrophic,hypertrophic,hypertrophic,3.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Crabp2,CRABP2,,KO_blocks_maturation,1.2532906194089537,1.2532906194089537,0.0,proliferative,proliferative,proliferative,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ppard,PPARD,,KO_blocks_maturation,1.2368436376004408,1.2368436376004408,0.0,hypertrophic,resting,proliferative,21.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Itgb1bp2,ITGB1BP2,,KO_blocks_maturation,1.2354296120484394,1.2354296120484394,0.0,proliferative,proliferative,proliferative,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Sqle,SQLE,,KO_blocks_maturation,1.181426646171903,1.181426646171903,0.0,shared,hypertrophic,hypertrophic,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Grb14,GRB14,,KO_blocks_maturation,1.1778744258636449,1.1778744258636449,0.0,hypertrophic,hypertrophic,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Zfp57,ZFP57,,KO_blocks_maturation,1.1733108105401542,1.1733108105401542,0.0,shared,resting,hypertrophic,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ap3d1,AP3D1,,KO_blocks_maturation,1.1536607065373126,1.1536607065373126,0.0,shared,resting,prehypertrophic,10.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ppp1r9a,PPP1R9A,,KO_blocks_maturation,1.1300187238622523,1.1300187238622523,0.0,proliferative,resting,perichondrium,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Furin,FURIN,,KO_blocks_maturation,1.1149397279751954,1.1149397279751954,0.0,hypertrophic,proliferative,prehypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Csnk1e,CSNK1E,,KO_blocks_maturation,1.094253421249442,1.094253421249442,0.0,hypertrophic,hypertrophic,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Dhcr24,DHCR24,,KO_blocks_maturation,1.083726676093023,1.083726676093023,0.0,shared,proliferative,hypertrophic,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Rpl39l,,,KO_blocks_maturation,1.0768141267443967,1.0768141267443967,0.0,proliferative,hypertrophic,,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Vill,VILL,,KO_blocks_maturation,1.0701304834179004,1.0701304834179004,0.0,shared,resting,proliferative,3.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Clcn5,CLCN5,,KO_blocks_maturation,1.0592946550530424,1.0592946550530424,0.0,hypertrophic,resting,resting,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Eps8l2,EPS8L2,,KO_blocks_maturation,1.0494227062768655,1.0494227062768655,0.0,hypertrophic,resting,resting,4.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
A2m,A2M,,KO_blocks_maturation,1.048607138058707,1.048607138058707,0.0,proliferative,resting,resting,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Fgfr3,FGFR3,,KO_promotes_maturation,1.0468045798083374,1.8468045798083372,0.8,proliferative,hypertrophic,hypertrophic,11.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Myh6,MYH6,,KO_blocks_maturation,1.0465589131157174,1.0465589131157174,0.0,proliferative,proliferative,proliferative,3.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Myo9b,MYO9B,,KO_blocks_maturation,1.0458349876169224,1.0458349876169224,0.0,shared,resting,proliferative,11.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Stfa1,CSTA,,KO_blocks_maturation,1.0418671553789431,1.0418671553789431,0.0,hypertrophic,,perichondrium,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ntn4,NTN4,,KO_blocks_maturation,1.0322251758226573,1.0322251758226573,0.0,hypertrophic,resting,perichondrium,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Bdh1,BDH1,,KO_blocks_maturation,1.0312358577236325,1.0312358577236325,0.0,shared,hypertrophic,hypertrophic,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Sned1,SNED1,,KO_promotes_maturation,1.0107555712799332,1.8107555712799333,0.8,hypertrophic,resting,resting,8.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Hsd17b14,HSD17B14,,KO_blocks_maturation,1.010227809558719,1.010227809558719,0.0,proliferative,proliferative,proliferative,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Gngt2,GNGT2,,KO_blocks_maturation,1.0096679833786968,1.0096679833786968,0.0,hypertrophic,hypertrophic,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Hmga2,HMGA2,,KO_promotes_maturation,0.9997574763312592,1.7997574763312592,0.8,shared,resting,resting,46.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
H2-DMa,HLA-DMA,,KO_blocks_maturation,0.986826954025836,0.986826954025836,0.0,proliferative,resting,resting,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Med12,MED12,,KO_blocks_maturation,0.9813920846433566,0.9813920846433566,0.0,proliferative,proliferative,perichondrium,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Taf5l,TAF5L,,KO_blocks_maturation,0.980835891547028,0.980835891547028,0.0,shared,proliferative,proliferative,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Wnt4,WNT4,,KO_promotes_maturation,0.9730561561049508,1.7730561561049507,0.8,shared,hypertrophic,proliferative,15.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Srsf11,SRSF11,,KO_blocks_maturation,0.9652291485791882,0.9652291485791882,0.0,shared,proliferative,hypertrophic,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ihh,IHH,,KO_promotes_maturation,0.9624078299013206,1.7624078299013206,0.8,hypertrophic,hypertrophic,hypertrophic,12.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Rab11fip4,RAB11FIP4,,KO_blocks_maturation,0.9596017416063756,0.9596017416063756,0.0,proliferative,resting,hypertrophic,9.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Disp1,DISP1,,KO_blocks_maturation,0.9579244429980468,0.9579244429980468,0.0,hypertrophic,resting,hypertrophic,9.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Efhc2,EFHC2,,KO_blocks_maturation,0.9568750249438897,0.9568750249438897,0.0,proliferative,hypertrophic,hypertrophic,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Acta2,ACTA2,,KO_blocks_maturation,0.9517107621346385,0.9517107621346385,0.0,shared,proliferative,perichondrium,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Trib3,TRIB3,,KO_blocks_maturation,0.9513714538885502,0.9513714538885502,0.0,hypertrophic,hypertrophic,resting,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Slc2a1,SLC2A1,B_primary_reproducible,KO_promotes_maturation,0.9480576905421136,3.4480576905421136,2.5,shared,resting,prehypertrophic,4.0,transporter,essential in a substantial minority of DepMap screens; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Fbxo17,FBXO17,,KO_blocks_maturation,0.9446131590702777,0.9446131590702777,0.0,shared,proliferative,hypertrophic,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Cep131,CEP131,,KO_blocks_maturation,0.9297973916645732,0.9297973916645732,0.0,shared,resting,perichondrium,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Atoh8,ATOH8,,KO_blocks_maturation,0.923279080162136,0.923279080162136,0.0,hypertrophic,resting,perichondrium,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Stam,STAM,,KO_blocks_maturation,0.90300891721885,0.90300891721885,0.0,shared,proliferative,proliferative,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Fasn,FASN,,KO_promotes_maturation,0.9023300424803928,1.7023300424803929,0.8,proliferative,proliferative,proliferative,1.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Smoc2,SMOC2,,KO_promotes_maturation,0.8787554071752746,1.6787554071752746,0.8,shared,proliferative,hypertrophic,43.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Dab1,DAB1,,KO_promotes_maturation,0.8685820082841038,1.668582008284104,0.8,proliferative,proliferative,proliferative,1.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Polr3c,POLR3C,,KO_blocks_maturation,0.8605637281933505,0.8605637281933505,0.0,hypertrophic,hypertrophic,prehypertrophic,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Phactr2,PHACTR2,,KO_blocks_maturation,0.8537027192995371,0.8537027192995371,0.0,proliferative,resting,hypertrophic,4.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Mfap2,MFAP2,,KO_promotes_maturation,0.8528539867738414,2.0528539867738416,1.2000000000000002,shared,resting,resting,9.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Prrc2a,PRRC2A,,KO_promotes_maturation,0.8423531298944846,1.642353129894485,0.8,shared,proliferative,proliferative,7.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Hgs,HGS,,KO_blocks_maturation,0.8389618034117037,0.8389618034117037,0.0,hypertrophic,proliferative,perichondrium,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Scin,SCIN,,KO_promotes_maturation,0.837408789071272,1.637408789071272,0.8,proliferative,hypertrophic,hypertrophic,7.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Fam122b,,,KO_blocks_maturation,0.8361907719690436,0.8361907719690436,0.0,shared,proliferative,,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Prkg1,PRKG1,,KO_blocks_maturation,0.8336863075146655,0.8336863075146655,0.0,hypertrophic,resting,perichondrium,29.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Serinc5,SERINC5,,KO_blocks_maturation,0.8306015586805935,0.8306015586805935,0.0,hypertrophic,hypertrophic,prehypertrophic,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Nsdhl,NSDHL,,KO_blocks_maturation,0.8278007351217289,0.8278007351217289,0.0,proliferative,hypertrophic,hypertrophic,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Dennd6b,DENND6B,,KO_blocks_maturation,0.8054668864971247,0.8054668864971247,0.0,proliferative,resting,proliferative,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Itpr2,ITPR2,,KO_blocks_maturation,0.7972124357697687,0.7972124357697687,0.0,hypertrophic,resting,perichondrium,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Rnf126,RNF126,,KO_blocks_maturation,0.7941637561580746,0.7941637561580746,0.0,proliferative,resting,prehypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
P4ha2,P4HA2,,KO_promotes_maturation,0.787934578924038,1.587934578924038,0.8,proliferative,resting,,14.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Pdlim5,PDLIM5,,KO_blocks_maturation,0.7853851673544152,0.7853851673544152,0.0,hypertrophic,proliferative,perichondrium,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Pclo,PCLO,,KO_blocks_maturation,0.7828530458436838,0.7828530458436838,0.0,proliferative,proliferative,hypertrophic,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Psat1,PSAT1,,KO_blocks_maturation,0.7813834685374428,0.7813834685374428,0.0,shared,hypertrophic,perichondrium,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Myrf,MYRF,,KO_blocks_maturation,0.7755767963224145,0.7755767963224145,0.0,proliferative,hypertrophic,resting,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
