mouse_gene,human_gene,crispr_tier,crispr_effect_class,total_score,score_positive,score_penalty,fg_zone_bias,mouse_zone_top,human_zone_top,height_n_loci,tractable_class,blacklist_reasons,desired_intervention_direction
Eif4e2,EIF4E2,A_secondary_validated,KO_blocks_maturation,4.8153,4.8153,0.0,shared,proliferative,proliferative,6.0,small-molecule pocket,,"inhibit (delay hypertrophic transition, prolong growth window)"
Nedd4,NEDD4,A_secondary_validated,KO_blocks_maturation,4.45125,4.45125,0.0,proliferative,proliferative,proliferative,8.0,enzyme; ligase,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ezh2,EZH2,A_secondary_validated,KO_promotes_maturation,4.31292,5.61292,1.3,proliferative,proliferative,proliferative,7.0,epigenetic; transferase,chromatin/epigenetic machinery - broad transcriptional liability; annotated tumour suppressor - unsuitable for chronic paediatric exposure; annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Apc,APC,A_secondary_validated,KO_blocks_maturation,4.12685,4.92685,0.8,hypertrophic,hypertrophic,hypertrophic,6.0,small-molecule pocket,essential in a substantial minority of DepMap screens; multiple curated cancer hallmark roles,"inhibit (delay hypertrophic transition, prolong growth window)"
Alad,ALAD,A_secondary_validated,KO_blocks_maturation,3.87763,3.87763,0.0,shared,resting,resting,3.0,enzyme; lyase,,"inhibit (delay hypertrophic transition, prolong growth window)"
Unc5b,UNC5B,A_secondary_validated,KO_promotes_maturation,3.46416,4.26416,0.8,hypertrophic,hypertrophic,hypertrophic,2.0,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Bambi,BAMBI,A_secondary_validated,KO_promotes_maturation,3.37015,4.17015,0.8,hypertrophic,hypertrophic,hypertrophic,2.0,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Smad6,SMAD6,A_secondary_validated,KO_promotes_maturation,3.35759,4.15759,0.8,shared,hypertrophic,hypertrophic,9.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Pibf1,PIBF1,A_secondary_validated,KO_promotes_maturation,3.29477,4.49477,1.2,shared,proliferative,proliferative,2.0,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Pitrm1,PITRM1,A_secondary_validated,KO_blocks_maturation,3.15215,3.95215,0.8,shared,proliferative,proliferative,3.0,enzyme,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
Arnt,ARNT,A_secondary_validated,KO_promotes_maturation,3.00159,4.72302,1.72143,shared,resting,resting,1.0,small-molecule pocket,multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Kdm2a,KDM2A,A_secondary_validated,KO_blocks_maturation,2.81776,4.81776,2.0,shared,hypertrophic,hypertrophic,6.0,epigenetic,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets; chromatin/epigenetic machinery - broad transcriptional liability,"inhibit (delay hypertrophic transition, prolong growth window)"
Clic1,CLIC1,B_primary_reproducible,KO_promotes_maturation,2.45973,3.25973,0.8,hypertrophic,resting,resting,1.0,enzyme; oxidoreductase,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Mettl14,METTL14,A_secondary_validated,KO_blocks_maturation,2.42149,4.42149,2.0,shared,hypertrophic,hypertrophic,1.0,small-molecule pocket,pan-essential in DepMap (>50% of screens gene effect < -0.5); flagged essential by Open Targets,"inhibit (delay hypertrophic transition, prolong growth window)"
Wdr19,WDR19,B_primary_reproducible,KO_promotes_maturation,2.28497,3.08497,0.8,shared,resting,resting,1.0,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Slco2b1,SLCO2B1,B_primary_reproducible,KO_promotes_maturation,2.12767,3.42767,1.3,hypertrophic,hypertrophic,hypertrophic,1.0,transporter,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
4930447C04Rik,C14orf39,,KO_blocks_maturation,2.03248,2.03248,0.0,proliferative,resting,resting,16.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Dot1l,DOT1L,,KO_blocks_maturation,1.98931,1.98931,0.0,hypertrophic,proliferative,proliferative,18.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ccnf,CCNF,B_primary_reproducible,KO_promotes_maturation,1.79334,2.59334,0.8,proliferative,proliferative,proliferative,3.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Brinp1,BRINP1,B_primary_reproducible,KO_promotes_maturation,1.77478,2.97478,1.2,shared,proliferative,proliferative,5.0,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Smpd3,SMPD3,,KO_blocks_maturation,1.66941,1.66941,0.0,proliferative,hypertrophic,hypertrophic,3.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Tgfb2,TGFB2,,KO_blocks_maturation,1.64155,1.64155,0.0,shared,proliferative,proliferative,22.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Adamts19,ADAMTS19,,KO_blocks_maturation,1.61981,1.61981,0.0,proliferative,proliferative,proliferative,4.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Chchd7,CHCHD7,,KO_blocks_maturation,1.57323,1.57323,0.0,proliferative,proliferative,proliferative,20.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Cab39,CAB39,,KO_blocks_maturation,1.55522,1.55522,0.0,hypertrophic,hypertrophic,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Fbxl17,FBXL17,,KO_blocks_maturation,1.54393,1.54393,0.0,shared,hypertrophic,hypertrophic,12.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
