compound,chembl_id,compound_family,primary_target_queried,biochemical_potency_nM,biochemical_n,cellular_potency_nM,cellular_n,mouse_potency_nM,mouse_n,human_potency_nM,human_n,primary_target_potency_nM,strongest_offtarget,strongest_offtarget_potency_nM,selectivity_fold,potency_types,n_activities
CHEMBL78455,CHEMBL78455,FAK / adhesion turnover,SRC,0.25,1,,0,,0,0.25,1,0.25,,,,IC50,1
CHEMBL487229,CHEMBL487229,FAK / adhesion turnover,PTK2,0.5,1,,0,,0,0.5,1,0.5,PTK2B,5.0,10.0,IC50,1
CHEMBL488247,CHEMBL488247,FAK / adhesion turnover,PTK2,0.94,1,,0,,0,0.94,1,0.94,PTK2B,35.0,37.23,IC50,1
CHEMBL452341,CHEMBL452341,FAK / adhesion turnover,PTK2,1.0,1,,0,,0,1.0,1,1.0,PTK2B,2.0,2.0,IC50,1
CHEMBL472212,CHEMBL472212,FAK / adhesion turnover,PTK2,1.1,3,,0,,0,1.1,3,1.1,PTK2B,13.0,11.82,IC50,3
BOSUTINIB,CHEMBL288441,FAK / adhesion turnover,SRC,1.2,3,100.0,1,,0,1.2,4,1.2,MYLK,134.0,111.67,IC50,4
CHEMBL290921,CHEMBL290921,FAK / adhesion turnover,SRC,1.4,1,,0,,0,1.4,1,1.4,,,,IC50,1
PF-00562271,CHEMBL1084546,FAK / adhesion turnover,PTK2,1.5,1,,0,,0,1.5,1,1.5,MYH10,14.0,9.33,IC50,1
CHEMBL124333,CHEMBL124333,FAK / adhesion turnover,SRC,1.5,1,,0,,0,1.5,1,1.5,,,,IC50,1
CHEMBL513744,CHEMBL513744,FAK / adhesion turnover,PTK2,1.9,1,,0,,0,1.9,1,1.9,PTK2B,190.0,100.0,IC50,1
CHEMBL452341,CHEMBL452341,FAK / adhesion turnover,PTK2B,2.0,1,,0,,0,2.0,1,2.0,PTK2B,2.0,1.0,IC50,1
CHEMBL42136,CHEMBL42136,FAK / adhesion turnover,SRC,2.0,1,,0,,0,2.0,1,2.0,,,,IC50,1
