compound,compound_family,primary_target_queried,mouse_potency_nM,mouse_n,human_potency_nM,human_n,species_gap_fold,interpretation
PD-0166285,FAK / adhesion turnover,SRC,9.0,1,9.0,1,1.0,within 3-fold
CHEMBL585927,FAK / adhesion turnover,PTK2B,10.0,3,42.5,2,4.25,human potency much weaker - a mouse assay will overestimate
CHEMBL570380,FAK / adhesion turnover,PTK2B,10.0,3,159.7,2,15.97,human potency much weaker - a mouse assay will overestimate
CHEMBL1084269,FAK / adhesion turnover,PTK2B,190.0,1,637.0,1,3.35,human potency much weaker - a mouse assay will overestimate
CHEMBL49596,FAK / adhesion turnover,SRC,260.0,1,260.0,1,1.0,within 3-fold
LOVASTATIN,RORalpha / lipid pathway,HMGCR,27.0,1,0.7400000000000001,12,0.03,mouse potency much weaker - a mouse assay will underestimate
CHEMBL11804,RORalpha / lipid pathway,HMGCR,43.0,1,1392.0,3,32.37,human potency much weaker - a mouse assay will overestimate
CHEMBL33780,RORalpha / lipid pathway,SOAT1,90.0,1,38.0,7,0.42,within 3-fold
CHEMBL11891,RORalpha / lipid pathway,HMGCR,120.0,1,1720.0,1,14.33,human potency much weaker - a mouse assay will overestimate
CHEMBL276717,RORalpha / lipid pathway,HMGCR,630.0,1,1290.0,1,2.05,within 3-fold
AVASIMIBE,RORalpha / lipid pathway,SOAT1,166.0,3,581.1,2,3.5,human potency much weaker - a mouse assay will overestimate
CL-976,RORalpha / lipid pathway,SOAT1,319.0,2,493.3,8,1.55,within 3-fold
CHEMBL1535331,Rho/Rac/Cdc42 modulator,RAC1,3340.0,2,95000.0,1,28.44,human potency much weaker - a mouse assay will overestimate
CHEMBL2133556,ion / volume regulation,TRPV4,17.0,2,57.0,2,3.35,human potency much weaker - a mouse assay will overestimate
CHEMBL4074929,ion / volume regulation,ANO1,50.0,1,30.0,4,0.6,within 3-fold
CHEMBL4080525,ion / volume regulation,ANO1,30.0,1,68.5,6,2.28,within 3-fold
CHEMBL3613642,ion / volume regulation,TRPV4,83.3,2,435.0,2,5.22,human potency much weaker - a mouse assay will overestimate
CHEMBL4303374,ion / volume regulation,PIEZO1,1083.0,4,3820.0,3,3.53,human potency much weaker - a mouse assay will overestimate
CHEMBL4104747,ion / volume regulation,ANO1,1530.0,1,1547.0,4,1.01,within 3-fold
CHEMBL4781948,ion / volume regulation,ANO1,2740.0,1,1250.0,2,0.46,within 3-fold
CHEMBL4791938,ion / volume regulation,ANO1,1750.0,1,2360.0,1,1.35,within 3-fold
CHEMBL4764417,ion / volume regulation,ANO1,3120.0,1,2290.0,1,0.73,within 3-fold
CHEMBL1505295,ion / volume regulation,ANO1,2500.0,1,2950.0,1,1.18,within 3-fold
CHEMBL4747471,ion / volume regulation,ANO1,2560.0,1,3100.0,1,1.21,within 3-fold
CHEMBL4757077,ion / volume regulation,ANO1,2630.0,1,2830.0,1,1.08,within 3-fold
CHEMBL2324347,ion / volume regulation,TRPV4,5900.0,2,2300.0,1,0.39,within 3-fold
CHEMBL4784760,ion / volume regulation,ANO1,5660.0,1,3090.0,1,0.55,within 3-fold
CHEMBL4796667,ion / volume regulation,ANO1,4070.0,1,4790.0,1,1.18,within 3-fold
CHEMBL1084738,polarity / cilia,SMO,0.002,1,2.8,2,1400.0,human potency much weaker - a mouse assay will overestimate
CHEMBL1209455,polarity / cilia,SMO,0.7,1,1.0,1,1.43,within 3-fold
CHEMBL497266,polarity / cilia,SMO,2.24,3,15.0,1,6.7,human potency much weaker - a mouse assay will overestimate
CHEMBL1209454,polarity / cilia,SMO,3.0,1,5.8,1,1.93,within 3-fold
CHEMBL485870,polarity / cilia,SMO,3.16,3,8.0,1,2.53,within 3-fold
CHEMBL474507,polarity / cilia,SMO,4.0,1,7.0,1,1.75,within 3-fold
CHEMBL471672,polarity / cilia,SMO,6.0,1,10.0,1,1.67,within 3-fold
CHEMBL474503,polarity / cilia,SMO,9.0,1,7.0,1,0.78,within 3-fold
CHEMBL473896,polarity / cilia,SMO,8.0,1,14.0,1,1.75,within 3-fold
CHEMBL474893,polarity / cilia,SMO,10.0,1,30.0,1,3.0,within 3-fold
CHEMBL519219,polarity / cilia,SMO,19.0,3,21.0,1,1.11,within 3-fold
CHEMBL497238,polarity / cilia,SMO,22.6,3,17.0,1,0.75,within 3-fold
CHEMBL520858,polarity / cilia,SMO,19.2,3,70.0,1,3.65,human potency much weaker - a mouse assay will overestimate
CHEMBL497437,polarity / cilia,SMO,19.6,3,34.0,1,1.73,within 3-fold
