pmcid,pmid,year,title,figure,compounds,species,developmental_age,age_class,bone,normal_or_disease,culture_duration,concentration,exposure_schedule,longitudinal_length,appositional_width,terminal_cell_height,cell_volume_or_area,aspect_ratio,orientation,column_organisation,proliferation,apoptosis,matrix,washout_or_recovery,three_d_imaging,evidence_class,source_quotation,manual_review,evidence_class_automated,inspected_manually
PMC8085225,33927279,,Estrogen withdrawal alters cytoskeletal and primary ciliary dynamics resulting in increased Hedgehog and osteoclastogenic paracrine signalling in osteocytes.,Figure 5,Y27632,mouse,fetal,embryonic,,disease model,5 day,,continuous,False,False,False,True,False,False,False,False,False,False,True,False,3 inferred mechanics without morphology data,"The effect of actin contractility inhibition (E + Y27632) and α v β 3 antagonism (E + α v β 3 antagonism) on the actin cytoskeleton and focal adhesion assembly. Immunocytochemistry images showing (A) actin and nuclei staining and (B) vinculin and nuclei staining (N = 3, n ≥ 95 cells per group). Quantification of the images showing (C) cell area, (D) actin fluorescent intensity, (E) anisotropy of the actin fibres, (F) number of focal adhesions per cell, (G) focal adhesion area, (H) focal adhesion area per cell, and (I) % focal adhesion area/cell area. (Student’s t-test, *p &lt; 0.05, **p &lt; 0.01, ***p &lt; 0.001, ****p &lt; 0.0001).","The caption's 'anisotropy' is anisotropy of ACTIN FIBRES in cultured osteocytes, not chondrocyte axial geometry. The quantified panels are cell area, actin intensity, focal adhesion number and area. No cell height, no aspect ratio, no bone. The automated classifier matched the word and was wrong.",1 direct measured axial geometry,True
PMC10279950,37346276,,Influence of Rho/ROCK inhibitor Y-27632 on proliferation of equine mesenchymal stromal cells.,Figure 2,Y-27632,,,not stated,,normal,,,,False,False,False,False,False,False,False,False,False,False,True,False,2 general morphology without axial measurement,"Brightfield microscopy of ASC and BMSC. Cells were treated with 10 ng/mL TGF-β3 or 10 μM Y-27632, and in combination or with 10 μM etoposide and analyzed after 48 h incubation. Representative images show cell morphology and confluency after stimulation. Arrows highlight single flattened cells with poor contrast.",,2 general morphology without axial measurement,False
PMC10283062,37351173,,Microtubule stabilization targeting regenerative chondrocyte cluster for cartilage regeneration.,Figure 4,nocodazole,rat; human,,not stated,femoral,normal,,,,False,False,False,False,False,False,False,False,False,False,False,True,2 general morphology without axial measurement,"Microtubule stabilization promotes chondrogenesis and regeneration in human chondrocytes and rat cartilage repair. (A) Pellet cultures in chondrogenic medium (CM) treated with different concentrations of nocodazole (N) and docetaxel (D) for 4 weeks. SO and toluidine blue (TB) staining and immunohistochemical staining of Col II and Col I of pellets. Scale bar, 100 μm. (B) Quantification of data A, n = 3. MT stabilization by docetaxel treatment promoted the chondrogenesis. Scale bar, 200 μm. (C) Macroscopic appearance and histology of the cartilage defect in rat knee joint. Top: gross view of femoral condyle, middle: close-up view of the trochlear region, lower: micro-CT 3D reconstruction. Whi",,2 general morphology without axial measurement,False
PMC10371340,37219951,,TIAM1 acts as an actin organization regulator to control adipose tissue-derived pericyte cell fate.,Figure 5,NSC23766; Y27632,mouse; human,fetal,embryonic,,normal,3 day,,,False,False,False,False,False,False,False,True,False,False,False,False,2 general morphology without axial measurement,"Rac1 and ROCK inhibitors alter pericyte morphology and osteo/adipogenic differentiation potential with TIAM1 misexpression. ( A and B ) Pericyte morphology after 48 hours of treatment with NSC23766 (Rac1 inhibitor, 5 μM) or Y27632 (ROCK inhibitor, 10 μM). F-actin appears green and DAPI staining appears blue. Images shown of human pericytes with TIAM1 -KD or scramble siRNA. ( C ) Osteogenic gene markers at day 7 of osteogenic differentiation among TIAM1 -KD or siRNA control–treated pericytes with NSC23766 or Y27632, as assessed by qRT-PCR. ALPL, alkaline phosphatase; BGLAP, osteocalcin; SP7, osterix. ( D and E ) Alizarin red staining and quantification on day 10 of osteogenic differentiation.",,2 general morphology without axial measurement,False
PMC10508846,37731766,,PIEZO1 is downregulated in glenohumeral chondrocytes in early cuff tear arthropathy following a massive rotator cuff tear in a mouse model.,FIGURE 1,Yoda1,mouse,22 week old,postnatal,femur,normal,,5 nM,,False,False,False,False,False,False,False,True,True,False,False,True,2 general morphology without axial measurement,"Chondrocyte mechano-vulnerability in humeral heads of C57BL6/J male mice. (A) Schematic of mechano-vulnerability set up. Humeral heads were imaged via fluorescence confocal microscopy before and after the 2mJ impact. The live and dead cells are indicated in red and green as shown. Cells outside of the sphericity of the humeral head are within the stump of the rotator cuff tendons and joint capsule, which was reflected during dissection. (B) Representative images of live/dead assay after 2mJ impact of humeral cartilage of contralateral control group (DMSO 0.02%) and with Yoda1, PIEZO1 specific agonist (10 μM) i. Micrograph of before impact, scale bar = 200 μm ii. Micrograph of after impact, s",,2 general morphology without axial measurement,False
PMC10728492,38116014,,Inhibition of focal adhesion kinase 2 results in a macrophage polarization shift to M2 which attenuates local and systemic inflammation and reduces heterotopic ossification after polysystem extremity trauma.,Figure 1,defactinib,rat,12-week old,postnatal,femur,normal,14 day,,continuous,False,False,False,False,False,False,False,False,False,False,False,False,2 general morphology without axial measurement,"Illustration of the research study design and experimental approach. Adult male Sprague Dawley rats (350-450 g) underwent a sequential polysystem injury involving whole-body blast overpressure (120 kPa), a complex orthopaedic injury involving a mid-shaft femur fracture and medial quadriceps crush injury, followed by 180 min of tourniquet induced ischemia, and immediate hindlimb amputation. During the same anesthetic event, subcutaneous Alzet osmotic drug delivery pumps were implanted in the dorsum behind the scapulae containing either vehicle solution (1:1 DMSO to PEG300) or Defactinib (PF573228; mean pumping rate: 10 mg/kg/day; 6.94 µg/kg/min for 14 days). Cohorts of rats (n=5 per group for",,2 general morphology without axial measurement,False
PMC11873292,40025030,,Apolipoprotein E is a marker of all chondrocytes in the growth plate resting zone.,Fig. 3,cholesterol,mouse,4-week-old,postnatal,Tibial,normal,,,,False,False,False,False,False,False,False,False,False,False,False,False,2 general morphology without axial measurement,"Systemic and skeletal phenotypes of newly generated Apoe mCherry/+ mice. a Gene editing strategy to generate Apoe mCherry knock-in mice. b Body weights ( Apoe +/+ males = 19, Apoe +/+ females = 11, Apoe mCherry/+ males = 12, Apoe mCherry/+ females = 13), femur lengths measured by micro-CT scanning ( Apoe +/+ males = 11, Apoe +/+ females = 9, Apoe mCherry/+ males = 12, Apoe mCherry/+ females = 11), plasma APOE levels measured by ELISA ( n = 5 for each group), and blood lipid levels measured by colorimetric assays ( n = 5 for each group except the total cholesterol level in the Apoe mCherry/+ group which is n = 4). Samples were from independent animals. Data were presented as mean ± SD. Two-wa",,2 general morphology without axial measurement,False
PMC11889814,40057686,,Piezo1 promotes intervertebral disc degeneration through the Ca&lt;sup&gt;2+&lt;/sup&gt;/F-actin/Yap signaling axis.,Fig. 1,GsMTx4; Yoda1,mouse,,not stated,vertebral,normal,,,,False,False,False,False,False,False,False,False,False,False,False,False,2 general morphology without axial measurement,"Piezo1 is involved in intervertebral disc degeneration. A The L4/5 level intervertebral discs from the CTRL, IVDD, IVDD + Yoda1 and IVDD + GsMTx4 groups were stained with hematoxylin–eosin. The black arrow highlights the bone tissue (scale bar, 200 μm). B The height of the intervertebral discs in the four groups were analyzed by Micro-CT (scale bar, 2.0 mm). C The CEPs from the four groups were analyzed using Micro-CT to detect the bone density (scale bar, 100 μm). D Analysis of the histological scores of the lumbar vertebrae from the four groups. E Histomorphometry analysis of the intervertebral disc heights of the four groups. F Bone volume/total volume was used to evaluate the calcificati",,2 general morphology without axial measurement,False
PMC11889814,40057686,,Piezo1 promotes intervertebral disc degeneration through the Ca&lt;sup&gt;2+&lt;/sup&gt;/F-actin/Yap signaling axis.,Fig. 4,Yoda1,mouse,,not stated,,normal,,,,False,False,False,False,False,False,False,False,True,True,False,False,2 general morphology without axial measurement,"Piezo1 activation can promote Yap activation via calcium influx. A The intracellular calcium content in chondrocytes was determined following intervention with the Piezo1 agonist, Yoda1 (30 μM), for 24 h, TBHP (100 μM) for 6 h, and BAPTA-AM (5 μM) for 24 h using pCMV-jGCaMP7c. The intracellular calcium content was observed by the green fluorescence intensity using an inverted microscope (scale bar, 25 μm). B The cytoskeleton morphology was measured by Actin-Tracker Red-594 following intervention with Yoda1, TBHP and BAPTA-AM. The cytoskeleton morphology was observed under an inverted microscope (scale bar, 12.5 μm). C The protein levels of CTGF and the ratio of Yap/p-Yap were detected by wes",,2 general morphology without axial measurement,False
PMC11889814,40057686,,Piezo1 promotes intervertebral disc degeneration through the Ca&lt;sup&gt;2+&lt;/sup&gt;/F-actin/Yap signaling axis.,Fig. 5,Yoda1; latrunculin,mouse,,not stated,,normal,,,,False,False,False,False,False,False,False,False,True,True,False,False,2 general morphology without axial measurement,"Piezo1 activation can promote Yap activation via cytoskeleton polymerization. A The intracellular calcium content in chondrocytes was determined following intervention with the Piezo1 agonist, Yoda1 (30 μM), for 24 h, TBHP (100 μM) for 6 h, and Latrunculin A (0.5 μM) for 30 min using pCMV-jGCaMP7c. The intracellular calcium content was observed by the green fluorescence intensity using an inverted microscope (scale bar, 25 μm). B The cytoskeleton morphology was measured by Actin-Tracker Red-594 following intervention with Yoda1, TBHP and Latrunculin A. The cytoskeleton morphology was observed under an inverted microscope (scale bar, 12.5 μm). C The ratio of Yap/p-Yap and the protein level of",,2 general morphology without axial measurement,False
