animal_id,litter_id,bone_id,foot,digit,arm,arm_role,node,concentration,plate_id,well_position,mounting_orientation,imaging_batch,annotator_blinded,arm_label_masked_until_analysis_lock
A001,L01,A001-B1,L,3,VISMODEGIB,COMPOUND,SMO,SET IN STAGE 71 - lowest engaging rung,P01,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB01,True,True
A001,L01,A001-B2,L,4,hypotonic medium,OSMOTIC_SWELLING_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P01,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB01,True,True
A001,L01,A001-B3,R,3,cytochalasin D,BROAD_ACTIN_DISRUPTION_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P01,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB01,True,True
A001,L01,A001-B4,R,4,bafilomycin A1,TRADE_OFF_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P01,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB01,True,True
A002,L01,A002-B1,L,3,cytochalasin D,BROAD_ACTIN_DISRUPTION_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P01,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB01,True,True
A002,L01,A002-B2,L,4,hypotonic medium,OSMOTIC_SWELLING_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P01,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB01,True,True
A002,L01,A002-B3,R,3,IGF1,PRODUCTIVE_GROWTH_BENCHMARK,-,SET IN STAGE 71 - lowest engaging rung,P01,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB01,True,True
A002,L01,A002-B4,R,4,VISMODEGIB,COMPOUND,SMO,SET IN STAGE 71 - lowest engaging rung,P01,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB01,True,True
A003,L01,A003-B1,L,3,cytochalasin D,BROAD_ACTIN_DISRUPTION_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P01,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB01,True,True
A003,L01,A003-B2,L,4,BOSUTINIB,COMPOUND,SRC,SET IN STAGE 71 - lowest engaging rung,P01,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB01,True,True
A003,L01,A003-B3,R,3,bafilomycin A1,TRADE_OFF_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P01,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB01,True,True
A003,L01,A003-B4,R,4,IGF1,PRODUCTIVE_GROWTH_BENCHMARK,-,SET IN STAGE 71 - lowest engaging rung,P01,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB01,True,True
A004,L01,A004-B1,L,3,BOSUTINIB,COMPOUND,SRC,SET IN STAGE 71 - lowest engaging rung,P02,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB01,True,True
A004,L01,A004-B2,L,4,vehicle,VEHICLE,-,SET IN STAGE 71 - lowest engaging rung,P02,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB01,True,True
A004,L01,A004-B3,R,3,bafilomycin A1,TRADE_OFF_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P02,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB01,True,True
A004,L01,A004-B4,R,4,VISMODEGIB,COMPOUND,SMO,SET IN STAGE 71 - lowest engaging rung,P02,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB01,True,True
A005,L02,A005-B1,L,3,IGF1,PRODUCTIVE_GROWTH_BENCHMARK,-,SET IN STAGE 71 - lowest engaging rung,P02,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB02,True,True
A005,L02,A005-B2,L,4,BOSUTINIB,COMPOUND,SRC,SET IN STAGE 71 - lowest engaging rung,P02,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB02,True,True
A005,L02,A005-B3,R,3,VISMODEGIB,COMPOUND,SMO,SET IN STAGE 71 - lowest engaging rung,P02,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB02,True,True
A005,L02,A005-B4,R,4,vehicle,VEHICLE,-,SET IN STAGE 71 - lowest engaging rung,P02,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB02,True,True
A006,L02,A006-B1,L,3,Y-27632,COMPOUND + MECHANICS_REFERENCE,-,SET IN STAGE 71 - lowest engaging rung,P02,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB02,True,True
A006,L02,A006-B2,L,4,BOSUTINIB,COMPOUND,SRC,SET IN STAGE 71 - lowest engaging rung,P02,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB02,True,True
A006,L02,A006-B3,R,3,VISMODEGIB,COMPOUND,SMO,SET IN STAGE 71 - lowest engaging rung,P02,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB02,True,True
A006,L02,A006-B4,R,4,hypotonic medium,OSMOTIC_SWELLING_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P02,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB02,True,True
A007,L02,A007-B1,L,3,BOSUTINIB,COMPOUND,SRC,SET IN STAGE 71 - lowest engaging rung,P03,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB02,True,True
A007,L02,A007-B2,L,4,vehicle,VEHICLE,-,SET IN STAGE 71 - lowest engaging rung,P03,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB02,True,True
