arm,GATE 0,GATE 1,GATE 2,GATE 3,GATE 4,GATE 5,GATE 6,passes_all,height_fold,ratio_fold,volume_fold,plateau_fold,columns_fold,col10x_fold,deviation_delta_deg,coherence_delta,modal_first_gate_failed
true axial remodeller,1.0,0.99,0.9166666666666666,1.0,1.0,0.9766666666666667,1.0,0.8833333333333333,1.2196814761009747,1.29561870693219,1.088202584172508,1.1588164496239155,1.0032175887663717,1.0093975305844258,0.374364388895291,-0.009062261159379368,GATE 2
osmotic sweller,1.0,0.0,0.8833333333333333,1.0,0.9866666666666667,0.013333333333333334,1.0,0.0,1.2064562814542283,1.0119976404035365,1.6895684583853867,1.0052038278722273,0.9991737250728204,0.976610131217193,0.5728662065533761,-0.020552847680960728,GATE 1
isotropic enlarger,1.0,0.0,0.8966666666666666,1.0,1.0,0.26666666666666666,1.0,0.0,1.1864102528597835,1.0120348377447146,1.6318297227284668,1.0513073677900953,1.0005794733511346,1.0214386991167657,0.23242988771518033,-0.00946913053728509,GATE 1
gross-deformation disorganiser,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.306006621173246,1.2788110621175206,1.3138753447795568,1.040885437735361,0.6213488680967506,0.723773042092215,11.044433359113897,-0.2185982182408208,GATE 0
column collapser,1.0,0.9966666666666667,0.0,1.0,0.9866666666666667,0.01,1.0,0.0,1.2355149041641043,1.2986131617573373,1.0762599152713286,1.0072394110527203,0.6975696593146237,0.9912924895091731,1.1876013493981523,-0.13845956340924162,GATE 2
arresting elongator,1.0,1.0,0.6533333333333333,0.0,0.9066666666666666,0.0,1.0,0.0,1.2432658364544187,1.3356401080141205,1.074727177539459,0.9298573934219408,1.001936531045967,0.9601133722692677,0.8112194238606374,-0.01842508464185773,GATE 3
secretory blocker,1.0,0.9633333333333334,0.9266666666666666,0.9766666666666667,0.0,0.0,1.0,0.0,1.2143818485256235,1.2921694136603354,1.1042674353546573,0.9814102052798243,0.9890780038849073,0.6816684499646619,0.458990360190319,-0.008999563386869318,GATE 4
growth borrower,1.0,0.9966666666666667,0.91,1.0,0.9933333333333333,0.0,1.0,0.0,1.215709320475163,1.2808402372859269,1.0720355595995772,0.9870386482429973,0.997391502045225,1.0013902082348236,0.5058206592861467,-0.008156511005745784,GATE 5
single-compound artefact,1.0,0.99,0.9366666666666666,1.0,0.9933333333333333,0.9866666666666667,0.0,0.0,1.2237439555003518,1.2996318744716717,1.0898530423616268,1.147817984201702,1.0004181584711167,1.0055610402917097,0.3700345278145322,-0.008855466532893479,GATE 6
vehicle-like null,1.0,0.023333333333333334,0.9166666666666666,1.0,1.0,0.0,1.0,0.0,1.003389973980842,1.001960482878454,1.0057461196681425,1.0017288903208539,1.0003391139685178,1.0019323598576484,-0.007783421356606774,0.001219741105436019,GATE 1
