compound,role,intended_node,why_audited,chembl_id,smiles,max_phase,non_protein_records_dropped,n_activity_records,n_distinct_targets,assay_formats,node_biochemical_potency_nM,node_biochemical_n,node_cellular_potency_nM,node_cellular_n,node_mouse_potency_nM,node_mouse_n,node_human_potency_nM,node_human_n,species_gap_fold,species_gap_measurable,targets_under_1uM,targets_under_100nM,best_on_node_potency_nM,strongest_offtarget,strongest_offtarget_potency_nM,genome_wide_selectivity_fold,most_potent_target_overall,most_potent_target_potency_nM,primary_target_is_intended_node,node_within_10x_of_primary,top5_targets_by_potency,ROCK1_potency_nM,ROCK1_n,ROCK2_potency_nM,ROCK2_n,rock_isoform_ratio_1_over_2,LIMK1_potency_nM,LIMK1_n,LIMK2_potency_nM,LIMK2_n,audit_status,compound_status,covalent_warhead_substructure,reversibility_call,target_residence_time
Y-27632,INDEX,ROCK,index compound 1,CHEMBL559147,C[C@@H](N)[C@H]1CC[C@H](C(=O)Nc2ccncc2)CC1,,12,46,10.0,biochemical,45.60000000000001,35.0,,0.0,,0.0,44.2,34.0,,False,5.0,2.0,36.43,Serine/threonine-protein kinase N2,600.0,16.47,Rho-associated protein kinase 1,36.43,True,True,"Rho-associated protein kinase 1 36.43 nM; Rho-associated protein kinase 2 54 nM; Serine/threonine-protein kinase N2 600 nM; Rho-associated protein kinase 2 800 nM; Leucine-rich repeat serine/threonine-protein kinase 2 1,000 nM",36.43,16.0,54.0,19.0,0.67,,0.0,,0.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
SIMVASTATIN,INDEX,HMGCR,index compound 2,CHEMBL1064,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,4.0,44,45,20.0,ADMET; biochemical; functional/cellular,0.9,15.0,,0.0,,0.0,2.43,10.0,,False,3.0,2.0,0.9,Cholinesterase,750.0,833.33,3-hydroxy-3-methylglutaryl-coenzyme A reductase,0.9,True,True,"3-hydroxy-3-methylglutaryl-coenzyme A reductase 0.9 nM; 3-hydroxy-3-methylglutaryl-coenzyme A reductase 2.43 nM; Cholinesterase 750 nM; Photoreceptor-specific nuclear receptor 1,164 nM; Acetylcholinesterase 1,800 nM",,0.0,,0.0,,,0.0,,0.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
VISMODEGIB,INDEX,SMO,index compound 3,CHEMBL473417,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,4.0,646,48,14.0,ADMET; biochemical; functional/cellular,2.4000000000000004,25.0,2.4000000000000004,7.0,2.4000000000000004,15.0,2.6,17.0,1.08,True,4.0,4.0,1.95,Broad substrate specificity ATP-binding cassette transporter ABCG2,1400.0,717.95,Protein smoothened,1.95,True,True,"Protein smoothened 1.95 nM; Protein smoothened 2.4 nM; Sonic hedgehog protein 4.68 nM; Sonic hedgehog protein 15 nM; Broad substrate specificity ATP-binding cassette transporter ABCG2 1,400 nM",,0.0,,0.0,,,0.0,,0.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
LX-7101,INDEX,LIMK,index compound 4,CHEMBL3356433,Cc1c[nH]c2ncnc(N3CCC(CN)(C(=O)Nc4cccc(OC(=O)N(C)C)c4)CC3)c12,1.0,3,31,8.0,biochemical,1.6,20.0,,0.0,,0.0,1.6,20.0,,False,8.0,8.0,1.6,cAMP-dependent protein kinase (PKA),1.0,0.62,cAMP-dependent protein kinase (PKA),1.0,False,True,cAMP-dependent protein kinase (PKA) 1 nM; cAMP-dependent protein kinase catalytic subunit alpha 1 nM; RAC-alpha serine/threonine-protein kinase 1 nM; LIM domain kinase 2 1.6 nM; Rho-associated protein kinase 2 10 nM,282.1,2.0,10.0,6.0,28.21,21.93,10.0,1.6,10.0,audited,"SELECTIVITY_UNSUPPORTED - a non-node target is more potent, so no node-selective concentration exists",,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
BOSUTINIB,INDEX,SRC,index compound 5,CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,4.0,619,895,483.0,biochemical; functional/cellular; toxicity,1.0,63.0,100.0,9.0,7.3,1.0,1.0,71.0,0.14,True,127.0,67.0,0.732,Tyrosine-protein kinase ABL1,0.039,0.05,Tyrosine-protein kinase ABL1,0.039,False,False,Tyrosine-protein kinase ABL1 0.039 nM; Mitogen-activated protein kinase kinase kinase kinase 5 0.34 nM; Tyrosine-protein kinase ABL2 0.7 nM; Tyrosine-protein kinase Lck 0.732 nM; Receptor tyrosine-protein kinase erbB-3 0.77 nM,3783.0,2.0,3324.0,2.0,1.14,12000.0,2.0,12000.0,2.0,audited,"SELECTIVITY_UNSUPPORTED - a non-node target is more potent, so no node-selective concentration exists",,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
FASUDIL,COMPARATOR,ROCK,the stage-65 comparator; audited here,CHEMBL38380,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,3.0,24,509,344.0,biochemical; functional/cellular,140.60000000000002,38.0,31.62,4.0,,0.0,50.12,41.0,,False,18.0,5.0,44.486000000000004,cAMP-dependent protein kinase catalytic subunit PRKX,50.12,1.13,Rho-associated protein kinase 1,44.486000000000004,True,True,Rho-associated protein kinase 1 44.49 nM; Rho-associated protein kinase 2 50.12 nM; cAMP-dependent protein kinase catalytic subunit PRKX 50.12 nM; cAMP-dependent protein kinase catalytic subunit alpha 79.43 nM; Serine/threonine-protein kinase N3 99 nM,44.486000000000004,18.0,52.908,22.0,0.84,10000.0,3.0,30000.0,1.0,audited,NARROW_SELECTIVITY - only 1.1x over the strongest off-target,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
HYDROXYFASUDIL,COMPARATOR,ROCK,active metabolite of fasudil,CHEMBL1233300,O=S(=O)(c1cccc2c(O)nccc12)N1CCCNCC1,,6,312,301.0,biochemical,150.0,13.0,,0.0,,0.0,150.0,13.0,,False,2.0,0.0,114.48600000000002,cAMP-dependent protein kinase (PKA),2200.0,19.22,Rho-associated protein kinase 1,114.48600000000002,True,True,"Rho-associated protein kinase 1 114.5 nM; Rho-associated protein kinase 2 346.6 nM; cAMP-dependent protein kinase (PKA) 2,200 nM; Serine/threonine-protein kinase N2 2,260 nM; Serine/threonine-protein kinase D2 2,541 nM",114.48600000000002,8.0,346.576,5.0,0.33,30000.0,1.0,30000.0,1.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
RIPASUDIL,COMPARATOR,ROCK,clinical dual ROCK inhibitor,CHEMBL3426621,C[C@H]1CNCCCN1S(=O)(=O)c1cccc2cncc(F)c12,3.0,5,281,264.0,biochemical,16.54,19.0,,0.0,,0.0,16.54,19.0,,False,4.0,2.0,13.1,Serine/threonine-protein kinase N2,285.0,21.76,Rho-associated protein kinase 2,13.1,True,True,"Rho-associated protein kinase 2 13.1 nM; Rho-associated protein kinase 1 28.32 nM; Serine/threonine-protein kinase N2 285 nM; Serine/threonine-protein kinase N1 416 nM; Aurora kinase B 1,152 nM",28.32,8.0,13.1,11.0,2.16,30000.0,1.0,30000.0,1.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
NETARSUDIL,COMPARATOR,ROCK,clinical dual ROCK inhibitor,CHEMBL4594250,Cc1ccc(C(=O)OCc2ccc([C@@H](CN)C(=O)Nc3ccc4cnccc4c3)cc2)c(C)c1,4.0,2,35,3.0,biochemical,1.0,34.0,,0.0,,0.0,1.0,34.0,,False,3.0,2.0,1.0,Myosin light chain kinase family member 4,1000.0,1000.0,Rho-associated protein kinase 2,1.0,True,True,"Rho-associated protein kinase 2 1 nM; Rho-associated protein kinase 1 1.9 nM; Myosin light chain kinase family member 4 1,000 nM",1.9000000000000008,23.0,1.0,11.0,1.9,,0.0,,0.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
GSK-269962A,COMPARATOR,ROCK,reported ROCK1-biased,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO PROTEIN-TARGET POTENCY DATA - cannot be audited,,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
