pmcid,pmid,doi,title,year,journal,cited_by,found_by,query_kinds,is_anchor,relevance
PMC5541837,28539407,10.1091/mbc.e17-02-0084,Mechanical loading regulates organization of the actin cytoskeleton and column formation in postnatal growth plate.,2017,Molecular biology of the cell,36,"""CDC42""; ""cell rotation""",target x growth x geometry,False,7.06
PMC5634781,28994649,10.7554/elife.23279,Planar cell polarity signaling coordinates oriented cell division and cell rearrangement in clonally expanding growth plate cartilage.,2017,eLife,36,"""cell rotation""; ""chondrocyte column""; ""planar cell polarity""",target x growth x geometry,False,7.06
PMC8004672,33807043,10.3390/ijms22063279,Articular Chondrocyte Phenotype Regulation through the Cytoskeleton and the Signaling Processes That Originate from or Converge on the Cytoskeleton: Towards a Novel Understanding of the Intersection between Actin Dynamics and Chondrogenic Function.,2021,International journal of molecular sciences,81,"""H-1152""; ""LIMK1""; ""LIMK2""; ""NSC23766""; ""ROCK1""; ""ROCK2""; ""Y27632""; ""cofilin""; ""cytochalasin D""; ""fasudil""; ""hydroxyfasudil""; ""latrunculin""; ""netarsudil""; ""non-muscle myosin II""; ""ripasudil""",compound x growth plate; target x growth x geometry,False,5.135
PMC4769095,26493329,10.1016/j.joca.2015.10.003,IFT88 influences chondrocyte actin organization and biomechanics.,2016,Osteoarthritis and cartilage,28,"""MYH9""; ""actin cortex""; ""blebbistatin""; ""cytochalasin D""",compound x growth plate; target x growth x geometry,False,5.046666666666667
PMC4516504,20196782,10.1111/j.1582-4934.2009.00684.x,Control of chondrocyte gene expression by actin dynamics: a novel role of cholesterol/Ror-alpha signalling in endochondral bone growth.,2009,Journal of cellular and molecular medicine,23,"""HPCD""; ""Ror-alpha""; ""Y27632""; ""cytochalasin D""; ""jasplakinolide""; ""lovastatin""; ANCHOR",compound x growth plate; target x growth x geometry,True,5.038333333333333
PMC10403223,37540756,10.1126/sciadv.adf1130,"Adseverin, an actin-binding protein, modulates hypertrophic chondrocyte differentiation and osteoarthritis progression.",2023,Science advances,23,"""jasplakinolide""",compound x growth plate,False,5.038333333333333
PMC9304194,35038201,10.1002/jbmr.4502,Ciliary IFT88 Protects Coordinated Adolescent Growth Plate Ossification From Disruptive Physiological Mechanical Forces.,2022,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,15,"""microtubule""; ""primary cilia""",target x growth x geometry,False,5.025
PMC5374397,28167493,10.1242/bio.021436,Smad4 regulates growth plate matrix production and chondrocyte polarity.,2017,Biology open,11,"""centrosome""",target x growth x geometry,False,5.0183333333333335
PMC9718196,36474687,10.1016/j.ocarto.2020.100071,Superficial and deep zone articular chondrocytes exhibit differences in actin polymerization status and actin-associated molecules <i>in vitro</i>.,2020,Osteoarthritis and cartilage open,10,"""cofilin""",target x growth x geometry,False,5.016666666666667
PMC10444880,37607905,10.1038/s41413-023-00284-7,α-parvin controls chondrocyte column formation and regulates long bone development.,2023,Bone research,7,"""cadherin""; ""centrosome""; ""chondrocyte column""; ""focal adhesion""",target x growth x geometry,False,5.011666666666667
PMC10241152,37232339,10.3892/ijmm.2023.5260,Downregulation of HAS‑2 regulates the chondrocyte cytoskeleton and induces cartilage degeneration by activating the RhoA/ROCK signaling pathway.,2023,International journal of molecular medicine,7,"""ROCK1""; ""ROCK2""",target x growth x geometry,False,5.011666666666667
PMC9979404,36859270,10.1186/s13018-023-03539-5,Nesfatin-1 suppresses autophagy of chondrocytes in osteoarthritis via remodeling of cytoskeleton and inhibiting RhoA/ROCK signal pathway.,2023,Journal of orthopaedic surgery and research,7,"""LIMK1""; ""cofilin""",target x growth x geometry,False,5.011666666666667
PMC10796094,37307827,10.14336/ad.2023.0531,ROR2-Related Skeletal Dysplasia Reveals Disrupted Chondrocyte Polarity through Modulation of BMP/TGF-β Signaling.,2024,Aging and disease,4,"""cholesterol""; ""planar cell polarity""",compound x growth plate; target x growth x geometry,False,5.006666666666667
PMC11509684,39269144,10.7554/elife.95289,Limited column formation in the embryonic growth plate implies divergent growth mechanisms during pre- and postnatal bone development.,2024,eLife,2,"""cell rotation""; ""chondrocyte column""; ""primary cilia""",target x growth x geometry,False,5.003333333333333
PMC12894126,41620554,10.1007/s10565-026-10151-w,Synovial macrophage rhoa protects against osteoarthritis by suppressing YAP/IL-17C mediated chondrocyte senescence.,2026,Cell biology and toxicology,1,"""RHOA""",target x growth x geometry,False,5.001666666666667
PMC10839480,38322536,10.12182/20240160502,[Piezo1 Mediates the Regulation of Substrate Stiffness on Primary Cilia in Chondrocytes].,2024,Sichuan da xue xue bao. Yi xue ban = Journal of Sichuan University. Medical science edition,1,"""GsMTx4""; ""Yoda1""",compound x growth plate,False,5.001666666666667
PMC12585761,41194970,10.1002/jsp2.70133,PIEZO1-Primary Cilia Axis Mediates Compressive Stress-Induced Growth Plate Degeneration and Ossification in Adolescent Idiopathic Scoliosis.,2025,JOR spine,1,"""Yoda1""",compound x growth plate,False,5.001666666666667
PMC12848162,41613437,10.1016/j.fmre.2025.04.014,Primary cilia in growth plates orchestrate long bone development.,2025,Fundamental research,0,"""primary cilia""",target x growth x geometry,False,5.0
PMC13081642,41981703,10.1186/s40104-026-01387-x,RFLNA mitigates heat stress-impaired chondrocyte proliferation and vertebral development through cytoskeletal regulation in pigs.,2026,Journal of animal science and biotechnology,0,"""microtubule""",target x growth x geometry,False,5.0
