panel_id,compound,chembl_id,compound_family,primary_target_queried,test_concentrations,concentration_basis,concentration_source,panel_role,vendor,catalog_no,clinical_phase,sourcing_note
GP01,"vehicle (DMSO, matched to the highest compound vehicle fraction)",,vehicle,,n/a,not applicable - vehicle,,VEHICLE,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP02,IGF1,,growth factor,,,MUST BE SET FROM A CITED SOURCE BEFORE THE EXPERIMENT RUNS - none is invented here,,POSITIVE_GEOMETRY_CONTROL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP03,bafilomycin A1,,V-ATPase inhibitor,,,MUST BE SET FROM A CITED SOURCE BEFORE THE EXPERIMENT RUNS - none is invented here,,MECHANISTIC_PROBE,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP04,Y-27632,CHEMBL559147,ROCK1/2 inhibitor,ROCK1,10 µM,"published concentration, read manually from the source methods","PMC4516504 methods, read manually (E15.5 mouse tibia organ culture, 6 days)",MECHANISTIC_PROBE,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP05,cytochalasin D,,actin depolymeriser,,1 µM,"published concentration, read manually from the source methods","PMC4516504 methods, read manually (E15.5 mouse tibia organ culture, 6 days)",DISORGANIZATION_CONTROL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP06,jasplakinolide,,actin stabiliser,,50 nM,"published concentration, read manually from the source methods","PMC4516504 methods, read manually (E15.5 mouse tibia organ culture, 6 days)",DISORGANIZATION_CONTROL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP07,latrunculin B,,actin depolymeriser,,150 ng/ml; 500 ng/ml,published concentration extracted from a bone or cartilage experiment - VERIFY against the source before use,PMC6383868 (chick/femoral),DISORGANIZATION_CONTROL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP08,hypotonic medium (reduced-osmolality DMEM),,osmotic agent,,,MUST BE SET FROM A CITED SOURCE BEFORE THE EXPERIMENT RUNS - none is invented here,,SWELLING_CONTROL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP09,mannitol,,osmotic agent,,,MUST BE SET FROM A CITED SOURCE BEFORE THE EXPERIMENT RUNS - none is invented here,,SWELLING_CONTROL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP10,BOSUTINIB,CHEMBL288441,FAK / adhesion turnover,SRC,0.3 µM; 1 µM; 3 µM,derived: 3x/10x/30x the measured cellular potency,ChEMBL cellular 10th-percentile potency 100 nM,TARGET_CLASS_CANDIDATE,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP11,LX-7101,CHEMBL3356433,LIMK inhibitor,LIMK2,0.00723 µM; 0.0241 µM; 0.0723 µM,derived: 3x/10x/30x the measured biochemical potency,ChEMBL biochemical 10th-percentile potency 2.41 nM,MECHANISTIC_PROBE,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP12,SORAFENIB,CHEMBL1336,LIMK inhibitor,LIMK1,1.89 µM; 6.31 µM; 18.9 µM,derived: 3x/10x/30x the measured cellular potency,ChEMBL cellular 10th-percentile potency 631 nM,LOCAL_DELIVERY_CANDIDATE,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP13,FASUDIL,CHEMBL38380,ROCK1/2 inhibitor,ROCK1,100 ng/ml,published concentration extracted from a bone or cartilage experiment - VERIFY against the source before use,PMC7925793 (mouse; human),MECHANISTIC_PROBE,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP14,SIMVASTATIN,CHEMBL1064,RORalpha / lipid pathway,HMGCR,10 µM,published concentration extracted from a bone or cartilage experiment - VERIFY against the source before use,PMC11852791 (mouse; human),MECHANISTIC_PROBE,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP15,LECIMIBIDE,CHEMBL274185,RORalpha / lipid pathway,SOAT1,0.03 µM; 0.1 µM; 0.3 µM,derived: 3x/10x/30x the measured cellular potency,ChEMBL cellular 10th-percentile potency 10 nM,MECHANISTIC_PROBE,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP16,MBQ-167,CHEMBL5290216,Rho/Rac/Cdc42 modulator,CDC42,0.234 µM; 0.78 µM; 2.34 µM,derived: 3x/10x/30x the measured biochemical potency,ChEMBL biochemical 10th-percentile potency 78 nM,MECHANISTIC_PROBE,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP17,BUMETANIDE,CHEMBL1072,ion / volume regulation,SLC12A2,0.11µM; 100 µM; 175 µM; 200 µM; 500 µM,published concentration extracted from a bone or cartilage experiment - VERIFY against the source before use,"PMC3154001, PMC4042480 (metatarsal/rat)",SWELLING_CONTROL,MicroSource,1502004,Launched,catalogued in the stage-49 hub
GP18,AMILORIDE,CHEMBL945,ion / volume regulation,SLC9A1,20 nM,published concentration extracted from a bone or cartilage experiment - VERIFY against the source before use,"PMC4462245, PMC7791185 (human/vertebral)",SWELLING_CONTROL,MicroSource,1500112,Launched,catalogued in the stage-49 hub
GP19,METHYLENE BLUE ANHYDROUS,CHEMBL405110,microtubule regulator (non-mitotic),MAPT,1.08 µM; 3.6 µM; 10.8 µM,derived: 3x/10x/30x the measured biochemical potency,ChEMBL biochemical 10th-percentile potency 360 nM,MECHANISTIC_PROBE,MicroSource,1505444,Launched,catalogued in the stage-49 hub
GP20,VISMODEGIB,CHEMBL473417,polarity / cilia,SMO,0.0045 µM; 0.015 µM; 0.045 µM,derived: 3x/10x/30x the measured cellular potency,ChEMBL cellular 10th-percentile potency 1.5 nM,LOCAL_DELIVERY_CANDIDATE,Selleck,S1082,Launched,catalogued in the stage-49 hub
GP21,CYCLOPAMINE,CHEMBL254129,polarity / cilia,SMO,1.45 µM; 4.84 µM; 14.5 µM,derived: 3x/10x/30x the measured cellular potency,ChEMBL cellular 10th-percentile potency 484 nM,LOCAL_DELIVERY_CANDIDATE,Apollo,BIC1011,Preclinical,catalogued in the stage-49 hub
GP22,CAPSAICIN,CHEMBL294199,ion / volume regulation,TRPV4,0.495 µM; 1.65 µM; 4.95 µM,derived: 3x/10x/30x the measured cellular potency,ChEMBL cellular 10th-percentile potency 165 nM,SWELLING_CONTROL,Tocris,462,Launched,catalogued in the stage-49 hub
GP23,7-OXOCHOLESTEROL,CHEMBL1278177,RORalpha / lipid pathway,RORA,1 µM,published concentration extracted from a bone or cartilage experiment - VERIFY against the source before use,"PMC12037013, PMC4516504 (Tibiae/mouse/tibiae)",MECHANISTIC_PROBE,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP24,CL-976,CHEMBL22373,RORalpha / lipid pathway,SOAT1,1.2 µM; 4 µM; 12 µM,derived: 3x/10x/30x the measured cellular potency,ChEMBL cellular 10th-percentile potency 400 nM,MECHANISTIC_PROBE,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP25,ATORVASTATIN LACTONE,CHEMBL333687,RORalpha / lipid pathway,HMGCR,0.0318 µM; 0.106 µM; 0.318 µM,derived: 3x/10x/30x the measured biochemical potency,ChEMBL biochemical 10th-percentile potency 10.6 nM,MECHANISTIC_PROBE,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP26,ENIPORIDE,CHEMBL64360,ion / volume regulation,SLC9A1,0.492 µM; 1.64 µM; 4.92 µM,derived: 3x/10x/30x the measured cellular potency,ChEMBL cellular 10th-percentile potency 164 nM,SWELLING_CONTROL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP27,BI 9627,CHEMBL2170610,ion / volume regulation,SLC9A1,0.0405 µM; 0.135 µM; 0.405 µM,derived: 3x/10x/30x the measured biochemical potency,ChEMBL biochemical 10th-percentile potency 13.5 nM,SWELLING_CONTROL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP28,vehicle replicate (plate corner),,vehicle,,n/a,not applicable - control well,,PLATE_POSITION_CONTROL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP29,vehicle replicate (plate corner),,vehicle,,n/a,not applicable - control well,,PLATE_POSITION_CONTROL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP30,vehicle replicate (plate corner),,vehicle,,n/a,not applicable - control well,,PLATE_POSITION_CONTROL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP31,vehicle replicate (plate corner),,vehicle,,n/a,not applicable - control well,,PLATE_POSITION_CONTROL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP32,untreated (no vehicle),,none,,n/a,not applicable - control well,,VEHICLE_TOXICITY_CONTROL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP33,"fluorescent penetration tracer, MW-matched to the panel median",,tracer,,n/a,not applicable - control well,,PENETRATION_CONTROL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP34,"fluorescent penetration tracer, MW-matched to the panel median",,tracer,,n/a,not applicable - control well,,PENETRATION_CONTROL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP35,additional explant replicate (arm assigned at randomisation),,none,,n/a,not applicable - control well,,REPLICATE_WELL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP36,additional explant replicate (arm assigned at randomisation),,none,,n/a,not applicable - control well,,REPLICATE_WELL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP37,additional explant replicate (arm assigned at randomisation),,none,,n/a,not applicable - control well,,REPLICATE_WELL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP38,additional explant replicate (arm assigned at randomisation),,none,,n/a,not applicable - control well,,REPLICATE_WELL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP39,additional explant replicate (arm assigned at randomisation),,none,,n/a,not applicable - control well,,REPLICATE_WELL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP40,additional explant replicate (arm assigned at randomisation),,none,,n/a,not applicable - control well,,REPLICATE_WELL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
GP41,additional explant replicate (arm assigned at randomisation),,none,,n/a,not applicable - control well,,REPLICATE_WELL,,,,no catalogue entry retrieved here; a supplier must be identified before ordering
