compound,intended_node,stage69_status,rung,multiplier_of_anchor,nominal_media_concentration_nM,anchor_nM,anchor_basis,published_organ_culture_reference,published_reference_source,MUST_BE_REPLACED_BY_MEASURED_TISSUE_EXPOSURE,measured_terminal_zone_conc_nM,tissue_to_media_ratio,blocked_until
Y-27632,ROCK,NODE_SELECTIVE by ChEMBL profile,0.3x,0.3,13.680000000000001,45.60000000000001,"measured on-node BIOCHEMICAL potency (ChEMBL, n=35) - no cellular record exists, so this anchor is weaker",10 µM,"PMC4516504 methods, read manually (E15.5 mouse tibia organ culture, 6 days)",True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
Y-27632,ROCK,NODE_SELECTIVE by ChEMBL profile,1x,1.0,45.60000000000001,45.60000000000001,"measured on-node BIOCHEMICAL potency (ChEMBL, n=35) - no cellular record exists, so this anchor is weaker",10 µM,"PMC4516504 methods, read manually (E15.5 mouse tibia organ culture, 6 days)",True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
Y-27632,ROCK,NODE_SELECTIVE by ChEMBL profile,3x,3.0,136.8,45.60000000000001,"measured on-node BIOCHEMICAL potency (ChEMBL, n=35) - no cellular record exists, so this anchor is weaker",10 µM,"PMC4516504 methods, read manually (E15.5 mouse tibia organ culture, 6 days)",True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
Y-27632,ROCK,NODE_SELECTIVE by ChEMBL profile,10x,10.0,456.0000000000001,45.60000000000001,"measured on-node BIOCHEMICAL potency (ChEMBL, n=35) - no cellular record exists, so this anchor is weaker",10 µM,"PMC4516504 methods, read manually (E15.5 mouse tibia organ culture, 6 days)",True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
Y-27632,ROCK,NODE_SELECTIVE by ChEMBL profile,30x,30.0,1368.0000000000002,45.60000000000001,"measured on-node BIOCHEMICAL potency (ChEMBL, n=35) - no cellular record exists, so this anchor is weaker",10 µM,"PMC4516504 methods, read manually (E15.5 mouse tibia organ culture, 6 days)",True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
SIMVASTATIN,HMGCR,NODE_SELECTIVE by ChEMBL profile,0.3x,0.3,0.27,0.9,"measured on-node BIOCHEMICAL potency (ChEMBL, n=15) - no cellular record exists, so this anchor is weaker",10 µM,PMC11852791 (mouse; human),True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
SIMVASTATIN,HMGCR,NODE_SELECTIVE by ChEMBL profile,1x,1.0,0.9,0.9,"measured on-node BIOCHEMICAL potency (ChEMBL, n=15) - no cellular record exists, so this anchor is weaker",10 µM,PMC11852791 (mouse; human),True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
SIMVASTATIN,HMGCR,NODE_SELECTIVE by ChEMBL profile,3x,3.0,2.7,0.9,"measured on-node BIOCHEMICAL potency (ChEMBL, n=15) - no cellular record exists, so this anchor is weaker",10 µM,PMC11852791 (mouse; human),True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
SIMVASTATIN,HMGCR,NODE_SELECTIVE by ChEMBL profile,10x,10.0,9.0,0.9,"measured on-node BIOCHEMICAL potency (ChEMBL, n=15) - no cellular record exists, so this anchor is weaker",10 µM,PMC11852791 (mouse; human),True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
SIMVASTATIN,HMGCR,NODE_SELECTIVE by ChEMBL profile,30x,30.0,27.0,0.9,"measured on-node BIOCHEMICAL potency (ChEMBL, n=15) - no cellular record exists, so this anchor is weaker",10 µM,PMC11852791 (mouse; human),True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
