between_explant_cv,between_explant_sd_ratio_units,measurement_sd_of_explant_mean,total_sd,effect_size_percent,effect_size_ratio_units,measurement_share_of_variance,animals_per_arm_for_80pc_power
0.04,0.0612,0.0103,0.062,5,0.0765,0.027,11
0.04,0.0612,0.0103,0.062,8,0.1223,0.027,5
0.04,0.0612,0.0103,0.062,10,0.1529,0.027,3
0.04,0.0612,0.0103,0.062,15,0.2294,0.027,2
0.04,0.0612,0.0103,0.062,20,0.3058,0.027,1
0.06,0.0918,0.0103,0.0923,5,0.0765,0.012,23
0.06,0.0918,0.0103,0.0923,8,0.1223,0.012,9
0.06,0.0918,0.0103,0.0923,10,0.1529,0.012,6
0.06,0.0918,0.0103,0.0923,15,0.2294,0.012,3
0.06,0.0918,0.0103,0.0923,20,0.3058,0.012,2
0.08,0.1223,0.0103,0.1228,5,0.0765,0.007,41
0.08,0.1223,0.0103,0.1228,8,0.1223,0.007,16
0.08,0.1223,0.0103,0.1228,10,0.1529,0.007,11
0.08,0.1223,0.0103,0.1228,15,0.2294,0.007,5
0.08,0.1223,0.0103,0.1228,20,0.3058,0.007,3
0.1,0.1529,0.0103,0.1533,5,0.0765,0.004,64
0.1,0.1529,0.0103,0.1533,8,0.1223,0.004,25
0.1,0.1529,0.0103,0.1533,10,0.1529,0.004,16
0.1,0.1529,0.0103,0.1533,15,0.2294,0.004,8
0.1,0.1529,0.0103,0.1533,20,0.3058,0.004,4
0.12,0.1835,0.0103,0.1838,5,0.0765,0.003,91
0.12,0.1835,0.0103,0.1838,8,0.1223,0.003,36
0.12,0.1835,0.0103,0.1838,10,0.1529,0.003,23
0.12,0.1835,0.0103,0.1838,15,0.2294,0.003,11
0.12,0.1835,0.0103,0.1838,20,0.3058,0.003,6
