gene,family,link_1_intact_growth_plate,link_2_cell_state_expression,link_3_direct_geometry_phenotype,link_4_knockout_skeletal,link_5_bone_length,link_6_column_organisation,link_7_human_genetics,link_8_tractability,chain_complete,break_point,geometry_class
CDC42,A cortical tension,NO_SPATIAL_EVIDENCE,,53 axial-geometry records,abnormal actin cytoskeleton morphology,no length phenotype,none recorded,none,AB:GO CC high conf; AB:UniProt loc high conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; SM:Druggable Family; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Structure with Ligand,False,link 5: no bone-length phenotype,UNKNOWN
CFL1,A cortical tension,NO_SPATIAL_EVIDENCE,,4 axial-geometry records,none recorded,no length phenotype,none recorded,Abnormality of the skeletal system,AB:GO CC med conf; AB:Human Protein Atlas loc; AB:UniProt loc high conf; PR:Database Ubiquitination; PR:Half-life Data; PR:UniProt Ubiquitination; SM:Structure with Ligand,False,link 5: no bone-length phenotype,UNKNOWN
LIMK1,A cortical tension,NO_SPATIAL_EVIDENCE,,7 axial-geometry records,abnormal actin cytoskeleton morphology,no length phenotype,none recorded,none,PR:Database Ubiquitination; PR:Half-life Data; PR:Literature; PR:Small Molecule Binder; PR:UniProt Ubiquitination; SM:Druggable Family; SM:High-Quality Ligand; SM:Structure with Ligand,False,link 5: no bone-length phenotype,UNKNOWN
LIMK2,A cortical tension,NO_SPATIAL_EVIDENCE,,6 axial-geometry records,long tibia,no length phenotype,none recorded,none,PR:Database Ubiquitination; PR:Half-life Data; PR:Literature; PR:Small Molecule Binder; SM:Druggable Family; SM:High-Quality Ligand; SM:Structure with Ligand,False,link 5: no bone-length phenotype,UNKNOWN
MYH10,A cortical tension,NO_SPATIAL_EVIDENCE,,6 axial-geometry records,abnormal birth body size,no length phenotype,none recorded,none,AB:GO CC med conf; AB:UniProt loc high conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,False,link 5: no bone-length phenotype,UNKNOWN
MYH9,A cortical tension,NO_SPATIAL_EVIDENCE,,11 axial-geometry records,abnormal actin cytoskeleton morphology,no length phenotype,none recorded,none,AB:GO CC high conf; AB:UniProt loc high conf; AB:UniProt loc med conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; PR:UniProt Ubiquitination,False,link 5: no bone-length phenotype,UNKNOWN
MYLK,A cortical tension,NO_SPATIAL_EVIDENCE,,16 axial-geometry records,none recorded,no length phenotype,none recorded,none,AB:GO CC high conf; PR:Half-life Data; PR:Small Molecule Binder; SM:Druggable Family; SM:High-Quality Ligand,False,link 5: no bone-length phenotype,UNKNOWN
RAC1,A cortical tension,NO_SPATIAL_EVIDENCE,,173 axial-geometry records,none recorded,no length phenotype,none recorded,Abnormality of the skeletal system,AB:GO CC high conf; AB:UniProt loc high conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; PR:UniProt Ubiquitination; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Structure with Ligand,False,link 5: no bone-length phenotype,UNKNOWN
RHOA,A cortical tension,NO_SPATIAL_EVIDENCE,,186 axial-geometry records,none recorded,no length phenotype,none recorded,"ectodermal dysplasia with facial dysmorphism and acral, ocular, and brain anomalies",AB:GO CC high conf; AB:Human Protein Atlas loc; AB:UniProt loc med conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; PR:UniProt Ubiquitination; SM:High-Quality Ligand; SM:Structure with Ligand,False,link 5: no bone-length phenotype,UNKNOWN
ROCK1,A cortical tension,NO_SPATIAL_EVIDENCE,,26 axial-geometry records,none recorded,no length phenotype,none recorded,osteosarcoma,AB:GO CC high conf; AB:UniProt loc high conf; AB:UniProt loc med conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; SM:Approved Drug; SM:Druggable Family; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Structure with Ligand,False,link 5: no bone-length phenotype,UNKNOWN
ROCK2,A cortical tension,NO_SPATIAL_EVIDENCE,,16 axial-geometry records,abnormal actin cytoskeleton morphology; decreased body size,decreased body size,none recorded,none,AB:GO CC med conf; AB:UniProt loc med conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; SM:Approved Drug; SM:Druggable Family; SM:High-Quality Ligand; SM:Structure with Ligand,True,none,UNKNOWN
CDH2,B adhesion and matrix coupling,NO_SPATIAL_EVIDENCE,,40 axial-geometry records,none recorded,no length phenotype,none recorded,"arrhythmogenic right ventricular dysplasia, familial, 14; familial isolated arrhythmogenic ventricular dysplasia, right dominant form",AB:GO CC high conf; AB:Human Protein Atlas loc; AB:UniProt SigP or TMHMM; AB:UniProt loc high conf; AB:UniProt loc med conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,False,link 5: no bone-length phenotype,UNKNOWN
ILK,B adhesion and matrix coupling,NO_SPATIAL_EVIDENCE,,22 axial-geometry records,decreased birth body size,no length phenotype,none recorded,none,AB:GO CC med conf; AB:UniProt loc high conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; SM:Druggable Family; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Structure with Ligand,False,link 5: no bone-length phenotype,UNKNOWN
ITGA10,B adhesion and matrix coupling,NO_SPATIAL_EVIDENCE,,5 axial-geometry records,abnormal cartilage development; abnormal long bone epiphyseal plate morphology; decreased width of hypertrophic chondrocyte zone; short femur; short tibia,short tibia,phenotype recorded,"Acromesomelic dysplasia, Grebe type; brachydactyly type A1; brachydactyly type A2; brachydactyly type B2; familial digital arthropathy-brachydactyly; metaphyseal anadysplasia; multiple epiphyseal dysp",AB:GO CC high conf; AB:UniProt SigP or TMHMM,True,none,COLUMN_ALIGNMENT_SUPPORT
ITGA5,B adhesion and matrix coupling,NO_SPATIAL_EVIDENCE,,17 axial-geometry records,none recorded,no length phenotype,none recorded,none,AB:Advanced Clinical; AB:GO CC high conf; AB:UniProt SigP or TMHMM; AB:UniProt loc high conf; OC:Advanced Clinical; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; SM:Druggable Family; SM:High-Quality Ligand,False,link 5: no bone-length phenotype,UNKNOWN
