gene,epmc_height_records,epmc_adult_height_records,epmc_functional_assay_records,epmc_knockout_records,epmc_bone_length_records,epmc_dysplasia_records,epmc_cancer_records,epmc_vascular_records,epmc_metabolic_records,epmc_neuro_records
ACVR1,366,23,1084,2387,275,620,2914,1417,1118,355
ADAMTS17,255,31,162,387,65,148,422,293,227,105
ADAMTS6,91,5,124,383,39,65,502,275,236,58
ACAN,2083,165,1254,5194,1479,939,4740,3206,4351,551
ADAMTS3,120,5,168,477,35,98,533,405,277,89
ADAMTS10,227,16,170,399,66,174,384,317,182,90
BMP6,529,21,1053,4044,418,394,3884,2416,2334,321
BMPR1B,432,19,874,2419,258,384,2285,1283,1301,273
BMP1,602,23,841,2778,368,408,2780,1830,1584,278
ADAMTSL3,133,21,95,246,20,50,376,192,178,73
CHRD,121,3,272,638,34,52,539,320,348,87
BMP2,3059,72,4565,17763,2794,2021,15998,11827,10227,1159
CNMD,44,1,46,227,51,25,176,135,116,23
CHSY1,128,11,133,430,45,89,471,265,309,99
COL11A1,655,38,789,2562,351,692,3497,1911,1652,351
COL27A1,164,8,188,587,91,137,624,375,356,109
CRLF1,78,5,136,490,31,66,568,317,320,83
EFEMP1,284,33,375,1328,53,176,1857,1188,1051,187
FBN1,1985,93,1837,4743,393,1321,4862,5549,2906,926
FGFR3,2384,243,4400,8834,1469,3302,16848,5768,5476,1785
FBN2,465,21,577,1274,158,396,1403,1129,751,293
DOT1L,273,16,1253,2799,73,261,3999,964,1285,320
FSTL3,151,2,153,653,34,54,903,551,612,74
FURIN,1498,29,3684,15574,274,1103,15392,7880,7568,1134
GHR,3635,461,2008,9251,706,908,11378,4961,11802,1008
GDF5,696,67,665,1899,621,562,1613,1095,1155,197
GH1,5663,1443,1281,4561,732,1083,6657,3083,12293,1239
GNA12,154,18,253,818,15,68,989,445,574,113
HMGA1,397,32,779,3043,60,243,4514,1660,2030,269
GREM1,339,11,705,2294,255,424,3014,1502,1356,155
HMGA2,953,123,2000,5851,159,661,10147,3569,4051,562
HTRA1,388,8,669,2082,90,270,2433,2277,1541,332
HSPG2,441,15,736,2512,182,406,2726,1927,1653,307
IGF1R,6793,723,5678,24221,1401,2212,34465,16904,43192,2693
IGF1,10736,1390,6102,28981,2444,2905,37394,19713,63285,3548
IGF2,3266,257,3556,14615,638,1613,19696,8160,23159,2197
IGF2R,1100,47,1821,8525,171,587,8742,3770,9790,975
IGFALS,310,71,145,468,102,110,614,354,829,103
IGFBP1,686,33,603,2997,134,253,4015,2197,4743,307
IGFBP2,652,30,792,3660,163,349,5125,2813,4807,430
IGFBP3,1849,286,1320,5637,384,716,8598,4297,8458,749
IGFBP5,722,48,876,4173,284,335,4891,2650,5435,330
IGFBP4,457,32,459,2518,163,194,3048,1674,3751,202
IHH,1570,174,2256,5942,2067,1748,5591,3111,3302,622
IGFBP7,440,8,644,2650,84,311,3827,2574,3817,324
INSR,6253,141,5584,27549,564,1352,29186,16695,54651,2463
IGFBP6,227,6,251,1388,58,106,1757,1011,1576,108
LIFR,529,15,1036,4983,131,397,6400,3503,2960,436
LCORL,422,60,103,261,40,55,276,116,296,65
LTBP3,249,20,302,756,85,197,769,509,435,105
LTBP1,226,15,394,1495,67,196,1770,1101,944,123
MMP13,2480,30,2427,14595,2346,1391,16974,9660,8551,452
MATN3,255,30,141,488,225,270,530,313,312,64
LTBP2,332,15,402,1238,95,240,1372,991,791,157
MMP14,556,5,1280,5974,279,517,7651,4513,3481,342
NPPC,302,43,206,723,144,152,606,456,572,101
NOG,1533,30,2882,12738,545,1090,10823,4263,5465,959
NPR2,608,121,514,1500,343,411,1186,1001,1157,369
NPR3,331,29,563,1494,114,149,1251,988,979,141
PTH1R,508,39,571,1833,658,426,1644,1069,1238,196
PAPPA,1001,54,395,1622,200,407,3137,2230,2548,602
PAPPA2,232,47,170,487,79,144,545,368,521,121
PCSK5,104,4,177,517,24,66,597,379,374,92
PTHLH,1070,75,991,4323,1656,891,6143,2524,2749,347
SLC39A8,338,17,452,1104,42,141,1243,701,897,378
SHOX,1620,402,408,524,336,738,764,363,688,572
ROR2,415,16,1147,2928,242,509,3397,1632,1552,376
SLC26A2,266,22,285,594,112,414,611,310,443,135
SHOX2,621,15,515,1600,118,221,1537,749,934,201
SOST,1964,58,1607,5322,2089,873,4989,3588,3608,345
SPARC,2242,31,2350,11542,788,1330,14987,9105,7938,1165
STC1,211,14,345,1595,52,130,2152,1192,1337,128
STC2,205,21,274,1159,56,88,1914,749,1023,104
TRIP11,100,14,140,248,29,130,351,119,185,98
SUZ12,488,18,2560,5659,103,466,7491,1815,2197,721
ZBTB38,161,46,137,358,27,42,551,173,253,72
TLL1,113,2,205,536,39,82,498,266,258,102
