active_ingredient,pmid,pmcid,year,title,journal,is_open_access,has_age_at_exposure,has_growth_before_exposure,has_growth_during_exposure,has_growth_after_discontinuation,has_puberty,has_bone_age,has_epiphyseal_imaging,has_igf1_or_gh,has_phosphate,has_weight_nutrition,has_disease_activity,has_concomitant_medications,has_height_trajectory,has_segment_measurements,has_adverse_skeletal,has_dechallenge,has_rechallenge,has_dose_response,competing_growth_hormone_given,competing_puberty_suppression,competing_aromatase_inhibition,competing_nutritional_recovery,competing_major_weight_change,competing_glucocorticoid_withdrawal,competing_thyroid_correction,competing_disease_remission,competing_tumour_hormone,element_exposure_precedes_change,element_plausible_latency,element_dechallenge,element_rechallenge,element_dose_response,element_independent_replication,element_open_growth_plates,element_interpretable_baseline,timeline_fields_present,timeline_fields_possible,competing_explanations,raw_causality_score,penalty,score_cap_applied,temporal_causality_score,clean_natural_experiment,extraction_basis
METRONIDAZOLE,41908789,PMC13019284,2026,Strangulated Amyand's hernia containing gangrenous appendix and cecum in a preterm neonate.,,Y,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2,18,0,5.0,0.0,6.0,5.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
METRONIDAZOLE,39372633,PMC11450811,2024,Clinical Transplant Kidney Function Loss Due to Small Intestinal Bacterial Overgrowth.,,Y,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2,18,0,5.0,0.0,6.0,5.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
AMINO ACIDS,41561891,PMC12813414,2026,Hypoaminoacidemia and Pyroglutamic Aciduria: Potential Biomarkers in Malnutrition-Related Hyperammonemia.,,Y,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2,18,0,5.0,0.0,6.0,5.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
ALBUTEROL,36013172,PMC9409927,2022,Supraglottic Localization of IgG4-Related Disease-Rare and Challenging Equity.,,Y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1,18,0,5.0,0.0,6.0,5.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
PREDNISOLONE,39372633,PMC11450811,2024,Clinical Transplant Kidney Function Loss Due to Small Intestinal Bacterial Overgrowth.,,Y,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2,18,0,5.0,0.0,6.0,5.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
METRONIDAZOLE,37153324,PMC10159009,2023,Cephalic Tetanus Presenting as Peripheral Facial Palsy: A Case Report.,,Y,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2,18,0,5.0,0.0,6.0,5.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
PREDNISOLONE,42170321,PMC13177383,2026,Lymphoproliferation in inborn errors of immunity: From challenging diagnosis to histologic revision.,,Y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1,18,0,5.0,0.0,6.0,5.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
METRONIDAZOLE,40799886,PMC12341483,2025,Unusual Presentation of Necrotizing Enterocolitis Presenting in a Term Infant.,,Y,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2,18,0,5.0,0.0,6.0,5.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
COLISTIMETHATE,41009471,PMC12469698,2025,The Gut Microbiome and Colistin Resistance: A Hidden Driver of Antimicrobial Failure.,,Y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1,18,0,5.0,0.0,6.0,5.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
LEVOTHYROXINE,40746184,PMC12640713,2025,Management of Acquired Hypothalamic Dysfunction and the Hypothalamic Syndrome; It Is More Than Obesity.,,Y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1,18,0,5.0,0.0,6.0,5.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
CETIRIZINE,27244842,PMC4894252,2016,Presumed Pseudotumor Cerebri Syndrome After Withdrawal of Inhaled Glucocorticoids.,,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2,18,0,5.0,0.0,6.0,5.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
