active_ingredient,causal_class,p_catch_up_growth,p_puberty_suppression,p_delayed_puberty,p_aromatase_inhibition,p_growth_hormone_cotreatment,p_nutritional_recovery,p_weight_gain,p_disease_remission,p_glucocorticoid_withdrawal,p_thyroid_correction,p_oedema,p_measurement_artifact,p_oncology_survival_bias,p_reporting_publicity,p_duplicate_reports,p_pathological_growth,p_chronic_disease_growth_failure_indication,p_no_final_height,penalty_score
ESOMEPRAZOLE,CATCH_UP_GROWTH_ONLY,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,9.0
AMINO ACIDS,CATCH_UP_GROWTH_ONLY,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,9.0
COLISTIMETHATE,CATCH_UP_GROWTH_ONLY,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,9.0
IDURSULFASE,CATCH_UP_GROWTH_ONLY,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,9.5
HUMAN IMMUNOGLOBULIN G,CATCH_UP_GROWTH_ONLY,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,7.5
LANADELUMAB-FLYO,CATCH_UP_GROWTH_ONLY,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,7.5
MONTELUKAST,PATHOLOGICAL_OVERGROWTH,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,11.0
BECLOMETHASONE DIPROPIONATE,CATCH_UP_GROWTH_ONLY,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,7.0
CETIRIZINE,PATHOLOGICAL_OVERGROWTH,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,13.0
SEMAGLUTIDE,REJECT,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,5.5
RAMIPRIL,REJECT,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,5.5
EBASTINE,REJECT,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,5.5
METRONIDAZOLE,CATCH_UP_GROWTH_ONLY,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,11.5
ICATIBANT,PATHOLOGICAL_OVERGROWTH,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,11.5
ENOXAPARIN,CATCH_UP_GROWTH_ONLY,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,8.0
TEDUGLUTIDE,CATCH_UP_GROWTH_ONLY,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,True,14.5
LOPERAMIDE,CATCH_UP_GROWTH_ONLY,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,14.5
ALBUTEROL,PATHOLOGICAL_OVERGROWTH,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,True,False,12.5
CHOLESTYRAMINE,REJECT,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,7.5
PANCRELIPASE AMYLASE,REJECT,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,9.0
TIOTROPIUM BROMIDE,REJECT,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,9.0
PANCRELIPASE,REJECT,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,9.0
FENOTEROL HYDROBROMIDE,REJECT,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,9.0
AMPHOTERICIN B,REJECT,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,9.0
CIPROFLOXACIN,REJECT,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,9.0
METFORMIN,REJECT,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,9.5
DORNASE ALFA,CATCH_UP_GROWTH_ONLY,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,True,13.5
FLUCONAZOLE,REJECT,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,11.0
CERTOLIZUMAB PEGOL,REJECT,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,True,11.5
