active_ingredient,case_records,with_dechallenge,with_rechallenge,with_dose_response,clean_natural_experiments,best_score,median_competing_explanations,verdict
LOPERAMIDE,83,0,1,0,0,5.0,0.0,CASES_EXIST_NO_DECHALLENGE
ESOMEPRAZOLE,39,0,1,1,0,5.0,0.0,CASES_EXIST_NO_DECHALLENGE
CETIRIZINE,39,0,1,0,0,5.0,0.0,CASES_EXIST_NO_DECHALLENGE
ALBUTEROL,42,0,1,0,0,5.0,0.0,CASES_EXIST_NO_DECHALLENGE
PREDNISOLONE,83,0,2,0,0,5.0,0.0,CASES_EXIST_NO_DECHALLENGE
COLISTIMETHATE,5,0,1,1,0,5.0,0.0,CASES_EXIST_NO_DECHALLENGE
METRONIDAZOLE,91,0,6,0,0,5.0,0.0,CASES_EXIST_NO_DECHALLENGE
AMINO ACIDS,91,0,1,0,0,5.0,0.0,CASES_EXIST_NO_DECHALLENGE
LEVOTHYROXINE,90,0,4,0,0,5.0,0.0,CASES_EXIST_NO_DECHALLENGE
MONTELUKAST,51,0,1,0,0,5.0,0.0,CASES_EXIST_NO_DECHALLENGE
TEDUGLUTIDE,32,0,0,0,0,3.0,0.0,CASES_EXIST_NO_DECHALLENGE
IDURSULFASE,16,0,0,0,0,3.0,0.0,CASES_EXIST_NO_DECHALLENGE
IVACAFTOR,25,0,0,0,0,2.0,0.0,CASES_EXIST_NO_DECHALLENGE
ICATIBANT,3,0,0,0,0,2.0,0.0,CASES_EXIST_NO_DECHALLENGE
BECLOMETHASONE DIPROPIONATE,19,0,0,0,0,2.0,0.0,CASES_EXIST_NO_DECHALLENGE
HUMAN IMMUNOGLOBULIN G,5,0,0,0,0,2.0,0.0,CASES_EXIST_NO_DECHALLENGE
DORNASE ALFA,4,0,0,0,0,2.0,0.0,CASES_EXIST_NO_DECHALLENGE
ELEXACAFTOR,14,0,0,0,0,2.0,0.0,CASES_EXIST_NO_DECHALLENGE
TIOTROPIUM BROMIDE,5,0,0,0,0,2.0,0.0,CASES_EXIST_NO_DECHALLENGE
PANCRELIPASE,7,0,0,0,0,2.0,0.0,CASES_EXIST_NO_DECHALLENGE
ENOXAPARIN,55,0,0,0,0,2.0,0.0,CASES_EXIST_NO_DECHALLENGE
LANADELUMAB-FLYO,0,0,0,0,0,0.0,,NO_CASE_LITERATURE
FENOTEROL HYDROBROMIDE,0,0,0,0,0,0.0,,NO_CASE_LITERATURE
PANCRELIPASE AMYLASE,0,0,0,0,0,0.0,,NO_CASE_LITERATURE
