active_ingredient,control_role,s1_fda_signal,s2_international_replication,s3_serial_auxology,s4_case_timing,s5_dechallenge_rechallenge,s6_dose_response,s7_human_genetic_direction,s8_mechanistic_plausibility,s9_skeletal_imaging,s10_normal_bone_evidence,p_catch_up_growth,p_puberty_suppression,p_delayed_puberty,p_aromatase_inhibition,p_growth_hormone_cotreatment,p_nutritional_recovery,p_weight_gain,p_disease_remission,p_glucocorticoid_withdrawal,p_thyroid_correction,p_oedema,p_measurement_artifact,p_oncology_survival_bias,p_reporting_publicity,p_duplicate_reports,p_pathological_growth,p_chronic_disease_growth_failure_indication,p_no_final_height,streams_present,streams_beyond_pharmacovigilance,stream_score,penalty_score,net_score,causal_class,can_reach_confirmed,paediatric_cases,ic025
ESOMEPRAZOLE,,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,4,3,9.0,9.0,0.0,CATCH_UP_GROWTH_ONLY,no - the class requires serial auxology AND a dechallenge or rechallenge,8,0.104
AMINO ACIDS,,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,3,3,7.5,9.0,-1.5,CATCH_UP_GROWTH_ONLY,no - the class requires serial auxology AND a dechallenge or rechallenge,7,-0.097
COLISTIMETHATE,,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,3,3,7.0,9.0,-2.0,CATCH_UP_GROWTH_ONLY,no - the class requires serial auxology AND a dechallenge or rechallenge,7,-0.189
IDURSULFASE,,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,3,2,7.5,9.5,-2.0,CATCH_UP_GROWTH_ONLY,no - the class requires serial auxology AND a dechallenge or rechallenge,29,1.993
HUMAN IMMUNOGLOBULIN G,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,2,1,5.5,7.5,-2.0,CATCH_UP_GROWTH_ONLY,no - the class requires serial auxology AND a dechallenge or rechallenge,60,2.603
LANADELUMAB-FLYO,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,2,1,5.5,7.5,-2.0,CATCH_UP_GROWTH_ONLY,no - the class requires serial auxology AND a dechallenge or rechallenge,8,0.034
MONTELUKAST,,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,3,3,7.5,11.0,-3.5,PATHOLOGICAL_OVERGROWTH,no - the class requires serial auxology AND a dechallenge or rechallenge,8,-0.277
BECLOMETHASONE DIPROPIONATE,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,2.0,7.0,-5.0,CATCH_UP_GROWTH_ONLY,no - the class requires serial auxology AND a dechallenge or rechallenge,11,0.579
CETIRIZINE,,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,3,3,7.5,13.0,-5.5,PATHOLOGICAL_OVERGROWTH,no - the class requires serial auxology AND a dechallenge or rechallenge,8,-0.623
SEMAGLUTIDE,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,0,0,0.0,5.5,-5.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-0.941
RAMIPRIL,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,0,0,0.0,5.5,-5.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-0.977
EBASTINE,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,0,0,0.0,5.5,-5.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-0.993
METRONIDAZOLE,,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,2,2,5.5,11.5,-6.0,CATCH_UP_GROWTH_ONLY,no - the class requires serial auxology AND a dechallenge or rechallenge,7,-0.152
ICATIBANT,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,2,1,5.5,11.5,-6.0,PATHOLOGICAL_OVERGROWTH,no - the class requires serial auxology AND a dechallenge or rechallenge,10,0.379
ENOXAPARIN,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,1,1,2.0,8.0,-6.0,CATCH_UP_GROWTH_ONLY,no - the class requires serial auxology AND a dechallenge or rechallenge,5,-0.619
TEDUGLUTIDE,,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,True,3,2,7.5,14.5,-7.0,CATCH_UP_GROWTH_ONLY,no - the class requires serial auxology AND a dechallenge or rechallenge,30,2.002
LOPERAMIDE,,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,3,2,7.5,14.5,-7.0,CATCH_UP_GROWTH_ONLY,no - the class requires serial auxology AND a dechallenge or rechallenge,12,0.709
ALBUTEROL,,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,True,False,2,2,5.5,12.5,-7.0,PATHOLOGICAL_OVERGROWTH,no - the class requires serial auxology AND a dechallenge or rechallenge,10,-0.354
CHOLESTYRAMINE,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,0,0,0.0,7.5,-7.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,3,-1.41
PANCRELIPASE AMYLASE,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,0,0,0.0,9.0,-9.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,7,-0.1
TIOTROPIUM BROMIDE,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,0,0,0.0,9.0,-9.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,7,-0.107
PANCRELIPASE,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,0,0,0.0,9.0,-9.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,7,-0.134
FENOTEROL HYDROBROMIDE,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,0,0,0.0,9.0,-9.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,7,-0.187
AMPHOTERICIN B,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,0,0,0.0,9.0,-9.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,5,-0.752
CIPROFLOXACIN,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,0,0,0.0,9.0,-9.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,3,-1.44
METFORMIN,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,0,0,0.0,9.5,-9.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-0.989
DORNASE ALFA,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,True,1,1,3.5,13.5,-10.0,CATCH_UP_GROWTH_ONLY,no - the class requires serial auxology AND a dechallenge or rechallenge,6,-0.338
FLUCONAZOLE,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,0,0,0.0,11.0,-11.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,5,-0.759
CERTOLIZUMAB PEGOL,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,True,0,0,0.0,11.5,-11.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,3,-1.398
BUDESONIDE,NEGATIVE_CONTROL,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,True,True,1,1,3.5,15.5,-12.0,PATHOLOGICAL_OVERGROWTH,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-1.418
SOMATROPIN,POSITIVE_CONTROL,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,True,False,True,1,1,3.5,15.5,-12.0,PATHOLOGICAL_OVERGROWTH,no - the class requires serial auxology AND a dechallenge or rechallenge,7,-2.839
DUPILUMAB,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,0,0,0.0,12.0,-12.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-4.756
RISPERIDONE,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,0,0,0.0,13.0,-13.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-1.504
URSODIOL,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,0,0,0.0,13.0,-13.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,3,-1.514
CHLORIDE,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,0,0,0.0,13.0,-13.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-1.606
CHOLECALCIFEROL,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,0,0,0.0,13.0,-13.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,3,-2.074
