gene,label,reported_direction,ensembl_id,n_associated_diseases,top_diseases,stature_related_diseases,n_stature_related_diseases,exclusion_hits,proportionate_phenotype_mentioned,epmc_tall_stature_records,epmc_proportionate_records,epmc_dysplasia_records,dysplasia_to_tall_ratio,classification,usable_as_a_human_validated_target
IGF1,insulin-like growth factor 1,gain of function,ENSG00000017427,60,growth delay due to insulin-like growth factor type 1 deficiency; Abnormality of the skeletal system; microcephalic primordial dwarfism; COVID-19; preeclampsia; Uterine leiomyoma,growth delay due to insulin-like growth factor type 1 deficiency,1,none,True,1596,9,2904,1.82,DISPROPORTIONATE_OR_DYSPLASTIC,False
SHOX,short stature homeobox,gain of function,ENSG00000185960,60,Leri-Weill dyschondrosteosis; Langer mesomelic dysplasia; SHOX-related short stature; Léri-Weill dyschondrosteosis; neurodegenerative disease; COVID-19,SHOX-related short stature; fetal growth restriction; Short stature; short stature due to GHSR deficiency; Growth delay,5,none,True,285,8,738,2.59,DISPROPORTIONATE_OR_DYSPLASTIC,False
AR,androgen receptor,loss of function,ENSG00000169083,60,androgen insensitivity syndrome; partial androgen insensitivity syndrome; prostate cancer; Kennedy disease; prostate carcinoma; neoplasm,none,0,none,False,5703,8,21911,3.84,DISPROPORTIONATE_OR_DYSPLASTIC,False
FGFR3,FGF receptor 3,loss of function,ENSG00000068078,60,achondroplasia; thanatophoric dysplasia type 1; Severe achondroplasia - developmental delay - acanthosis nigricans; urinary bladder carcinoma; hypochondroplasia; Muenke syndrome,camptodactyly-tall stature-scoliosis-hearing loss syndrome; Camptodactyly - tall stature - scoliosis - hearing loss; Short stature,3,none,True,805,6,3302,4.1,DISPROPORTIONATE_OR_DYSPLASTIC,False
AKT1,Proteus,gain of function,ENSG00000142208,60,Proteus syndrome; cancer; Cowden syndrome 6; breast cancer; breast adenocarcinoma; breast carcinoma,none,0,none,False,1280,5,2293,1.79,DISPROPORTIONATE_OR_DYSPLASTIC,False
GH1,growth hormone,gain of function,ENSG00000259384,60,Non-acquired isolated growth hormone deficiency; isolated growth hormone deficiency type II; isolated growth hormone deficiency type IB; short stature due to growth hormone qualitative anomaly; isolated growth hormone deficiency type IA; hereditary disease,Non-acquired isolated growth hormone deficiency; isolated growth hormone deficiency type II; isolated growth hormone deficiency type IB; short stature due to growth hormone qualitative anomaly; isolated growth hormone deficiency type IA; Decreased response to growth hormone stimulation test,9,tumour-driven overgrowth,True,431,4,1083,2.51,EXCLUDED_TUMOUR-DRIVEN,False
IGF2,insulin-like growth factor 2,gain of function,ENSG00000167244,60,"Silver-Russell syndrome due to a point mutation; Silver-Russell syndrome; Beckwith-Wiedemann syndrome; maturity-onset diabetes of the young type 10; diabetes mellitus, permanent neonatal 4; hyperproinsulinemia",Beckwith-Wiedemann syndrome; Beckwith-Wiedemann syndrome due to imprinting defect of 11p15; fetal growth restriction,3,soft-tissue or oedematous overgrowth,True,1754,4,1613,0.92,EXCLUDED_SOFT-TISSUE,False
ESR1,oestrogen receptor alpha,loss of function,ENSG00000091831,60,breast cancer; breast carcinoma; osteoporosis; endometriosis; breast neoplasm; neoplasm,none,0,none,False,368,4,1113,3.02,DISPROPORTIONATE_OR_DYSPLASTIC,False
PIK3CA,PIK3CA-related overgrowth,gain of function,ENSG00000121879,60,megalencephaly-capillary malformation-polymicrogyria syndrome; CLOVE syndrome; CLOVES syndrome; PIK3CA-related overgrowth spectrum; breast cancer; Cowden syndrome 5,PIK3CA-related overgrowth spectrum; pik3ca related overgrowth spectrum; overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes; Limb overgrowth; PIK3CA-related overgrowth syndrome,5,none,True,2032,4,3534,1.74,DISPROPORTIONATE_OR_DYSPLASTIC,False
NPR2,CNP receptor,gain of function,ENSG00000159899,60,"Acromesomelic dysplasia, Maroteaux type; acromesomelic dysplasia 1, Maroteaux type; Tall stature - scoliosis - macrodactyly of the great toes; tall stature-scoliosis-macrodactyly of the great toes syndrome; short stature with nonspecific skeletal abnormalities; achondroplasia",Tall stature - scoliosis - macrodactyly of the great toes; tall stature-scoliosis-macrodactyly of the great toes syndrome; short stature with nonspecific skeletal abnormalities; Disproportionate short stature; Growth delay; Short stature,6,none,True,206,3,411,2.0,DISPROPORTIONATE_OR_DYSPLASTIC,False
