active_ingredient,fda_growth_reports,fda_ic025,fda_ror,fda_signal,control_role,independent_database,ca_growth_reports,ca_reports_all_events,ca_suspect_growth_reports,ca_ror,ca_ror_lo95,ca_ror_hi95,ca_ic025,direction_replicates,classification,note,eudravigilance,who_vigibase,pmda,tga
HUMAN IMMUNOGLOBULIN G,60,2.603,32.896,True,,Canada Vigilance (Health Canada),0,0,0,,,,,False,TOO_SPARSE,the active ingredient does not appear in any paediatric Canada Vigilance report,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
TEDUGLUTIDE,30,2.002,42.766,True,,Canada Vigilance (Health Canada),1,20,1,153.272,27.742,846.82,-3.027,False,FDA_ONLY_SIGNAL,present in 20 paediatric Canadian reports but only 1 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
IDURSULFASE,29,1.993,57.923,True,,Canada Vigilance (Health Canada),0,15,0,61.657,3.588,1059.46,-5.656,False,FDA_ONLY_SIGNAL,present in 15 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
LOPERAMIDE,12,0.709,38.012,True,,Canada Vigilance (Health Canada),1,41,0,73.764,13.76,395.442,-3.022,False,FDA_ONLY_SIGNAL,present in 41 paediatric Canadian reports but only 1 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
BECLOMETHASONE DIPROPIONATE,11,0.579,38.244,True,,Canada Vigilance (Health Canada),0,26,0,36.055,2.137,608.398,-5.656,False,FDA_ONLY_SIGNAL,present in 26 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
ICATIBANT,10,0.379,124.78,True,,Canada Vigilance (Health Canada),0,0,0,,,,,False,TOO_SPARSE,the active ingredient does not appear in any paediatric Canada Vigilance report,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
ESOMEPRAZOLE,8,0.104,27.954,True,,Canada Vigilance (Health Canada),0,30,0,31.324,1.863,526.787,-5.657,False,FDA_ONLY_SIGNAL,present in 30 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
LANADELUMAB-FLYO,8,0.034,141.633,True,,Canada Vigilance (Health Canada),0,0,0,,,,,False,TOO_SPARSE,the active ingredient does not appear in any paediatric Canada Vigilance report,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
IVACAFTOR,7,-0.095,20.832,False,,Canada Vigilance (Health Canada),0,3,0,273.122,13.74,5429.031,-5.655,False,TOO_SPARSE,present in 3 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
AMINO ACIDS,7,-0.097,27.446,False,,Canada Vigilance (Health Canada),0,2,0,382.38,17.891,8172.721,-5.655,False,TOO_SPARSE,present in 2 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
