module,n_genes,r_young,p_young,r_tibia,p_tibia,r_proliferative,p_proliferative,rat_young_r,rat_concordant,crispr_enrich,crispr_p,height_enrich,height_p,n_crispr_causal,module_class,zone_bias,dominant_axis
7,122,0.6741367450785369,6.0832841061098245e-05,-0.34096147095342955,0.07028901679901453,0.14241799255304655,0.4611358228235966,0.7662169827583706,True,2.0719312275089967,0.17688504072740308,1.0637715143599493,0.3089460713416768,3,GROWTH_SUSTAINING,shared,young
9,47,0.2546745999121019,0.18245126137064077,0.23101494383967308,0.2279240248902208,0.22172641577231603,0.24769335595983885,0.12367234052028458,True,0.0,1.0,0.8856933443526835,0.787188626663314,0,other,shared,young
5,42,0.1945384314372368,0.3119002601920862,-0.3601642940048263,0.05495916315453603,-0.06821726589932953,0.7251292603510123,0.18107461533546798,True,2.0061556329849015,0.394709665901091,1.2243407995463567,0.14649363555925515,1,other,shared,tibia
6,172,0.11553662606724617,0.5506276588889321,-0.5969837698101453,0.0006291536166297443,-0.16375661936440458,0.3959828867522273,0.09992624698005917,True,0.48987521270561535,0.8730346223518934,1.1389216739966108,0.07505342371084482,1,SENESCENCE_SLOWGROWTH,shared,tibia
3,67,0.05580208592273426,0.7737225448329876,-0.010115226098207789,0.9584671162453462,-0.3481698436932422,0.06418824308525213,-0.18114444978316233,False,0.0,1.0,0.8771396772869421,0.8317312580836486,0,other,hypertrophic,proliferative
2,32,-0.10360162440763485,0.5927787945737107,0.21523636223497955,0.2621587665816493,-0.23709372188537395,0.2155765869195387,0.35960562052837713,False,0.0,1.0,0.7652129997164729,0.9022273886313569,0,other,shared,proliferative
10,2580,-0.12349752276336191,0.5233102209563502,0.03150145236070921,0.8711338283084741,0.9564389219012973,5.791911872545884e-16,-0.07844842854212675,True,1.1430421629797693,0.2193923270227272,1.0193348982269665,0.19400967735313424,35,PROLIFERATIVE_PROGRAM,proliferative,proliferative
1,47,-0.20062127960290782,0.29671101257453925,0.33613559208512234,0.0746176710532518,0.19916368269880783,0.30030745038675,0.11130182019549636,False,1.792734820965231,0.42987322599778915,0.6251953018960119,0.9905490046421668,1,other,shared,tibia
4,2601,-0.22328700993564182,0.2442952213294552,-0.06797473170055858,0.72606929288563,-0.9211853309010516,1.4048692273544905e-12,-0.02325114635178245,True,1.198602788796054,0.13514778266328417,1.232343026994372,1.7337066955630704e-26,37,HYPERTROPHIC_PROGRAM,hypertrophic,proliferative
11,92,-0.28892978895055466,0.1284794593640846,-0.014701992288304903,0.9396625727116181,0.15209041282630842,0.4309289247862201,-0.07804464091269987,True,1.8317073170731708,0.2982712016043268,0.9049475474907853,0.8062141420126758,2,other,shared,young
8,207,-0.3191865106860222,0.0914617918018749,0.8750723307285024,5.325426733792201e-10,0.21387072563724066,0.265271217317066,-0.41994228568948133,True,0.8140921409214091,0.7073765369954216,1.2065967299877138,0.008246640271289808,2,GROWTH_SUSTAINING,shared,tibia
12,159,-0.6049940857965854,0.0005075455395376828,0.14607725643540365,0.4495788566175984,0.20940199883391414,0.275623168210511,-0.6754147260353186,True,0.0,1.0,0.8316277128994122,0.9691058913220727,0,SENESCENCE_SLOWGROWTH,shared,young
