compound,panel_role,chemotype,binding_site,gtopdb_ligand_id,pubchem_cid,primary_target,primary_potency,primary_potency_nM,n_pkc_isoforms_hit,pkc_isoforms,n_gsk3_hit,gsk3_potency,best_offtarget,best_offtarget_potency_nM,selectivity_margin_fold,n_gtopdb_targets,pubchem_active_assays,pubchem_distinct_target_genes,approved_drug,withdrawn,immunomodulator_flag,pubmed_total,pubmed_cartilage_bone,pubmed_clinical_trial,cartilage_pmids,selectivity_determinable,score_selectivity,score_potency,score_human_exposure,score_cartilage_relevance,score_offtarget_burden,score_interpretability,chronic_use_liability,probe_score,intended_target_class,primary_matches_intent
laduviglusib,"direct GSK3 inhibitor, ATP-competitive (CHIR-99021)",aminopyrimidine,ATP-competitive,8014.0,9956119,glycogen synthase kinase 3 beta,pIC50 8.2,6.31,0,,2,glycogen synthase kinase 3 beta pIC50 8.2; glycogen synthase kinase 3 alpha pIC50 8.0,cyclin dependent kinase 1,7943.282,1258.9,4,164,18,False,False,False,8,1,0,41144482,True,1.0,0.7499544548392598,0.0,0.16794877895704194,0.36200171405670867,1.0,"tool compound, no chronic human use",3.2511298727518056,GSK3,True
linagliptin,safer connectivity-derived comparator (DPP-4),xanthine,DPP-4 active site,6318.0,10096344,dipeptidyl peptidase 4,pKi 9.0,1.0,0,,0,,,,,1,60,7,True,False,False,1248,19,168,42348590; 40641023; 40607171; 40398630,False,0.5,0.9721737495750534,1.0,0.725862546276467,0.5494285503289362,0.2,low - approved chronic-use drug,2.7647621529106483,DPP-4,True
GF109203X,"orthogonal PKC inhibitor, overlapping isoform scope",bisindolylmaleimide,ATP-competitive,5193.0,4192,protein kinase C beta,pIC50 7.8,15.849,3,protein kinase C alpha; protein kinase C beta; protein kinase C gamma,0,,,,,3,83,29,False,False,False,1556,30,1,34168561; 29768523; 27999941; 27848062,False,0.5,0.6388565217370215,0.06755953860682994,0.832051221042958,0.26303173031978655,0.7,"tool compound, no chronic human use",2.532969032032421,PKC,True
tideglusib,"direct GSK3B inhibitor, non-ATP-competitive/irreversible",thiadiazolidinone,non-ATP-competitive,6929.0,11313622,glycogen synthase kinase 3 beta,pKi 7.3,50.119,0,,1,glycogen synthase kinase 3 beta pKi 7.3,,,,1,52,7,False,False,False,152,14,6,41997964; 41691285; 40975852; 40556526,False,0.5,0.49997441166696777,0.18966360323982473,0.656157505051201,0.5494285503289362,0.7,"tool compound, no chronic human use",2.5146093753618772,GSK3,True
sotrastaurin,index compound (pan classical/novel PKC),maleimide,ATP-competitive,7946.0,10296883,protein kinase C theta,pIC50 9.0,1.0,6,protein kinase C alpha; protein kinase C beta; protein kinase C delta; protein kinase C epsilon; protein kinase C eta; protein kinase C theta,0,,PIM1,50.0,50.0,6,167,63,False,False,True,102,3,11,32652826; 31233937; 26540567,True,0.17602376069851197,0.9721737495750534,0.24219841247150856,0.3358975579140839,0.09885710065787234,1.0,immunosuppressant by design (PKCtheta is the TCR node),2.483324825506486,PKC,True
enzastaurin,PKC-beta-selective comparator,bisindolylmaleimide,ATP-competitive,5693.0,176167,protein kinase C beta,pIC50 7.5,31.623,4,protein kinase C alpha; protein kinase C beta; protein kinase C delta; protein kinase C gamma,0,,,,,4,239,100,False,False,False,256,20,49,37175864; 31691359; 30107138; 25964201,False,0.5,0.5555270102617575,0.3812963201444816,0.7376843479474341,0.0,0.7,oncology development compound,2.3387580802788186,PKC,True
Go 6976,PKC inhibitor with different isoform scope (classical only),indolocarbazole,ATP-competitive,5973.0,3501,fms related receptor tyrosine kinase 3,pIC50 9.1,0.794,1,protein kinase C alpha,0,,protein kinase D1,19.953,25.1,3,312,90,False,False,False,397,6,0,18025234; 16798739; 15383323; 15322235,True,0.0,1.0,0.0,0.4714918312586162,0.022591178268031364,1.0,"tool compound, no chronic human use",2.249300622590127,PKC,False
calphostin C,"orthogonal PKC inhibitor, different chemotype AND different site",perylenequinone,C1/DAG-binding domain (not ATP-competitive),5156.0,2543,,,,0,,0,,,,,0,78,19,False,False,False,2297,61,2,31146918; 29330344; 22019892; 21685927,False,0.5,0.3,0.10707933525784868,1.0,0.350887530970834,0.0,"tool compound, no chronic human use",1.6426563191598549,PKC,
bisindolylmaleimide V,inactive structural analogue (negative control),bisindolylmaleimide,inactive analogue,,2400,,,,0,,0,,,,,0,0,0,,,,14,0,0,,False,0.5,0.3,0.0,0.0,1.0,0.0,"tool compound, no chronic human use",1.5,none (inactive analogue),
niclosamide,pleiotropic positive control ONLY - not a preferred lead,salicylanilide,multiple/uncoupler,8494.0,4477,K<sub>Na</sub>1.1,pEC50 5.5,3162.278,0,,0,,,,,1,914,82,True,False,False,1340,23,24,42399539; 40657731; 40521512; 40162961,False,0.5,0.0,0.8137367815376517,0.7700388535599437,0.042529747235940385,0.2,pleiotropic/mitochondrial uncoupler,1.4546583095828316,pleiotropic,False
