concept,concept_class,meddra_preferred_term,match_source,verification,reports_all_ages,reports_paediatric,usable_paediatrically,note
aromatase inhibition,ALTERNATIVE,BLOOD OESTROGEN ABNORMAL,FAERS REAC vocabulary + concept regex,VERIFIED,24,1,False,
aromatase inhibition,ALTERNATIVE,BLOOD OESTROGEN INCREASED,FAERS REAC vocabulary + concept regex,VERIFIED,53,1,False,
aromatase inhibition,ALTERNATIVE,BLOOD OESTROGEN,FAERS REAC vocabulary + concept regex,VERIFIED,1,0,False,
aromatase inhibition,ALTERNATIVE,BLOOD OESTROGEN DECREASED,FAERS REAC vocabulary + concept regex,VERIFIED,59,0,False,
aromatase inhibition,ALTERNATIVE,HYPEROESTROGENISM,FAERS REAC vocabulary + concept regex,VERIFIED,1,0,False,
aromatase inhibition,ALTERNATIVE,OESTROGEN DEFICIENCY,FAERS REAC vocabulary + concept regex,VERIFIED,12,0,False,
aromatase inhibition,ALTERNATIVE,OESTROGEN RECEPTOR ASSAY POSITIVE,FAERS REAC vocabulary + concept regex,VERIFIED,11,0,False,
aromatase inhibition,ALTERNATIVE,OESTROGEN RECEPTOR GENE OVEREXPRESSION,FAERS REAC vocabulary + concept regex,VERIFIED,1,0,False,
aromatase inhibition,ALTERNATIVE,OESTROGENIC EFFECT,FAERS REAC vocabulary + concept regex,VERIFIED,1,0,False,
catch-up growth after malnutrition,ALTERNATIVE,MALNUTRITION,FAERS REAC vocabulary + concept regex,VERIFIED,1268,80,True,
catch-up growth after malnutrition,ALTERNATIVE,FAILURE TO THRIVE,FAERS REAC vocabulary + concept regex,VERIFIED,280,36,True,
catch-up growth after malnutrition,ALTERNATIVE,UNDERWEIGHT,FAERS REAC vocabulary + concept regex,VERIFIED,212,28,True,
catch-up growth after malnutrition,ALTERNATIVE,CACHEXIA,FAERS REAC vocabulary + concept regex,VERIFIED,328,6,True,
catch-up growth after malnutrition,ALTERNATIVE,FOETAL MALNUTRITION,FAERS REAC vocabulary + concept regex,VERIFIED,10,3,True,
catch-up growth after malnutrition,ALTERNATIVE,ADULT FAILURE TO THRIVE,FAERS REAC vocabulary + concept regex,VERIFIED,41,0,False,
catch-up growth after malnutrition,ALTERNATIVE,MATERNAL PRE-PREGNANCY UNDERWEIGHT,FAERS REAC vocabulary + concept regex,VERIFIED,1,0,False,
disease correction / remission,ALTERNATIVE,THERAPEUTIC RESPONSE SHORTENED,FAERS REAC vocabulary + concept regex,VERIFIED,8105,1021,True,
disease correction / remission,ALTERNATIVE,THERAPEUTIC RESPONSE DECREASED,FAERS REAC vocabulary + concept regex,VERIFIED,5982,556,True,
disease correction / remission,ALTERNATIVE,THERAPEUTIC RESPONSE UNEXPECTED,FAERS REAC vocabulary + concept regex,VERIFIED,2877,96,True,
disease correction / remission,ALTERNATIVE,LOSS OF THERAPEUTIC RESPONSE,FAERS REAC vocabulary + concept regex,VERIFIED,983,18,True,
disease correction / remission,ALTERNATIVE,THERAPEUTIC RESPONSE DELAYED,FAERS REAC vocabulary + concept regex,VERIFIED,191,9,True,
disease correction / remission,ALTERNATIVE,THERAPEUTIC RESPONSE CHANGED,FAERS REAC vocabulary + concept regex,VERIFIED,2423,8,True,
disease correction / remission,ALTERNATIVE,REMISSION NOT ACHIEVED,FAERS REAC vocabulary + concept regex,VERIFIED,79,3,True,
disease correction / remission,ALTERNATIVE,DISEASE IN REMISSION,FAERS REAC vocabulary + concept regex,VERIFIED,10,2,False,
disease correction / remission,ALTERNATIVE,LEUKAEMIA IN REMISSION,FAERS REAC vocabulary + concept regex,VERIFIED,6,1,False,
disease correction / remission,ALTERNATIVE,ACUTE LYMPHOCYTIC LEUKAEMIA (IN REMISSION),FAERS REAC vocabulary + concept regex,VERIFIED,3,0,False,
disease correction / remission,ALTERNATIVE,ACUTE MYELOID LEUKAEMIA (IN REMISSION),FAERS REAC vocabulary + concept regex,VERIFIED,2,0,False,
disease correction / remission,ALTERNATIVE,CANCER IN REMISSION,FAERS REAC vocabulary + concept regex,VERIFIED,38,0,False,
disease correction / remission,ALTERNATIVE,CHRONIC LYMPHOCYTIC LEUKAEMIA (IN REMISSION),FAERS REAC vocabulary + concept regex,VERIFIED,1,0,False,
disease correction / remission,ALTERNATIVE,CHRONIC MYELOID LEUKAEMIA (IN REMISSION),FAERS REAC vocabulary + concept regex,VERIFIED,2,0,False,
disease correction / remission,ALTERNATIVE,MYELOID LEUKAEMIA IN REMISSION,FAERS REAC vocabulary + concept regex,VERIFIED,1,0,False,
disease correction / remission,ALTERNATIVE,PLASMA CELL MYELOMA IN REMISSION,FAERS REAC vocabulary + concept regex,VERIFIED,8,0,False,
disease correction / remission,ALTERNATIVE,THERAPEUTIC RESPONSE INCREASED,FAERS REAC vocabulary + concept regex,VERIFIED,52,0,False,
disease correction / remission,ALTERNATIVE,THERAPEUTIC RESPONSE PROLONGED,FAERS REAC vocabulary + concept regex,VERIFIED,12,0,False,
glucocorticoid withdrawal,ALTERNATIVE,ADRENAL INSUFFICIENCY,FAERS REAC vocabulary + concept regex,VERIFIED,1896,80,True,
glucocorticoid withdrawal,ALTERNATIVE,CUSHINGOID,FAERS REAC vocabulary + concept regex,VERIFIED,386,66,True,
glucocorticoid withdrawal,ALTERNATIVE,TOPICAL STEROID WITHDRAWAL REACTION,FAERS REAC vocabulary + concept regex,VERIFIED,98,15,True,
glucocorticoid withdrawal,ALTERNATIVE,STEROID WITHDRAWAL SYNDROME,FAERS REAC vocabulary + concept regex,VERIFIED,98,5,True,
glucocorticoid withdrawal,ALTERNATIVE,TERTIARY ADRENAL INSUFFICIENCY,FAERS REAC vocabulary + concept regex,VERIFIED,18,3,True,
glucocorticoid withdrawal,ALTERNATIVE,ADRENAL INSUFFICIENCY NEONATAL,FAERS REAC vocabulary + concept regex,VERIFIED,6,0,False,
glucocorticoid withdrawal,ALTERNATIVE,IMMUNE-MEDIATED ADRENAL INSUFFICIENCY,FAERS REAC vocabulary + concept regex,VERIFIED,342,0,False,
glucocorticoid withdrawal,ALTERNATIVE,PRIMARY ADRENAL INSUFFICIENCY,FAERS REAC vocabulary + concept regex,VERIFIED,79,0,False,
growth hormone treatment,ALTERNATIVE,,FAERS REAC vocabulary + concept regex,NO_TERM_FOUND,0,0,False,no term coded in any FAERS report matches this concept; it cannot be searched in this database
measurement/reporting error,ALTERNATIVE,INCORRECT DOSE ADMINISTERED,FAERS REAC vocabulary + concept regex,VERIFIED,35884,1760,True,
measurement/reporting error,ALTERNATIVE,PRODUCT USE ISSUE,FAERS REAC vocabulary + concept regex,VERIFIED,21586,1392,True,
measurement/reporting error,ALTERNATIVE,INCORRECT DOSE ADMINISTERED BY DEVICE,FAERS REAC vocabulary + concept regex,VERIFIED,5365,635,True,
measurement/reporting error,ALTERNATIVE,INTENTIONAL PRODUCT USE ISSUE,FAERS REAC vocabulary + concept regex,VERIFIED,12578,192,True,
measurement/reporting error,ALTERNATIVE,INCORRECT DOSE ADMINISTERED BY PRODUCT,FAERS REAC vocabulary + concept regex,VERIFIED,277,8,True,
oedema,ALTERNATIVE,ANGIOEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,3734,468,True,
oedema,ALTERNATIVE,HEREDITARY ANGIOEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,6997,269,True,
oedema,ALTERNATIVE,OEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,5338,172,True,
oedema,ALTERNATIVE,BRAIN OEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,1169,136,True,
oedema,ALTERNATIVE,OEDEMA PERIPHERAL,FAERS REAC vocabulary + concept regex,VERIFIED,7464,136,True,
oedema,ALTERNATIVE,PULMONARY OEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,3437,127,True,
oedema,ALTERNATIVE,FACE OEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,1093,90,True,
oedema,ALTERNATIVE,EYELID OEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,479,72,True,
oedema,ALTERNATIVE,PAPILLOEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,341,49,True,
oedema,ALTERNATIVE,GENERALISED OEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,1188,48,True,
oedema,ALTERNATIVE,LIP OEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,266,45,True,
oedema,ALTERNATIVE,PERIORBITAL OEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,400,27,True,
oedema,ALTERNATIVE,LARYNGEAL OEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,436,20,True,
oedema,ALTERNATIVE,LOCALISED OEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,323,15,True,
oedema,ALTERNATIVE,VACCINATION SITE OEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,17,15,True,
oedema,ALTERNATIVE,INJECTION SITE OEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,164,14,True,
oedema,ALTERNATIVE,NON-CARDIOGENIC PULMONARY OEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,214,13,True,
oedema,ALTERNATIVE,INFUSION SITE OEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,159,12,True,
oedema,ALTERNATIVE,OPTIC DISC OEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,63,11,True,
oedema,ALTERNATIVE,TONGUE OEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,216,11,True,
oedema,ALTERNATIVE,EYE OEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,171,10,True,
oedema,ALTERNATIVE,BONE MARROW OEDEMA,FAERS REAC vocabulary + concept regex,VERIFIED,106,9,True,
