compound,pubchem_cid,source_paper_pmid,experimental_model,disease_model,experimental_concentration,experimental_conc_nM,target,direct_or_indirect,biochemical_potency,potency_nM,species,assay_type,direction,evidence_source,engaged_at_experimental_conc
bafilomycin A1,6436223.0,26259639,normal postnatal mouse metatarsal,False,8 nM,8.0,P2RX3,assay-derived,median 0.755 uM,755.0,,median IC50/EC50,,PubChem BioAssay,not engaged at the concentration used
bafilomycin A1,6436223.0,26259639,normal postnatal mouse metatarsal,False,8 nM,8.0,ATP6AP1,assay-derived,median 0.1 uM,100.0,,median IC50/EC50,,PubChem BioAssay,not engaged at the concentration used
bafilomycin A1,6436223.0,26259639,normal postnatal mouse metatarsal,False,8 nM,8.0,SYK,assay-derived,median 0.0195 uM,19.45,,median IC50/EC50,,PubChem BioAssay,not engaged at the concentration used
bafilomycin A1,6436223.0,26259639,normal postnatal mouse metatarsal,False,8 nM,8.0,NSD2,assay-derived,median 0.0394 uM,39.4,,median IC50/EC50,,PubChem BioAssay,not engaged at the concentration used
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,<i>MRGPRX1</i>,direct (measured affinity),pEC50 3.5,316227.766,Human,pEC50,Agonist,Guide to Pharmacology,not engaged at the concentration used
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,,direct (measured affinity),pIC50 7.9,12.5893,Plasmodium falciparum NF54,pIC50,None,Guide to Pharmacology,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,,direct (measured affinity),pIC50 6.7,199.5262,Plasmodium falciparum K1,pIC50,None,Guide to Pharmacology,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,,direct (measured affinity),pIC50 6.6,251.1886,Plasmodium falciparum W2,pIC50,None,Guide to Pharmacology,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,,direct (measured affinity),pIC50 7.2,63.0957,Plasmodium falciparum 7G8,pIC50,None,Guide to Pharmacology,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,,direct (measured affinity),pIC50 7.0,100.0,Plasmodium falciparum TM90C2A,pIC50,None,Guide to Pharmacology,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,,direct (measured affinity),pIC50 8.1,7.9433,Plasmodium falciparum D6,pIC50,None,Guide to Pharmacology,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,,direct (measured affinity),pIC50 6.5,316.2278,Plasmodium falciparum V1/S,pIC50,None,Guide to Pharmacology,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,<i>TAS2R3</i>,direct (measured affinity),,,Human,,Agonist,Guide to Pharmacology,
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,"NACHT, LRR and PYD domains-containing protein 3",direct (measured affinity),IC50 87880,87880.0,Mouse,IC50,,BindingDB,not engaged at the concentration used
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,SIGMAR1,assay-derived,median 0.0794 uM,79.43,,median IC50/EC50,,PubChem BioAssay,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,CHRM1,assay-derived,median 9.12 uM,9120.11,,median IC50/EC50,,PubChem BioAssay,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,CHRM2,assay-derived,median 4.68 uM,4677.35,,median IC50/EC50,,PubChem BioAssay,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,CHRM3,assay-derived,median 3.31 uM,3311.31,,median IC50/EC50,,PubChem BioAssay,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,ADRA2A,assay-derived,median 4.37 uM,4365.16,,median IC50/EC50,,PubChem BioAssay,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,ADRA2C,assay-derived,median 10 uM,10000.0,,median IC50/EC50,,PubChem BioAssay,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,BACE1,assay-derived,median 7 uM,7000.0,,median IC50/EC50,,PubChem BioAssay,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,MTOR,assay-derived,median 0.27 uM,270.0,,median IC50/EC50,,PubChem BioAssay,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,MRGPRX1,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,GAMT,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,GNMT,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,TMEM97,assay-derived,median 0.501 uM,501.19,,median IC50/EC50,,PubChem BioAssay,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,HNMT,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,APP,assay-derived,median 7 uM,7000.0,,median IC50/EC50,,PubChem BioAssay,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,KCNH2,assay-derived,median 2.5 uM,2500.0,,median IC50/EC50,,PubChem BioAssay,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,RBP,assay-derived,median 2.1 uM,2100.0,,median IC50/EC50,,PubChem BioAssay,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,S,assay-derived,median 3.58 uM,3580.0,,median IC50/EC50,,PubChem BioAssay,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,NQO2,assay-derived,median 1.5 uM,1500.0,,median IC50/EC50,,PubChem BioAssay,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,NNMT,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,DHFR,assay-derived,median 0.0301 uM,30.1,,median IC50/EC50,,PubChem BioAssay,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,ABCB1,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,PNMT,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,PRNP,assay-derived,median 4 uM,4000.0,,median IC50/EC50,,PubChem BioAssay,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,CXCR4,assay-derived,median 6.5 uM,6500.0,,median IC50/EC50,,PubChem BioAssay,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,HCoV229Egp1,assay-derived,median 3.3 uM,3300.0,,median IC50/EC50,,PubChem BioAssay,engaged: experimental concentration >= potency
chloroquine,2719.0,26259639,normal postnatal mouse metatarsal,False,30 uM,30000.0,LCMVsSgp2,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,<i>TAS2R39</i>,direct (measured affinity),pEC50 4.7,19952.6231,Human,pEC50,Agonist,Guide to Pharmacology,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,RAPGEF3,assay-derived,median 79.4 uM,79432.8,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,POLI,assay-derived,median 89.1 uM,89125.1,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,CYP3A7,assay-derived,median 24.5 uM,24545.4,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,BACE1,assay-derived,median 4.5 uM,4500.0,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,ALPL,assay-derived,median 0.407 uM,407.0,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,ALPG,assay-derived,median 51.3 uM,51300.0,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,GAA,assay-derived,median 10 uM,10000.0,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,GFER,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,LPO,assay-derived,median 0.61 uM,610.0,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,NOS3,assay-derived,median 0.002 uM,2.0,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,RACGAP1,assay-derived,median 206 uM,205620.0,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,APP,assay-derived,median 5.3 uM,5300.0,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,PTGS1,assay-derived,median 2 uM,2000.0,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,CA3,assay-derived,median 8.93 uM,8930.0,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,POLK,assay-derived,median 89.1 uM,89125.1,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,PKM,assay-derived,median 1.33 uM,1330.0,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,SNCA,assay-derived,median 0.8 uM,800.0,,median IC50/EC50,,PubChem BioAssay,
