compound_norm,n_passages,n_papers,n_increase,n_decrease,n_with_stats,canonical,models,species,pmids,best_confidence,net_increase
cgmp,2,2,2,0,1,True,in vivo; metatarsal organ culture,mouse,22870295.0; 35041746.0,0.6000000000000001,2
(-)-epicatechin,24,1,24,4,8,True,tibia/femur organ culture,mouse,35078974.0,0.8999999999999999,20
bmn-111,7,1,7,0,1,True,,mouse,33986191.0,0.6000000000000001,7
lb-100,6,1,6,0,1,True,,mouse,33986191.0,0.6000000000000001,6
res,10,1,7,1,1,False,metatarsal organ culture,mouse,23840780.0,0.6000000000000001,6
4pba,4,1,4,0,1,False,in vivo,mouse,34990412.0,0.6000000000000001,4
bafilomycin a1,4,1,4,1,2,True,metatarsal organ culture,mouse,26259639.0,0.7000000000000001,3
mh,3,1,3,0,1,True,,rat,32872370.0,0.6000000000000001,3
meclozine,6,1,4,2,2,True,tibia/femur organ culture,mouse,35118060.0,0.8999999999999999,2
ky19382,2,1,1,0,1,False,tibia/femur organ culture,mouse,30971423.0,0.7000000000000001,1
vismodegib,4,1,4,3,1,False,metatarsal organ culture,mouse,32770014.0,0.7000000000000001,1
dexa,3,1,2,2,2,False,metatarsal organ culture,mouse,22442678.0,0.7000000000000001,0
gant61,1,1,1,1,1,False,metatarsal organ culture,mouse,32770014.0,0.7000000000000001,0
