condition,kind,exposure_arm,plate,well,row,column,animal_id,litter_id,bone_id,is_edge_well
vehicle (edge position control),VEHICLE,continuous,1,A01,A,1,,,,True
vehicle (edge position control),VEHICLE,continuous,1,A02,A,2,,,,True
vehicle (edge position control),VEHICLE,continuous,1,A03,A,3,,,,True
vehicle (edge position control),VEHICLE,continuous,1,A04,A,4,,,,True
vehicle (edge position control),VEHICLE,continuous,1,A05,A,5,,,,True
vehicle (edge position control),VEHICLE,continuous,1,A06,A,6,,,,True
vehicle (edge position control),VEHICLE,continuous,1,A07,A,7,,,,True
vehicle (edge position control),VEHICLE,continuous,1,A08,A,8,,,,True
vehicle (edge position control),VEHICLE,continuous,1,A09,A,9,,,,True
vehicle (edge position control),VEHICLE,continuous,1,A10,A,10,,,,True
vehicle (edge position control),VEHICLE,continuous,1,A11,A,11,,,,True
vehicle (edge position control),VEHICLE,continuous,1,A12,A,12,,,,True
vehicle (edge position control),VEHICLE,continuous,1,B01,B,1,,,,True
bafilomycin A1,TRADE-OFF BENCHMARK,continuous,1,B10,B,10,L7A2,L7,L7A2-MT4-R,False
vehicle (edge position control),VEHICLE,continuous,1,B12,B,12,,,,True
vehicle (edge position control),VEHICLE,continuous,1,C01,C,1,,,,True
vehicle (edge position control),VEHICLE,continuous,1,C12,C,12,,,,True
vehicle (edge position control),VEHICLE,continuous,1,D01,D,1,,,,True
vehicle (edge position control),VEHICLE,continuous,1,D12,D,12,,,,True
vehicle (edge position control),VEHICLE,continuous,1,E01,E,1,,,,True
vehicle (edge position control),VEHICLE,continuous,1,E12,E,12,,,,True
vehicle (edge position control),VEHICLE,continuous,1,F01,F,1,,,,True
CNP / FGFR3-pathway stimulus,ASSAY-SENSITIVITY CONTROL,continuous,1,F03,F,3,L11A1,L11,L11A1-MT4-L,False
IGF1,PRODUCTIVE BENCHMARK,continuous,1,F08,F,8,L7A1,L7,L7A1-MT2-L,False
vehicle (edge position control),VEHICLE,continuous,1,F12,F,12,,,,True
vehicle (edge position control),VEHICLE,continuous,1,G01,G,1,,,,True
vehicle (edge position control),VEHICLE,continuous,1,G12,G,12,,,,True
vehicle (edge position control),VEHICLE,continuous,1,H01,H,1,,,,True
vehicle (edge position control),VEHICLE,continuous,1,H02,H,2,,,,True
vehicle (edge position control),VEHICLE,continuous,1,H03,H,3,,,,True
vehicle (edge position control),VEHICLE,continuous,1,H04,H,4,,,,True
vehicle (edge position control),VEHICLE,continuous,1,H05,H,5,,,,True
vehicle (edge position control),VEHICLE,continuous,1,H06,H,6,,,,True
vehicle (edge position control),VEHICLE,continuous,1,H07,H,7,,,,True
vehicle (edge position control),VEHICLE,continuous,1,H08,H,8,,,,True
vehicle (edge position control),VEHICLE,continuous,1,H09,H,9,,,,True
vehicle (edge position control),VEHICLE,continuous,1,H10,H,10,,,,True
vehicle (edge position control),VEHICLE,continuous,1,H11,H,11,,,,True
vehicle (edge position control),VEHICLE,continuous,1,H12,H,12,,,,True
vehicle (edge position control),VEHICLE,continuous,2,A01,A,1,,,,True
vehicle (edge position control),VEHICLE,continuous,2,A02,A,2,,,,True
vehicle (edge position control),VEHICLE,continuous,2,A03,A,3,,,,True
vehicle (edge position control),VEHICLE,continuous,2,A04,A,4,,,,True
vehicle (edge position control),VEHICLE,continuous,2,A05,A,5,,,,True
vehicle (edge position control),VEHICLE,continuous,2,A06,A,6,,,,True
vehicle (edge position control),VEHICLE,continuous,2,A07,A,7,,,,True
vehicle (edge position control),VEHICLE,continuous,2,A08,A,8,,,,True
vehicle (edge position control),VEHICLE,continuous,2,A09,A,9,,,,True
vehicle (edge position control),VEHICLE,continuous,2,A10,A,10,,,,True
vehicle (edge position control),VEHICLE,continuous,2,A11,A,11,,,,True
vehicle (edge position control),VEHICLE,continuous,2,A12,A,12,,,,True
vehicle (edge position control),VEHICLE,continuous,2,B01,B,1,,,,True
IGF1,PRODUCTIVE BENCHMARK,continuous,2,B08,B,8,L14A2,L14,L14A2-MT3-L,False
vehicle (edge position control),VEHICLE,continuous,2,B12,B,12,,,,True
vehicle (edge position control),VEHICLE,continuous,2,C01,C,1,,,,True
vehicle (edge position control),VEHICLE,continuous,2,C12,C,12,,,,True
vehicle (edge position control),VEHICLE,continuous,2,D01,D,1,,,,True
bafilomycin A1,TRADE-OFF BENCHMARK,continuous,2,D04,D,4,L7A4,L7,L7A4-MT2-L,False
vehicle (edge position control),VEHICLE,continuous,2,D12,D,12,,,,True
vehicle (edge position control),VEHICLE,continuous,2,E01,E,1,,,,True
vehicle (edge position control),VEHICLE,continuous,2,E12,E,12,,,,True
vehicle (edge position control),VEHICLE,continuous,2,F01,F,1,,,,True
vehicle (edge position control),VEHICLE,continuous,2,F12,F,12,,,,True
vehicle (edge position control),VEHICLE,continuous,2,G01,G,1,,,,True
IGF1,PRODUCTIVE BENCHMARK,continuous,2,G03,G,3,L7A3,L7,L7A3-MT3-L,False
vehicle (edge position control),VEHICLE,continuous,2,G12,G,12,,,,True
vehicle (edge position control),VEHICLE,continuous,2,H01,H,1,,,,True
vehicle (edge position control),VEHICLE,continuous,2,H02,H,2,,,,True
vehicle (edge position control),VEHICLE,continuous,2,H03,H,3,,,,True
vehicle (edge position control),VEHICLE,continuous,2,H04,H,4,,,,True
vehicle (edge position control),VEHICLE,continuous,2,H05,H,5,,,,True
vehicle (edge position control),VEHICLE,continuous,2,H06,H,6,,,,True
vehicle (edge position control),VEHICLE,continuous,2,H07,H,7,,,,True
vehicle (edge position control),VEHICLE,continuous,2,H08,H,8,,,,True
vehicle (edge position control),VEHICLE,continuous,2,H09,H,9,,,,True
vehicle (edge position control),VEHICLE,continuous,2,H10,H,10,,,,True
vehicle (edge position control),VEHICLE,continuous,2,H11,H,11,,,,True
vehicle (edge position control),VEHICLE,continuous,2,H12,H,12,,,,True
vehicle (edge position control),VEHICLE,continuous,3,A01,A,1,,,,True
vehicle (edge position control),VEHICLE,continuous,3,A02,A,2,,,,True
vehicle (edge position control),VEHICLE,continuous,3,A03,A,3,,,,True
vehicle (edge position control),VEHICLE,continuous,3,A04,A,4,,,,True
vehicle (edge position control),VEHICLE,continuous,3,A05,A,5,,,,True
vehicle (edge position control),VEHICLE,continuous,3,A06,A,6,,,,True
vehicle (edge position control),VEHICLE,continuous,3,A07,A,7,,,,True
vehicle (edge position control),VEHICLE,continuous,3,A08,A,8,,,,True
vehicle (edge position control),VEHICLE,continuous,3,A09,A,9,,,,True
vehicle (edge position control),VEHICLE,continuous,3,A10,A,10,,,,True
vehicle (edge position control),VEHICLE,continuous,3,A11,A,11,,,,True
vehicle (edge position control),VEHICLE,continuous,3,A12,A,12,,,,True
vehicle (edge position control),VEHICLE,continuous,3,B01,B,1,,,,True
washout-only,WASHOUT CONTROL,washout + recovery,3,B06,B,6,L7A2,L7,L7A2-MT4-L,False
vehicle (edge position control),VEHICLE,continuous,3,B12,B,12,,,,True
vehicle (edge position control),VEHICLE,continuous,3,C01,C,1,,,,True
vehicle (edge position control),VEHICLE,continuous,3,C12,C,12,,,,True
vehicle (edge position control),VEHICLE,continuous,3,D01,D,1,,,,True
washout-only,WASHOUT CONTROL,washout + recovery,3,D09,D,9,L4A8,L4,L4A8-MT2-R,False
vehicle (edge position control),VEHICLE,continuous,3,D12,D,12,,,,True
vehicle (edge position control),VEHICLE,continuous,3,E01,E,1,,,,True
antiproliferative control,CYTOTOXIC CONTROL,continuous,3,E02,E,2,L4A1,L4,L4A1-MT3-L,False
vehicle (edge position control),VEHICLE,continuous,3,E12,E,12,,,,True
vehicle (edge position control),VEHICLE,continuous,3,F01,F,1,,,,True
vehicle (edge position control),VEHICLE,continuous,3,F12,F,12,,,,True
vehicle (edge position control),VEHICLE,continuous,3,G01,G,1,,,,True
antiproliferative control,CYTOTOXIC CONTROL,continuous,3,G07,G,7,L4A3,L4,L4A3-MT2-R,False
vehicle (edge position control),VEHICLE,continuous,3,G12,G,12,,,,True
vehicle (edge position control),VEHICLE,continuous,3,H01,H,1,,,,True
vehicle (edge position control),VEHICLE,continuous,3,H02,H,2,,,,True
vehicle (edge position control),VEHICLE,continuous,3,H03,H,3,,,,True
vehicle (edge position control),VEHICLE,continuous,3,H04,H,4,,,,True
vehicle (edge position control),VEHICLE,continuous,3,H05,H,5,,,,True
vehicle (edge position control),VEHICLE,continuous,3,H06,H,6,,,,True
vehicle (edge position control),VEHICLE,continuous,3,H07,H,7,,,,True
vehicle (edge position control),VEHICLE,continuous,3,H08,H,8,,,,True
vehicle (edge position control),VEHICLE,continuous,3,H09,H,9,,,,True
vehicle (edge position control),VEHICLE,continuous,3,H10,H,10,,,,True
vehicle (edge position control),VEHICLE,continuous,3,H11,H,11,,,,True
vehicle (edge position control),VEHICLE,continuous,3,H12,H,12,,,,True
vehicle (edge position control),VEHICLE,continuous,4,A01,A,1,,,,True
vehicle (edge position control),VEHICLE,continuous,4,A02,A,2,,,,True
vehicle (edge position control),VEHICLE,continuous,4,A03,A,3,,,,True
vehicle (edge position control),VEHICLE,continuous,4,A04,A,4,,,,True
vehicle (edge position control),VEHICLE,continuous,4,A05,A,5,,,,True
vehicle (edge position control),VEHICLE,continuous,4,A06,A,6,,,,True
vehicle (edge position control),VEHICLE,continuous,4,A07,A,7,,,,True
vehicle (edge position control),VEHICLE,continuous,4,A08,A,8,,,,True
vehicle (edge position control),VEHICLE,continuous,4,A09,A,9,,,,True
vehicle (edge position control),VEHICLE,continuous,4,A10,A,10,,,,True
vehicle (edge position control),VEHICLE,continuous,4,A11,A,11,,,,True
vehicle (edge position control),VEHICLE,continuous,4,A12,A,12,,,,True
vehicle (edge position control),VEHICLE,continuous,4,B01,B,1,,,,True
vehicle (edge position control),VEHICLE,continuous,4,B12,B,12,,,,True
vehicle (edge position control),VEHICLE,continuous,4,C01,C,1,,,,True
vehicle (edge position control),VEHICLE,continuous,4,C12,C,12,,,,True
vehicle (edge position control),VEHICLE,continuous,4,D01,D,1,,,,True
vehicle,VEHICLE,continuous,4,D05,D,5,L6A6,L6,L6A6-MT4-L,False
vehicle (edge position control),VEHICLE,continuous,4,D12,D,12,,,,True
