pert_iname,broad_id,InChIKey,pubchem_cid,smiles,vendor,catalog_no,vendor_name,purity,expected_mass,clinical_phase,moa,primary_target,family_primary,role,concentration_basis,potency_nM,range_finding_low_nM,range_finding_high_nM,n_concentrations_required,format,wells_needed_range_finding,wells_needed_primary,notes
acalabrutinib,BRD-K64034691-001-01-9,WDENQIQQYWYTPO-IBGZPJMESA-N,71226662.0,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(cc2)C(=O)Nc2ccccn2)c2c(N)nccn12,MedChemEx,HY-17600,Acalabrutinib,88.47,465.191,Launched,Bruton's tyrosine kinase (BTK) inhibitor,BTK,kinase,discovery compound,primary potency (Guide to Pharmacology),1000.0,3000.0,30000.0,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
acebutolol,BRD-A29260609-003-26-0,GOEMGAFJFRBGGG-UHFFFAOYSA-N,657184.0,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O,MicroSource,1500665,ACEBUTOLOL HYDROCHLORIDE,98.29,336.205,Launched,adrenergic receptor antagonist,ADRB1,GPCR,discovery compound,primary potency (Guide to Pharmacology),398.107,1194.321,11943.21,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
aceclofenac,BRD-K68538666-001-12-3,MNIPYSSQXLZQLJ-UHFFFAOYSA-N,71771.0,OC(=O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,MicroSource,1502375,ACECLOFENAC,98.5,353.022,Launched,prostanoid receptor antagonist,PTGS2,GPCR,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
acefylline,BRD-K44004064-001-07-3,HCYFGRCYSCXKNQ-UHFFFAOYSA-N,69550.0,Cn1c2ncn(CC(O)=O)c2c(=O)n(C)c1=O,Prestwick,Prestw-1507,Acefylline,97.34,238.07,Launched,adenosine receptor agonist,ADORA1,GPCR,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
acetyl-farnesyl-cysteine,BRD-K79437791-001-05-7,XTURYZYJYQRJDO-BNAHBJSTSA-N,6438381.0,CC(C)=CCC\C(C)=C\CC\C(C)=C\CSC[C@H](NC(C)=O)C(O)=O,Enzo,G200,Acetyl-farnesyl-cysteine,81.86,367.218,Launched,methyltransferase inhibitor,PPARG,epigenetic (selective probe),discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
acipimox,BRD-K63736853-001-04-8,DJQOOSBJCLSSEY-UHFFFAOYSA-N,5310993.0,Cc1cnc(c[n+]1[O-])C(O)=O,MicroSource,1504831,ACIPIMOX,98.26,154.038,Launched,cholesterol inhibitor,HCAR2,metabolic,discovery compound,primary potency (Guide to Pharmacology),6309.573,18928.719,189287.19,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
acrivastine,BRD-K50163129-001-01-4,PWACSDKDOHSSQD-IUTFFREVSA-N,5284514.0,Cc1ccc(cc1)C(=C/CN1CCCC1)\c1cccc(\C=C\C(O)=O)n1,Enzo,AC3005,ACRIVASTINE,100.0,348.184,Launched,histamine receptor antagonist,HRH1,GPCR,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
adiphenine,BRD-K60907894-003-24-9,JGOAIQNSOGZNBX-UHFFFAOYSA-N,2031.0,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,MedChemEx,HY-B0379A,Adiphenine (hydrochloride),95.9,311.189,Launched,acetylcholine receptor antagonist,CHRNA1,GPCR,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
adrenalone,BRD-K82343404-003-06-9,PZMVOUYYNKPMSI-UHFFFAOYSA-N,7436.0,CNCC(=O)c1ccc(O)c(O)c1,MedChemEx,HY-B1308,Adrenalone (hydrochloride),96.6,181.074,Launched,adrenergic receptor agonist,ADRA1A,GPCR,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
albuterol,BRD-K01825118-065-04-9,NDAUXUAQIAJITI-GFCCVEGCSA-N,182176.0,CC(C)(C)NC[C@@H](O)c1ccc(O)c(CO)c1 |&1:6|,Selleck,S2507,Salbutamol sulfate (Albuterol),90.96,337.12,Launched,adrenergic receptor agonist,ADRB2,GPCR,discovery compound,primary potency (Guide to Pharmacology),19952.623,59857.869,598578.69,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
allopurinol,BRD-K86307448-001-19-1,OFCNXPDARWKPPY-UHFFFAOYSA-N,135401907.0,O=c1nc[nH]c2n[nH]cc12,Selleck,S1630,Allopurinol (Zyloprim),100.0,136.039,Launched,xanthine oxidase inhibitor,XDH,metabolic,discovery compound,primary potency (Guide to Pharmacology),3981.072,11943.216,119432.16,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
alogliptin,BRD-K83003151-057-01-6,ZSBOMTDTBDDKMP-OAHLLOKOSA-N,11450633.0,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,Selleck,S2868,Alogliptin,93.62,339.17,Launched,dipeptidyl peptidase inhibitor,DPP4,protease,discovery compound,primary potency (Guide to Pharmacology),3.162,9.486,94.86,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
ambroxol,BRD-K56558538-003-15-9,JBDGDEWWOUBZPM-XYPYZODXSA-N,,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1 |r|,Tocris,2404,Ambroxol hydrochloride,97.58,375.979,Launched,sodium channel blocker,CYP3A4,ion channel,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
aminopentamide,BRD-A69917777-065-02-2,NARHAGIVSFTMIG-UHFFFAOYSA-N,176163.0,CC(CC(C(N)=O)(c1ccccc1)c1ccccc1)N(C)C,MicroSource,1505650,AMINOPENTAMIDE SULFATE,97.37,296.189,Launched,acetylcholine receptor antagonist,CHRM1,GPCR,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
azelnidipine,BRD-A01098288-001-06-0,ZKFQEACEUNWPMT-MUUNZHRXSA-N,9873077.0,"CC(C)OC(=O)C1=C(C)NC(N)=C([C@@H]1c1cccc(c1)[N+]([O-])=O)C(=O)OC1CN(C1)C(c1ccccc1)c1ccccc1 |r,c:6,11|",MedChemEx,HY-B0023,Azelnidipine,95.94,582.248,Launched,calcium channel blocker,CACNA1C,ion channel,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
bempedoic-acid,BRD-K63177377-001-01-8,HYHMLYSLQUKXKP-UHFFFAOYSA-N,10472693.0,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(O)=O)C(O)=O,MedChemEx,HY-12357,ETC-1002,98.6,344.256,Launched,AMPK inhibitor,ACLY,metabolic,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
benserazide,BRD-A61194565-003-27-0,BNQDCRGUHNALGH-UHFFFAOYSA-N,657280.0,NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,Selleck,S2453,Benserazide HCl,93.52,257.101,Launched,DOPA decarboxylase inhibitor,DDC,metabolic,discovery compound,primary potency (Guide to Pharmacology),31622.777,94868.331,948683.31,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
benzbromarone,BRD-K11717138-001-31-9,WHQCHUCQKNIQEC-UHFFFAOYSA-N,2333.0,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,Tocris,5420,Benzbromarone,96.33,421.915,Launched,chloride channel blocker,ABCC1,ion channel,discovery compound,primary potency (Guide to Pharmacology),3981.072,11943.216,119432.16,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
benzethonium,BRD-K72723676-003-17-8,SIYLLGKDQZGJHK-UHFFFAOYSA-N,2335.0,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,MicroSource,1500138,BENZETHONIUM CHLORIDE,99.48,412.322,Launched,sodium channel blocker,SCN10A,ion channel,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
bepridil,BRD-A91008255-003-25-5,UIEATEWHFDRYRU-UHFFFAOYSA-N,50088.0,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,Sigma,MFCD00065498,N-benzyl-N-[3-isobutoxy-2-(1-pyrrolidinyl)propyl]aniline hydrochloride,96.17,366.267,Launched,calcium channel blocker,KCNQ4,ion channel,discovery compound,primary potency (Guide to Pharmacology),10000.0,30000.0,300000.0,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
beta-hydroxy-beta-methylbutyrate,BRD-M02899238-238-01-6,KORPMXSVHOHPMS-UHFFFAOYSA-N,129010087.0,CC(C)(O)CC(O)=O.CC(C)(O)CC(O)=O,CombiBlocks,QC-1944,calcium bis(3-hydroxy-3-methylbutanoate),97.1,118.063,Launched,protein synthesis stimulant,MTOR,kinase,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
butenafine,BRD-K90630139-003-06-9,ABJKWBDEJIDSJZ-UHFFFAOYSA-N,2484.0,CN(Cc1ccc(cc1)C(C)(C)C)Cc1cccc2ccccc12,MedChemEx,HY-17396,Butenafine (Hydrochloride),99.5,317.214,Launched,fungal squalene epoxidase inhibitor,SQLE,metabolic,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
