condition,kind,exposure_arm,mechanism,role,replicate,plate,row,column,well,animal_id,litter_id,bone_id,bone_position,is_edge_well
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,A,1,A01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,A,2,A02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,A,3,A03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,A,4,A04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,A,5,A05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,A,6,A06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,A,7,A07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,A,8,A08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,A,9,A09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,A,10,A10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,A,11,A11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,A,12,A12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,B,1,B01,,,,,True
escitalopram,compound,continuous,transporter,discovery compound,4,1,B,2,B02,L14A7,L14,L14A7-MT4-L,MT4-L,False
SP-141,compound,continuous,ubiquitin system,discovery compound,5,1,B,3,B03,L9A2,L9,L9A2-MT2-R,MT2-R,False
chlorproguanil,compound,continuous,metabolic,discovery compound,3,1,B,4,B04,L7A7,L7,L7A7-MT3-L,MT3-L,False
phenylbutyrate,compound,continuous,epigenetic (selective probe),discovery compound,1,1,B,5,B05,L6A7,L6,L6A7-MT4-R,MT4-R,False
T-0901317,compound,continuous,nuclear receptor,discovery compound,4,1,B,6,B06,L5A2,L5,L5A2-MT2-L,MT2-L,False
diacerein,compound,continuous,growth factor / cytokine,discovery compound,1,1,B,7,B07,L12A7,L12,L12A7-MT2-R,MT2-R,False
