question,query,declared_scope,n_records_any_system,n_records_cartilage,system_label,cartilage_pmids,example_pmids,example_titles,exposure_duration,washout_duration,p_rps6_persistence,lc3_p62_recovery,lysosomal_pH_recovery,collagen_secretion_recovery
pulse vs continuous exposure,"(""pulse""[tiab] OR intermittent[tiab]) AND (continuous[tiab] OR sustained[tiab]) AND (exposure[tiab] OR treatment[tiab])",generic,10673,54,CARTILAGE,42324476; 40309046; 40168275; 37732918,42534318; 42533311; 42532187; 42529468,The Role of Atherectomy in Lesion Preparation for Peripheral Artery Disease: Evolution of  | Review of the Relationship Between Obstructive Sleep Apnea and Atrial Fibrillation.,not extractable from counts,not extractable from counts,not reported at this level,not reported at this level,not reported at this level,not reported at this level
washout / recovery after treatment,"(washout[tiab] OR ""wash-out""[tiab] OR withdrawal[tiab]) AND (recover*[tiab] OR rebound[tiab])",generic,10647,25,CARTILAGE,42233693; 40103383; 37654868; 35185905,42533303; 42531876; 42527988; 42525896,Toxic Leadership in Hospital Nursing and Its Psychological Impact on Staff Well-Being: A S | A critical review of biochar-enabled chain elongation for n-caproate production: From empi,not extractable from counts,not extractable from counts,not reported at this level,not reported at this level,not reported at this level,not reported at this level
"catch-up growth after withdrawal, metatarsal","(""catch-up growth""[tiab]) AND (metatarsal*[tiab] OR ""growth plate""[tiab] OR cartilage[tiab])",cartilage,77,77,CARTILAGE,39599602; 39084206; 38763958; 38580631,39599602; 39084206; 38763958; 38580631,"Supplementation with a Whey Protein Concentrate Enriched in Bovine Milk Exosomes Improves  | Accelerated Linear Growth during Erdafitinib Treatment: An FGFR-Related, but Growth Factor",not extractable from counts,not extractable from counts,not reported at this level,not reported at this level,not reported at this level,not reported at this level
dexamethasone withdrawal metatarsal,(dexamethasone[tiab]) AND (withdrawal[tiab] OR washout[tiab]) AND metatarsal*[tiab],cartilage,1,1,CARTILAGE,19815587,19815587,Catch-up growth after dexamethasone withdrawal occurs in cultured postnatal rat metatarsal,not extractable from counts,not extractable from counts,not reported at this level,not reported at this level,not reported at this level,not reported at this level
intermittent vs sustained MTORC1,(mTORC1[tiab] OR MTORC1[tiab]) AND (intermittent[tiab] OR pulsatile[tiab] OR transient[tiab]),generic,217,3,CARTILAGE,38580631; 33436499; 29360984,42468714; 42436355; 42368198; 42342012,Redox-sensitive mTOR-eIF4A signaling promotes selective P-glycoprotein translation. | Spalt-related is an inhibitor of mTORC1-mediated growth activated by the integrated stress,not extractable from counts,not extractable from counts,not reported at this level,not reported at this level,not reported at this level,not reported at this level
transient lysosomal alkalinisation recovery,"(lysosom*[tiab]) AND (alkaliniz*[tiab] OR alkalinis*[tiab] OR ""pH""[tiab]) AND (recover*[tiab] OR revers*[tiab])",generic,725,4,CARTILAGE,34310912; 17126445; 16600643; 3004923,42526195; 42508672; 42504995; 42502313,A remove-remodel-repair strategy enabled by a spatiotemporally controlled hydrogel for int | Inhalable upper critical solution temperature-type polymer nanoparticles with gradient spa,not extractable from counts,not extractable from counts,not reported at this level,not reported at this level,not reported at this level,not reported at this level
autophagic flux recovery after bafilomycin,(bafilomycin[tiab] OR chloroquine[tiab]) AND (recover*[tiab] OR revers*[tiab] OR washout[tiab]),generic,2454,18,CARTILAGE,42381999; 41470005; 40109468; 39789715,42530044; 42524272; 42509771; 42502313,"Extracellular Vesicle-Mediated Delivery of VEGF and NGF Protects Dopaminergic Neurons in 6 | Synthesis and bioevaluation of substituted 2,11-dihydroimidazo[1',5':1,2]pyrido-[3,4-b]ind",not extractable from counts,not extractable from counts,not reported at this level,not reported at this level,not reported at this level,not reported at this level
collagen secretion recovery,(collagen[tiab] AND secretion[tiab]) AND (recover*[tiab] OR restor*[tiab]),generic,588,46,CARTILAGE,42263888; 42237727; 41794275; 41741553,42485836; 42478478; 42456872; 42440119,COL1A1 regulates the progression of dry eye disease through metabolic reprogramming and in | Micro-Nano Composite System Combining Mesenchymal Stem Cells and Pirfenidone for Endometri,not extractable from counts,not extractable from counts,not reported at this level,not reported at this level,not reported at this level,not reported at this level
rebound suppression after mTORC1 activation,"(mTORC1[tiab] OR MTORC1[tiab]) AND (rebound[tiab] OR ""negative feedback""[tiab])",generic,130,0,NON-CARTILAGE ONLY,,42278230; 42002672; 41852347; 41423418,A Mechanistic Model of the HIF-1/HIF-2 Switch Regulating Hypoxia-Induced Cancer Stemness. | Leucine supplementation modulates body composition and early weight rebound during GLP-1 r,not extractable from counts,not extractable from counts,not reported at this level,not reported at this level,not reported at this level,not reported at this level
intermittent rapamycin dosing,"(rapamycin[tiab] OR sirolimus[tiab]) AND (intermittent[tiab] OR ""every other day""[tiab] OR pulsed[tiab])",generic,380,7,CARTILAGE,41521996; 38546158; 35438034; 34149994,42419810; 42215316; 42180573; 42166675,Longevity. | A Novel Splice Site Mutation in the RASA1 Gene Causing Rare Diffuse Gastrointestinal Vascu,not extractable from counts,not extractable from counts,not reported at this level,not reported at this level,not reported at this level,not reported at this level
