gene,avg_lfc_pD4,avg_neglogp_pD4,n_guides_pD4,guide_mean_lfc_pD4,guide_sd_pD4,guide_consistency_pD4,guide_t_pD4,guide_p_pD4,guide_FDR_pD4,avg_lfc_pD15,avg_neglogp_pD15,n_guides_pD15,guide_mean_lfc_pD15,guide_sd_pD15,guide_consistency_pD15,guide_t_pD15,guide_p_pD15,guide_FDR_pD15,avg_lfc_sD4,avg_neglogp_sD4,n_guides_sD4,guide_mean_lfc_sD4,guide_sd_sD4,guide_consistency_sD4,guide_t_sD4,guide_p_sD4,guide_FDR_sD4,avg_lfc_sD15,avg_neglogp_sD15,n_guides_sD15,guide_mean_lfc_sD15,guide_sd_sD15,guide_consistency_sD15,guide_t_sD15,guide_p_sD15,guide_FDR_sD15,in_secondary_library,sig_pD4,sig_pD15,sig_sD4,sig_sD15,primary_sign_agree,secondary_sign_agree,cross_library_agree,n_sig_timepoints,max_abs_lfc,screen_direction,effect_class,frac_multimapping_guides,multimapping_artifact,d4_concordant,crispr_tier,CRISPR_CAUSAL
Sufu,3.627921664,10.8170469928,4.0,3.63,0.41408533742052106,1.0,17.5326179024474,0.0004044524753724144,0.03503026398266862,6.35348482775,10.4310327087,4.0,6.3525,0.5063842414609679,1.0,25.08964331777947,0.00013883825754700061,0.016821097561763775,2.1509045,10.83776719,10.0,2.1500000000000004,0.7535987732945902,1.0,9.021905568713356,8.369896006959213e-06,2.1614566611378185e-05,5.269807446,12.00161307,10.0,5.27,0.8470340410318035,1.0,19.674773930911748,1.0491607645675833e-08,4.931055593467641e-07,True,True,True,True,True,True,True,True,4,6.35348482775,1.0,KO_promotes_maturation,0.0,False,True,A_secondary_validated,True
Ptch1,1.81614906675,8.22453817196,4.0,1.8124999999999998,0.4964792711349252,1.0,7.301412588109555,0.005304854842078431,0.1595261943901921,6.0035276,9.70707100719,4.0,6.005000000000001,1.0393106689852976,1.0,11.55573627635867,0.001391527744213097,0.0627096729764342,1.417638639,7.953628008,9.0,1.4188888888888889,0.26647910070230857,1.0,15.973735484126806,2.3642177451982144e-07,1.5015977570853525e-06,5.041401685,10.34071777,9.0,5.04111111111111,0.6053809636180437,1.0,24.98151452095408,7.052632355318898e-09,4.931055593467641e-07,True,False,True,True,True,True,True,True,3,6.0035276,1.0,KO_promotes_maturation,0.0,False,True,A_secondary_validated,True
Fkbp1a,0.351875363,1.6149142784,4.0,0.35,0.17107503227141785,1.0,4.09177184248266,0.026389606335821478,0.3268961964294477,4.60467400175,8.60024928889,4.0,4.6049999999999995,0.4442596838186723,1.0,20.731118162320406,0.00024545770024828083,0.02370115231390171,0.023968417,1.597728395,8.0,0.0225,0.021876275473019364,0.75,2.9090697081995436,0.022690608967302146,0.027628461695937846,1.499687838,3.194105117,9.0,1.498888888888889,0.33839490408561285,1.0,13.28822216994445,9.821567237315545e-07,1.3736460940065685e-05,True,False,True,True,True,True,True,True,3,4.60467400175,1.0,KO_promotes_maturation,0.0,False,True,A_secondary_validated,True
Prkar1a,-1.0451252965,4.39849994535,4.0,-1.045,0.34346275877694027,1.0,-6.085084762733584,0.00891210383847253,0.20133592022281604,-3.9572210275,8.49721202178,4.0,-3.9575,0.5995206418464671,1.0,-13.20221431512774,0.0009389281860521493,0.0504723979026225,-0.733512195,2.276472586,9.0,-0.7311111111111112,0.16143454125778384,1.0,-13.586518202637617,8.279388345509609e-07,3.0400879081168097e-06,-2.290622749,6.466040803,10.0,-2.291,0.8261349096176054,1.0,-8.769485510301411,1.0551686190988922e-05,8.265487516274655e-05,True,False,True,True,True,True,True,True,3,3.9572210275,-1.0,KO_blocks_maturation,0.0,False,True,A_secondary_validated,True
Smad6,0.87837432725,4.78851005253,4.0,0.8800000000000001,0.24248711305964288,1.0,7.258117669812437,0.005396211892313099,0.16032891821298142,3.8266177695,5.54886567374,4.0,3.825,1.0960687326379976,1.0,6.979489307744528,0.006036718125511277,0.11147983428256948,0.352052661,3.31994584,10.0,0.35300000000000004,0.23856282657241934,1.0,4.679203504073897,0.0011535014957744594,0.0017376464840192175,0.498893611,0.982396353,9.0,0.49888888888888894,0.48273813927543685,0.8888888888888888,3.10036963085842,0.014657560517683438,0.029952406275266154,True,False,False,True,True,True,True,True,2,3.8266177695,1.0,KO_promotes_maturation,0.0,False,True,A_secondary_validated,True
Fuz,0.5500026265,2.57909281734,4.0,0.5499999999999999,0.25179356624028343,1.0,4.368658089342458,0.022183119202753773,0.30556941811172056,3.65620117875,6.25155102893,4.0,3.655,0.3029301349596416,1.0,24.130976606120374,0.00015597952540111958,0.017963356331909156,0.051133134,1.49248432,10.0,0.051000000000000004,0.13110216541986552,0.6,1.230156345260104,0.24982255891494123,0.2693041346101431,0.469469083,1.068728377,10.0,0.46900000000000003,0.3766651917375252,1.0,3.9374708763969264,0.003419055243422567,0.008457662970571612,True,False,True,False,True,True,True,True,2,3.65620117875,1.0,KO_promotes_maturation,0.0,False,True,A_secondary_validated,True
Arrb2,1.102088241,6.54951603233,4.0,1.1025,0.14056433876817173,1.0,15.686766781129572,0.0005630579001117987,0.043917352905897794,3.480789956,5.27974001482,4.0,3.4825,0.5894276885250642,1.0,11.816547026198664,0.0013029079669125505,0.06068655774774902,0.511165,4.639011338,9.0,0.5111111111111111,0.0927960727138337,1.0,16.52368778646329,1.816349060747369e-07,1.2554177331636226e-06,0.475448206,0.921383863,10.0,0.475,0.4967281841096687,0.8,3.0239514016550095,0.014386931308418522,0.029657270679634674,True,True,True,True,True,True,True,True,4,3.480789956,1.0,KO_promotes_maturation,0.0,False,True,A_secondary_validated,True
Edc4,0.50902828125,2.46690208507,4.0,0.5075,0.3024758943563382,1.0,3.3556393052738853,0.04387490096536621,0.39788232407846497,3.3863861825,4.27837968536,4.0,3.385,1.1821026464172504,1.0,5.72708302491218,0.010566820485366168,0.13563250153091186,0.130566499,2.189188252,10.0,0.12999999999999998,0.10852547064066471,0.8,3.7880148631933293,0.004295743442226465,0.005835258433082192,0.669925167,1.461345917,9.0,0.67,0.2552939482243949,1.0,7.873277114400209,4.897823087769334e-05,0.00025021487513604204,True,False,False,True,True,True,True,True,2,3.3863861825,1.0,KO_promotes_maturation,0.0,False,True,A_secondary_validated,True
Mib1,0.24865586375,1.08192505842,4.0,0.25,0.25573423705088844,0.75,1.9551547175144377,0.14553896399703006,0.5864608440896217,3.3848613755,4.34984622003,4.0,3.385,2.023536508195491,1.0,3.3456278019106342,0.04420215280410925,0.21591170421210207,0.107369824,2.049279133,9.0,0.10888888888888888,0.07114148656804348,1.0,4.591788595171193,0.001774407443290918,0.0025899735973500975,1.370252787,2.541602548,10.0,1.3699999999999999,0.7904429138147802,1.0,5.48087701048813,0.0003897206723284033,0.001327309536190939,True,False,False,True,True,True,True,True,2,3.3848613755,1.0,KO_promotes_maturation,0.0,False,True,A_secondary_validated,True
Eif3h,-0.04682403175,0.58084046974,4.0,-0.047500000000000014,0.6538284688407706,0.5,-0.14529804761856546,0.8936885886885929,0.9724788505612306,-1.98482592975,3.67117732612,4.0,-1.9849999999999999,0.5275414675643992,1.0,-7.525474761878062,0.004863273608561591,0.10171116219875574,-0.456737635,1.155528249,10.0,-0.45499999999999996,0.287489130229301,0.9,-5.004837345429367,0.0007341062756248783,0.0011500998318123095,-3.353477436,11.02397991,10.0,-3.3529999999999993,0.5363052613328845,1.0,-19.770674947682874,1.0051414568736466e-08,4.931055593467641e-07,True,False,False,True,True,True,True,True,2,3.353477436,-1.0,KO_blocks_maturation,0.0,False,False,A_secondary_validated,True
