mouse_gene,human_gene,n_cancer_hallmarks,hallmark_labels,is_tumour_suppressor,is_oncogene,cancer_annotated
Ptch1,PTCH1,3,change of cellular energetics; suppression of growth,False,False,True
Smad6,SMAD6,0,,False,False,False
Ezh2,EZH2,21,angiogenesis; change of cellular energetics; escaping immune response to cancer; escaping programmed cell death; genome instability and mutations; invasion and metastasis; proliferative signalling; suppression of growth,True,True,True
Pibf1,PIBF1,0,,False,False,False
Eif4e2,EIF4E2,0,,False,False,False
Fuz,FUZ,0,,False,False,False
Apc,APC,4,escaping programmed cell death; genome instability and mutations; invasion and metastasis; suppression of growth,False,False,True
Arnt,ARNT,3,angiogenesis; change of cellular energetics; invasion and metastasis,False,False,True
Unc5b,UNC5B,0,,False,False,False
Bambi,BAMBI,0,,False,False,False
Mettl14,METTL14,0,,False,False,False
Chd8,CHD8,0,,False,False,False
Sufu,SUFU,8,angiogenesis; escaping programmed cell death; invasion and metastasis; suppression of growth,False,False,True
Cd200,CD200,0,,False,False,False
Hnrnpc,HNRNPCL1,0,,False,False,False
Dcp2,DCP2,0,,False,False,False
Ctbp1,CTBP1,0,,False,False,False
Strap,STRAP,0,,False,False,False
Suz12,SUZ12,5,invasion and metastasis; proliferative signalling,False,True,True
Eed,EED,0,,False,False,False
Traf3ip1,TRAF3IP1,0,,False,False,False
Med26,MED26,0,,False,False,False
Rbpj,RBPJ,0,,False,False,False
Pax9,PAX9,0,,False,False,False
Hdac5,HDAC5,0,,False,False,False
Gnas,GNAS,4,proliferative signalling; suppression of growth,False,True,True
Edc4,EDC4,0,,False,False,False
Smurf2,SMURF2,0,,False,False,False
Runx2,RUNX2,0,,False,False,False
Fkbp1a,FKBP1A,0,,False,False,False
Ppp2r5d,PPP2R5D,0,,False,False,False
Tsc2,TSC2,17,angiogenesis; change of cellular energetics; escaping immune response to cancer; escaping programmed cell death; genome instability and mutations; invasion and metastasis; proliferative signalling; suppression of growth,False,False,True
Wdpcp,WDPCP,0,,False,False,False
Myh9,MYH9,0,,False,False,False
Kdm2a,KDM2A,0,,False,False,False
Prkar1a,PRKAR1A,6,escaping programmed cell death; invasion and metastasis; proliferative signalling,False,True,True
Det1,DET1,0,,False,False,False
Eif3h,EIF3H,0,,False,False,False
Mtf2,MTF2,0,,False,False,False
Commd6,COMMD6,0,,False,False,False
Bmpr2,BMPR2,0,,False,False,False
Ift52,IFT52,0,,False,False,False
Aldh2,ALDH2,1,genome instability and mutations,False,False,True
Swi5,SWI5,0,,False,False,False
Traf3,TRAF3,0,,False,False,False
Cop1,COP1,0,,False,False,False
Emsy,EMSY,0,,False,False,False
Bptf,BPTF,0,,False,False,False
Sox6,SOX6,0,,False,False,False
Foxc1,FOXC1,0,,False,False,False
Nedd4,NEDD4,0,,False,False,False
Ptbp1,PTBP1,0,,False,False,False
Cdyl,CDYL,0,,False,False,False
Brd2,BRD2,0,,False,False,False
Arrb2,ARRB2,0,,False,False,False
Hoxa11,HOXA11,4,escaping programmed cell death; invasion and metastasis; proliferative signalling; suppression of growth,False,True,True
Ccm2,CCM2,0,,False,False,False
Mib1,MIB1,0,,False,False,False
Lrp6,LRP6,0,,False,False,False
Phf12,PHF12,0,,False,False,False
Suv39h1,SUV39H1,0,,False,False,False
Csde1,CSDE1,0,,False,False,False
Krit1,KRIT1,0,,False,False,False
Sox9,SOX9,0,,False,False,False
Pdcd10,PDCD10,0,,False,False,False
