gene,avg_lfc_pD4,avg_lfc_pD15,avg_neglogp_pD15,in_secondary_library
Fgfr3,0.36132379775,0.402384401,0.581819620364,False
Npr2,0.039416553,1.19237387025,0.781970620084,False
Nppc,0.13569710125,0.735151564,0.443832554229,False
Prkg2,0.195051343,0.023324641,0.816789341916,False
Pth1r,0.39623827925,0.844237039,0.4468589144,False
Pthlh,-0.01177741225,1.1400827,0.679182158438,False
Ihh,0.0402464275,0.23758679775,0.700163095129,False
Sox9,-0.907929324,-0.822598798,1.63253272945,True
Runx2,-0.97792983875,-0.64033931225,1.61051776717,True
Hdac4,0.2903720255,1.647146795,1.05613222996,False
