mouse_gene,human_gene,pubmed_total,pubmed_growthplate,obscurity_ratio
Ptch1,PTCH1,1796,53,0.02951002227171492
Smad6,SMAD6,677,25,0.03692762186115214
Ezh2,EZH2,7852,40,0.005094243504839531
Pibf1,PIBF1,42,0,0.0
Eif4e2,EIF4E2,106,0,0.0
Fuz,FUZ,51,1,0.0196078431372549
Apc,APC,33032,25,0.0007568418503269557
Arnt,ARNT,2623,7,0.002668699961875715
Unc5b,UNC5B,296,2,0.006756756756756757
Bambi,BAMBI,395,1,0.002531645569620253
Mettl14,METTL14,1282,6,0.0046801872074883
Chd8,CHD8,346,0,0.0
Sufu,SUFU,864,8,0.009259259259259259
Cd200,CD200,1203,6,0.004987531172069825
Hnrnpc,HNRNPCL1,419,0,0.0
Dcp2,DCP2,329,0,0.0
Ctbp1,CTBP1,415,1,0.0024096385542168677
Strap,STRAP,2462,7,0.002843216896831844
Suz12,SUZ12,842,1,0.0011876484560570072
Eed,EED,1759,3,0.0017055144968732233
Traf3ip1,TRAF3IP1,20,1,0.05
Med26,MED26,38,0,0.0
Rbpj,RBPJ,838,7,0.008353221957040573
Pax9,PAX9,526,10,0.019011406844106463
Hdac5,HDAC5,818,4,0.004889975550122249
Gnas,GNAS,2087,21,0.010062290368950648
Edc4,EDC4,68,0,0.0
Smurf2,SMURF2,474,16,0.03375527426160337
Runx2,RUNX2,12808,1171,0.09142723297938789
Fkbp1a,FKBP1A,119,0,0.0
Ppp2r5d,PPP2R5D,95,0,0.0
Tsc2,TSC2,3757,7,0.0018631887143997872
Wdpcp,WDPCP,38,1,0.02631578947368421
Myh9,MYH9,1127,3,0.0026619343389529724
Kdm2a,KDM2A,187,2,0.0106951871657754
Prkar1a,PRKAR1A,690,9,0.013043478260869565
Det1,DET1,171,0,0.0
Eif3h,EIF3H,107,0,0.0
Mtf2,MTF2,96,1,0.010416666666666666
Commd6,COMMD6,13,0,0.0
Bmpr2,BMPR2,1291,11,0.008520526723470178
Ift52,IFT52,51,0,0.0
Aldh2,ALDH2,2929,5,0.001707067258449983
Swi5,SWI5,170,0,0.0
Traf3,TRAF3,1121,7,0.006244424620874219
Cop1,COP1,1056,1,0.000946969696969697
Emsy,EMSY,113,0,0.0
Bptf,BPTF,229,0,0.0
Sox6,SOX6,663,120,0.18099547511312217
Foxc1,FOXC1,961,13,0.013527575442247659
Nedd4,NEDD4,1710,10,0.005847953216374269
Ptbp1,PTBP1,722,3,0.004155124653739612
Cdyl,CDYL,92,0,0.0
Brd2,BRD2,574,2,0.003484320557491289
Arrb2,ARRB2,224,0,0.0
Hoxa11,HOXA11,513,11,0.021442495126705652
Ccm2,CCM2,582,0,0.0
Mib1,MIB1,4563,9,0.0019723865877712033
Lrp6,LRP6,1482,29,0.019568151147098516
Phf12,PHF12,15,0,0.0
Suv39h1,SUV39H1,683,2,0.0029282576866764276
Csde1,CSDE1,109,0,0.0
Krit1,KRIT1,424,0,0.0
Sox9,SOX9,7991,2190,0.27405831560505567
Pdcd10,PDCD10,311,0,0.0
Pitrm1,PITRM1,34,0,0.0
Urod,UROD,265,0,0.0
Acvr1,ACVR1,649,20,0.030816640986132512
Afdn,AFDN,50,0,0.0
Commd5,COMMD5,16,0,0.0
Lgr4,LGR4,412,4,0.009708737864077669
Kif3b,KIF3B,128,0,0.0
Gsk3b,GSK3B,1044,11,0.01053639846743295
Ralgapb,RALGAPB,13,0,0.0
Washc1,WASH6P,14,0,0.0
Ift172,IFT172,84,2,0.023809523809523808
Cplane2,CPLANE2,4,0,0.0
Kdelr2,KDELR2,43,1,0.023255813953488372
Alad,ALAD,1200,0,0.0
Ift57,IFT57,48,0,0.0
Epha2,EPHA2,1742,2,0.001148105625717566
Wbp1l,WBP1L,19,1,0.05263157894736842
Gramd1a,GRAMD1A,26,0,0.0
Ankrd11,ANKRD11,236,3,0.012711864406779662
Mtmr3,MTMR3,65,0,0.0
Bbc3,BBC3,302,2,0.006622516556291391
Cbfb,CBFB,617,17,0.027552674230145867
Ptges,PTGES,342,7,0.02046783625730994
Vps37c,VPS37C,21,0,0.0
Ccnf,CCNF,203,1,0.0049261083743842365
Wdr19,WDR19,68,0,0.0
Vti1a,VTI1A,92,0,0.0
Btf3l4,BTF3L4,7,1,0.14285714285714285
Tfap4,TFAP4,96,0,0.0
Setd5,SETD5,112,0,0.0
Tjap1,TJAP1,10,0,0.0
Mast3,MAST3,43,0,0.0
Cep20,CEP20,6,0,0.0
Ppa1,PPA1,117,0,0.0
Atp2b1,ATP2B1,197,0,0.0
Brinp1,BRINP1,28,0,0.0
Ckap2,CKAP2,87,0,0.0
Kdm1a,KDM1A,599,1,0.001669449081803005
Rc3h1,RC3H1,46,0,0.0
Zkscan3,ZKSCAN4,78,0,0.0
Ppp2ca,PPP2CA,181,1,0.0055248618784530384
Gcn1,GCN1,120,0,0.0
Zdhhc5,ZDHHC5,101,0,0.0
Glud1,GLUD2,610,4,0.006557377049180328
Tmem184c,TMEM184C,2,0,0.0
Vps29,VPS29,173,0,0.0
Pdpr,PDPR,34,0,0.0
Emc3,EMC3,38,0,0.0
Slc2a1,SLC2A1,1222,8,0.006546644844517185
Clic1,CLIC1,335,0,0.0
Slco2b1,SLCO2B1,207,0,0.0
Pkia,PKIA,40,1,0.025
Agrp,AGRP,2241,0,0.0
Nop58,NOP58,94,0,0.0
Tubgcp5,TUBGCP5,49,0,0.0
Cope,COPE,55862,30,0.0005370377000465433
Pagr1a,PAGR1,14,0,0.0
Junb,JUNB,2404,24,0.009983361064891847
Emp2,EMP2,165,0,0.0
Lamc1,LAMC1,285,1,0.0035087719298245615
Uxt,UXT,101,0,0.0
P4hb,P4HB,444,3,0.006756756756756757
Itgb1,ITGB1,1332,27,0.02027027027027027
Nae1,NAE1,106,0,0.0
Sap30,SAP30,88,0,0.0
Stat3,STAT3,43255,226,0.005224829499479829
Sec24b,SEC24B,42,0,0.0
Atp23,ATP23,20,0,0.0
Ogn,OGN,245,5,0.02040816326530612
Dhrs7b,DHRS7B,8,0,0.0
Stac2,STAC2,24,0,0.0
Hdlbp,HDLBP,58,0,0.0
Akap13,AKAP13,104,3,0.028846153846153848
Tmeff2,TMEFF2,117,1,0.008547008547008548
Ppp1r1c,PPP1R1C,10,0,0.0
Senp2,SENP2,218,1,0.0045871559633027525
Smpd4,SMPD4,40,0,0.0
Mcm10,MCM10,278,0,0.0
Rln1,RLN1,44,0,0.0
Pou2af1,POU2AF1,130,0,0.0
Hdac7,HDAC7,479,5,0.010438413361169102
Preb,PREB,4650,2,0.00043010752688172043
1600012H06Rik,C6orf120,16,0,0.0
Msh2,MSH2,5123,0,0.0
Mtpn,MTPN,52,0,0.0
Mbd5,MBD5,128,0,0.0
Map2k4,MAP2K4,249,2,0.008032128514056224
Kcns1,KCNS1,37,0,0.0
Rpl29,RPL29,84,1,0.011904761904761904
Zfp697,ZNF697,7,0,0.0
Osbpl5,OSBPL5,31,0,0.0
Psmd2,PSMD2,88,0,0.0
Bex1,BEX2,192,1,0.005208333333333333
Mcu,MCU,1768,3,0.0016968325791855204
Eef2k,EEF2K,382,0,0.0
Irak2,IRAK2,242,1,0.004132231404958678
Tbcc,TBCC,93,0,0.0
Nfya,NFYA,558,0,0.0
Eif3g,EIF3G,59,0,0.0
Efl1,EFL1,80,0,0.0
Tm2d1,TM2D1,4,0,0.0
Ube2g2,UBE2G2,72,0,0.0
Pi4kb,PI4KB,141,0,0.0
Lrr1,LRR1,71,1,0.014084507042253521
Rab40b,RAB40B,24,0,0.0
Top1,TOP1,1915,2,0.0010443864229765013
Tcp1,TCP1,679,0,0.0
Ykt6,YKT6,144,0,0.0
Padi3,PADI3,54,1,0.018518518518518517
Rhog,RHOG,473,1,0.0021141649048625794
Zfp612,ZNF23,13,0,0.0
Arhgap1,ARHGAP1,49,0,0.0
Tomm20,TOMM20,412,7,0.01699029126213592
