mouse_gene,human_gene,ensembl,ot_symbol,biotype,target_classes,tractability_buckets,has_smallmolecule_tractability,has_antibody_tractability,ot_is_essential,depmap_n_screens,depmap_mean_gene_effect,depmap_frac_essential,n_safety_liabilities,safety_events,n_mouse_phenotypes,mouse_skeletal_phenotypes,chembl_target_ids,n_compounds_chembl,n_compounds_dgidb,n_approved_compounds
Smad6,SMAD6,ENSG00000137834,SMAD6,protein_coding,,PR:UniProt Ubiquitination; PR:Database Ubiquitination,False,False,False,1258,-0.1099,0.018,0,,23,,,0,0,0
Ptch1,PTCH1,ENSG00000185920,PTCH1,protein_coding,Unclassified protein,SM:Structure with Ligand; AB:GO CC high conf; AB:UniProt loc med conf; AB:UniProt SigP or TMHMM; PR:UniProt Ubiquitination; PR:Database Ubiquitination,True,True,False,1256,0.0183,0.004,0,,109,abnormal basisphenoid bone morphology; abnormal frontal bone morphology; abnormal interparietal bone morphology; abnormal intramembranous bone ossification; abnormal parietal bone morphology; abnormal skeleton morphology; absent presphenoid bone; alisphenoid bone hypoplasia; scapular bone foramen; small basisphenoid bone,CHEMBL5169150,0,4,3
Ezh2,EZH2,ENSG00000106462,EZH2,protein_coding,Epigenetic regulator; Protein methyltransferase; Writer,SM:Approved Drug; SM:Structure with Ligand; SM:High-Quality Ligand; PR:Literature; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Small Molecule Binder,True,False,False,1258,-0.0478,0.066,0,,24,increased femur compact bone thickness,CHEMBL2189110,2,18,2
Pibf1,PIBF1,ENSG00000083535,PIBF1,protein_coding,,AB:UniProt loc high conf; AB:GO CC med conf; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,0.0653,0.002,0,,44,,,0,0,0
Eif4e2,EIF4E2,ENSG00000135930,EIF4E2,protein_coding,,SM:Structure with Ligand; SM:Med-Quality Pocket; PR:UniProt Ubiquitination; PR:Database Ubiquitination,True,False,False,1258,-0.2537,0.148,0,,5,,,0,2,2
Fuz,FUZ,ENSG00000010361,FUZ,protein_coding,,PR:Database Ubiquitination,False,False,False,1258,-0.0033,0.0,0,,83,Meckel's cartilage hyperplasia; abnormal Meckel's cartilage morphology; abnormal limb morphology; abnormal long bone morphology; abnormal palatine bone morphology; delayed bone ossification; delayed intramembranous bone ossification,,0,0,0
Mettl14,METTL14,ENSG00000145388,METTL14,protein_coding,,SM:Structure with Ligand; SM:High-Quality Ligand; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,False,True,1258,-0.714,0.787,0,,0,,,0,0,0
Bambi,BAMBI,ENSG00000095739,BAMBI,protein_coding,,AB:GO CC high conf; AB:UniProt SigP or TMHMM; PR:Database Ubiquitination,False,True,False,1258,-0.101,0.039,0,,0,,,0,0,0
Unc5b,UNC5B,ENSG00000107731,UNC5B,protein_coding,,AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt SigP or TMHMM; PR:Database Ubiquitination,False,True,False,1258,-0.127,0.014,0,,0,,,0,0,0
Arnt,ARNT,ENSG00000143437,ARNT,protein_coding,Transcription factor,SM:Structure with Ligand; SM:High-Quality Ligand; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,False,False,1258,-0.0253,0.039,1,"Increase, Early Life Stage Mortality",15,,CHEMBL5618,0,5,1
Apc,APC,ENSG00000134982,APC,protein_coding,Other cytosolic protein,SM:Structure with Ligand; SM:High-Quality Ligand; AB:UniProt loc high conf; AB:GO CC high conf; AB:Human Protein Atlas loc; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,True,False,1258,-0.3603,0.263,0,,131,abnormal bone structure,CHEMBL3233,0,29,17
