compound,mechanism,classification,reason,measured_effect
KY19382,CXXC5-DVL / WNT (indirubin scaffold),REJECT,indirubin scaffold with GSK3 liability; stage 21 established that GSK3a/b loss drives precocious growth-plate remodeling (PMID 33609145),"elongated tibial length through delayed growth-plate senescence, n=7"
LB-100,PP2A phosphatase inhibition,REJECT,PP2A inhibitor in oncology development; PP2A is a broad tumour suppressor phosphatase - unacceptable for chronic paediatric use,increased bone length and cartilage area in combination with BMN-111; restored terminal differentiation
4-phenylbutyrate,chemical chaperone / HDAC,REJECT,disease-model rescue only - the source paper reports no significant femur-length effect in wild-type littermates,improved femur length in OI mice; explicitly NO significant effect in wild-type littermates
alg,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
asb20123,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
asp5878,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
bumetanide,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
calcium,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
camp,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
cyclic gmp,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
dexamethasone,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
dmso,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
estradiol,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
gags,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
indirubin,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
kylb,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
lde,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
lde225,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
lh,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
palovarotene,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
prednisolone,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
rapamycin,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
streptozotocin,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
teneligliptin,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
vosoritide,n/a,REJECT,marker-only: no statistically supported longitudinal bone-length increase extracted,
bafilomycin A1,lysosomal V-ATPase / MTORC1,MECHANISTIC_PROBE_ONLY,"highly toxic inhibitor of an essential housekeeping pump; excellent probe, not an intervention",
concanamycin A,lysosomal V-ATPase / MTORC1,MECHANISTIC_PROBE_ONLY,"highly toxic inhibitor of an essential housekeeping pump; excellent probe, not an intervention",
archazolid A,lysosomal V-ATPase / MTORC1,MECHANISTIC_PROBE_ONLY,tool-grade V-ATPase inhibitor; no chronic human exposure,
diphyllin,lysosomal V-ATPase / MTORC1,MECHANISTIC_PROBE_ONLY,tool-grade V-ATPase inhibitor; no chronic human exposure,
rapamycin,MTORC1 axis - negative control,NEGATIVE_CONTROL,"MTORC1 inhibitor - predicted to BLOCK the bafilomycin effect; this is the falsification arm, not a candidate",
everolimus,MTORC1 axis - negative control,NEGATIVE_CONTROL,"MTORC1 inhibitor - predicted to BLOCK the bafilomycin effect; this is the falsification arm, not a candidate",
meclozine,FGFR3-ERK (canonical),NEGATIVE_CONTROL,"canonical FGFR3-ERK branch, excluded from the novel ranking but useful as an extraction positive control",
