active_ingredient,pmid,pmcid,doi,year,title,journal,is_open_access,publication_type,has_baseline_age,has_baseline_height,has_height_sds,has_serial_height,has_growth_velocity,has_velocity_before_treatment,has_velocity_after_treatment,has_bone_age,has_puberty_stage,has_igf1,has_gh_exposure,has_sex_steroid_exposure,has_body_weight,has_nutritional_status,has_treatment_duration,has_dose_change,has_interruption,has_dechallenge,has_rechallenge,has_epiphyseal_status,has_final_height,has_adverse_skeletal,auxology_fields_present,auxology_fields_required,outcome_class,comparator_present,classification_basis
ALBUTEROL,1952999,PMC1793507,10.1136/adc.66.10.1180,1991,Does growth hormone treatment improve final height attainment of children with intrauterine growth retardation?,,N,"Clinical Trial; Research Support, Non-U.S. Gov't; research-article; Randomized Controlled Trial; Journal Article",False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,4,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
ALBUTEROL,22938716,PMC3517799,10.1056/nejmoa1203229,2012,Effect of inhaled glucocorticoids in childhood on adult height.,,N,"research-article; Randomized Controlled Trial; Journal Article; Research Support, N.I.H., Extramural",False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
AMINO ACIDS,40144813,PMC11938432,10.1210/jendso/bvaf040,2025,Long-Acting Growth Hormone for Pediatric Growth Hormone Deficiency.,,Y,review-article; Review; Journal Article,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,5,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
AMINO ACIDS,40591675,PMC12227946,10.1530/edm-25-0025,2025,From genotype to phenotype: the impact of early management in pycnodysostosis.,,Y,Journal Article; case-report,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,5,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
AMINO ACIDS,41247754,PMC12624480,10.1001/jamapediatrics.2025.4771,2026,Once-Weekly Navepegritide in Children With Achondroplasia: The APPROACH Randomized Clinical Trial.,,Y,"Clinical Trial, Phase II; research-article; Multicenter Study; Randomized Controlled Trial; Journal Article",False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,4,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
AMINO ACIDS,41059451,PMC12500298,10.1159/000543039,2025,A Novel Premature Termination Codon Mutation in TRAPPC2 Is Associated with X-Linked Spondyloepiphyseal Dysplasia Tarda.,,N,research-article; Journal Article,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,4,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
AMINO ACIDS,42064572,PMC13125082,10.3746/pnf.2025.305,2026,"Fermented Oyster Extract Improves Linear Growth in Children with Idiopathic Short Stature: A Randomized, Double-Blind, Placebo-Controlled Trial.",,Y,research-article; Journal Article,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
AMINO ACIDS,42255433,PMC13233341,10.3389/fendo.2026.1809260,2026,"Research progress of short stature and advanced bone age, early-onset osteoarthritis and osteochondritis dissecans (SSOAOD) caused by acan gene mutation.",,Y,Systematic Review; systematic-review; Review; Journal Article,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
AMINO ACIDS,42158693,PMC13181682,10.21037/tp-2025-359,2026,Clinical characteristics and mutation analysis of Chinese children with 17α-hydroxylase deficiency: a report on three cases.,,Y,Journal Article; Case Reports; case-report,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
AMINO ACIDS,40959740,PMC12436000,10.1155/srat/5550395,2025,Short Stature in Moyamoya Disease: A Systematic Review of Potential Mechanisms and Clinical Outcomes.,,Y,review-article; Review; Journal Article,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3,22,C_DELAYED_MATURATION,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
AMINO ACIDS,41454937,PMC12743679,10.1007/s00223-025-01457-8,2025,"Clinical, Molecular Characteristics, and Genotype-Phenotype Relationships of Metaphyseal Chondrodysplasia Type Schmid.",,Y,research-article; Journal Article; Case Reports,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
AMINO ACIDS,38988996,PMC11235884,10.3389/fendo.2024.1309904,2024,Puberty suppression in adolescents with gender dysphoria: an emerging issue with multiple implications.,,Y,review-article; Review; Journal Article,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
AMINO ACIDS,42280362,PMC13258681,10.3390/nu18111719,2026,Association of Early Nutrition and Growth and Metabolic Parameters in Very Low Birth Weight Infants.,,Y,research-article; Journal Article,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
AMINO ACIDS,37685999,PMC10487400,10.3390/ijms241713192,2023,"""Neuroimmunoendocrinology"" in Children with Rheumatic Diseases: How Glucocorticoids Are the Orchestra Director.",,Y,review-article; Review; Journal Article,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
