target_protein,target_gene,source,direct_or_indirect,biochemical_potency,potency_nM,cellular_potency,assay_type,species,action,interaction_type,citation_source,fold_vs_most_potent,plausibly_selective_concentration,clinical_exposure
Protein kinase C theta type,PRKCQ,BindingDB,direct (measured binding affinity),IC50 0.220000 nM,0.22,,IC50,Human,,,BindingDB monomer 33971,1.0,yes - within 10x of the most potent target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
Protein kinase C beta type,PRKCB,BindingDB,direct (measured binding affinity),IC50 0.640000 nM,0.64,,IC50,Human,,,BindingDB monomer 33971,2.909090909090909,yes - within 10x of the most potent target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
Protein kinase C alpha type,PRKCA,BindingDB,direct (measured binding affinity),IC50 0.800000 nM,0.8,,IC50,Human,,,BindingDB monomer 33971,3.6363636363636367,yes - within 10x of the most potent target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
protein kinase C theta,PRKCQ,Guide to Pharmacology,direct (curated ligand-target affinity),pIC50 9.0,1.0,,pIC50,Human,Inhibition,Inhibitor,GtoPdb ligand 7946 / target 1488,4.545454545454546,yes - within 10x of the most potent target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
Q04759,PRKCQ,PubChem BioAssay,assay-derived (assay format varies; see records file),median 1.0 nM,1.0,,Confirmatory; Other,,,,"PubChem AIDs 1345354,1437221,1437234,1799253,1902444 (PMIDs 19827831,21336281,21797275,28131714)",4.545454545454546,yes - within 10x of the most potent target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
protein kinase C delta,PRKCD,Guide to Pharmacology,direct (curated ligand-target affinity),pIC50 8.9,1.259,,pIC50,Human,Inhibition,Inhibitor,GtoPdb ligand 7946 / target 1485,5.722727272727273,yes - within 10x of the most potent target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
Protein kinase C delta type,PRKCD,BindingDB,direct (measured binding affinity),IC50 1.3 nM,1.3,,IC50,Human,,,BindingDB monomer 33971,5.909090909090909,yes - within 10x of the most potent target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
Q05655,PRKCD,PubChem BioAssay,assay-derived (assay format varies; see records file),median 1.3 nM,1.3,,Confirmatory; Other,,,,"PubChem AIDs 1345382,1437219,1799253,445142,690000 (PMIDs 19827831,21797275,28131714)",5.909090909090909,yes - within 10x of the most potent target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
protein kinase C alpha,PRKCA,Guide to Pharmacology,direct (curated ligand-target affinity),pIC50 8.7,1.995,,pIC50,Human,Inhibition,Inhibitor,GtoPdb ligand 7946 / target 1482,9.068181818181818,yes - within 10x of the most potent target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
protein kinase C beta,PRKCB,Guide to Pharmacology,direct (curated ligand-target affinity),pIC50 8.7,1.995,,pIC50,Human,Inhibition,Inhibitor,GtoPdb ligand 7946 / target 1483,9.068181818181818,yes - within 10x of the most potent target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
