mouse_gene,human_gene,pmid,pmcid,doi,year,journal,title,discovered_by,figure,source_quotation,full_text_status,species,age,sex,bone,anatomical_location,method,method_named_in,probe_or_antibody_id,reagent_validation,knockout_negative_control,genetic_reporter,signal_resting,signal_proliferative,signal_prehypertrophic,signal_hypertrophic,signal_terminal_hypertrophic,signal_perichondrial,signal_non_chondrocyte,qualitative_intensity,quantified,localization_directly_visible,zone_call_source,excluded_context,n_zones_named,localization_intent_cue,genotype_cue_also_present,evidence_level,zone_pattern,n_independent_sources,pattern_replicates
Acvr1,ACVR1,29396429,PMC5797136,10.1038/s41467-018-02872-2,2018,Nature communications,Activin-dependent signaling in fibro/adipogenic progenitors causes fibrodysplasia ossificans progressiva.,EPMC_targeted,Fig. 3,"a – c Spontaneous HO extended along the spine of a 22-week-old Acvr1 tnR206H/+ ; d–g Spontaneous HO (bracket) along the spine of a 6-week-old Acvr1 tnR206H/+ ; h , i ABAR staining of the distal hindlimb of two 6-week-old Acvr1 tnR206H/+ ; j – m Paraffin section of spontaneous HO from an adult Acvr1 tnR206H/+ ; R26 NG/+ ;Pdgfrα-Cre mouse stained by IHC for ACVR1 (brown) and counterstained with hematoxylin ( n = 7 mice). Staining for ACVR1 was most intense in immature cartilage, peripheral regions of mature cartilage, and in fibroproliferative and chondrogenic regions at the junction between HO and muscle (brackets). k ACVR1 expression was not detected in apparently mature heterotopic bone, characterized by abundant marrow elements. l Growth plate-like cartilaginous regions strongly stain for ACVR1 at the chondro-osseous junction (bracket). m Peripheral fibroproliferative and chondrogenic ",FULL_TEXT_VERIFIED,mouse,e2,,tibia,Growth plate,immunohistochemistry,figure caption,,,False,False,False,False,False,False,True,False,,strong; absent,True,True,figure caption,,1,ACVR1 expression,False,LEVEL_C,000010,1,False
Agrp,AGRP,28462077,PMC5404105,10.1016/j.molmet.2017.02.003,2017,Molecular metabolism,PDK1-FoxO1 pathway in AgRP neurons of arcuate nucleus promotes bone formation via GHRH-GH-IGF1 axis.,EPMC_targeted,Figure 2,"Lower bone mass due to decreased bone formation in 6 week old female Agrp pdk1 −/− mice. A : Histologic section of undecalcified distal femur from 6 week old female Agrp Cre and Agrp Pdk1 −/− mice, with Villanueva's bone staining. The distance between the two labels (arrow), representing the rate of bone formation, was significantly decreased in Agrp Pdk1 −/− mice. ■, Agrp Cre mice; □, Agrp Pdk1 −/− mice.",FULL_TEXT_VERIFIED,mouse,6 week old,,femur,growth plate,immunohistochemistry; immunofluorescence,elsewhere in body text,,,False,False,False,False,False,False,False,False,,,False,True,not resolved,,0,Agrp Cre,False,LEVEL_D,000000,1,False
Brd4,,41115147,PMC12536888,10.1002/ctm2.70496,2025,Clinical and translational medicine,Loss of Brd4 alleviates pathological bone loss via Slc9b2 suppression in osteoclastogenesis.,EPMC_targeted,FIGURE 1,"BRD4 expression is elevated in the osteoporotic patients and animals. (A) Heatmap illustrating expression profiles of BRD gene family ( BRDT , BRD3 , BRD2 and BRD4 ) in the femoral head of normal and osteoporosis patients. (B) The expression levels of BRDT , BRD2 , BRD3 and BRD4 obtained from GSE230665 were quantified. (C) Violin plot presented the BRD4 expression in human bone marrow monocyte lineage cells (DISCO). (D) Violin plot presented the Brd4 expression in mouse bone marrow mesenchymal lineage cells, endothelial cells, mural cells and monocyte lineage cells ( GSE145477 ). (E) qRT‐PCR analysis reveals differential BRD4 mRNA expression in distal femur specimens from patients with varying bone mineral densities (BMD), classified as normal ( n = 7), osteopenia ( n = 7) and osteoporosis ( n = 6). (F) Correlation analysis between the BRD4 mRNA expression and the BMD measurements at the",FULL_TEXT_VERIFIED,mouse; human,,,femur,physis,immunohistochemistry,figure caption,,,False,False,False,False,False,False,False,False,vascular; marrow,,True,True,not resolved,dissociated,0,BRD4 expression,False,LEVEL_D,000000,1,False
Cd200,CD200,36811112,PMC9938638,10.1093/lifemedi/lnac048,2022,Life medicine,"Skeletal stem cells: origins, definitions, and functions in bone development and disease.",EPMC_targeted,Figure 1.,"CD45 − /TER119 − /Tie2 − /Thy − /6C3 − /CD105 − /AlphaV + /CD200 + cells from the growth plate of mice are defined as mSSCs while PDPN + CD146 − CD73 + CD164 + cells from growth plate of human are defined as hSSCs [ 5 , 25 ].",FULL_TEXT_VERIFIED,mouse; human,e2,,,growth plate,lineage tracing,figure caption,,,False,True,False,False,False,False,False,True,,,False,True,body text,dissociated; marker panel / sorting definition,1,CD200 + cells,False,LEVEL_D,000001,1,False
Ezh2,EZH2,41387208,PMC12822469,10.1002/advs.202502697,2026,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Epigenetic Targeting of Senescent Cells Prevents the Deleterious Effects of Obstructive Sleep Apnea on Growing Skeleton.,EPMC_targeted,Figure 3,"HIF1α activation induces osteoprogenitor senescence via loss of Ezh2‐H3K27me3. A) Violin plots of gene expression of Ezh1, Ezh2, Utx , and Jmjd3 in MSC subclusters between the Normoxia group VS CIH group. B,C) Representative immunofluorescence staining of EZH2 in the distal femur section in (B) and analysis of cell number per mm 2 tissue area (N. EZH2 + cells/ Ar) in (C). Treated cells were harvested for western‐blot analysis of HIF1α, EZH2 and UTX in (L) and p21, p19, and H3K27me3 in (M).",FULL_TEXT_VERIFIED,mouse,e3,,femur,distal femur,immunofluorescence,figure caption,,,False,True,False,False,False,False,False,False,,,True,True,not resolved,dissociated,0,EZH2 + cells,True,LEVEL_D,000000,2,True
Ezh2,EZH2,29101351,PMC5670205,10.1038/s41467-017-01509-0,2017,Nature communications,Programmed cell senescence in skeleton during late puberty.,EPMC_targeted,Fig. 5,"Ezh2-H3K27me3 regulates progression of the senescence of MSPCs. Schematic diagram indicating the experimental workflow in different genetic Ezh2 ( a , e ) or Utx ( h ) ablation mouse models. a – d A single dose of tamoxifen (100 mg/kg B.W.) was injected in 3-week-old male Nestin-Cre ERT2 ( WT ) and Ezh2 iKO mice and isolated the MSPCs from metaphysis region of femoral bone 1 week later. Co-staining of the SA-βGal and Ezh2 expression indicates that SA-βGal and Ezh2 are mutually expressed in cells ( b ). The percentage of the cells that express SA-βGal, Ezh2, or both ( c ). f , g Three-week-old male Nestin-Cre ERT2 ::Ezh2 flox/flox ( Ezh2 iKO ) mice and Nestin-Cre ERT2 mice ( WT ) were injected with three doses of tamoxifen (100 mg/kg B.W., every other day).",FULL_TEXT_VERIFIED,mouse,e3,,femur,growth plate,immunofluorescence,figure caption,,,False,True,False,False,False,False,False,False,,,True,True,not resolved,dissociated,0,Ezh2 expression,True,LEVEL_D,000000,2,True
Ezh2,EZH2,27897169,PMC5477487,10.1038/ncomms13685,2016,Nature communications,EZH1 and EZH2 promote skeletal growth by repressing inhibitors of chondrocyte proliferation and hypertrophy.,EPMC_targeted,Figure 3,"( a – c ) BrdU staining of 1-week-old proximal tibial growth plate from Ezh1−/− mice that are wild type (WT) ( a ), heterozygous ( b ) or homozygous ( c ) for cartilage-specific Ezh2 knockout. ( d ) Number of BrdU-positive cells per proliferative column in proximal tibial growth plates of 3-day-, 1-week- and 2-week-old Ezh1−/− mice that are WT ( N =6), heterozygous (HET, N =6) or homozygous (KO, N =8) for cartilage-specific Ezh2 knockout. ( e ) Tritiated thymidine uptake by monolayer primary chondrocytes, isolated from 1-week-old Ezh1−/− mice that are WT ( N =6) or homozygous (KO, N =8) for cartilage-specific Ezh2 knockout (E). ( f ) Relative expression of Ezh2, Cdkn2a and Cdkn2b in different zones (RZ, PZ and HZ) isolated from proximal tibial growth plates of 3-day-old Ezh1−/− that are WT (Ezh2+/+) or homozygous (Ezh2 fl/fl) for cartilage-specific Ezh2 knockout. # P &lt;0.05 across zone",FULL_TEXT_VERIFIED,mouse,e3,female,tibial,growth plate,in situ hybridization; immunohistochemistry; immunofluorescence; laser capture,elsewhere in body text,,,False,False,False,False,False,True,True,True,,,False,True,body text,,3,expression of Ezh2,True,LEVEL_D,000111,1,False
Foxc1,FOXC1,34331943,PMC8383119,10.1016/j.jbc.2021.101020,2021,The Journal of biological chemistry,Loss of Foxc1 and Foxc2 function in chondroprogenitor cells disrupts endochondral ossification.,EPMC_targeted,Figure 4,"Foxc1 and Foxc2 are expressed in the perichondrium and resting zone of the growth plate. Localization of Foxc1 and Foxc2 mRNA expression was determined in the hind limb by in situ hybridization at ( A ) 12.5 dpc, ( B ) 13.5 dpc, and ( C ) 14.5 dpc. D , Foxc1 and ( E ) Foxc2 mRNA expression in the proximal tibia at 16.5 dpc was abundant in the perichondrium. F , Foxc1 and Foxc2 mRNA displayed both overlapping and distinct expression patterns in the developing limb. G , Foxc1 transcripts ( red ) were detected in the perichondrium and resting zone, whereas Foxc2 ( green ) was mainly expressed in the perichondrium. Low levels of Foxc1 and Foxc2 expression were detected in the proliferative zone ( H ) and hypertrophic zone ( I ).",FULL_TEXT_VERIFIED,mouse; human,,,tibia,growth plate,in situ hybridization,figure caption,,,False,False,True,True,False,True,False,True,,strong,False,True,figure caption,,4,Foxc1 transcripts,False,LEVEL_C,110101,1,False
Foxc1,FOXC1,34331943,PMC8383119,10.1016/j.jbc.2021.101020,2021,The Journal of biological chemistry,Loss of Foxc1 and Foxc2 function in chondroprogenitor cells disrupts endochondral ossification.,EPMC_targeted,Figure 5,"Col2-cre ablation of Foxc1 and Foxc2 expression in the developing limb. C and D , to create chondrocyte-specific Foxc1 and Foxc2 mutant mice, Col2-cre mice were crossed with homozygous “floxed” Foxc1 and Foxc2 mice. No expression of Foxc1 and Foxc2 mRNA was detected by in situ hybridization in the developing humerus or proximal tibia in Col2-cre;Foxc1 Δ/Δ ;Foxc2 Δ/Δ mice at 16.5 dpc.",FULL_TEXT_VERIFIED,mouse,,,tibia,proximal tibia,in situ hybridization,figure caption,,,False,False,True,True,True,True,True,True,,strong; absent,False,True,body text,,6,expression of Foxc1,True,LEVEL_C,111111,1,False
Foxc1,FOXC1,39012257,PMC11361642,10.1242/dev.202798,2024,"Development (Cambridge, England)",FOXC1 and FOXC2 regulate growth plate chondrocyte maturation towards hypertrophy in the embryonic mouse limb skeleton.,EPMC_targeted,Fig. 4.,"Ihh expression is reduced in Prx1-cre;Foxc1 Δ/Δ ;Foxc2 Δ/Δ prehypertrophic chondrocytes at E14.5. (A-P) Assessment of the IHH-PTHLH signaling axis function in Prx1-cre;Foxc1 Δ/Δ ;Foxc2 Δ/Δ embryos. Expression of Ihh (A,B), Pth1r (C,D), Pthlh (E,F), Ptch1 (G,H), Ptch2 (I,J), Gli1 (K,L), Gli2 (M,N) and Gli3 (O,P) was assessed by in situ hybridization in the tibia of control and Prx1-cre;Foxc1 Δ/Δ ;Foxc2 Δ/Δ embryos at E14.5. (Q,R) The length of Ihh (Q) and Pthr1 (R) -expressing regions (white bars, A-D) was measured in control and Prx1-cre;Foxc1 Δ/Δ ;Foxc2 Δ/Δ embryos.",FULL_TEXT_VERIFIED,mouse; human,E14.5,female,tibia,growth plate,in situ hybridization,figure caption,,,False,False,False,False,True,False,False,False,,strong,False,True,figure caption,,1,in situ hybridization in the tibia of control and Prx1-cre;Foxc1,True,LEVEL_C,001000,1,False
