mouse_gene,human_gene,crispr_tier,crispr_effect_class,in_crispr_causal,best_evidence_level,n_spatial_records,n_independent_papers,n_usable_records,spatial_class,spatial_top_zone,zone_selective,specificity_basis,breadth_n_zones,zones_supported,species,species_concordant,developmental_stage_dependent,non_chondrocyte_signal,contamination_risk,figure_citations,mouse_bulk_top_zone,mouse_bulk_specificity,human_bulk_top_zone,human_bulk_specificity,sc_top_state,sc_n_datasets,sc_agreement,conflict_category,conflict_detail
Sox9,SOX9,A_secondary_validated,KO_blocks_maturation,True,LEVEL_A,16,12,12,MULTIZONAL,perichondrial,False,top-zone weight 13.0 vs next 6.0; best level LEVEL_A; possible non-chondrocyte confound,5,hypertrophic; perichondrial; prehypertrophic; proliferative; resting,human; mouse; rat; zebrafish,False,True,,False,PMC10267520 Figure 2 [LEVEL_A]; PMC12685720 Figure 2 [LEVEL_A]; PMC10895259 Fig. 6. [LEVEL_A]; PMC10267520 Figure 6 [LEVEL_B]; PMC10256685 Fig. 3 [LEVEL_B]; PMC12460174 Extended Data Fig. 1 [LEVEL_C]; PMC11290974 Figure 7 [LEVEL_C]; PMC12866916 Figure 3 [LEVEL_C]; PMC12848162 Fig. 5 [LEVEL_C]; PMC12103725 Figure 2 [LEVEL_C]; PMC12892883 Figure 2 [LEVEL_C]; PMC12892883 Figure 4 [LEVEL_C],resting,1.5920129785151964,proliferative,0.3839821981321716,resting,7.0,0.71,both computational modalities wrong,"intact tissue says perichondrial; bulk said proliferative / resting, single-cell said resting"
Runx2,RUNX2,A_secondary_validated,KO_blocks_maturation,True,LEVEL_A,8,7,8,MULTIZONAL,hypertrophic,False,top-zone weight 8.0 vs next 7.0; best level LEVEL_A; possible non-chondrocyte confound,5,hypertrophic; perichondrial; prehypertrophic; proliferative; terminal_hypertrophic,human; mouse; rat; zebrafish,False,True,marrow; osteoblast,True,PMC13232623 Figure 7 [LEVEL_A]; PMC12122814 Fig. 8 [LEVEL_A]; PMC12585761 FIGURE 2 [LEVEL_B]; PMC12460606 Fig. 2 [LEVEL_B]; PMC12460606 Fig. 8 [LEVEL_B]; PMC10256685 Fig. 3 [LEVEL_B]; PMC13152850 FIGURE 7 [LEVEL_C]; PMC12460174 Extended Data Fig. 1 [LEVEL_C],hypertrophic,0.4022683394814326,proliferative,0.0004118361871245,resting,7.0,0.71,spatial agrees with bulk only,single-cell said resting
Ptch1,PTCH1,A_secondary_validated,KO_promotes_maturation,True,LEVEL_A,8,6,4,DEVELOPMENTALLY_VARIABLE,resting,False,top-zone weight 5.0 vs next 4.0; best level LEVEL_A; no non-chondrocyte confound,3,perichondrial; proliferative; resting,human; mouse; rat,False,True,,False,PMC10906233 Figure 2 [LEVEL_A]; PMC12097805 Figure 6 [LEVEL_C]; PMC5065210 Fig 3 [LEVEL_C]; PMC9096555 FIGURE 2 [LEVEL_C],hypertrophic,0.5903031034047803,proliferative,1.289059857772207,resting,7.0,0.71,spatial agrees with single-cell only,bulk said hypertrophic / proliferative
Junb,JUNB,B_primary_reproducible,KO_promotes_maturation,True,LEVEL_B,1,1,1,UNRESOLVED,,False,no zone named in any usable record,0,,chick; human; mouse; rat,True,,,False,PMC8293626 Figure 7 [LEVEL_B],resting,0.2047766701067832,resting,0.4074639611981538,resting,7.0,0.71,no spatial resolution,no intact-tissue call to compare against
Foxc1,FOXC1,A_secondary_validated,KO_blocks_maturation,True,LEVEL_C,5,3,5,MULTIZONAL,hypertrophic,False,top-zone weight 4.0 vs next 3.0; best level LEVEL_C; possible non-chondrocyte confound,6,hypertrophic; perichondrial; prehypertrophic; proliferative; resting; terminal_hypertrophic,human; mouse,False,,osteoblast,True,PMC8383119 Figure 4 [LEVEL_C]; PMC8383119 Figure 5 [LEVEL_C]; PMC11361642 Fig. 4. [LEVEL_C]; PMC11361642 Fig. 7. [LEVEL_C]; PMC3868537 Figure 3 [LEVEL_C],resting,0.3703927662304345,perichondrium,0.1311583574986006,resting,7.0,0.71,both computational modalities wrong,"intact tissue says hypertrophic; bulk said perichondrium / resting, single-cell said resting"
Tsc2,TSC2,A_secondary_validated,KO_blocks_maturation,True,LEVEL_C,1,1,1,UNRESOLVED,hypertrophic,False,top-zone weight 1.0 vs next 0.0; best level LEVEL_C; no non-chondrocyte confound,1,hypertrophic,mouse,,,,False,PMC4472128 Figure 5 [LEVEL_C],hypertrophic,0.0313349890781111,prehypertrophic,0.1238433853782368,resting,6.0,0.83,spatial agrees with bulk only,single-cell said resting
Acvr1,ACVR1,A_secondary_validated,KO_promotes_maturation,True,LEVEL_C,1,1,1,UNRESOLVED,terminal_hypertrophic,False,top-zone weight 1.0 vs next 0.0; best level LEVEL_C; no non-chondrocyte confound,1,terminal_hypertrophic,mouse,,,,False,PMC5797136 Fig. 3 [LEVEL_C],resting,0.0294557749348864,proliferative,0.9663348678725648,resting,6.0,0.83,both computational modalities wrong,"intact tissue says hypertrophic; bulk said proliferative / resting, single-cell said resting"
Hdac5,HDAC5,A_secondary_validated,KO_promotes_maturation,True,LEVEL_C,1,1,1,UNRESOLVED,hypertrophic,False,top-zone weight 1.0 vs next 0.0; best level LEVEL_C; possible non-chondrocyte confound,1,hypertrophic,mouse,,,marrow,True,PMC12743641 Figure 9. [LEVEL_C],resting,0.4632006622677824,perichondrium,0.179463407179659,resting,6.0,0.83,both computational modalities wrong,"intact tissue says hypertrophic; bulk said perichondrium / resting, single-cell said resting"
Ezh2,EZH2,A_secondary_validated,KO_promotes_maturation,True,LEVEL_D,3,3,0,UNRESOLVED,,False,no LEVEL_A/B/C record,0,,,,,,,PMC12822469 Figure 3; PMC5670205 Fig. 5; PMC5477487 Figure 3,proliferative,0.0329347688522965,proliferative,1.763138871311165,resting,7.0,0.43,no spatial resolution,no intact-tissue call to compare against
Cd200,CD200,A_secondary_validated,KO_blocks_maturation,True,LEVEL_D,1,1,0,UNRESOLVED,,False,no LEVEL_A/B/C record,0,,,,,,,PMC9938638 Figure 1.,hypertrophic,0.6010343879971067,hypertrophic,0.0042446405802518,resting,7.0,0.43,no spatial resolution,no intact-tissue call to compare against
