gene,n_cells,n_samples,inference,detection_fraction,r2_technical_and_sample,r2_plus_stress,r2_plus_state_only,r2_full,variance_explained_by_stress,variance_explained_by_state,state_effect_size,stress_effect_size,dissociation_effect_size,hypoxia_effect_size,isr_effect_size,upr_effect_size,glucocorticoid_effect_size,apoptosis_effect_size,cell_cycle_effect_size,top_state_correlate,top_stress_correlate,panels_dropped_gene_is_member,mouse_gene,human_gene,spatial_class,spatial_top_zone,best_evidence_level,zone_selective,descriptive_detection_fraction,descriptive_n_cells,robustness_class,robustness_basis,spatial_evidence_survives,ignore_single_cell_for_localization
Acvr1,96505,15,inferential,0.16811564167659707,0.0158,0.0287,0.0197,0.0305,0.0129,0.0017,0.0542,0.0835,-0.0632,-0.0835,0.0295,0.0091,-0.0065,0.0764,-0.0084,state_prehypertrophic,hypoxia,,Acvr1,ACVR1,UNRESOLVED,terminal_hypertrophic,LEVEL_C,False,0.6127567728490623,26872,COMPUTATIONAL_LOCALIZATION_UNRELIABLE,stress explains 0.0129 of variance versus 0.0017 for state,True,True
Agrp,96505,15,inferential,0.0035231335163981143,0.0011,0.0018,0.0014,0.0018,0.0007,0.0001,0.0168,0.0225,-0.0022,0.0225,-0.0062,-0.0021,0.0037,0.0039,0.0161,state_proliferative,hypoxia,,Agrp,AGRP,UNRESOLVED,,LEVEL_D,False,0.051503423637987496,26872,COMPUTATIONAL_LOCALIZATION_UNRELIABLE,stress explains 0.0007 of variance versus 0.0001 for state,False,True
Brd4,96505,15,inferential,0.4325682607118802,0.1308,0.1432,0.1351,0.1454,0.0124,0.0022,0.1138,0.1395,-0.1381,-0.0125,0.0787,0.0535,-0.0108,0.1395,0.0478,state_resting,apoptosis,,Brd4,,UNRESOLVED,,LEVEL_D,False,0.7624665078892527,26872,COMPUTATIONAL_LOCALIZATION_UNRELIABLE,stress explains 0.0124 of variance versus 0.0022 for state,False,True
Ezh2,96505,15,inferential,0.27531215999171027,0.0855,0.2596,0.2522,0.2629,0.1741,0.0033,0.473,0.4692,-0.1296,-0.0862,0.0213,-0.028,-0.044,0.1288,0.4692,state_proliferative,cell_cycle,,Ezh2,EZH2,UNRESOLVED,,LEVEL_D,False,0.41772104793093184,26872,COMPUTATIONAL_LOCALIZATION_UNRELIABLE,stress explains 0.1741 of variance versus 0.0033 for state,False,True
Hdac5,96505,15,inferential,0.26052536138023935,0.0079,0.017,0.0104,0.018,0.0091,0.001,0.034,0.0658,-0.048,-0.0196,0.0649,0.0658,-0.0019,0.05,-0.0095,state_prehypertrophic,unfolded_protein_response,,Hdac5,HDAC5,UNRESOLVED,hypertrophic,LEVEL_C,False,0.32755284310806787,26872,COMPUTATIONAL_LOCALIZATION_UNRELIABLE,stress explains 0.0091 of variance versus 0.0010 for state,True,True
Foxc1,96505,15,inferential,0.36220921195792966,0.0937,0.1085,0.1001,0.1157,0.0149,0.0072,0.0293,0.0768,0.0313,0.0508,0.0199,0.0122,0.0398,0.05,-0.0001,state_hypertrophic,mtorc1_activity,,Foxc1,FOXC1,MULTIZONAL,hypertrophic,LEVEL_C,False,0.6714423935695147,26872,SPATIAL_AND_STATE_CONSISTENT,"state adds 0.0072, stress 0.0149; neither dominates",True,False
Itgb1,96505,15,inferential,0.7576187762292109,0.2001,0.2244,0.2187,0.2394,0.0244,0.015,0.2801,0.1798,-0.1798,-0.1692,-0.0742,-0.1441,0.0154,0.1278,0.0397,state_resting,dissociation,,Itgb1,ITGB1,UNRESOLVED,,LEVEL_D,False,0.916604644239357,26872,SPATIAL_AND_STATE_CONSISTENT,"state adds 0.0150, stress 0.0244; neither dominates",False,False
Ptch1,96505,15,inferential,0.24695093518470546,0.1226,0.1313,0.1327,0.1392,0.0087,0.008,0.2047,0.1071,-0.0963,0.0776,-0.0482,-0.0335,0.041,0.0706,0.0117,state_resting,mtorc1_activity,state_prehypertrophic,Ptch1,PTCH1,DEVELOPMENTALLY_VARIABLE,resting,LEVEL_A,False,0.5421628460851444,26872,SPATIAL_AND_STATE_CONSISTENT,"state adds 0.0080, stress 0.0087; neither dominates",True,False
Sox9,96505,15,inferential,0.8209522822651676,0.1474,0.1666,0.1665,0.1771,0.0192,0.0105,0.1549,0.1721,-0.0552,0.1316,0.1141,0.1721,-0.0539,0.0507,-0.0182,state_resting,unfolded_protein_response,,Sox9,SOX9,MULTIZONAL,perichondrial,LEVEL_A,False,0.8951324799047335,26872,SPATIAL_AND_STATE_CONSISTENT,"state adds 0.0105, stress 0.0192; neither dominates",True,False
Tsc2,96505,15,inferential,0.08063830889591213,0.023,0.0233,0.0231,0.0235,0.0003,0.0002,0.0614,0.0398,-0.0329,0.009,-0.0108,-0.0199,0.0064,0.0294,0.0082,state_resting,mtorc1_activity,,Tsc2,TSC2,UNRESOLVED,hypertrophic,LEVEL_C,False,0.1816016671628461,26872,SPATIAL_AND_STATE_CONSISTENT,"state adds 0.0002, stress 0.0003; neither dominates",True,False
Cd200,96505,15,inferential,0.2035231335163981,0.0463,0.0744,0.0962,0.1037,0.0281,0.0292,0.1981,0.1221,0.1181,0.0494,0.027,0.029,0.0288,-0.0723,-0.0612,state_hypertrophic,hypertrophic_differentiation,state_resting,Cd200,CD200,UNRESOLVED,,LEVEL_D,False,0.263508484668056,26872,SPATIAL_SIGNAL_STRONGER_THAN_STRESS,"state adds 0.0292, stress adds 0.0281",False,False
