mouse_gene,human_gene,spatial_class,spatial_top_zone,best_evidence_level,zone_selective,growth_equation_term,mgi_n_phenotype_rows,mgi_n_skeletal_rows,mgi_skeletal_terms,mgi_skeletal_pmids,mgi_lof_alleles,mgi_gof_alleles,mgi_gof_terms,mgi_shorter,mgi_longer,mgi_disorganized,mgi_lethal,axis_resting_pool,axis_proliferation,axis_hypertrophy,axis_apoptosis,axis_matrix,axis_mineralization,axis_adult_length,crispr_lfc_primary_D15,crispr_lfc_secondary_D15,crispr_in_secondary_library,crispr_cross_library_agree,crispr_guide_consistency_D15,crispr_guide_FDR_D15,crispr_effect_class,crispr_direction,fg_young_tibia_lfc,fg_tibia_vs_phalanx_lfc,fg_PZ_vs_HZ_lfc,fg_zone_bias,height_n_loci,height_neglog10p,robustness_class,ignore_single_cell_for_localization,exclusion_reason,excluded_by_earlier_stage,predicted_phenotype,direction_rationale,advances_to_stage_45
Sox9,SOX9,MULTIZONAL,perichondrial,LEVEL_A,False,outside the length-producing compartment,71,13,abnormal Meckel's cartilage morphology; abnormal bone mineralization; abnormal cartilage development; abnormal humerus morphology; abnormal laryngeal cartilage morphology; abnormal long bone morphology; abnormal skeleton development; abnormal tracheal cartilage morphology; bowed tibia; increased width of hypertrophic chondrocyte zone; short snout,11371614; 11857796; 26234751,Sox9<+>|Sox9<Bbfc>; Sox9<+>|Sox9<tm1.1Gsr>; Sox9<+>|Sox9<tm1Crm>,,,,,abnormal cartilage,,False,False,True,False,True,True,True,-0.8226,-0.79193,True,True,0.5,0.48459,KO_blocks_maturation,-1.0,0.27765,0.74307,1.50644,proliferative,,,SPATIAL_AND_STATE_CONSISTENT,False,on the brief's excluded list of established height/growth-plate genes,True,MATRIX_FAILURE_RISK,MGI records growth-plate or cartilage disorganization on loss of function; a longer but disorganized plate is not a functional gain,False
Runx2,RUNX2,MULTIZONAL,hypertrophic,LEVEL_A,False,terminal axial contribution,190,51,abnormal bone mineralization; abnormal bone ossification; abnormal cartilage development; abnormal cartilage morphology; abnormal chondrocyte morphology; abnormal craniofacial bone morphology; abnormal femur morphology; abnormal humerus morphology; abnormal limb development; abnormal long bone epiphyseal ossification zone morphology; abnormal long bone epiphyseal plate morphology; abnormal long bone epiphyseal plate proliferative zone,10072783; 10213384; 10213384|9182763; 10593408; 10593408|9182763; 11438701; 15007057; 19028669,Runx2<+>|Runx2<em1(IMPC)Rbrc>; Runx2<+>|Runx2<tm1Mjo>; Runx2<tm1Gss>; Runx2<tm1Hkiy>; Runx2<tm1Jals>; Runx2<tm1Kish>,,,decreased body size; decreased length of long bones; disproportionate dwarf; dwarf; short limbs,,abnormal cartilage; abnormal chondrocyte morphology; abnormal skeleton morphology,,False,False,True,False,True,True,True,-0.64034,-0.61158,True,True,1.0,0.24545,KO_blocks_maturation,-1.0,0.08337,0.02817,-0.37643,shared,14.0,152.69897,SPATIAL_SIGNAL_STRONGER_THAN_STRESS,False,on the brief's excluded list of established height/growth-plate genes,True,HYPERTROPHIC_OUTPUT_LOSS_RISK,MGI records a shortening phenotype for loss of this gene (decreased body size; decreased length of long bones; disproportionate dwarf; dwarf; short limbs); reducing it further is the wrong direction,False
Ptch1,PTCH1,DEVELOPMENTALLY_VARIABLE,resting,LEVEL_A,False,duration (the reserve that sets how long the plate can run),141,7,abnormal craniofacial morphology; abnormal intramembranous bone ossification; abnormal skeleton morphology; increased body size,12872247; 23897749; 9262482; 9585239,Ptch1<+>|Ptch1<tm1Mps>; Ptch1<+>|Ptch1<tm1Zim>; Ptch1<dl>; Ptch1<dl>|Ptch1<tm1Mps>; Ptch1<mes>; Ptch1<tm1.1Bjw>,,,,increased body size,abnormal skeleton morphology,,False,False,False,False,False,True,True,6.00353,5.0414,True,True,1.0,0.06271,KO_promotes_maturation,1.0,0.4773,-0.78033,2.17016,proliferative,52.0,300.0,SPATIAL_AND_STATE_CONSISTENT,False,on the brief's excluded list of established height/growth-plate genes,True,MATURATION_ACCELERATOR,"loss of function lengthens in MGI, but the gene is not in the terminal compartment, so the gain cannot be attributed to terminal axial contribution",False
Junb,JUNB,UNRESOLVED,,LEVEL_B,False,not resolved to a term,11,0,,,,,,,,,,False,False,False,False,False,False,False,1.95441,,False,False,1.0,0.03945,KO_promotes_maturation,1.0,0.36985,-0.26655,-4.62836,hypertrophic,1.0,13.69897,STRESS_DOMINATED_BUT_SPATIAL_VALIDATED,True,intervention direction risks premature maturation and plate exhaustion,True,MATURATION_ACCELERATOR,the screen says knockout drives cells into the matured population and no length phenotype is recorded; acceleration without a measured length is not growth,False
Foxc1,FOXC1,MULTIZONAL,hypertrophic,LEVEL_C,False,terminal axial contribution,241,41,abnormal Reichert's cartilage morphology; abnormal arytenoid cartilage morphology; abnormal axial skeleton morphology; abnormal bone ossification; abnormal cartilage development; abnormal cartilage morphology; abnormal cervical vertebrae morphology; abnormal craniofacial bone morphology; abnormal craniofacial development; abnormal cricoid cartilage morphology; abnormal femur morphology; abnormal humerus morphology,25808752; 5500588; 9635428,Foxc1<+>|Foxc1<ch>; Foxc1<ch>; Foxc1<tm1Blh>,,,short humerus; short limbs,,abnormal cartilage; abnormal skeleton morphology,,False,False,True,False,True,True,True,-0.60842,-1.28048,True,True,0.5,0.72691,KO_blocks_maturation,-1.0,-0.34072,-0.5909,-1.60564,hypertrophic,4.0,40.22185,SPATIAL_AND_STATE_CONSISTENT,False,pleiotropic developmental gene (>150 mouse phenotype terms),True,HYPERTROPHIC_OUTPUT_LOSS_RISK,MGI records a shortening phenotype for loss of this gene (short humerus; short limbs); reducing it further is the wrong direction,False
Tsc2,TSC2,UNRESOLVED,hypertrophic,LEVEL_C,False,terminal axial contribution,57,0,,,,,,,,,,False,False,False,False,False,False,False,-2.07926,-1.89776,True,True,1.0,0.1243,KO_blocks_maturation,-1.0,0.30193,0.11521,-0.53908,hypertrophic,7.0,49.39794,SPATIAL_AND_STATE_CONSISTENT,False,multiple curated cancer hallmark roles,True,MATURATION_DELAY_ONLY,knockout holds cells out of the matured population; delay is not scored as beneficial and there is no evidence it lengthens anything,False
Acvr1,ACVR1,UNRESOLVED,terminal_hypertrophic,LEVEL_C,False,terminal axial contribution,50,5,abnormal cervical vertebrae morphology; broad femur neck; short femur neck; skeletal muscle degeneration; vertebral fusion,22508565,Acvr1<+>|Acvr1<tm1Emsh>,,,short femur,,,,False,False,False,False,False,False,True,2.16839,0.13277,True,True,1.0,0.14182,KO_promotes_maturation,1.0,-0.4863,-0.7916,0.26509,shared,1.0,9.30103,COMPUTATIONAL_LOCALIZATION_UNRELIABLE,True,mouse phenotype includes growth-plate disorganisation/fusion/dwarfism; annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,True,HYPERTROPHIC_OUTPUT_LOSS_RISK,MGI records a shortening phenotype for loss of this gene (short femur); reducing it further is the wrong direction,False
Hdac5,HDAC5,UNRESOLVED,hypertrophic,LEVEL_C,False,terminal axial contribution,1,0,,,,,,,,,,False,False,False,False,False,False,False,1.2881,0.01174,True,True,0.75,0.3082,KO_promotes_maturation,1.0,0.73743,0.16656,-2.34808,hypertrophic,2.0,32.69897,COMPUTATIONAL_LOCALIZATION_UNRELIABLE,True,chromatin/epigenetic machinery - broad transcriptional liability; intervention direction risks premature maturation and plate exhaustion,True,MATURATION_ACCELERATOR,the screen says knockout drives cells into the matured population and no length phenotype is recorded; acceleration without a measured length is not growth,False
Ezh2,EZH2,UNRESOLVED,,LEVEL_D,False,not resolved to a term,29,3,increased femur compact bone thickness; increased internal diameter of femur; increased sacral vertebrae number,38015625,Ezh2<+>|Ezh2<em1Jiaf>; Ezh2<+>|Ezh2<tm1a(EUCOMM)Wtsi>,,,,,,,False,False,False,False,False,False,True,1.01408,0.64741,True,True,0.75,0.35439,KO_promotes_maturation,1.0,-0.41911,-0.14904,0.6519,proliferative,7.0,57.30103,COMPUTATIONAL_LOCALIZATION_UNRELIABLE,True,chromatin/epigenetic machinery - broad transcriptional liability; annotated tumour suppressor - unsuitable for chronic paediatric exposure; annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,True,MATURATION_ACCELERATOR,the screen says knockout drives cells into the matured population and no length phenotype is recorded; acceleration without a measured length is not growth,False
Cd200,CD200,UNRESOLVED,,LEVEL_D,False,not resolved to a term,16,0,,,,,,,,,,False,False,False,False,False,False,False,-0.98112,-2.54141,True,True,1.0,0.14158,KO_blocks_maturation,-1.0,-2.27651,-0.31686,-3.13033,hypertrophic,,,SPATIAL_SIGNAL_STRONGER_THAN_STRESS,False,"CD200 is the screen's FACS sort marker - knockout removes the epitope, so the apparent effect is technical, not biological",True,MATURATION_DELAY_ONLY,knockout holds cells out of the matured population; delay is not scored as beneficial and there is no evidence it lengthens anything,False
