mouse_gene,human_gene,best_evidence_level,spatial_top_zone,predicted_phenotype,passed_stage_44,excluded_by_earlier_stage,exclusion_reason,human_intact_tissue_records,human_intact_tissue_figures,ensembl_id,pLI,loeuf,oe_lof,missense_z,ot_symbol,ot_tractability,ot_n_associated_diseases,ot_top_diseases,clinvar_pathogenic,clinvar_pathogenic_skeletal,human_skeletal_disease,liability_cancer,liability_vascular,liability_neural,liability_immune,liability_developmental,height_n_loci,height_neglog10p,mgi_skeletal_terms,mgi_skeletal_pmids,mgi_shorter,mgi_longer,mgi_disorganized,mgi_gof_terms,axis_hypertrophy,axis_proliferation,axis_resting_pool,axis_adult_length,gse9160_human_top_zone_supporting_only,genetic_evidence_rank,genetic_evidence_basis,reduced_function_predicts,increased_function_predicts,growth_plate_specific,adult_or_final_length_measured,proportional_or_dysplastic,any_liability,gate_d_human_relevance
Sox9,SOX9,LEVEL_A,perichondrial,MATRIX_FAILURE_RISK,False,True,on the brief's excluded list of established height/growth-plate genes,6,PMC10256685 Fig. 3; PMC12460174 Extended Data Fig. 1; PMC12848162 Fig. 5; PMC10895259 Fig. 7.; PMC11523133 Figure 6; PMC10895259 Fig. 1.,ENSG00000125398,0.999999995599918,0.14056787210458593,0.04465453620215382,2.299977534826155,SOX9,PR:Database Ubiquitination; PR:UniProt Ubiquitination,3690,"campomelic dysplasia (0.86); Pierre-Robin sequence (0.56); neurodegenerative disease (0.55); colorectal adenocarcinoma (0.51); hereditary disease (0.50); connective tissue disorder (0.47); isolated Pierre-Robin syndrome (0.47); 46,XY complete gonadal dysgenesis (0.47)",195,100,"Abnormality of the skeletal system; campomelic dysplasia; osteoarthritis, hip; osteoarthritis, knee",colon adenocarcinoma; colorectal adenocarcinoma; colorectal cancer; prostate carcinoma,,,"osteoarthritis, hip; osteoarthritis, knee",isolated Pierre-Robin syndrome,,,abnormal Meckel's cartilage morphology; abnormal bone mineralization; abnormal cartilage development; abnormal humerus morphology; abnormal laryngeal cartilage morphology; abnormal long bone morphology; abnormal skeleton development; abnormal tracheal cartilage morphology; bowed tibia; increased width of hypertrophic chondrocyte zone; short snout,11371614; 11857796; 26234751,,,abnormal cartilage,,True,False,False,True,proliferative,direct rare-variant skeletal phenotype,"100 pathogenic ClinVar variants under a skeletal phenotype; Open Targets lists Abnormality of the skeletal system; campomelic dysplasia; osteoarthritis, hip; osteoarthritis, knee",shorter,shorter (inferred by opposition unless a gain-of-function allele is recorded),True,True,dysplastic,cancer; immune; developmental,False
Runx2,RUNX2,LEVEL_A,hypertrophic,HYPERTROPHIC_OUTPUT_LOSS_RISK,False,True,on the brief's excluded list of established height/growth-plate genes,4,PMC13232623 Figure 7; PMC12585761 FIGURE 2; PMC10256685 Fig. 3; PMC12460174 Extended Data Fig. 1,ENSG00000124813,0.9999974522825971,0.3280271273159007,0.1933869163918634,2.097352158135317,RUNX2,PR:Database Ubiquitination; PR:UniProt Ubiquitination; SM:Structure with Ligand,4257,cleidocranial dysplasia 1 (0.85); metaphyseal dysplasia-maxillary hypoplasia-brachydacty syndrome (0.72); Metaphyseal dysplasia - maxillary hypoplasia - brachydacty (0.72); neurodegenerative disease (0.48); hereditary disease (0.47); craniosynostosis (0.41); Inguinal hernia (0.38); skin aging (0.35),250,13,Abnormality of the skeletal system; Metaphyseal dysplasia - maxillary hypoplasia - brachydacty; bone fracture; cleidocranial dysplasia 1; metaphyseal dysplasia-maxillary hypoplasia-brachydacty syndrome; osteoarthritis,acute myeloid leukemia,,,"osteoarthritis; osteoarthritis, hip; osteoarthritis, knee",metaphyseal dysplasia-maxillary hypoplasia-brachydacty syndrome; nephrotic syndrome,14.0,152.69897,abnormal bone mineralization; abnormal bone ossification; abnormal cartilage development; abnormal cartilage morphology; abnormal chondrocyte morphology; abnormal craniofacial bone morphology; abnormal femur morphology; abnormal humerus morphology; abnormal limb development; abnormal long bone epiphyseal ossification zone morphology; abnormal long bone epiphyseal plate morphology; abnormal long bone epiphyseal plate proliferative zone,10072783; 10213384; 10213384|9182763; 10593408; 10593408|9182763; 11438701; 15007057; 19028669,decreased body size; decreased length of long bones; disproportionate dwarf; dwarf; short limbs,,abnormal cartilage; abnormal chondrocyte morphology; abnormal skeleton morphology,,True,False,False,True,proliferative,direct rare-variant skeletal phenotype,13 pathogenic ClinVar variants under a skeletal phenotype; Open Targets lists Abnormality of the skeletal system; Metaphyseal dysplasia - maxillary hypoplasia - brachydacty; bone fracture; cleidocranial dysplasia 1; metaphyseal dysplasia-maxillary hypoplasia-brachydacty syndrome; osteoarthritis,shorter,shorter (inferred by opposition unless a gain-of-function allele is recorded),True,True,dysplastic,cancer; immune; developmental,False
Ptch1,PTCH1,LEVEL_A,resting,MATURATION_ACCELERATOR,False,True,on the brief's excluded list of established height/growth-plate genes,4,PMC5065210 Fig 3; PMC12678681 FIGURE 3; PMC12678681 FIGURE 5; PMC12678681 FIGURE 6,ENSG00000185920,1.0,0.15132586310199053,0.0967977267735783,3.1432927535017314,PTCH1,AB:GO CC high conf; AB:UniProt SigP or TMHMM; AB:UniProt loc med conf; PR:Database Ubiquitination; PR:UniProt Ubiquitination; SM:Structure with Ligand,3585,nevoid basal cell carcinoma syndrome (0.81); holoprosencephaly (0.80); basal cell carcinoma (0.68); medulloblastoma (0.62); Inherited cancer-predisposing syndrome (0.56); hereditary neoplastic syndrome (0.56); Abnormality of the skeletal system (0.52); hereditary disease (0.51),4878,1,"Abnormality of the skeletal system; osteoarthritis, hip; osteoarthritis, knee",Inherited cancer-predisposing syndrome; Keratocystic odontogenic tumor; Merkel cell skin cancer; basal cell carcinoma,,,"osteoarthritis, hip; osteoarthritis, knee",Inherited cancer-predisposing syndrome; anophthalmia-microphthalmia syndrome; hereditary neoplastic syndrome; nevoid basal cell carcinoma syndrome,52.0,300.0,abnormal craniofacial morphology; abnormal intramembranous bone ossification; abnormal skeleton morphology; increased body size,12872247; 23897749; 9262482; 9585239,,increased body size,abnormal skeleton morphology,,False,False,False,True,proliferative,direct rare-variant skeletal phenotype,"1 pathogenic ClinVar variants under a skeletal phenotype; Open Targets lists Abnormality of the skeletal system; osteoarthritis, hip; osteoarthritis, knee",shorter,shorter (inferred by opposition unless a gain-of-function allele is recorded),False,True,dysplastic,cancer; immune; developmental,False
Foxc1,FOXC1,LEVEL_C,hypertrophic,HYPERTROPHIC_OUTPUT_LOSS_RISK,False,True,pleiotropic developmental gene (>150 mouse phenotype terms),3,PMC8383119 Figure 4; PMC11361642 Fig. 4.; PMC11361642 Fig. 7.,ENSG00000054598,0.05337307083864889,1.2967593426303499,0.6167388170432601,-1.2225692526690615,FOXC1,PR:Database Ubiquitination; PR:UniProt Ubiquitination,5546,Rieger anomaly (0.80); Axenfeld-Rieger syndrome type 3 (0.76); Axenfeld-Rieger syndrome (0.67); Axenfeld anomaly (0.63); Peters anomaly (0.57); hypertensive disorder (0.51); isolated aniridia (0.47); anterior segment dysgenesis (0.46),288,2,"Axenfeld-Rieger anomaly with partially absent eye muscles, distinctive face, hydrocephaly, and skeletal abnormalities",,cardiovascular disorder; coronary artery disorder,,,Axenfeld-Rieger syndrome; Axenfeld-Rieger syndrome type 3; Dandy-Walker syndrome; congenital anomaly of kidney and urinary tract,4.0,40.22185,abnormal Reichert's cartilage morphology; abnormal arytenoid cartilage morphology; abnormal axial skeleton morphology; abnormal bone ossification; abnormal cartilage development; abnormal cartilage morphology; abnormal cervical vertebrae morphology; abnormal craniofacial bone morphology; abnormal craniofacial development; abnormal cricoid cartilage morphology; abnormal femur morphology; abnormal humerus morphology,25808752; 5500588; 9635428,short humerus; short limbs,,abnormal cartilage; abnormal skeleton morphology,,True,False,False,True,perichondrium,direct rare-variant skeletal phenotype,"2 pathogenic ClinVar variants under a skeletal phenotype; Open Targets lists Axenfeld-Rieger anomaly with partially absent eye muscles, distinctive face, hydrocephaly, and skeletal abnormalities",shorter,shorter (inferred by opposition unless a gain-of-function allele is recorded),True,True,dysplastic,vascular; developmental,False
Tsc2,TSC2,LEVEL_C,hypertrophic,MATURATION_DELAY_ONLY,False,True,multiple curated cancer hallmark roles,0,,ENSG00000103197,1.0,0.1955335916011317,0.14340755511655665,-0.07814465472993333,TSC2,AB:UniProt loc high conf; PR:Database Ubiquitination; PR:Half-life Data; PR:UniProt Ubiquitination,981,tuberous sclerosis (0.86); tuberous sclerosis 2 (0.82); lymphangioleiomyomatosis (0.81); isolated focal cortical dysplasia type II (0.74); hepatocellular carcinoma (0.59); Inherited cancer-predisposing syndrome (0.57); hereditary neoplastic syndrome (0.57); familial adenomatous polyposis 3 (0.55),2778,290,isolated focal cortical dysplasia type II,Inherited cancer-predisposing syndrome; Unclassified Renal Cell Carcinoma; hepatocellular carcinoma; hereditary neoplastic syndrome,neoplasm with perivascular epithelioid cell differentiation,autism spectrum disorder,,Inherited cancer-predisposing syndrome; hereditary neoplastic syndrome,7.0,49.39794,,,,,,,False,False,False,False,prehypertrophic,direct rare-variant skeletal phenotype,290 pathogenic ClinVar variants under a skeletal phenotype; Open Targets lists isolated focal cortical dysplasia type II,shorter,shorter (inferred by opposition unless a gain-of-function allele is recorded),False,False,dysplastic,cancer; vascular; neural; developmental,False
Acvr1,ACVR1,LEVEL_C,terminal_hypertrophic,HYPERTROPHIC_OUTPUT_LOSS_RISK,False,True,mouse phenotype includes growth-plate disorganisation/fusion/dwarfism; annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,0,,ENSG00000115170,6.863579072436384e-09,0.8724942878834486,0.6656455650683133,2.958278014098633,ACVR1,AB:GO CC high conf; AB:UniProt SigP or TMHMM; OC:Approved Drug; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; SM:Druggable Family; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Structure with Ligand,1580,fibrodysplasia ossificans progressiva (0.82); myelofibrosis (0.56); neoplasm (0.53); primary myelofibrosis (0.51); neurodegenerative disease (0.48); hereditary disease (0.47); bone disorder (0.46); pancreatic ductal adenocarcinoma (0.44),37,0,bone disorder; fibrodysplasia ossificans progressiva; spondylolisthesis,Brain Stem Glioblastoma; bile duct carcinoma; carcinoma of liver and intrahepatic biliary tract; endometrial cancer,,Brain Stem Glioblastoma; brain glioma,,,1.0,9.30103,abnormal cervical vertebrae morphology; broad femur neck; short femur neck; skeletal muscle degeneration; vertebral fusion,22508565,short femur,,,,False,False,False,True,proliferative,fine-mapped coding variant,"pathogenic coding variation exists and a skeletal disease is associated, but no skeletal-annotated variant set was retrievable",shorter,shorter (inferred by opposition unless a gain-of-function allele is recorded),False,True,dysplastic,cancer; neural,False
Hdac5,HDAC5,LEVEL_C,hypertrophic,MATURATION_ACCELERATOR,False,True,chromatin/epigenetic machinery - broad transcriptional liability; intervention direction risks premature maturation and plate exhaustion,0,,ENSG00000108840,0.9999999999999994,0.2619647031799893,0.1875673771977701,4.681197556881737,HDAC5,OC:Approved Drug; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; PR:UniProt Ubiquitination; SM:Approved Drug; SM:Druggable Family; SM:High-Quality Ligand; SM:Structure with Ligand,354,"neoplasm (0.55); plasma cell myeloma (0.55); Duchenne muscular dystrophy (0.52); peripheral T-cell lymphoma, not otherwise specified (0.52); mature T-cell and NK-cell non-Hodgkin lymphoma (0.50); primary cutaneous T-cell non-Hodgkin lymphoma (0.49); T-cell non-Hodgkin lymphoma (0.48); neurodegenerative disease (0.46)",10,0,bone fracture; osteoporosis,Hodgkins lymphoma; T-cell non-Hodgkin lymphoma; acute myeloid leukemia; angioimmunoblastic T-cell lymphoma,,,,myelodysplastic syndrome,2.0,32.69897,,,,,,,False,False,False,False,perichondrium,fine-mapped coding variant,"pathogenic coding variation exists and a skeletal disease is associated, but no skeletal-annotated variant set was retrievable",shorter,shorter (inferred by opposition unless a gain-of-function allele is recorded),False,False,dysplastic,cancer; developmental,False
Itgb1,ITGB1,LEVEL_D,,UNKNOWN_DIRECTION,False,True,intervention direction risks premature maturation and plate exhaustion,1,PMC10721276 Figure 4,ENSG00000150093,0.9999979167315394,0.39004304171970877,0.27734419161406043,5.418097422911092,ITGB1,AB:Advanced Clinical; AB:GO CC high conf; AB:Human Protein Atlas loc; AB:UniProt SigP or TMHMM; AB:UniProt loc high conf; AB:UniProt loc med conf; OC:Advanced Clinical; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; PR:UniProt Ubiquitination; SM:Advanced Clinical; SM:Druggable Family; SM:High-Quality Ligand; SM:Structure with Ligand,1372,multiple sclerosis (0.60); Crohn disease (0.56); viral infectious disease (0.53); relapsing-remitting multiple sclerosis (0.37); inflammation (0.37); Anisometropia (0.33); placental abruption (0.28); COVID-19 (0.24),10,0,musculoskeletal system disorder,breast cancer; breast carcinoma; colorectal cancer; gastric cancer,vein of Galen aneurysm,,inflammation,,,,abnormal craniofacial morphology; abnormal limb morphology; abnormal skeletal muscle morphology; decreased body length; decreased skeletal muscle fiber number; decreased skeletal muscle mass,11980921; 12620989; 9553049,decreased body length,,,,False,False,False,True,hypertrophic,fine-mapped coding variant,"pathogenic coding variation exists and a skeletal disease is associated, but no skeletal-annotated variant set was retrievable",shorter,shorter (inferred by opposition unless a gain-of-function allele is recorded),False,True,dysplastic,cancer; vascular; immune,False
Agrp,AGRP,LEVEL_D,,MATURATION_ACCELERATOR,False,False,,0,,ENSG00000159723,0.02257334347200774,1.0626197232375794,0.5889271962693428,0.637153049166867,AGRP,AB:GO CC med conf; AB:UniProt SigP or TMHMM; AB:UniProt loc high conf,298,Obesity (0.41); Abnormality of the skeletal system (0.40); obesity disorder (0.40); androgenetic alopecia (0.20); poisoning (0.18); hypothyroidism (0.15); smoking behavior (0.13); obesity due to melanocortin 4 receptor deficiency (0.11),26,0,Abnormality of the skeletal system,,,,colitis,"Congenital bile acid synthesis defect type 1; congenital rubella syndrome; lipodystrophy, congenital generalized, type 5",,,,,,,,,False,False,False,False,resting,fine-mapped coding variant,"pathogenic coding variation exists and a skeletal disease is associated, but no skeletal-annotated variant set was retrievable",shorter,shorter (inferred by opposition unless a gain-of-function allele is recorded),False,False,dysplastic,immune; developmental,False
Cd200,CD200,LEVEL_D,,MATURATION_DELAY_ONLY,False,True,"CD200 is the screen's FACS sort marker - knockout removes the epitope, so the apparent effect is technical, not biological",1,PMC9938638 Figure 1.,ENSG00000091972,0.025390397010133025,0.7476610799462236,0.48555453927214504,1.4726259850175227,CD200,AB:Advanced Clinical; AB:GO CC high conf; AB:UniProt SigP or TMHMM; AB:UniProt loc med conf; PR:Half-life Data,574,actinic keratosis (0.35); basal cell carcinoma (0.35); skin neoplasm (0.34); skin cancer (0.34); dermatomycosis (0.33); cutaneous melanoma (0.32); Crohn disease (0.32); ulcerative colitis (0.32),18,0,,B-cell chronic lymphocytic leukemia; Merkel cell skin cancer; acute myeloid leukemia; anus neoplasm,,,systemic lupus erythematosus; ulcerative colitis,myelodysplastic syndrome,,,,,,,,,False,False,False,False,hypertrophic,no human genetic support,no human genetic support found,shorter,shorter (inferred by opposition unless a gain-of-function allele is recorded),False,False,dysplastic,cancer; immune; developmental,False
