compound,age_young_vs_aged_n_mimic,age_young_vs_aged_n_reverse,site_tibia_vs_phalanx_n_mimic,site_tibia_vs_phalanx_n_reverse,combined_growth_axis_n_mimic,combined_growth_axis_n_reverse,n_mimic_signatures,n_reverse_signatures,n_cell_lines_mimic,cell_lines,median_logp_fisher,n_axes_supported,prolif_n_mimic,prolif_n_reverse,suppresses_proliferative_program,net_mimic,chembl_chembl_id,chembl_pref_name,chembl_max_phase,chembl_first_approval,chembl_oral,chembl_parenteral,chembl_topical,chembl_black_box_warning,chembl_withdrawn_flag,chembl_molecule_type,chembl_natural_product,mechanism_of_action,action_type,targets,direct_interaction,crispr_causal_targets,target_is_crispr_causal,target_is_blacklisted,target_symbols,cytotoxic_class,withdrawn,black_box,suppresses_proliferation,narrow_therapeutic_index,oncology_agent,endocrine_growth_risk,growth_plate_toxicity_risk,chronic_paediatric_suitability,exclusion_reason,EXCLUDED,consensus_score,exposure_score,safety_penalty,mechanism_known,total_score
digoxin,1,0,2,1,0,0,3,1,3,NCIH1573; VCAP; XC.P915,16.199967014969438,2,0,0,False,2,CHEMBL1751,DIGOXIN,4.0,1975.0,True,True,False,0.0,False,Small molecule,1.0,Sodium/potassium-transporting ATPase inhibitor,INHIBITOR,Sodium/potassium-transporting ATPase,True,STAT3,True,True,STAT3,False,False,False,False,True,False,False,False,unsuitable (narrow therapeutic index / cardiotoxic),,False,0.22783075302547467,0.85,0.4,True,2.3356615060509496
niclosamide,1,0,1,0,0,0,2,0,2,AGS; MCLF123SZ,13.715511287512978,2,0,0,False,2,CHEMBL1448,NICLOSAMIDE,4.0,1982.0,True,False,False,0.0,False,Small molecule,1.0,DNA inhibitor,INHIBITOR,DNA,True,APC; GNAS; STAT3,True,True,APC; GNAS; STAT3,False,False,False,False,False,False,False,False,plausible for further work,,False,0.14867860468007724,0.85,0.4,True,2.1773572093601548
sotrastaurin,1,0,0,0,1,0,2,0,2,K562; OCILY19,13.35751606713077,2,0,0,False,2,CHEMBL565612,SOTRASTAURIN,2.0,,False,False,False,0.0,False,Small molecule,1.0,Protein kinase C (PKC) inhibitor,INHIBITOR,Protein kinase C (PKC),True,GSK3B,True,False,GSK3B,False,False,False,False,False,False,False,False,plausible for further work,,False,0.1404057319649089,0.25,0.0,True,2.080811463929818
enzalutamide,2,0,0,0,0,0,2,0,2,A375; MCLF100SZ,10.871009210791712,1,1,0,False,2,CHEMBL1082407,ENZALUTAMIDE,4.0,2012.0,True,False,False,0.0,False,Small molecule,0.0,Androgen Receptor antagonist,ANTAGONIST,Androgen receptor,True,APC; TSC2,True,True,APC; TSC2,False,False,False,False,False,False,True,False,unsuitable (sex-steroid / glucocorticoid axis directly alters growth and plate fusion),,False,0.04961198140610391,0.85,0.4,True,1.979223962812208
vandetanib,4,5,2,0,3,1,9,6,6,HEPG2; MCF7; NPC; PC3; XC.P910; YAPC,12.33659193110617,3,1,1,False,3,CHEMBL24828,VANDETANIB,4.0,2011.0,True,False,False,1.0,False,Small molecule,0.0,Ephrin receptor inhibitor; Epidermal growth factor receptor inhibitor; Tyrosine-protein kinase BRK inhibitor,INHIBITOR,Angiopoietin-1 receptor; Ephrin receptor; Epidermal growth factor receptor; Protein-tyrosine kinase 6,True,ACVR1; APC; EPHA2,True,True,ACVR1; APC; EPHA2,False,False,True,False,False,True,False,False,unsuitable as-is (oncology agent; mechanism may still be informative),,False,0.239960304777338,0.85,1.0,True,1.7599206095546762
ibrutinib,4,2,1,3,4,1,9,6,6,CAL29; HA1E; SHSY5Y; XC.P911; XC.P912; XC.P930,12.3320812412147,3,1,1,False,3,CHEMBL1873475,IBRUTINIB,4.0,2013.0,True,False,False,0.0,False,Small molecule,1.0,Tyrosine-protein kinase BTK inhibitor,INHIBITOR,Tyrosine-protein kinase BTK,True,,False,False,,False,False,False,False,False,True,False,False,unsuitable as-is (oncology agent; mechanism may still be informative),,False,0.23985606773392196,0.85,0.0,True,1.759712135467844
ceritinib,1,0,2,1,1,1,4,2,3,TOV112D; XC.P931; XC.P932,14.57004141381805,3,0,0,False,2,CHEMBL2403108,CERITINIB,4.0,2014.0,True,False,False,0.0,False,Small molecule,1.0,ALK tyrosine kinase receptor inhibitor; EML4-ALK inhibitor; NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor) inhibitor,INHIBITOR,ALK tyrosine kinase receptor; EML4-ALK; NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor),True,,False,False,,False,False,False,False,False,True,False,False,unsuitable as-is (oncology agent; mechanism may still be informative),,False,0.22349831244393986,0.85,0.0,True,1.7269966248878799
digitoxin,4,0,0,0,0,0,4,0,4,CJM; PC3; XC.P930; XC.P936,11.142405831393102,1,0,0,False,4,CHEMBL254219,DIGITOXIN,4.0,1982.0,False,True,False,0.0,False,Small molecule,1.0,Sodium/potassium-transporting ATPase inhibitor,INHIBITOR,Sodium/potassium-transporting ATPase,True,STAT3,True,True,STAT3,False,False,False,False,True,False,False,False,unsuitable (narrow therapeutic index / cardiotoxic),,False,0.10507620305635668,0.35,0.4,True,1.6901524061127131
erlotinib,2,0,1,1,1,2,4,3,4,MCF7; OCILY19; XC.P901; XC.P904,12.799455851474558,3,3,1,False,1,CHEMBL553,ERLOTINIB,4.0,2004.0,True,False,False,0.0,False,Small molecule,1.0,,,,,APC; SLCO2B1,True,True,APC; SLCO2B1,False,False,False,False,False,False,False,False,plausible for further work,,False,0.20146403032126375,0.85,0.4,False,1.6829280606425274
dapagliflozin,0,0,2,0,1,0,3,0,2,A549; BC3C,15.69337577240228,2,0,0,False,3,CHEMBL429910,DAPAGLIFLOZIN,4.0,2012.0,True,False,False,0.0,False,Small molecule,1.0,Sodium/glucose cotransporter 2 inhibitor,INHIBITOR,Sodium/glucose cotransporter 2,True,,False,False,,False,False,False,False,False,False,False,False,plausible for further work,,False,0.19724200337457976,0.85,0.0,True,1.6744840067491595
