panel_id,compound,direct_target,target_class_role,mechanism_family,biochemical_potency_nM,cellular_potency_nM,mouse_potency_nM,human_potency_nM,geometry_evidence,geometry_evidence_class,longitudinal_growth_evidence,postnatal_transfer_evidence,proliferation_effect,apoptosis_effect,matrix_effect,washout_evidence,strongest_offtarget,strongest_offtarget_potency_nM,selectivity_fold,selectivity_scope,targets_hit_under_1uM,systemic_liability,candidate_or_probe,best_orthogonal_comparator,inactive_analogue,test_concentrations,concentration_basis,experiment_that_would_kill_it,result_justifying_a_postnatal_metatarsal_test,panel_role,composite_for_display,has_comparator,has_postnatal,order_key
GP04,Y-27632,ROCK1,UNKNOWN,ROCK1/2 inhibitor,150.0,,,150.0,NONE - no direct measurement of terminal-cell axial geometry exists for this compound,2 general morphology without axial measurement,6 embryonic and 1 postnatal corpus papers mention it in a growth context; none measures axial cell geometry,postnatal records: PMC10279950,not measured for this compound in growth plate,not measured for this compound in growth plate,not measured for this compound in growth plate,NONE - no compound in the corpus was washed out,ROCK2,272.0,1.81,fold over the strongest other target IN THE STAGE-62 MAP ONLY,8.0,vascular/devtox literature counts 6551.0/155.0; no systemic-exclusion signal in this analysis,PROBE ONLY,FASUDIL,nan,10 µM,"published concentration, read manually from the source methods","3D geometry in postnatal metatarsal culture with a ROCK1-selective and a ROCK2-selective compound side by side, plus Y-27632, plus the osmotic control. Kill criterion: no arm raises the height-to-width ratio by more than the stage-66 SDC, or the increase is matched by the osmotic arm.","Two structurally unrelated ROCK compounds both raise the ratio, with volume fold <= 1.25 and column coherence intact, and the effect survives washout.",MECHANISTIC_PROBE,122.69533730813464,True,True,5.0
GP13,FASUDIL,ROCK1,UNKNOWN,ROCK1/2 inhibitor,255.0,,,255.0,NONE - no direct measurement of terminal-cell axial geometry exists for this compound,2 general morphology without axial measurement,0 embryonic and 4 postnatal corpus papers mention it in a growth context; none measures axial cell geometry,"postnatal records: PMC12959397, PMC2700520, PMC4855537, PMC8104237",not measured for this compound in growth plate,not measured for this compound in growth plate,not measured for this compound in growth plate,NONE - no compound in the corpus was washed out,MYLK,1900.0,7.45,fold over the strongest other target IN THE STAGE-62 MAP ONLY,22.0,vascular/devtox literature counts 2611.0/49.0; no systemic-exclusion signal in this analysis,PROBE ONLY,Y-27632,nan,100 ng/ml,published concentration extracted from a bone or cartilage experiment - VERIFY against the source before use,"3D geometry in postnatal metatarsal culture with a ROCK1-selective and a ROCK2-selective compound side by side, plus Y-27632, plus the osmotic control. Kill criterion: no arm raises the height-to-width ratio by more than the stage-66 SDC, or the increase is matched by the osmotic arm.","Two structurally unrelated ROCK compounds both raise the ratio, with volume fold <= 1.25 and column coherence intact, and the effect survives washout.",MECHANISTIC_PROBE,36.866553108528855,True,True,4.96
GP18,AMILORIDE,SLC9A1,CELL_SWELLING_ONLY,ion / volume regulation,1000.0,,,60000.0,NONE - no direct measurement of terminal-cell axial geometry exists for this compound,3 inferred mechanics without morphology data,0 embryonic and 1 postnatal corpus papers mention it in a growth context; none measures axial cell geometry,postnatal records: PMC7791185,not measured for this compound in growth plate,not measured for this compound in growth plate,not measured for this compound in growth plate,NONE - no compound in the corpus was washed out,not measured,,,not measured against a second target in the map,4.0,vascular/devtox literature counts 5735.0/230.0; no systemic-exclusion signal in this analysis,PROBE ONLY,BUMETANIDE,nan,20 nM,published concentration extracted from a bone or cartilage experiment - VERIFY against the source before use,"Runs as the swelling control arm, not as a candidate arm. Kill criterion: none - it is not being tested for promotion.","Not promotable. Stage 62 classified every target in this family CELL_SWELLING_ONLY, and the brief forbids treating swelling as elongation. Its job is to calibrate gate 1's volume clause.",SWELLING_CONTROL,22.14832240911787,True,True,3.92
GP14,SIMVASTATIN,HMGCR,UNKNOWN,RORalpha / lipid pathway,3.0740000000000003,,,3.0740000000000003,NONE - no direct measurement of terminal-cell axial geometry exists for this compound,3 inferred mechanics without morphology data,0 embryonic and 0 postnatal corpus papers mention it in a growth context; none measures axial cell geometry,postnatal records: NONE - embryonic or non-bone only,not measured for this compound in growth plate,not measured for this compound in growth plate,not measured for this compound in growth plate,NONE - no compound in the corpus was washed out,not measured,,,not measured against a second target in the map,8.0,vascular/devtox literature counts 15461.0/720.0; no systemic-exclusion signal in this analysis,PROBE ONLY,LECIMIBIDE,nan,10 µM,published concentration extracted from a bone or cartilage experiment - VERIFY against the source before use,"Two chemotypes plus cholesterol loading, because the anchor paper's own wording for the cholesterol phenotype is 'larger, more rounded'. Kill criterion: the ratio falls or is unchanged while volume rises - i.e. the published qualitative impression is confirmed and it is the wrong direction.","The ratio rises with volume fold <= 1.25, which would directly contradict the anchor paper's qualitative description and would need repeating before belief.",MECHANISTIC_PROBE,16.052720204688224,True,False,3.4
GP23,7-OXOCHOLESTEROL,RORA,UNKNOWN,RORalpha / lipid pathway,12.0,,,12.0,NONE - no direct measurement of terminal-cell axial geometry exists for this compound,no record,0 embryonic and 0 postnatal corpus papers mention it in a growth context; none measures axial cell geometry,postnatal records: NONE - embryonic or non-bone only,not measured for this compound in growth plate,not measured for this compound in growth plate,not measured for this compound in growth plate,NONE - no compound in the corpus was washed out,not measured,,,not measured against a second target in the map,1.0,vascular/devtox literature counts 30.0/2.0; no systemic-exclusion signal in this analysis,PROBE ONLY,SIMVASTATIN,nan,1 µM,published concentration extracted from a bone or cartilage experiment - VERIFY against the source before use,"Two chemotypes plus cholesterol loading, because the anchor paper's own wording for the cholesterol phenotype is 'larger, more rounded'. Kill criterion: the ratio falls or is unchanged while volume rises - i.e. the published qualitative impression is confirmed and it is the wrong direction.","The ratio rises with volume fold <= 1.25, which would directly contradict the anchor paper's qualitative description and would need repeating before belief.",MECHANISTIC_PROBE,6.337819744288855,True,False,3.3
GP17,BUMETANIDE,SLC12A2,CELL_SWELLING_ONLY,ion / volume regulation,1540.0,,,1540.0,NONE - no direct measurement of terminal-cell axial geometry exists for this compound,3 inferred mechanics without morphology data,0 embryonic and 0 postnatal corpus papers mention it in a growth context; none measures axial cell geometry,postnatal records: NONE - embryonic or non-bone only,not measured for this compound in growth plate,not measured for this compound in growth plate,not measured for this compound in growth plate,NONE - no compound in the corpus was washed out,AQP4,100000.0,64.94,fold over the strongest other target IN THE STAGE-62 MAP ONLY,0.0,vascular/devtox literature counts 1998.0/118.0; no systemic-exclusion signal in this analysis,PROBE ONLY,AMILORIDE,nan,0.11µM; 100 µM; 175 µM; 200 µM; 500 µM,published concentration extracted from a bone or cartilage experiment - VERIFY against the source before use,"Runs as the swelling control arm, not as a candidate arm. Kill criterion: none - it is not being tested for promotion.","Not promotable. Stage 62 classified every target in this family CELL_SWELLING_ONLY, and the brief forbids treating swelling as elongation. Its job is to calibrate gate 1's volume clause.",SWELLING_CONTROL,36.36003440160553,True,False,2.44
GP20,VISMODEGIB,SMO,,polarity / cilia,7.2,1.5,2.5500000000000003,,NONE - no direct measurement of terminal-cell axial geometry exists for this compound,no record,0 embryonic and 0 postnatal corpus papers mention it in a growth context; none measures axial cell geometry,postnatal records: NONE - embryonic or non-bone only,not measured for this compound in growth plate,not measured for this compound in growth plate,not measured for this compound in growth plate,NONE - no compound in the corpus was washed out,not measured,,,not measured against a second target in the map,10.0,vascular/devtox literature counts 1873.0/178.0; classified LOCAL_DELIVERY_CANDIDATE - systemic exposure not defensible,PROBE ONLY,CYCLOPAMINE,nan,0.0045 µM; 0.015 µM; 0.045 µM,derived: 3x/10x/30x the measured cellular potency,"Two chemotypes. Kill criterion: column coherence or straightness falls - this family's phenotype is predicted to be orientation, not per-cell shape.","Column straightness and alignment IMPROVE while the ratio also rises. If only alignment improves, that is a different and possibly better finding, and it belongs to the column-output term rather than the geometry hypothesis.",LOCAL_DELIVERY_CANDIDATE,9.945757956250718,True,False,2.34
GP15,LECIMIBIDE,SOAT1,UNKNOWN,RORalpha / lipid pathway,10.0,10.0,874.0,,NONE - no direct measurement of terminal-cell axial geometry exists for this compound,no record,0 embryonic and 0 postnatal corpus papers mention it in a growth context; none measures axial cell geometry,postnatal records: NONE - embryonic or non-bone only,not measured for this compound in growth plate,not measured for this compound in growth plate,not measured for this compound in growth plate,NONE - no compound in the corpus was washed out,not measured,,,not measured against a second target in the map,6.0,vascular/devtox literature counts 0.0/0.0; no systemic-exclusion signal in this analysis,PROBE ONLY,SIMVASTATIN,nan,0.03 µM; 0.1 µM; 0.3 µM,derived: 3x/10x/30x the measured cellular potency,"Two chemotypes plus cholesterol loading, because the anchor paper's own wording for the cholesterol phenotype is 'larger, more rounded'. Kill criterion: the ratio falls or is unchanged while volume rises - i.e. the published qualitative impression is confirmed and it is the wrong direction.","The ratio rises with volume fold <= 1.25, which would directly contradict the anchor paper's qualitative description and would need repeating before belief.",MECHANISTIC_PROBE,8.277465503183908,True,False,2.32
GP24,CL-976,SOAT1,UNKNOWN,RORalpha / lipid pathway,299.0,400.0,319.0,493.3,NONE - no direct measurement of terminal-cell axial geometry exists for this compound,no record,0 embryonic and 0 postnatal corpus papers mention it in a growth context; none measures axial cell geometry,postnatal records: NONE - embryonic or non-bone only,not measured for this compound in growth plate,not measured for this compound in growth plate,not measured for this compound in growth plate,NONE - no compound in the corpus was washed out,not measured,,,not measured against a second target in the map,7.0,vascular/devtox literature counts 1.0/0.0; no systemic-exclusion signal in this analysis,PROBE ONLY,SIMVASTATIN,nan,1.2 µM; 4 µM; 12 µM,derived: 3x/10x/30x the measured cellular potency,"Two chemotypes plus cholesterol loading, because the anchor paper's own wording for the cholesterol phenotype is 'larger, more rounded'. Kill criterion: the ratio falls or is unchanged while volume rises - i.e. the published qualitative impression is confirmed and it is the wrong direction.","The ratio rises with volume fold <= 1.25, which would directly contradict the anchor paper's qualitative description and would need repeating before belief.",MECHANISTIC_PROBE,5.191319340650036,True,False,2.2800000000000002
GP25,ATORVASTATIN LACTONE,HMGCR,UNKNOWN,RORalpha / lipid pathway,10.6,,,,NONE - no direct measurement of terminal-cell axial geometry exists for this compound,no record,0 embryonic and 0 postnatal corpus papers mention it in a growth context; none measures axial cell geometry,postnatal records: NONE - embryonic or non-bone only,not measured for this compound in growth plate,not measured for this compound in growth plate,not measured for this compound in growth plate,NONE - no compound in the corpus was washed out,not measured,,,not measured against a second target in the map,2.0,vascular/devtox literature counts 17.0/0.0; no systemic-exclusion signal in this analysis,PROBE ONLY,SIMVASTATIN,nan,0.0318 µM; 0.106 µM; 0.318 µM,derived: 3x/10x/30x the measured biochemical potency,"Two chemotypes plus cholesterol loading, because the anchor paper's own wording for the cholesterol phenotype is 'larger, more rounded'. Kill criterion: the ratio falls or is unchanged while volume rises - i.e. the published qualitative impression is confirmed and it is the wrong direction.","The ratio rises with volume fold <= 1.25, which would directly contradict the anchor paper's qualitative description and would need repeating before belief.",MECHANISTIC_PROBE,4.937774255813971,True,False,2.26
