compound,final_class,causal_class,is_canonical_control,rank1_human_signal_strength,rank2_true_skeletal_elongation_likelihood,rank3_mechanistic_interpretability,rank4_safety_translational_suitability,rank5_experimental_testability,paediatric_cases,ic025,ror,suspect_fraction,international_replication,serial_auxology_records,case_records,clean_natural_experiments,positive_dechallenge_cases,positive_rechallenge_cases,negative_control_terms,negative_to_positive_ratio,endocrine_comedication_fraction,top_indications,target_has_human_tall_stature_genetics,net_causal_score,display_order
ESOMEPRAZOLE,CATCH_UP_GROWTH_SIGNAL,CATCH_UP_GROWTH_ONLY,False,5.197,4.0,-1.5,1.0,1.5,8,0.104,27.954,1.0,FDA_ONLY_SIGNAL,0,39,0,0,0,4,0.5,0.0,CYSTIC FIBROSIS (95); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); PRODUCT USED FOR UNKNOWN INDICATION (5); SHORT-BOWEL SYNDROME (1),False,0.0,2.7611940298507465
HUMAN IMMUNOGLOBULIN G,CATCH_UP_GROWTH_SIGNAL,CATCH_UP_GROWTH_ONLY,False,7.111,2.5,-1.5,0.72,1.5,60,2.603,32.896,1.0,TOO_SPARSE,0,5,0,25,0,47,0.78,0.0,PRIMARY IMMUNODEFICIENCY SYNDROME (64); PRODUCT USED FOR UNKNOWN INDICATION (7); IMMUNODEFICIENCY (6); BRUTON'S AGAMMAGLOBULINAEMIA (1),False,-2.0,2.7313432835820897
TEDUGLUTIDE,CATCH_UP_GROWTH_SIGNAL,CATCH_UP_GROWTH_ONLY,False,6.434,2.5,-1.5,1.27,1.5,30,2.002,42.766,1.0,FDA_ONLY_SIGNAL,1,32,0,3,0,7,0.23,0.033,SHORT-BOWEL SYNDROME (37); PRODUCT USED FOR UNKNOWN INDICATION (8); GASTROSTOMY (4); OVERGROWTH BACTERIAL (2),False,-7.0,2.716417910447761
IDURSULFASE,CATCH_UP_GROWTH_SIGNAL,CATCH_UP_GROWTH_ONLY,False,6.401,2.5,-1.5,0.88,1.5,29,1.993,57.923,1.0,FDA_ONLY_SIGNAL,1,16,0,16,0,18,0.62,0.069,MUCOPOLYSACCHARIDOSIS II (29); PREMEDICATION (8); MUCOPOLYSACCHARIDOSIS (4); PRODUCT USED FOR UNKNOWN INDICATION (3),False,-2.0,2.701492537313433
ICATIBANT,PATHOLOGICAL_OVERGROWTH_SIGNAL,PATHOLOGICAL_OVERGROWTH,False,5.398,2.5,-1.5,-2.0,1.5,10,0.379,124.78,1.0,TOO_SPARSE,0,3,0,13,0,10,1.0,0.0,HEREDITARY ANGIOEDEMA (19); IMMUNE SYSTEM DISORDER (1),False,-6.0,2.671641791044776
COLISTIMETHATE,CATCH_UP_GROWTH_SIGNAL,CATCH_UP_GROWTH_ONLY,False,3.079,4.0,-1.5,1.5,1.5,7,-0.189,287.162,1.0,TOO_SPARSE,0,5,0,0,0,0,0.0,0.0,CYSTIC FIBROSIS (95); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); PRODUCT USED FOR UNKNOWN INDICATION (1),False,-2.0,2.664179104477612
LOPERAMIDE,CATCH_UP_GROWTH_SIGNAL,CATCH_UP_GROWTH_ONLY,False,4.648,2.5,-1.5,1.42,1.5,12,0.709,38.012,0.083,FDA_ONLY_SIGNAL,0,83,0,0,0,1,0.08,0.167,SHORT-BOWEL SYNDROME (18); PRODUCT USED FOR UNKNOWN INDICATION (16); GASTROSTOMY (4); OVERGROWTH BACTERIAL (2),False,-7.0,2.626865671641791
ALBUTEROL,PATHOLOGICAL_OVERGROWTH_SIGNAL,PATHOLOGICAL_OVERGROWTH,False,3.098,2.5,-1.5,-3.5,1.5,10,-0.354,2.777,0.7,TOO_SPARSE,2,42,0,5,0,25,2.5,0.0,CYSTIC FIBROSIS (95); PRODUCT USED FOR UNKNOWN INDICATION (25); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); ASTHMA (2),False,-7.0,2.611940298507463
MONTELUKAST,PATHOLOGICAL_OVERGROWTH_SIGNAL,PATHOLOGICAL_OVERGROWTH,False,3.072,2.5,-1.5,-2.62,1.5,8,-0.277,4.337,0.875,TOO_SPARSE,2,51,0,0,0,13,1.62,0.0,CYSTIC FIBROSIS (95); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); PRODUCT USED FOR UNKNOWN INDICATION (1); PRIMARY IMMUNODEFICIENCY SYNDROME (1),False,-3.5,2.4850746268656714
CETIRIZINE,PATHOLOGICAL_OVERGROWTH_SIGNAL,PATHOLOGICAL_OVERGROWTH,False,3.072,2.5,-1.5,-3.75,1.5,8,-0.623,2.502,0.875,TOO_SPARSE,1,39,0,0,0,22,2.75,0.0,CYSTIC FIBROSIS (95); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); SHORT-BOWEL SYNDROME (1); PRODUCT USED FOR UNKNOWN INDICATION (1),False,-5.5,2.4850746268656714
