mouse_gene,crispr_tier,CRISPR_CAUSAL,crispr_in_secondary_library,crispr_lfc_primary_D4,crispr_lfc_primary_D15,crispr_lfc_secondary_D4,crispr_lfc_secondary_D15,crispr_max_abs_lfc,crispr_guide_consistency_D15,crispr_guide_FDR_D15,crispr_d4_concordant,crispr_cross_library_agree,crispr_effect_class,crispr_direction,human_gene,ortholog_one2one,ortholog_type,fg_young_tibia_lfc,fg_tibia_vs_phalanx_lfc,fg_young_tibia_FDR,fg_tibia_vs_phalanx_FDR,fg_PZ_vs_HZ_lfc,fg_zone_bias,fg_rat_concordant,FAST_GROWTH,fg_score,mouse_zone_top,mouse_zone_specificity,human_zone_top,human_zone_specificity,human_zonal_detected,human_mouse_zone_concordant,height_n_loci,height_n_studies,height_neglog10p,HEIGHT_GWAS,cd200_D4_log2FC,cd200_D4_FDR,cd200_D15_log2FC,cd200_D15_FDR,maturation_slope,maturation_slope_FDR,sc_GSE125464_top_state,sc_GSE125464_max_expr,sc_GSE201605_top_state,sc_GSE201605_max_expr,sc_GSE231795_top_state,sc_GSE231795_max_expr,sc_GSE244881_top_state,sc_GSE244881_max_expr,sc_GSE271634_top_state,sc_GSE271634_max_expr,sc_GSE288529_top_state,sc_GSE288529_max_expr,sc_consensus_state,sc_n_datasets_agree,sc_n_datasets_detected,sc_expr_max,pert_Dnmt1cKO_log2FC,pert_Dnmt1cKO_FDR,pert_Idh1mut_log2FC,pert_Idh1mut_FDR,pert_Adamts17KO_log2FC,pert_Adamts17KO_FDR,pert_STAT3KD_log2FC,pert_STAT3KD_FDR,pert_n_significant,gp_specificity_score,human_ensembl,sc_crispr,sc_fastgrowth,sc_height,sc_human_zonal,sc_gp_specificity,sc_perturbation,screen_effect,inhibitor_effect_on_maturation,desired_intervention_direction,plate_exhaustion_risk,ensembl,ot_symbol,biotype,target_classes,tractability_buckets,has_smallmolecule_tractability,has_antibody_tractability,ot_is_essential,depmap_n_screens,depmap_mean_gene_effect,depmap_frac_essential,n_safety_liabilities,safety_events,n_mouse_phenotypes,mouse_skeletal_phenotypes,chembl_target_ids,n_compounds_chembl,n_compounds_dgidb,n_approved_compounds,pubmed_total,pubmed_growthplate,obscurity_ratio,n_cancer_hallmarks,hallmark_labels,is_tumour_suppressor,is_oncogene,_annotated,TRACTABLE,tractable_class,sc_tractability,n_compounds,n_direction_matched,has_direction_matched_compound,n_direct_compounds,n_approved,best_pchembl,any_oral,any_black_box,any_withdrawn,strongest_compound,COMPOUND_MAPPED,sc_compound,sc_exposure,pen_essentiality,pen_safety,plate_disorganising_phenotype,pen_development,pen_plate_exhaustion,BLACKLIST,blacklist_reasons,SORT_MARKER_ARTIFACT,EXCLUDED_OBVIOUS,score_positive,score_penalty,total_score,novelty_growthplate_papers
Eif4e2,A_secondary_validated,True,True,-1.0090154175,-0.47989794425,-0.519868954,-0.397015306,1.0090154175,0.75,0.5115845822453193,True,True,KO_blocks_maturation,-1.0,EIF4E2,True,ortholog_one2one,-0.0668983624344745,0.2424981668364783,0.6322823158370807,0.6274470336676637,0.073084538919339,shared,True,False,0.29431133371095,proliferative,0.0811709240584281,proliferative,0.3247928673780507,True,True,6.0,5.0,159.39794000867204,True,0.1267738816844321,0.2586924555518919,0.0860884684495344,0.2814337066484614,-0.0126528658586251,0.6998606194336205,prehypertrophic,6.864767228952656,hypertrophic,7.372561759555669,hypertrophic,6.454509066492995,prehypertrophic,6.539536187268241,resting,6.898069929210899,prehypertrophic,6.746079642427934,prehypertrophic,3.0,6.0,7.372561759555669,0.012705858280065,0.989738581105506,-0.0284678117115991,0.9995736419097077,0.6078847031198387,1.0,0.1402186908346658,0.8910728892771881,0,-0.4585419357881456,ENSG00000135930,1.3317625821058998,0.07337017124913939,0.4600154048016031,0.6263014296359652,0.28668396818253844,0.0,gene_drives_maturation,delays,"inhibit (delay hypertrophic transition, prolong growth window)",0.0,ENSG00000135930,EIF4E2,protein_coding,,SM:Structure with Ligand; SM:Med-Quality Pocket; PR:UniProt Ubiquitination; PR:Database Ubiquitination,True,False,False,1258.0,-0.2537,0.148,0.0,,5.0,,,0.0,2.0,2.0,106.0,0.0,0.0,0.0,,False,False,True,True,small-molecule pocket,0.8,2,0,False,0,2,,False,False,False,PACLITAXEL PROTEIN-BOUND,True,0.0,0.3,0.0,0.0,False,0.0,0.0,False,,False,False,4.8152959775570245,0.0,4.8152959775570245,0.0
Gsk3b,A_secondary_validated,True,True,-0.040511083,2.5871535985,-0.062336254,-0.194877945,2.5871535985,1.0,0.1170925519756872,False,False,KO_blocks_maturation,-1.0,GSK3B,True,ortholog_one2one,-0.4184960270314999,0.5163340472985567,0.0110427595008582,0.0750605874616045,-3.125606799388521,hypertrophic,False,False,0.2517093026759716,proliferative,0.0930226213276768,proliferative,0.26087702440703,True,True,,,,False,0.0717896450060457,0.2863544515044843,-0.0908265090416149,0.1076381273402108,-0.0344401033092956,0.6797045602696425,proliferative,6.115590152397628,hypertrophic,7.615254195667005,hypertrophic,6.760627993952591,hypertrophic,7.989592829053448,prehypertrophic,8.186980969507236,hypertrophic,8.845166024659907,hypertrophic,4.0,6.0,8.845166024659907,-0.1189580944300701,0.8450061351672146,-0.1149512308506488,0.9995736419097077,-0.1190794294839321,1.0,-0.2850467018339353,0.87984546525338,0,-0.5245470040827597,ENSG00000082701,1.0814404588549622,0.007175865219347322,0.0,0.6211250688378238,0.3649905142715552,0.0,gene_drives_maturation,delays,"inhibit (delay hypertrophic transition, prolong growth window)",0.0,ENSG00000082701,GSK3B,protein_coding,CMGC protein kinase GSK family; CMGC protein kinase group; Enzyme; Kinase; Protein Kinase,SM:Approved Drug; SM:Structure with Ligand; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Druggable Family; AB:UniProt loc high conf; AB:GO CC high conf; PR:Literature; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,True,False,1258.0,0.0091,0.024,14.0,Carcinogenicity; Mitochondrial toxicity; abnormal bone development; cardiac dysfunction; female infertility; heart disease; insulin resistance; male infertility,33.0,abnormal skeleton physiology; delayed bone ossification; increased bone mass; increased bone ossification; increased bone resorption; increased compact bone mass; increased compact bone thickness; increased trabecular bone mass; increased trabecular bone volume,CHEMBL262,3.0,77.0,7.0,1044.0,11.0,0.0105363984674329,0.0,,False,False,True,True,enzyme; kinase,1.0,80,47,True,3,7,,False,False,False,LITHIUM CARBONATE,True,0.65,0.3,0.0,0.3,False,0.0,0.0,False,,False,False,4.788949249416775,0.3,4.488949249416775,11.0
Nedd4,A_secondary_validated,True,True,-0.71536770025,0.58255024125,-0.470824844,-0.026229669,0.71536770025,0.75,0.421296567959646,False,False,KO_blocks_maturation,-1.0,NEDD4,True,ortholog_one2one,-0.3995810611150583,0.2181836544894952,0.050402342586833,0.2388338991486178,0.6842622663538211,proliferative,True,False,0.0623637440324002,proliferative,0.1247081716810125,proliferative,0.3007798430212354,True,True,8.0,6.0,54.39794000867204,True,-0.044300987742945,0.4617646283949778,-0.0162604822602254,0.7218637651422151,0.0944168972604251,0.0704472709983379,prehypertrophic,9.514309829696384,hypertrophic,10.001360310216985,resting,8.875749528576247,prehypertrophic,10.524988655861796,prehypertrophic,10.055556095023068,prehypertrophic,9.71727654923443,prehypertrophic,4.0,6.0,10.524988655861796,-0.2133538418938309,0.405327061880988,-0.0768108564439919,0.9995736419097077,0.3582387938264517,1.0,-0.2954309464564773,0.87984546525338,0,-0.4412385012398965,ENSG00000069869,1.0225189079582122,0.07303225500211098,0.36244360952363325,0.6243566836677115,0.3713350894724233,0.0,gene_drives_maturation,delays,"inhibit (delay hypertrophic transition, prolong growth window)",0.0,ENSG00000069869,NEDD4,protein_coding,Enzyme; Ligase,SM:Structure with Ligand; SM:Med-Quality Pocket; AB:GO CC high conf; AB:UniProt loc med conf; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,True,False,1258.0,0.0425,0.0,0.0,,68.0,abnormal craniofacial bone morphology; abnormal frontal bone morphology; abnormal temporal bone tympanic part morphology; absent palate bones; centrally nucleated skeletal muscle fibers; decreased bone mass; decreased bone mineral density; decreased bone ossification; increased variability of skeletal muscle fiber size; small basioccipital bone,CHEMBL3621023,0.0,1.0,1.0,1710.0,10.0,0.0058479532163742,0.0,,False,False,True,True,enzyme; ligase,1.0,1,0,False,0,1,,False,False,False,WARFARIN,True,0.0,0.3,0.0,0.0,False,0.0,0.0,False,,False,False,4.38457837704955,0.0,4.38457837704955,10.0
Bmpr2,A_secondary_validated,True,True,0.67352675225,1.20767625125,0.121913131,0.327546777,1.20767625125,0.75,0.5039848886667488,True,True,KO_promotes_maturation,1.0,BMPR2,True,ortholog_one2one,-0.2374627696251803,-0.1076525854214249,0.139565183370286,0.6677130400670878,-0.6242162799744193,hypertrophic,True,False,-0.0529369445930937,hypertrophic,0.0786307676698676,proliferative,0.2219535648946937,True,False,5.0,4.0,118.30102999566398,True,0.0391915256021793,0.6013226341158696,-0.0046065301267423,0.9317591411010546,0.00065447982119,0.9939981215027056,prehypertrophic,5.5142670151676505,hypertrophic,5.857328944243465,hypertrophic,4.335955453202985,hypertrophic,6.77672164123894,prehypertrophic,7.781133472502343,resting,6.509817052131687,hypertrophic,3.0,6.0,7.781133472502343,-0.3209294549731735,0.2725533517505568,-0.14611082776405,0.9904551691981348,-1.7981219906649406,1.0,-0.0058382227521631,0.9931930264462576,0,-0.5880199921778273,ENSG00000204217,1.338016184314323,0.06999999999999999,0.387986807671837,0.017972769492588612,0.2768232308316817,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,ENSG00000204217,BMPR2,protein_coding,Enzyme; Kinase; Protein Kinase; TKL protein kinase STKR Type 2 subfamily; TKL protein kinase STKR family; TKL protein kinase group,SM:Structure with Ligand; SM:High-Quality Ligand; SM:Med-Quality Pocket; SM:Druggable Family; AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt SigP or TMHMM; AB:Human Protein Atlas loc; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; OC:Approved Drug,True,True,False,1258.0,-0.034,0.01,0.0,,44.0,delayed bone ossification,CHEMBL5467,2.0,4.0,3.0,1291.0,11.0,0.0085205267234701,0.0,,False,False,True,True,enzyme; kinase,1.0,6,4,True,2,3,,False,False,False,EPTOTERMIN ALFA,True,0.6333333333333333,0.3,0.0,0.0,False,0.0,0.8,False,,False,False,5.105591948358864,0.8,4.305591948358864,11.0
Krit1,A_secondary_validated,True,True,-0.714212966,-1.016780082,-0.72067872,-1.175765273,1.175765273,0.75,0.505667857797042,True,True,KO_blocks_maturation,-1.0,KRIT1,True,ortholog_one2one,-0.3351381894222838,-0.0210617389391911,0.237704481987646,0.9134079430035832,-0.0215301616765284,shared,False,False,-0.0576600930177692,resting,0.2047120987779891,proliferative,0.4647258740703037,True,False,1.0,1.0,12.154901959985745,True,-0.1967924454785272,0.0270007157460771,0.1927846733228815,0.0584406470007261,-0.2151400569676254,0.0005115383669541,resting,5.564165402324576,resting,6.400543738623747,hypertrophic,6.039354054975531,resting,6.187222170001464,prehypertrophic,5.705438042180522,resting,5.209570826786149,resting,4.0,6.0,6.400543738623747,0.3518568131360406,0.4309411988687976,0.092787111128671,0.9995736419097077,0.5733480911541016,1.0,0.2745618246328076,0.8798866556667231,0,-0.1530080352565013,ENSG00000001631,1.3370116654049327,0.0,0.10808105686187935,0.037634202490674666,0.393286028502767,0.0,gene_drives_maturation,delays,"inhibit (delay hypertrophic transition, prolong growth window)",0.0,ENSG00000001631,KRIT1,protein_coding,,SM:Structure with Ligand; AB:GO CC high conf; AB:UniProt loc med conf; PR:Database Ubiquitination; PR:Half-life Data,True,True,False,1258.0,0.0449,0.006,0.0,,26.0,,,0.0,0.0,0.0,424.0,0.0,0.0,0.0,,False,False,True,True,small-molecule pocket,1.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.0,False,,False,False,4.105224361094122,0.0,4.105224361094122,0.0
Pdcd10,A_secondary_validated,True,True,-1.00698105425,-2.30505222675,-0.920198886,-1.344067842,2.30505222675,1.0,0.1365094289122166,True,True,KO_blocks_maturation,-1.0,PDCD10,True,ortholog_one2one,-0.7161372582879917,0.3669580766460014,0.0286023301534141,0.2443712614079876,-0.4009888633316247,shared,True,False,-0.0421009219552864,hypertrophic,0.1165817423991733,prehypertrophic,0.0392970421733771,True,False,,,,False,-0.0157383755182047,0.952950275146798,0.2812120302304643,0.0478327807510679,-0.4181513140661921,0.0077335556148164,proliferative,6.374791845541477,hypertrophic,7.312371607454374,hypertrophic,7.259896576950968,hypertrophic,7.036178813149507,prehypertrophic,6.770233826307544,hypertrophic,6.806745006805468,hypertrophic,4.0,6.0,7.312371607454374,0.2344216605375011,0.7899136016250379,0.1385879872380683,0.9995736419097077,1.9905786796323648,1.0,0.3760287796347685,0.87984546525338,0,-0.7722503927687361,ENSG00000114209,1.3725602496658924,0.07509988003491086,0.0,0.0031799416147156867,0.3461260199714674,0.0,gene_drives_maturation,delays,"inhibit (delay hypertrophic transition, prolong growth window)",0.0,ENSG00000114209,PDCD10,protein_coding,Unclassified protein,SM:Med-Quality Pocket; AB:UniProt loc med conf; AB:GO CC med conf; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data,True,True,False,1258.0,0.2298,0.016,0.0,,11.0,,CHEMBL6066262,0.0,0.0,0.0,311.0,0.0,0.0,0.0,,False,False,True,True,small-molecule pocket,1.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.0,False,,False,False,4.099665148635642,0.0,4.099665148635642,0.0
Mast3,A_secondary_validated,True,True,0.160026062,0.8553359985,-0.111873545,-0.261090535,0.8553359985,0.75,0.6115553896605079,False,False,KO_blocks_maturation,-1.0,MAST3,True,ortholog_one2one,-0.0140620157399657,-0.1435803053953854,0.3109641874359391,0.6622792025222176,-0.0747224861763147,shared,True,False,0.0674857978502198,hypertrophic,0.2068815635304233,prehypertrophic,0.2333017009508022,True,False,1.0,1.0,12.522878745280336,True,-0.1385764710139927,0.3437975206720205,0.3043174186097861,0.0177902401779648,0.1145404820656778,0.0748310453019293,proliferative,3.241538853024304,resting,3.192715248189157,resting,2.3065246801454924,resting,4.957107372957567,proliferative,2.6932768013619017,resting,3.926853954611705,resting,4.0,6.0,4.957107372957567,-0.7705460440574652,0.5248102129262973,-0.0136919992009958,0.9995736419097077,-0.6750646644371816,1.0,0.5338638008395074,0.7645174513591254,0,-0.4358842984851352,ENSG00000099308,1.0269249403024987,0.06999999999999999,0.1085410278365478,0.0188918224829317,0.37174285267616675,0.0,gene_drives_maturation,delays,"inhibit (delay hypertrophic transition, prolong growth window)",0.0,ENSG00000099308,MAST3,protein_coding,AGC protein kinase MAST family; AGC protein kinase group; Enzyme; Kinase; Protein Kinase,SM:High-Quality Ligand; SM:Druggable Family; PR:Literature; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,False,False,1258.0,-0.1735,0.009,1.0,neutropenia,4.0,,CHEMBL2417352,0.0,1.0,0.0,43.0,0.0,0.0,0.0,,False,False,True,True,enzyme; kinase,0.8,1,1,True,0,0,,False,False,False,COMPOUND 35 [PMID: 23916259],True,0.6,0.0,0.0,0.021428571428571425,False,0.0,0.0,False,,False,False,3.923190443001514,0.021428571428571425,3.9017618715729427,0.0
Alad,A_secondary_validated,True,True,0.01795538975,0.0255646465,-0.118869992,-0.093977221,0.118869992,0.5,0.9714052539501872,False,False,KO_blocks_maturation,-1.0,ALAD,True,ortholog_one2one,0.1911514719004139,-0.0205254801372656,0.476772766355389,0.8195356319048983,0.1750307426468103,shared,False,False,0.2836252803474875,resting,0.0114526351196744,resting,0.1443385202925107,True,True,3.0,4.0,14.69897000433602,True,0.0876139709622303,0.6016074540518448,-1.0355839931634554,2.690318371390856e-05,-0.1327004115542581,0.0014215312035685,resting,5.570155510404966,resting,4.868765182073783,resting,4.696593716983493,hypertrophic,4.42993894893075,prehypertrophic,4.893782541657653,prehypertrophic,4.392449209685464,resting,3.0,6.0,5.570155510404966,0.0051373286713141,0.9977712195963976,-0.0215694528603568,0.9995736419097077,1.3744308393883533,1.0,-0.3693280060933483,0.87984546525338,0,-0.7560381356469734,ENSG00000148218,1.0037418832411722,0.0062600080689047275,0.20414857151072954,0.611686949646531,0.26402737314641106,0.0,gene_drives_maturation,delays,"inhibit (delay hypertrophic transition, prolong growth window)",0.0,ENSG00000148218,ALAD,protein_coding,Enzyme; Lyase,SM:Structure with Ligand; AB:GO CC high conf; PR:Database Ubiquitination; PR:Half-life Data,True,True,False,1258.0,-0.0866,0.044,0.0,,14.0,,CHEMBL3126,0.0,1.0,0.0,1200.0,0.0,0.0,0.0,,False,False,True,True,enzyme; lyase,1.0,1,0,False,0,0,,False,False,False,PORPHOBILINOGEN,True,0.0,0.0,0.0,0.0,False,0.0,0.0,False,,False,False,3.8776340899941864,0.0,3.8776340899941864,0.0
Lgr4,A_secondary_validated,True,True,0.58597803,1.596570343,0.252975842,0.154565619,1.596570343,1.0,0.212029237953313,True,True,KO_promotes_maturation,1.0,LGR4,True,ortholog_one2one,0.4028232579053048,-0.5145671762293693,0.0917686968399617,0.0876752832033436,1.1839432058240806,proliferative,True,False,0.0866902420684552,hypertrophic,0.1024336625491013,proliferative,0.0175979968122792,True,False,1.0,1.0,13.69897000433602,True,-0.0605740923708504,0.7288311891638415,0.1546589736586785,0.0692143116136423,-0.3762041254108815,0.0081415201684034,prehypertrophic,6.176383452031147,resting,6.328881139393594,hypertrophic,5.21633117037643,resting,5.536272845409286,prehypertrophic,7.363529761410467,proliferative,5.863075032871722,prehypertrophic,2.0,6.0,7.363529761410467,-0.1521170472650832,0.855009550120152,0.0568896482916985,0.9995736419097077,-2.0859331441015945,1.0,0.052501794124276,0.9699163110175976,0,-0.814232974401168,ENSG00000205213,1.3502580988633728,0.08319203467155849,0.11001114188815514,0.0014225981683465658,0.17626206086520477,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,ENSG00000205213,LGR4,protein_coding,Unclassified protein,SM:Structure with Ligand; SM:Druggable Family; AB:Advanced Clinical; AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt SigP or TMHMM; PR:Database Ubiquitination,True,True,False,1258.0,0.09,0.002,0.0,,95.0,,CHEMBL6067594,0.0,5.0,0.0,412.0,4.0,0.0097087378640776,0.0,,False,False,True,True,small-molecule pocket,1.0,5,4,True,0,0,,False,False,False,R-SPONDIN-2,True,0.6,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,4.613864873135668,0.8,3.8138648731356684,4.0
Smurf2,A_secondary_validated,True,True,0.46600924875,1.5240927895,0.115002132,0.457056306,1.5240927895,1.0,0.1125710802518137,True,True,KO_promotes_maturation,1.0,SMURF2,True,ortholog_one2one,-0.3456559507695909,-0.07350853104872,0.059919950933695,0.4411379794674083,-0.1933055226961215,shared,True,False,-0.099935949430708,hypertrophic,0.222229472842514,perichondrium,0.6740616730763413,True,False,6.0,5.0,121.09691001300806,True,-0.0590414070847193,0.5977581930947479,0.2013169295914627,0.0351024369528339,-0.0038931097142741,0.932862118213082,prehypertrophic,5.175954991708028,resting,4.770355460135859,proliferative,3.4212597802104363,hypertrophic,5.552553576812731,prehypertrophic,6.964018285506564,prehypertrophic,6.909531647108211,prehypertrophic,3.0,6.0,6.964018285506564,0.2139171522514698,0.7474068427520865,-0.1879102509752423,0.8343005629457847,0.4105456546393995,1.0,0.209422356821193,0.87984546525338,0,0.1238523263944261,ENSG00000108854,1.3479765933442776,0.06999999999999999,0.41213911803039616,0.05458770843307114,0.33103771440146906,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,ENSG00000108854,SMURF2,protein_coding,Enzyme; Transferase,SM:High-Quality Pocket; AB:UniProt loc high conf; AB:GO CC med conf; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Small Molecule Binder,True,True,False,1257.0,-0.1961,0.04,0.0,,5.0,,CHEMBL4523460,0.0,0.0,0.0,474.0,16.0,0.0337552742616033,0.0,,False,False,True,True,enzyme; transferase,1.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,4.4041648193805045,0.8,3.6041648193805047,16.0
