compound,chembl_id,compound_family,primary_target_queried,target_family,target_geometry_class,final_class,classification_basis,n_activities,biochemical_n,cellular_n,mouse_n,human_n,biochemical_potency_nM,cellular_potency_nM,mouse_potency_nM,human_potency_nM,primary_target_potency_nM,strongest_offtarget,strongest_offtarget_potency_nM,selectivity_fold,species_gap_fold,selectivity_scope,targets_hit_under_1uM,targets_measured,promiscuity_evidence,source,broad_poison_class,cytoskeletal_breadth,reversible,mechanism_site,clinical_phase,human_exposure_precedent,vendor,catalog_no,orthogonal_compound_available,inactive_analogue_available,inactive_analogue_candidate,stage61_records,stage61_best_class,cartilage_records,geometry_records,proliferation_records,apoptosis_records,matrix_records,vascular_records,devtox_records,rank1_existing_geometry_evidence,rank2_mechanistic_cleanliness,rank3_postnatal_transfer,rank4_translational_suitability,rank5_experimental_falsifiability,composite_for_display
Y-27632,CHEMBL559147,ROCK1/2 inhibitor,ROCK1,A cortical tension,UNKNOWN,MECHANISTIC_PROBE,"appears in the geometry corpus without an axial measurement; usable as a probe, not a candidate",2.0,2.0,0.0,0.0,2.0,150.0,,,150.0,150.0,ROCK2,272.0,1.81,,fold over the strongest other target IN THE STAGE-62 MAP ONLY,8.0,17.0,profiled against 5 or more targets,ChEMBL target activity,,pathway-level - modulates a regulator,True,ATP-competitive (typical for class),,False,,,,,,33,2 general morphology without axial measurement,1007.0,1785.0,10714.0,6741.0,5338.0,6551.0,155.0,126.34062157835028,0.17627926011599082,2.982279303472488,-6.803842833804104,0.0,122.69533730813464
cytochalasin D,,actin depolymeriser,,,UNKNOWN,DISORGANIZATION_CONTROL,brief hard-reject: actin depolymeriser; retained as the disorganisation control,,,,,,,,,,,,,,,not measured against a second target in the map,,,"sparsely profiled - a low hit count may mean untested, not clean","named reference, not reachable by ChEMBL target query",cytochalasin-family actin depolymerizer,,True,,,False,,,,,,25,2 general morphology without axial measurement,,,,,,,,70.58149502858697,-1.9071719190858716,-0.4112829642573846,0.1643932437544851,0.0,68.42743338899821
FASUDIL,CHEMBL38380,ROCK1/2 inhibitor,ROCK1,A cortical tension,UNKNOWN,MECHANISTIC_PROBE,"appears in the geometry corpus without an axial measurement; usable as a probe, not a candidate",6.0,6.0,0.0,0.0,6.0,255.0,,,255.0,255.0,MYLK,1900.0,7.45,,fold over the strongest other target IN THE STAGE-62 MAP ONLY,22.0,350.0,profiled against 5 or more targets,ChEMBL target activity,,pathway-level - modulates a regulator,True,ATP-competitive (typical for class),,False,,,,,,11,2 general morphology without axial measurement,178.0,311.0,2310.0,2146.0,1245.0,2611.0,49.0,36.7331050915009,2.39992314226801,0.18857213371274184,-2.4550472589527956,0.0,36.866553108528855
BUMETANIDE,CHEMBL1072,ion / volume regulation,SLC12A2,E ion and water mechanics,CELL_SWELLING_ONLY,SWELLING_CONTROL,target changes cell volume by osmosis; volume is not axial geometry and this is the swelling control arm,1.0,1.0,0.0,0.0,1.0,1540.0,,,1540.0,1540.0,AQP4,100000.0,64.94,,fold over the strongest other target IN THE STAGE-62 MAP ONLY,0.0,9.0,profiled against 5 or more targets,ChEMBL target activity,,narrow / non-cytoskeletal,True,allosteric / extracellular,Launched,True,MicroSource,1502004,True,False,,4,3 inferred mechanics without morphology data,175.0,156.0,1168.0,963.0,606.0,1998.0,118.0,14.328785049526727,21.487404970292687,0.17846221633122283,-1.3346178345451163,1.7,36.36003440160553
HYDROXYFASUDIL,CHEMBL1233300,ROCK1/2 inhibitor,ROCK1,A cortical tension,UNKNOWN,MECHANISTIC_PROBE,"appears in the geometry corpus without an axial measurement; usable as a probe, not a candidate",2.0,2.0,0.0,0.0,2.0,150.0,,,150.0,150.0,MYLK,30000.0,200.0,,fold over the strongest other target IN THE STAGE-62 MAP ONLY,2.0,302.0,profiled against 5 or more targets,ChEMBL target activity,,pathway-level - modulates a regulator,True,ATP-competitive (typical for class),,False,,,,,,1,3 inferred mechanics without morphology data,12.0,30.0,157.0,145.0,87.0,191.0,5.0,3.1900462450646216,22.04518231824009,-0.37084329473130867,-0.04471199313568542,0.0,24.81967327543772
BAY-549,CHEMBL1971943,ROCK1/2 inhibitor,ROCK2,A cortical tension,UNKNOWN,MECHANISTIC_PROBE,"clean and orderable, but no geometry evidence",1.0,1.0,0.0,0.0,0.0,1.0,,,,1.0,PRKCI,5011.87,5011.87,,fold over the strongest other target IN THE STAGE-62 MAP ONLY,54.0,180.0,profiled against 5 or more targets,ChEMBL target activity,,pathway-level - modulates a regulator,True,ATP-competitive (typical for class),,False,,,,,,0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.16374352744057394,24.456949633197752,-0.4112829642573846,0.1643932437544851,0.0,24.04631638525428
AMILORIDE,CHEMBL945,ion / volume regulation,SLC9A1,E ion and water mechanics,CELL_SWELLING_ONLY,SWELLING_CONTROL,target changes cell volume by osmosis; volume is not axial geometry and this is the swelling control arm,5.0,5.0,0.0,0.0,1.0,1000.0,,,60000.0,1000.0,,,,,not measured against a second target in the map,4.0,36.0,profiled against 5 or more targets,ChEMBL target activity,,narrow / non-cytoskeletal,True,allosteric / extracellular,Launched,True,MicroSource,1500112,False,False,,4,3 inferred mechanics without morphology data,742.0,474.0,5035.0,3939.0,2715.0,5735.0,230.0,21.534528384864178,3.6255037072435985,2.0892366014383112,-5.600946284428217,0.5,22.14832240911787
MALEIMIDE,CHEMBL201511,FAK / adhesion turnover,PTK2,B adhesion and matrix coupling,UNKNOWN,LOCAL_DELIVERY_CANDIDATE,clean at its target but carries a systemic vascular or developmental-toxicity literature; only a local-exposure experiment is defensible,2.0,2.0,0.0,0.0,2.0,682.0,,,682.0,682.0,,,,,not measured against a second target in the map,10.0,29.0,profiled against 5 or more targets,ChEMBL target activity,,narrow / non-cytoskeletal,True,ATP-competitive (typical for class),,False,,,,,,0,,1236.0,1202.0,8193.0,6712.0,4038.0,6722.0,150.0,23.999208186030362,0.920267138391232,3.7540029969284365,-6.873979647223006,0.0,21.799498674127026
TANNIC ACID,CHEMBL506247,RORalpha / lipid pathway,HMGCR,F lipid and nuclear signaling,UNKNOWN,LOCAL_DELIVERY_CANDIDATE,clean at its target but carries a systemic vascular or developmental-toxicity literature; only a local-exposure experiment is defensible,1.0,1.0,0.0,0.0,1.0,3127.0,,,3127.0,3127.0,,,,,not measured against a second target in the map,13.0,34.0,profiled against 5 or more targets,ChEMBL target activity,,narrow / non-cytoskeletal,True,not determined,,False,,,,,,0,,1569.0,1095.0,7012.0,4831.0,4770.0,4836.0,261.0,23.33976851954674,0.09282808091412835,4.876203826277044,-6.790445606175284,0.0,21.518354820562628
ENMD-2076,CHEMBL482968,FAK / adhesion turnover,PTK2,B adhesion and matrix coupling,UNKNOWN,MECHANISTIC_PROBE,"clean and orderable, but no geometry evidence",1.0,1.0,0.0,0.0,1.0,55.0,,,55.0,55.0,MYH10,30000.0,545.45,,fold over the strongest other target IN THE STAGE-62 MAP ONLY,21.0,311.0,profiled against 5 or more targets,ChEMBL target activity,,narrow / non-cytoskeletal,True,ATP-competitive (typical for class),,False,,,,,,0,,6.0,4.0,232.0,202.0,26.0,170.0,4.0,-0.09357115541121178,19.068600483326872,-0.39106312949434663,-0.016158800081728805,0.0,18.567807398339585
