node,mouse_gene,mouse_zone_top,mouse_zone_specificity,human_zone_top,human_mouse_concordant,sc_consensus_state,module,module_class,is_M7_or_M8_hub,CRISPR_CAUSAL,crispr_effect_class,height_gwas,blacklisted,depmap_frac_essential,tractable,hypertrophic_biased,zone_selectivity_ok,pan_essential,priority_score
RPTOR,Rptor,hypertrophic,0.0644759274104949,resting,False,hypertrophic,M7,GROWTH_SUSTAINING,True,False,KO_promotes_maturation,True,False,,False,True,True,False,3.2
RPS6KB1,Rps6kb1,hypertrophic,0.1822773459547608,hypertrophic,True,hypertrophic,,,False,False,KO_promotes_maturation,True,False,,False,True,True,False,2.6
LAMTOR1,Lamtor1,hypertrophic,0.2428747108861877,hypertrophic,True,hypertrophic,M4,HYPERTROPHIC_PROGRAM,False,False,KO_promotes_maturation,True,False,,False,True,True,False,2.6
ATP6V1G1,Atp6v1g1,hypertrophic,0.6080405182229978,hypertrophic,True,prehypertrophic,M4,HYPERTROPHIC_PROGRAM,False,False,KO_promotes_maturation,False,False,,False,True,True,False,2.1
ATP6V1C1,Atp6v1c1,hypertrophic,1.0211266898386704,hypertrophic,True,prehypertrophic,M4,HYPERTROPHIC_PROGRAM,False,False,KO_promotes_maturation,False,False,,False,True,True,False,2.1
DDIT4,Ddit4,hypertrophic,1.330236041339436,hypertrophic,True,proliferative,M4,HYPERTROPHIC_PROGRAM,False,False,KO_promotes_maturation,False,False,,False,True,True,False,2.1
ATP6V1D,Atp6v1d,hypertrophic,0.7059124225792743,hypertrophic,True,hypertrophic,M4,HYPERTROPHIC_PROGRAM,False,False,KO_promotes_maturation,False,False,,False,True,True,False,2.1
ATP6V1B2,Atp6v1b2,hypertrophic,1.3259965982604245,hypertrophic,True,hypertrophic,M4,HYPERTROPHIC_PROGRAM,False,False,KO_promotes_maturation,False,False,,False,True,True,False,2.1
TSC2,Tsc2,hypertrophic,0.0313349890781111,prehypertrophic,False,proliferative,,,False,True,KO_blocks_maturation,True,True,0.182,True,True,True,False,2.0999999999999996
LAMTOR2,Lamtor2,hypertrophic,0.1384651811717479,proliferative,False,prehypertrophic,,,False,False,KO_blocks_maturation,True,False,,False,True,True,False,2.0
ATP6V1H,Atp6v1h,hypertrophic,0.5884387993821907,prehypertrophic,False,resting,M4,HYPERTROPHIC_PROGRAM,False,False,KO_promotes_maturation,True,False,,False,True,True,False,2.0
DEPDC5,Depdc5,hypertrophic,0.7125401325131842,perichondrium,False,proliferative,,,False,False,KO_promotes_maturation,True,False,,False,True,True,False,2.0
ATP6V0D1,Atp6v0d1,hypertrophic,0.3435957048500171,prehypertrophic,False,prehypertrophic,M4,HYPERTROPHIC_PROGRAM,False,False,KO_promotes_maturation,True,False,,False,True,True,False,2.0
MTOR,Mtor,hypertrophic,0.0360961755712185,proliferative,False,hypertrophic,,,False,False,KO_promotes_maturation,True,False,,False,True,True,False,2.0
SLC38A9,Slc38a9,hypertrophic,0.0129642833230079,proliferative,False,hypertrophic,,,False,False,KO_promotes_maturation,True,False,,False,True,True,False,2.0
RRAGA,Rraga,hypertrophic,0.0512429208320721,proliferative,False,prehypertrophic,,,False,False,KO_promotes_maturation,False,False,,False,True,True,False,1.5
TCIRG1,Tcirg1,hypertrophic,0.8224671296139547,resting,False,proliferative,M4,HYPERTROPHIC_PROGRAM,False,False,KO_blocks_maturation,False,False,,False,True,True,False,1.5
ATP6V1F,Atp6v1f,hypertrophic,0.3930195841289396,prehypertrophic,False,hypertrophic,M4,HYPERTROPHIC_PROGRAM,False,False,KO_promotes_maturation,False,False,,False,True,True,False,1.5
ATP6AP1,Atp6ap1,hypertrophic,0.5201832253755665,proliferative,False,prehypertrophic,M4,HYPERTROPHIC_PROGRAM,False,False,KO_promotes_maturation,False,False,,False,True,True,False,1.5
SESN2,Sesn2,hypertrophic,1.3302088831700996,perichondrium,False,hypertrophic,,,False,False,KO_promotes_maturation,False,False,,False,True,True,False,1.5
ATP6V1A,Atp6v1a,hypertrophic,0.7558953686817631,prehypertrophic,False,prehypertrophic,M4,HYPERTROPHIC_PROGRAM,False,False,KO_promotes_maturation,False,False,,False,True,True,False,1.5
ATP6V1E1,Atp6v1e1,hypertrophic,0.7513734915936858,resting,False,hypertrophic,M4,HYPERTROPHIC_PROGRAM,False,False,KO_promotes_maturation,False,False,,False,True,True,False,1.5
ATP6V0C,Atp6v0c,hypertrophic,0.6328661441461296,prehypertrophic,False,resting,,,False,False,KO_promotes_maturation,False,False,,False,True,True,False,1.5
ATP6V0B,Atp6v0b,hypertrophic,0.6541347715893977,prehypertrophic,False,hypertrophic,M4,HYPERTROPHIC_PROGRAM,False,False,KO_promotes_maturation,False,False,,False,True,True,False,1.5
TFEB,Tfeb,resting,0.0105516922878585,resting,True,hypertrophic,,,False,False,KO_promotes_maturation,True,False,,False,False,False,False,1.1
SLC1A5,Slc1a5,resting,0.5370670787534912,prehypertrophic,False,hypertrophic,,,False,False,KO_promotes_maturation,True,False,,False,False,False,False,0.5
TSC1,Tsc1,resting,0.0448413409836092,prehypertrophic,False,hypertrophic,,,False,False,KO_blocks_maturation,True,False,,False,False,False,False,0.5
RHEB,Rheb,resting,0.0080840392654355,proliferative,False,proliferative,M1,,False,False,KO_promotes_maturation,True,False,,False,False,False,False,0.5
SLC7A5,Slc7a5,resting,0.2059919780401138,prehypertrophic,False,proliferative,,,False,False,KO_promotes_maturation,True,False,,False,False,False,False,0.5
FNIP1,Fnip1,resting,0.3214293961747856,prehypertrophic,False,proliferative,,,False,False,KO_promotes_maturation,True,False,,False,False,False,False,0.5
MIOS,Mios,resting,0.0873171616273289,proliferative,False,prehypertrophic,M10,PROLIFERATIVE_PROGRAM,False,False,KO_promotes_maturation,True,False,,False,False,False,False,0.5
AKT1,Akt1,proliferative,0.0386018736551925,prehypertrophic,False,resting,,,False,False,KO_blocks_maturation,True,False,,False,False,False,False,0.5
WDR59,Wdr59,proliferative,0.0007932406355593,resting,False,resting,,,False,False,KO_promotes_maturation,True,False,,False,False,False,False,0.5
WDR24,Wdr24,proliferative,0.2351708096413833,prehypertrophic,False,prehypertrophic,,,False,False,KO_promotes_maturation,True,False,,False,False,False,False,0.5
IGF1R,Igf1r,resting,0.6174996076203172,proliferative,False,prehypertrophic,M10,PROLIFERATIVE_PROGRAM,False,False,KO_promotes_maturation,True,False,,False,False,False,False,0.5
RRAGC,Rragc,resting,0.2141397028963005,hypertrophic,False,hypertrophic,,,False,False,KO_blocks_maturation,False,False,,False,False,False,False,0.0
RRAGB,Rragb,,,perichondrium,False,resting,M10,PROLIFERATIVE_PROGRAM,False,False,KO_promotes_maturation,False,False,,False,False,False,False,0.0
LAMTOR5,,,,,False,,,,False,False,,False,False,,False,False,False,False,0.0
LAMTOR3,Lamtor3,resting,0.3270147777251218,proliferative,False,resting,,,False,False,KO_promotes_maturation,False,False,,False,False,False,False,0.0
LAMTOR4,,,,,False,,,,False,False,,False,False,,False,False,False,False,0.0
RPS6,,,,,False,,,,False,False,,False,False,,False,False,False,False,0.0
EIF4EBP1,Eif4ebp1,proliferative,0.0735185612234996,prehypertrophic,False,hypertrophic,,,False,False,KO_promotes_maturation,False,False,,False,False,False,False,0.0
