# rat bulk manifest — assembled by GSM (SR-1)
# series read: GSE16981, GSE23432
# unique samples: 44   cross-series duplicates collapsed: 15
gsm	zone	age	rep	submission_date	cel_file	listed_in
GSM425046	Resting zone	1wk	1	Jul 07 2009	GSM425046.CEL.gz	GSE16981+GSE23432
GSM425047	Resting zone	1wk	2	Jul 07 2009	GSM425047.CEL.gz	GSE16981+GSE23432
GSM425048	Resting zone	1wk	3	Jul 07 2009	GSM425048.CEL.gz	GSE16981+GSE23432
GSM425049	Resting zone	1wk	4	Jul 07 2009	GSM425049.CEL.gz	GSE16981+GSE23432
GSM425050	Resting zone	1wk	5	Jul 07 2009	GSM425050.CEL.gz	GSE16981+GSE23432
GSM425051	Proliferative zone	1wk	1	Jul 07 2009	GSM425051.CEL.gz	GSE16981+GSE23432
GSM425052	Proliferative zone	1wk	2	Jul 07 2009	GSM425052.CEL.gz	GSE16981+GSE23432
GSM425053	Proliferative zone	1wk	3	Jul 07 2009	GSM425053.CEL.gz	GSE16981+GSE23432
GSM425054	Proliferative zone	1wk	4	Jul 07 2009	GSM425054.CEL.gz	GSE16981+GSE23432
GSM425055	Proliferative zone	1wk	5	Jul 07 2009	GSM425055.CEL.gz	GSE16981+GSE23432
GSM425056	Hypertrophic zone	1wk	1	Jul 07 2009	GSM425056.CEL.gz	GSE16981+GSE23432
GSM425057	Hypertrophic zone	1wk	2	Jul 07 2009	GSM425057.CEL.gz	GSE16981+GSE23432
GSM425058	Hypertrophic zone	1wk	3	Jul 07 2009	GSM425058.CEL.gz	GSE16981+GSE23432
GSM425059	Hypertrophic zone	1wk	4	Jul 07 2009	GSM425059.CEL.gz	GSE16981+GSE23432
GSM425060	Hypertrophic zone	1wk	5	Jul 07 2009	GSM425060.CEL.gz	GSE16981+GSE23432
GSM425061	Proliferative zone	3wk	1	Jul 07 2009	GSM425061.CEL.gz	GSE16981
GSM425062	Proliferative zone	3wk	2	Jul 07 2009	GSM425062.CEL.gz	GSE16981
GSM425063	Proliferative zone	3wk	3	Jul 07 2009	GSM425063.CEL.gz	GSE16981
GSM425064	Proliferative zone	3wk	4	Jul 07 2009	GSM425064.CEL.gz	GSE16981
GSM425065	Proliferative zone	3wk	5	Jul 07 2009	GSM425065.CEL.gz	GSE16981
GSM425066	Proliferative zone	6wk	1	Jul 07 2009	GSM425066.CEL.gz	GSE16981
GSM425067	Proliferative zone	6wk	2	Jul 07 2009	GSM425067.CEL.gz	GSE16981
GSM425068	Proliferative zone	6wk	3	Jul 07 2009	GSM425068.CEL.gz	GSE16981
GSM425069	Proliferative zone	6wk	4	Jul 07 2009	GSM425069.CEL.gz	GSE16981
GSM425070	Proliferative zone	6wk	5	Jul 07 2009	GSM425070.CEL.gz	GSE16981
GSM425071	Proliferative zone	9wk	1	Jul 07 2009	GSM425071.CEL.gz	GSE16981
GSM425072	Proliferative zone	9wk	2	Jul 07 2009	GSM425072.CEL.gz	GSE16981
GSM425073	Proliferative zone	9wk	3	Jul 07 2009	GSM425073.CEL.gz	GSE16981
GSM425074	Proliferative zone	9wk	4	Jul 07 2009	GSM425074.CEL.gz	GSE16981
GSM425075	Proliferative zone	9wk	5	Jul 07 2009	GSM425075.CEL.gz	GSE16981
GSM425076	Proliferative zone	12wk	1	Jul 07 2009	GSM425076.CEL.gz	GSE16981
GSM425077	Proliferative zone	12wk	2	Jul 07 2009	GSM425077.CEL.gz	GSE16981
GSM425078	Proliferative zone	12wk	3	Jul 07 2009	GSM425078.CEL.gz	GSE16981
GSM425079	Proliferative zone	12wk	4	Jul 07 2009	GSM425079.CEL.gz	GSE16981
GSM425080	Proliferative zone	12wk	5	Jul 07 2009	GSM425080.CEL.gz	GSE16981
GSM575172	Epiphyseal cartilage	1wk	1	Aug 05 2010	GSM575172.CEL.gz	GSE23432
GSM575173	Epiphyseal cartilage	1wk	2	Aug 05 2010	GSM575173.CEL.gz	GSE23432
GSM575174	Epiphyseal cartilage	1wk	4	Aug 05 2010	GSM575174.CEL.gz	GSE23432
GSM575175	Epiphyseal cartilage	1wk	5	Aug 05 2010	GSM575175.CEL.gz	GSE23432
GSM575176	Proliferative-hypertrophic transition zone	1wk	1	Aug 05 2010	GSM575176.CEL.gz	GSE23432
GSM575177	Proliferative-hypertrophic transition zone	1wk	2	Aug 05 2010	GSM575177.CEL.gz	GSE23432
GSM575178	Proliferative-hypertrophic transition zone	1wk	3	Aug 05 2010	GSM575178.CEL.gz	GSE23432
GSM575179	Proliferative-hypertrophic transition zone	1wk	4	Aug 05 2010	GSM575179.CEL.gz	GSE23432
GSM575180	Proliferative-hypertrophic transition zone	1wk	5	Aug 05 2010	GSM575180.CEL.gz	GSE23432
