leiden	COL2A1	ACAN	SOX9	COL9A1	PTPRC	PECAM1	VWF	HBB	LYZ	CD68	MYH11	EPCAM	COL1A1	n_cells	is_chondrocyte
0	2.4594526	0.8271322	0.39406738	0.856029	0.09728006	0.08371267	0.01630104	0.12942176	0.025998367	0.08186402	0.014403663	0.055083536	2.5380769	4839	False
1	2.166856	0.6620688	0.3891805	0.74337095	0.17304434	0.06911844	0.017483568	0.21405368	0.04546063	0.12804915	0.027047236	0.007816555	1.6224546	1911	False
2	2.271901	0.8563111	0.25738007	0.9679892	2.4403057	0.25087935	0.015798382	0.44514444	0.06539765	0.025674999	0.061033785	0.0036870402	0.19607663	5791	False
3	1.6101452	0.35613286	0.031449497	0.4274656	1.1822857	0.42423728	0.039391004	0.5447627	0.09129142	0.21181862	0.05606958	0.0029457598	0.19453156	431	False
4	1.4465902	0.32459104	0.057257064	0.42239353	2.5565937	0.19117218	0.016307013	0.5109218	0.07231576	0.015854452	0.044508785	0.0035450542	0.13098443	2093	False
5	1.9189022	0.6846842	0.20730451	0.78061455	2.422178	0.06651324	0.009593993	0.40334624	0.054277238	0.020964928	0.07606373	0.0007992686	0.14928205	3238	False
6	6.3889046	3.9695792	1.528601	3.95574	0.016396785	0.011766043	0.011844536	0.02364648	0.00684635	0.078047976	0.0068465527	0.010138563	0.26058003	4749	True
7	5.0563316	3.3428333	1.684642	2.1313236	0.016457357	0.025160732	0.022304272	0.010675904	0.007062906	0.10491172	0.010881578	0.008319784	0.3386994	6488	True
8	5.6906133	3.3908582	1.3634086	3.7258787	0.018633213	0.0141631365	0.016565604	0.015497993	0.0055955597	0.10210168	0.005761551	0.022710899	0.27669337	2542	True
9	6.181177	3.5092254	1.5542315	3.7091248	0.014538898	0.0748636	0.023922227	0.01046786	0.012558826	0.08591093	0.005385002	0.015850317	0.63190156	7548	True
10	6.2271895	3.8464627	1.2174478	4.0888915	0.06833959	0.022990374	0.0120859025	0.036523376	0.004163669	0.03345116	0.02054449	0.006981651	0.18181889	1632	True
11	6.617777	3.4991932	1.9031265	4.3826547	0.009607282	0.01200458	0.009777294	0.0035238331	0.004086529	0.11570584	0.0049372795	0.028860811	0.30597088	3096	True
12	6.7745113	3.9657986	1.7119116	4.5192294	0.0083953375	0.024456607	0.011231926	0.008409388	0.003532597	0.02847742	0.0027888315	0.008724628	0.25761813	2352	True
13	6.266203	3.8407357	1.6020709	3.7155225	0.0032045655	0.010580217	0.008047265	0.0064712185	0.007165908	0.12322252	0.0045759273	0.054596744	0.34482715	2513	True
14	1.0102533	0.2055845	0.032359894	0.2712637	0.44086263	0.40609452	0.011728748	0.23358707	0.03965109	0.027199162	0.030555785	0.005597053	0.106241815	1749	False
15	6.066817	3.587635	1.5493934	3.8193884	0.009288014	0.030918485	0.012040535	0.0013073325	0.0020158256	0.10474649	0.017828083	0.008206264	0.26032802	405	True
16	5.96767	3.3548377	1.2882358	3.6271515	0.0067963526	0.018137658	0.01669792	0.008137495	0.007611338	0.08163232	0.0097340625	0.014228312	0.42571452	593	True
17	1.6182158	0.37229887	0.06484017	0.46914262	1.3583654	0.586024	0.027625484	0.46287823	0.97008187	0.55378217	0.03719734	0.00287702	0.17105791	4204	False
18	1.0675029	0.17466216	0.020412013	0.2525441	1.9208548	0.28649065	0.013295069	0.55114615	0.058256578	0.028714685	0.06575039	0.0033700203	0.1413254	2465	False
19	2.1182287	0.73552656	0.20683642	0.6361	0.12094174	0.1427144	0.024668958	0.1752683	0.030321782	0.06859705	1.118919	0.0028211472	0.85048145	1506	False
20	5.7571516	3.314947	1.3384519	3.1545742	0.007237157	0.030403696	0.02135951	0.0018409401	0.0043125763	0.09214588	0.00616532	0.008578218	0.44074023	859	True
21	2.2909982	0.67140925	0.17718771	0.766751	0.13850066	1.8251712	1.4562213	0.18537077	0.03739952	0.036742385	0.022372209	0.009392219	0.24632351	2635	False
22	1.5289522	0.28535536	0.025135271	0.38057956	2.976401	0.19545679	0.012535169	0.528599	0.09239402	0.020103626	0.05392414	0.0027919144	0.13816024	886	False
23	0.8243091	0.20292197	0.03708927	0.26982868	1.592051	0.105913356	0.034885436	0.36539719	0.057810586	0.038477026	0.039647553	0.004542477	0.09080595	242	False
24	0.6755888	0.13190438	0.014641925	0.13445064	0.47047484	0.027915057	0.006722564	5.8640995	0.067694895	0.019475782	0.01609354	0.014313616	0.16011678	304	False
25	0.6969896	0.1117831	0.023582825	0.16006081	0.7676308	0.12716776	0.008899742	0.2594844	1.1670692	0.0576356	0.15559897	0.008037391	0.07976841	573	False
26	1.1747974	0.2529821	0.038864985	0.35343522	1.431374	0.060039103	0.009648735	0.1439481	0.6051201	0.97492754	0.005120195	0.0	0.1338161	117	False
