leiden	Col2a1	Acan	Sox9	Col9a1	Ptprc	Pecam1	Vwf	Hbb-bs	Lyz2	Cd68	Myh11	Epcam	Col1a1	n_cells	is_chondrocyte
0	1.4546151	0.25765452	0.06969022	0.34321412	0.028135546	0.0021865328	0.035921823	7.734348	0.1324683	0.0007234769	0.00064721727	0.0	0.107703954	909	False
1	1.5877138	0.25981697	0.06331562	0.4564721	1.9629773	1.2221844	0.002494874	3.0288658	0.1268932	0.0057131667	0.0009030063	0.0005144493	0.11869773	1102	False
2	1.7437227	0.37800786	0.2650666	0.46925303	1.936429	0.098822	0.008582731	1.8780873	3.309177	0.47158355	0.004029224	0.0077318274	1.0994757	399	False
3	1.1911337	0.15412052	0.03859242	0.29185545	1.7424214	0.677807	0.009582629	2.1345606	0.66091627	0.1654571	0.0023702865	0.008286563	0.0816977	268	False
4	1.3683367	0.3879025	0.12994792	0.5269914	1.0925132	0.69419414	0.0	2.4539235	0.23276697	0.095489085	0.0	0.023951046	0.48661426	24	False
5	1.9399669	0.65915364	0.29605737	0.77996796	1.9169308	0.08579843	0.0048848805	2.6333528	3.637355	0.082790256	0.003088169	0.0034632047	0.11249237	660	False
6	4.4425488	2.0689468	1.0343225	2.1607275	0.3966709	0.10902365	0.0069254804	2.9463255	0.41849416	0.012906231	0.0029668557	0.099919334	0.60826784	1163	True
7	1.6570606	0.35580415	0.10880634	0.45272243	2.562163	0.9572599	0.0	2.9461908	0.15091226	0.0	0.0	0.0107399225	0.13763513	518	False
8	2.298556	0.944585	0.44231147	0.95005417	1.2557656	0.6954163	0.0036146776	1.9802134	0.10316749	0.016056022	0.0029993346	0.033050977	0.18399695	743	False
9	6.000205	3.8338032	2.3274314	3.7337394	0.12213166	0.059680566	0.011417196	1.5060513	0.17497271	0.010683219	0.0038175755	0.08566155	0.48072743	1361	True
10	6.0663114	3.817063	2.036258	3.622854	0.026545102	0.041067865	0.026409823	0.5098341	0.03524297	0.029712211	0.0064777555	0.11129596	0.53517777	611	True
11	5.917303	3.397752	2.0629692	3.0742388	0.27892268	0.17791897	0.004384937	1.4395443	0.1960718	0.020976791	0.003986329	0.26468748	1.194009	413	True
12	5.7777276	2.7981794	2.0929313	2.5603936	0.010166811	0.055181403	0.0025675267	0.21923847	0.011439154	0.028311573	0.0042566257	0.062025093	1.3826272	2209	True
13	5.6706114	3.439143	2.115114	3.1356595	0.10405699	0.09630853	0.014849141	0.1940102	0.025916263	0.033037644	0.0063121542	0.22042724	0.6978396	571	True
14	1.8829246	0.37052706	0.1542481	0.66008973	1.1965563	0.08455235	0.009314856	3.2019694	2.4731066	1.170601	0.0	0.0	0.5106221	62	False
15	1.392426	0.25056392	0.07262187	0.32792434	0.046985026	0.006360965	0.08205897	6.4799566	0.09521126	0.0043231333	0.002510489	0.00030291337	0.14269236	934	False
16	5.9866385	3.6908407	2.3237338	3.4737773	0.06245425	0.034131013	0.024095556	0.67663187	0.09730015	0.026972225	0.014263662	0.3345745	0.50552434	1434	True
17	5.494401	3.265816	2.1887197	3.047246	0.0051599876	0.040700458	0.009136773	0.35846362	0.021320503	0.03577269	0.0074908985	0.49748015	0.73406225	1137	True
18	5.877226	3.7552855	2.280054	3.5635061	0.030822374	0.0445582	0.01748486	0.9046122	0.053324822	0.016273666	0.008517154	0.13628127	0.5472974	1022	True
19	3.1476598	1.4677124	0.65020984	1.524896	1.0157131	0.36366466	0.04942019	6.665747	0.45889166	0.0	0.0075254543	0.015493165	0.09249154	113	False
20	1.6667126	0.30618533	0.044430386	0.44176114	2.5746107	0.050735984	0.0033212597	2.8769672	3.1496522	0.11687533	0.0009049538	0.0026294214	0.13308647	414	False
21	6.146649	4.141147	2.1090517	3.7549098	0.026647648	0.05490099	0.013329018	0.7348524	0.05218916	0.013837656	0.0074223406	0.10542734	0.49205092	1467	True
22	3.7187397	1.9685843	1.2767801	1.4034305	0.010064331	0.09612145	0.0021398626	0.21461025	0.025818747	0.046525378	0.0020187914	0.027306912	3.6994185	367	False
23	1.2829565	0.22336935	0.047261756	0.3448028	1.3124583	0.96544987	0.0	2.494973	0.20271702	0.0069191526	0.0	0.0019262485	0.11207753	456	False
24	1.6008636	0.32113317	0.037089553	0.32232845	3.1217964	0.42452952	0.0	2.7084935	0.19020668	0.032382306	0.0	0.044703502	0.16004238	81	False
25	2.8893545	0.79854816	0.3881086	0.81248784	0.0	2.053361	0.090157725	0.20540619	0.0019179947	0.06988113	0.0065744943	0.01403299	0.8467568	611	False
26	1.8437755	0.24419847	0.02962908	0.6670904	1.3604114	0.43111458	0.0	4.5131836	0.7786486	0.5266777	0.0	0.0960684	0.2402357	76	False
27	3.067274	0.8983193	0.50508887	0.82928264	0.0040337197	0.09986916	0.006215644	0.25437889	0.018939087	0.044515654	0.020149492	0.012080874	1.9054381	373	False
28	2.987775	0.948092	0.5416816	0.89668465	0.0009096593	0.15178448	0.0025555403	0.07046625	0.0023484898	0.0332955	0.0032102857	0.03302884	6.2789993	449	False
29	2.9252954	0.9473384	0.42277038	0.7795305	0.018155385	0.11840123	0.13812214	0.20409675	0.021381771	0.037151337	1.9285451	0.024938451	1.1035037	63	False
