chondro_cluster	zs_resting	zs_proliferative	zs_prehypertrophic	zs_hypertrophic	zs_resting_z	zs_proliferative_z	zs_prehypertrophic_z	zs_hypertrophic_z	zone	n_cells
0	-0.21169058377105185	0.2770597942293376	-0.4572373300212724	-0.25593126678754335	-0.49338086200826375	1.1902947329209927	-0.2739350163345389	-0.1304870513514252	proliferative	232
1	-0.19522890453526826	0.2259405338104711	-0.19623251721367724	-0.012865368648098627	-0.4304613798159304	0.9253947649015054	0.24180057858285398	0.190712556427958	proliferative	711
2	-0.34369232055490395	-0.13498983101914352	0.8032070414773349	0.8175238872751733	-0.9979151083611267	-0.9449461069578243	2.216655179311835	1.2880310422722927	prehypertrophic	1131
3	-0.24979830631313094	-0.14625743675650213	0.9270056694212713	2.610248766143166	-0.6390353930882207	-1.0033348311886798	2.4612765652005666	3.6570286365724085	hypertrophic	380
4	-0.12383594290773556	0.023382721106004745	-0.4578332216983445	-0.31714906206708715	-0.15758471192308446	-0.12425966413063264	-0.27511247565138164	-0.21138335142239395	proliferative	577
5	-0.18152629318925642	0.02667887032106217	-0.769985003892948	-0.6273813369420772	-0.3780875485545527	-0.10717902144328423	-0.8919125390790763	-0.6213400165617641	proliferative	1071
6	0.2324533126102305	-0.0741270205700628	-0.6466913755558457	-0.45768670917387466	1.2042165446068211	-0.6295550702051234	-0.6482890132292533	-0.39709692734755614	resting	293
7	0.35068262484116014	-0.0064252768839701685	-0.5909966857442932	-0.5517828531322806	1.656110121135479	-0.27872468669882083	-0.5382384219212878	-0.5214403451792642	resting	1116
8	-0.29226639339863947	-0.10124325242836832	-0.26785607470731354	-0.5461143086447534	-0.8013560172995525	-0.7700713627574133	0.10027514984943522	-0.5139496429457935	prehypertrophic	907
9	-0.19368671392005363	0.11317436404489788	-0.7215200036389273	-0.5975142724301946	-0.42456685146549017	0.34104056024725077	-0.7961475396914803	-0.5818721624523627	proliferative	477
10	-0.10522071308379877	0.07982642977613949	-0.28973277798813324	-0.010240142187451295	-0.08643397422268305	0.16823159061572282	0.05704761523043947	0.1941816638426404	hypertrophic	414
11	-0.2950276198750265	-0.1244003396066326	0.27308300931353746	-0.15658714597788476	-0.8119099187346125	-0.8900713706347321	1.169150230391417	0.0007913093050907856	prehypertrophic	322
12	-0.2081389295722732	0.5786399475570299	-0.7434251566489072	-0.6590711519909136	-0.47980580445109694	2.7530828546038624	-0.8394312898945331	-0.6632165456931686	proliferative	341
13	0.16278632578051278	-0.14700945112406333	-0.38495130462795935	-0.3434432201864777	0.9379368610799123	-1.0072317690607238	-0.13110057619754373	-0.24612978578231443	resting	1364
14	-0.24607194724537076	0.01581328278059488	0.016270356171733728	-0.03288215620593949	-0.6247925822760335	-0.16348448768826224	0.6616981837196246	0.16426135795957705	prehypertrophic	91
15	0.6892402579850985	-0.1536854124753321	-0.6724619289026375	-0.4725404780238986	2.950137945670753	-1.041826595628241	-0.6992106476569511	-0.41672545099152786	resting	1092
16	-0.1667576993605987	0.3249772942286951	-0.7525046005628557	-0.633103103764554	-0.32163934159471147	1.4386031809187827	-0.8573719261537243	-0.628901049488441	proliferative	234
17	-0.10914465413099823	0.07515751583651295	-0.8030026009007702	-0.5828274400773665	-0.10143197869760624	0.14403728218561987	-0.9571540564764001	-0.5624642371639555	proliferative	635
